symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MTCH,2025-06-30 13:33:00+00:00,30.76,30.76,30.76,30.76,524.0,6.0,30.76
MTCH,2025-06-30 13:34:00+00:00,30.78,30.78,30.78,30.78,100.0,1.0,30.78
MTCH,2025-06-30 13:35:00+00:00,30.91,30.91,30.91,30.91,105.0,3.0,30.91
MTCH,2025-06-30 13:36:00+00:00,30.98,30.98,30.98,30.98,449.0,5.0,30.98
MTCH,2025-06-30 13:37:00+00:00,30.96,30.96,30.96,30.96,200.0,2.0,30.96
MTCH,2025-06-30 13:39:00+00:00,30.92,30.93,30.9,30.9,301.0,4.0,30.916667
MTCH,2025-06-30 13:41:00+00:00,30.82,30.82,30.82,30.82,100.0,1.0,30.82
MTCH,2025-06-30 13:42:00+00:00,30.77,30.77,30.7,30.7,733.0,8.0,30.741429
MTCH,2025-06-30 13:43:00+00:00,30.675,30.68,30.675,30.68,287.0,5.0,30.6775
MTCH,2025-06-30 13:45:00+00:00,30.66,30.66,30.66,30.66,100.0,1.0,30.66
MTCH,2025-06-30 13:46:00+00:00,30.66,30.66,30.66,30.66,100.0,1.0,30.66
MTCH,2025-06-30 13:47:00+00:00,30.61,30.61,30.61,30.61,110.0,2.0,30.61
MTCH,2025-06-30 13:48:00+00:00,30.63,30.63,30.63,30.63,200.0,2.0,30.63
MTCH,2025-06-30 13:49:00+00:00,30.67,30.67,30.67,30.67,105.0,2.0,30.67
MTCH,2025-06-30 13:50:00+00:00,30.69,30.69,30.69,30.69,100.0,1.0,30.69
MTCH,2025-06-30 13:51:00+00:00,30.68,30.68,30.67,30.68,800.0,9.0,30.675714
MTCH,2025-06-30 13:52:00+00:00,30.69,30.71,30.69,30.71,254.0,3.0,30.7
MTCH,2025-06-30 13:55:00+00:00,30.7,30.72,30.7,30.72,233.0,6.0,30.710476
MTCH,2025-06-30 13:57:00+00:00,30.72,30.72,30.72,30.72,160.0,2.0,30.72
MTCH,2025-06-30 14:00:00+00:00,30.76,30.775,30.76,30.77,399.0,5.0,30.768344
MTCH,2025-06-30 14:01:00+00:00,30.835,30.84,30.835,30.84,214.0,4.0,30.8375
MTCH,2025-06-30 14:02:00+00:00,30.85,30.86,30.84,30.84,598.0,4.0,30.847057
MTCH,2025-06-30 14:03:00+00:00,30.83,30.83,30.83,30.83,147.0,4.0,30.83
MTCH,2025-06-30 14:04:00+00:00,30.84,30.84,30.84,30.84,103.0,3.0,30.84
MTCH,2025-06-30 14:05:00+00:00,30.85,30.85,30.83,30.83,378.0,6.0,30.84
MTCH,2025-06-30 14:06:00+00:00,30.83,30.86,30.83,30.85,1463.0,15.0,30.8496
MTCH,2025-06-30 14:07:00+00:00,30.84,30.84,30.84,30.84,364.0,4.0,30.84
MTCH,2025-06-30 14:08:00+00:00,30.87,30.91,30.87,30.9,1188.0,7.0,30.877
MTCH,2025-06-30 14:09:00+00:00,30.9,30.9,30.9,30.9,229.0,6.0,30.9
MTCH,2025-06-30 14:10:00+00:00,30.91,30.91,30.89,30.89,372.0,4.0,30.903333
MTCH,2025-06-30 14:13:00+00:00,30.91,30.91,30.91,30.91,905.0,5.0,30.91
MTCH,2025-06-30 14:14:00+00:00,30.91,30.925,30.91,30.925,476.0,4.0,30.913497
MTCH,2025-06-30 14:15:00+00:00,30.905,30.93,30.905,30.93,1029.0,11.0,30.919448
MTCH,2025-06-30 14:16:00+00:00,30.92,30.92,30.92,30.92,137.0,8.0,30.92
MTCH,2025-06-30 14:17:00+00:00,30.93,30.93,30.93,30.93,100.0,1.0,30.93
MTCH,2025-06-30 14:19:00+00:00,30.96,30.96,30.95,30.95,397.0,2.0,30.957481
MTCH,2025-06-30 14:20:00+00:00,30.95,30.95,30.95,30.95,115.0,2.0,30.95
MTCH,2025-06-30 14:24:00+00:00,30.87,30.87,30.87,30.87,100.0,1.0,30.87
MTCH,2025-06-30 14:25:00+00:00,30.9,30.9,30.88,30.88,335.0,4.0,30.89
MTCH,2025-06-30 14:29:00+00:00,30.925,30.93,30.925,30.93,200.0,2.0,30.9275
MTCH,2025-06-30 14:32:00+00:00,30.955,30.96,30.95,30.95,400.0,4.0,30.955
MTCH,2025-06-30 14:34:00+00:00,30.97,30.97,30.97,30.97,101.0,2.0,30.97
MTCH,2025-06-30 14:35:00+00:00,30.96,30.97,30.96,30.97,1719.0,6.0,30.967644
MTCH,2025-06-30 14:36:00+00:00,30.95,30.95,30.95,30.95,103.0,2.0,30.95
MTCH,2025-06-30 14:37:00+00:00,30.93,30.93,30.92,30.92,200.0,2.0,30.925
MTCH,2025-06-30 14:38:00+00:00,30.91,30.91,30.91,30.91,100.0,1.0,30.91
MTCH,2025-06-30 14:40:00+00:00,30.93,30.93,30.93,30.93,110.0,2.0,30.93
MTCH,2025-06-30 14:41:00+00:00,30.92,30.92,30.92,30.92,100.0,1.0,30.92
MTCH,2025-06-30 14:44:00+00:00,30.925,30.925,30.925,30.925,152.0,5.0,30.925
MTCH,2025-06-30 14:46:00+00:00,30.92,30.92,30.92,30.92,495.0,7.0,30.92
MTCH,2025-06-30 14:48:00+00:00,30.925,30.925,30.925,30.925,131.0,3.0,30.925
MTCH,2025-06-30 14:49:00+00:00,30.945,30.945,30.945,30.945,405.0,12.0,30.945
MTCH,2025-06-30 14:50:00+00:00,30.95,30.95,30.95,30.95,100.0,1.0,30.95
MTCH,2025-06-30 14:53:00+00:00,30.955,30.955,30.955,30.955,105.0,2.0,30.955
