symbol,timestamp,open,high,low,close,volume,trade_count,vwap
O,2025-06-30 13:30:00+00:00,57.04,57.04,56.94,56.94,1299.0,15.0,57.009176
O,2025-06-30 13:31:00+00:00,56.85,56.86,56.64,56.73,1832.0,23.0,56.786452
O,2025-06-30 13:32:00+00:00,56.68,56.73,56.58,56.73,1071.0,11.0,56.63375
O,2025-06-30 13:33:00+00:00,56.78,56.78,56.78,56.78,201.0,4.0,56.78
O,2025-06-30 13:34:00+00:00,56.78,56.84,56.78,56.8,301.0,4.0,56.806667
O,2025-06-30 13:35:00+00:00,56.81,56.83,56.81,56.81,473.0,9.0,56.816667
O,2025-06-30 13:36:00+00:00,56.845,56.92,56.845,56.91,507.0,10.0,56.88375
O,2025-06-30 13:37:00+00:00,56.86,56.86,56.86,56.86,100.0,1.0,56.86
O,2025-06-30 13:39:00+00:00,56.84,56.87,56.84,56.87,533.0,7.0,56.856
O,2025-06-30 13:40:00+00:00,56.93,56.93,56.93,56.93,364.0,7.0,56.93
O,2025-06-30 13:41:00+00:00,56.9,56.91,56.9,56.9,307.0,4.0,56.903333
O,2025-06-30 13:42:00+00:00,56.9,56.9,56.9,56.9,116.0,4.0,56.9
O,2025-06-30 13:43:00+00:00,56.91,56.91,56.89,56.89,573.0,6.0,56.896
O,2025-06-30 13:44:00+00:00,56.9,56.91,56.9,56.91,409.0,8.0,56.903333
O,2025-06-30 13:46:00+00:00,57.02,57.02,57.02,57.02,300.0,3.0,57.02
O,2025-06-30 13:47:00+00:00,57.01,57.02,57.01,57.02,201.0,3.0,57.015
O,2025-06-30 13:49:00+00:00,57.02,57.03,57.01,57.01,608.0,12.0,57.0175
O,2025-06-30 13:50:00+00:00,57.06,57.06,57.06,57.06,121.0,3.0,57.06
O,2025-06-30 13:51:00+00:00,57.06,57.08,57.06,57.08,256.0,4.0,57.072
O,2025-06-30 13:52:00+00:00,57.08,57.09,57.07,57.07,508.0,6.0,57.082
O,2025-06-30 13:53:00+00:00,57.09,57.1,57.09,57.1,212.0,3.0,57.095
O,2025-06-30 13:54:00+00:00,57.07,57.08,57.07,57.08,360.0,8.0,57.075
O,2025-06-30 13:55:00+00:00,57.085,57.1,57.08,57.1,1006.0,13.0,57.085571
O,2025-06-30 13:56:00+00:00,57.09,57.09,57.07,57.085,1330.0,19.0,57.075769
O,2025-06-30 13:57:00+00:00,57.06,57.1,57.03,57.1,622.0,12.0,57.075
O,2025-06-30 13:58:00+00:00,57.08,57.08,57.08,57.08,109.0,3.0,57.08
O,2025-06-30 13:59:00+00:00,57.05,57.05,57.05,57.05,133.0,5.0,57.05
O,2025-06-30 14:00:00+00:00,57.05,57.05,57.04,57.04,309.0,5.0,57.046667
O,2025-06-30 14:01:00+00:00,57.04,57.04,57.03,57.04,628.0,9.0,57.038387
O,2025-06-30 14:02:00+00:00,57.08,57.08,57.08,57.08,127.0,4.0,57.08
O,2025-06-30 14:04:00+00:00,57.1,57.1,57.1,57.1,219.0,6.0,57.1
O,2025-06-30 14:06:00+00:00,57.09,57.09,57.09,57.09,216.0,3.0,57.09
O,2025-06-30 14:08:00+00:00,57.12,57.13,57.1,57.13,931.0,13.0,57.117073
O,2025-06-30 14:09:00+00:00,57.11,57.12,57.11,57.12,673.0,10.0,57.111667
O,2025-06-30 14:10:00+00:00,57.11,57.11,57.11,57.11,107.0,2.0,57.11
O,2025-06-30 14:11:00+00:00,57.08,57.08,57.08,57.08,146.0,4.0,57.08
O,2025-06-30 14:12:00+00:00,57.07,57.07,57.07,57.07,113.0,5.0,57.07
O,2025-06-30 14:13:00+00:00,57.08,57.08,57.08,57.08,204.0,3.0,57.08
O,2025-06-30 14:14:00+00:00,57.08,57.1,57.08,57.1,244.0,3.0,57.09
O,2025-06-30 14:15:00+00:00,57.09,57.09,57.09,57.09,113.0,3.0,57.09
O,2025-06-30 14:16:00+00:00,57.13,57.13,57.1,57.1,513.0,7.0,57.108
O,2025-06-30 14:17:00+00:00,57.11,57.11,57.11,57.11,252.0,7.0,57.11
O,2025-06-30 14:18:00+00:00,57.11,57.11,57.1,57.1,323.0,7.0,57.105
O,2025-06-30 14:19:00+00:00,57.09,57.09,57.08,57.08,597.0,11.0,57.083333
O,2025-06-30 14:20:00+00:00,57.12,57.12,57.12,57.12,105.0,2.0,57.12
O,2025-06-30 14:21:00+00:00,57.11,57.11,57.095,57.095,517.0,9.0,57.105
O,2025-06-30 14:23:00+00:00,57.16,57.17,57.15,57.17,3236.0,33.0,57.165484
O,2025-06-30 14:26:00+00:00,57.18,57.18,57.18,57.18,100.0,1.0,57.18
O,2025-06-30 14:27:00+00:00,57.19,57.22,57.19,57.22,303.0,4.0,57.21
O,2025-06-30 14:28:00+00:00,57.225,57.235,57.225,57.235,232.0,4.0,57.23
O,2025-06-30 14:29:00+00:00,57.23,57.23,57.23,57.23,105.0,2.0,57.23
O,2025-06-30 14:30:00+00:00,57.23,57.23,57.23,57.23,144.0,2.0,57.23
O,2025-06-30 14:31:00+00:00,57.24,57.24,57.17,57.17,1013.0,13.0,57.195
O,2025-06-30 14:32:00+00:00,57.18,57.18,57.16,57.16,773.0,11.0,57.172857
O,2025-06-30 14:33:00+00:00,57.19,57.19,57.17,57.17,875.0,10.0,57.18
O,2025-06-30 14:34:00+00:00,57.19,57.2,57.17,57.2,541.0,7.0,57.185
O,2025-06-30 14:35:00+00:00,57.19,57.19,57.18,57.19,424.0,7.0,57.1875
O,2025-06-30 14:36:00+00:00,57.18,57.18,57.165,57.165,289.0,6.0,57.1725
O,2025-06-30 14:37:00+00:00,57.2,57.205,57.195,57.2,1055.0,10.0,57.198922
O,2025-06-30 14:38:00+00:00,57.19,57.19,57.18,57.18,820.0,9.0,57.1825
O,2025-06-30 14:39:00+00:00,57.17,57.17,57.16,57.16,700.0,7.0,57.162857
O,2025-06-30 14:40:00+00:00,57.125,57.13,57.11,57.12,1027.0,8.0,57.122
O,2025-06-30 14:41:00+00:00,57.12,57.125,57.12,57.125,704.0,5.0,57.122857
O,2025-06-30 14:42:00+00:00,57.13,57.13,57.12,57.12,507.0,6.0,57.126667
O,2025-06-30 14:43:00+00:00,57.12,57.12,57.11,57.11,803.0,9.0,57.117143
O,2025-06-30 14:44:00+00:00,57.09,57.09,57.06,57.06,1384.0,17.0,57.081538
O,2025-06-30 14:45:00+00:00,57.06,57.06,57.05,57.055,635.0,7.0,57.055833
O,2025-06-30 14:46:00+00:00,57.04,57.04,56.98,56.98,1429.0,20.0,57.01875
O,2025-06-30 14:47:00+00:00,56.98,57.02,56.98,57.005,1461.0,13.0,57.001786
O,2025-06-30 14:48:00+00:00,56.99,57.02,56.99,57.02,431.0,8.0,57.0025
O,2025-06-30 14:50:00+00:00,56.98,56.98,56.955,56.97,575.0,8.0,56.969545
O,2025-06-30 14:52:00+00:00,56.95,56.97,56.95,56.97,783.0,12.0,56.964
O,2025-06-30 14:53:00+00:00,56.96,56.96,56.95,56.955,900.0,8.0,56.955588
O,2025-06-30 14:54:00+00:00,56.96,56.96,56.94,56.94,507.0,9.0,56.95
O,2025-06-30 14:55:00+00:00,56.94,56.97,56.94,56.97,600.0,6.0,56.958333
O,2025-06-30 14:56:00+00:00,56.945,56.96,56.945,56.96,359.0,6.0,56.955
O,2025-06-30 14:57:00+00:00,56.97,56.98,56.97,56.98,603.0,9.0,56.974
O,2025-06-30 14:58:00+00:00,56.97,56.98,56.97,56.98,1172.0,12.0,56.970909
O,2025-06-30 14:59:00+00:00,57.005,57.005,57.0,57.0,244.0,5.0,57.0025
O,2025-06-30 15:00:00+00:00,57.0,57.0,56.99,56.99,646.0,8.0,56.991667
O,2025-06-30 15:01:00+00:00,57.0,57.03,56.99,57.025,3373.0,38.0,57.008448
O,2025-06-30 15:02:00+00:00,57.03,57.03,57.02,57.025,1444.0,12.0,57.024545
O,2025-06-30 15:03:00+00:00,57.055,57.065,57.055,57.065,853.0,6.0,57.0625
O,2025-06-30 15:04:00+00:00,57.08,57.08,57.08,57.08,206.0,3.0,57.08
O,2025-06-30 15:05:00+00:00,57.07,57.08,57.07,57.08,201.0,3.0,57.075
O,2025-06-30 15:06:00+00:00,57.08,57.08,57.08,57.08,100.0,1.0,57.08
O,2025-06-30 15:08:00+00:00,57.07,57.07,57.05,57.05,317.0,5.0,57.063333
O,2025-06-30 15:09:00+00:00,57.03,57.04,57.03,57.04,424.0,5.0,57.034975
O,2025-06-30 15:10:00+00:00,57.04,57.05,57.04,57.05,402.0,6.0,57.046667
O,2025-06-30 15:11:00+00:00,57.02,57.02,56.99,56.99,926.0,15.0,57.001111
O,2025-06-30 15:12:00+00:00,56.99,57.0,56.99,57.0,431.0,7.0,56.993333
