symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PAYC,2025-06-30 13:30:00+00:00,227.82,228.38,227.82,228.38,304.0,4.0,228.1
PAYC,2025-06-30 13:31:00+00:00,228.625,228.625,228.625,228.625,100.0,1.0,228.625
PAYC,2025-06-30 13:58:00+00:00,230.03,230.03,230.03,230.03,110.0,3.0,230.03
PAYC,2025-06-30 14:15:00+00:00,229.6,229.6,229.6,229.6,191.0,4.0,229.6
PAYC,2025-06-30 14:41:00+00:00,228.45,228.45,228.45,228.45,270.0,6.0,228.45
PAYC,2025-06-30 14:48:00+00:00,228.365,228.365,228.365,228.365,106.0,3.0,228.365
PAYC,2025-06-30 14:59:00+00:00,228.38,228.38,228.38,228.38,106.0,3.0,228.38
PAYC,2025-06-30 15:10:00+00:00,228.595,228.595,228.595,228.595,146.0,6.0,228.595
PAYC,2025-06-30 15:19:00+00:00,228.655,228.655,228.655,228.655,100.0,1.0,228.655
PAYC,2025-06-30 15:25:00+00:00,228.57,228.57,228.57,228.57,120.0,3.0,228.57
PAYC,2025-06-30 15:38:00+00:00,228.725,228.725,228.725,228.725,150.0,2.0,228.725
PAYC,2025-06-30 16:36:00+00:00,227.88,227.88,227.88,227.88,171.0,3.0,227.88
PAYC,2025-06-30 16:41:00+00:00,227.95,227.95,227.95,227.95,138.0,3.0,227.95
PAYC,2025-06-30 16:58:00+00:00,228.15,228.15,228.15,228.15,110.0,2.0,228.15
PAYC,2025-06-30 17:00:00+00:00,228.195,228.195,228.195,228.195,100.0,1.0,228.195
PAYC,2025-06-30 17:04:00+00:00,227.85,227.85,227.85,227.85,105.0,2.0,227.85
PAYC,2025-06-30 17:10:00+00:00,228.11,228.11,228.11,228.11,122.0,3.0,228.11
PAYC,2025-06-30 17:20:00+00:00,228.23,228.23,228.23,228.23,308.0,17.0,228.23
PAYC,2025-06-30 17:25:00+00:00,228.92,228.92,228.92,228.92,103.0,2.0,228.92
PAYC,2025-06-30 17:39:00+00:00,229.08,229.08,229.08,229.08,159.0,11.0,229.08
PAYC,2025-06-30 17:40:00+00:00,229.085,229.085,229.085,229.085,425.0,12.0,229.085
PAYC,2025-06-30 17:41:00+00:00,228.91,229.1,228.91,229.1,347.0,9.0,229.005
PAYC,2025-06-30 17:53:00+00:00,229.905,229.905,229.905,229.905,117.0,5.0,229.905
PAYC,2025-06-30 17:58:00+00:00,229.69,229.69,229.69,229.69,176.0,4.0,229.69
PAYC,2025-06-30 18:15:00+00:00,230.04,230.04,230.04,230.04,115.0,2.0,230.04
PAYC,2025-06-30 18:23:00+00:00,230.27,230.27,230.27,230.27,130.0,3.0,230.27
PAYC,2025-06-30 18:27:00+00:00,230.215,230.215,230.215,230.215,101.0,2.0,230.215
PAYC,2025-06-30 18:31:00+00:00,230.04,230.04,230.04,230.04,135.0,8.0,230.04
PAYC,2025-06-30 18:34:00+00:00,229.9,229.9,229.9,229.9,139.0,3.0,229.9
PAYC,2025-06-30 18:37:00+00:00,229.78,229.81,229.78,229.81,250.0,4.0,229.795
PAYC,2025-06-30 18:45:00+00:00,230.085,230.085,230.085,230.085,112.0,2.0,230.085
PAYC,2025-06-30 18:49:00+00:00,230.205,230.205,230.205,230.205,100.0,1.0,230.205
PAYC,2025-06-30 19:09:00+00:00,230.11,230.11,230.11,230.11,294.0,9.0,230.11
PAYC,2025-06-30 19:14:00+00:00,230.48,230.48,230.48,230.48,100.0,1.0,230.48
PAYC,2025-06-30 19:19:00+00:00,230.625,230.625,230.56,230.56,214.0,7.0,230.5925
PAYC,2025-06-30 19:27:00+00:00,230.42,230.42,230.42,230.42,154.0,9.0,230.42
PAYC,2025-06-30 19:29:00+00:00,230.435,230.435,230.435,230.435,101.0,2.0,230.435
PAYC,2025-06-30 19:31:00+00:00,230.425,230.44,230.425,230.44,295.0,7.0,230.4325
PAYC,2025-06-30 19:33:00+00:00,230.55,230.6,230.55,230.6,205.0,3.0,230.575
PAYC,2025-06-30 19:43:00+00:00,230.73,230.73,230.73,230.73,279.0,5.0,230.73
PAYC,2025-06-30 19:48:00+00:00,230.945,230.945,230.945,230.945,360.0,15.0,230.945
PAYC,2025-06-30 19:49:00+00:00,230.6,230.6,230.6,230.6,186.0,10.0,230.6
PAYC,2025-06-30 19:50:00+00:00,230.73,230.73,230.73,230.73,473.0,10.0,230.73
PAYC,2025-06-30 19:54:00+00:00,231.29,231.29,231.29,231.29,125.0,3.0,231.29
PAYC,2025-06-30 19:55:00+00:00,231.505,231.505,231.505,231.505,162.0,7.0,231.505
PAYC,2025-06-30 19:56:00+00:00,231.4,231.4,231.4,231.4,235.0,18.0,231.4
PAYC,2025-06-30 19:57:00+00:00,231.41,231.41,231.41,231.41,426.0,21.0,231.41
PAYC,2025-06-30 19:59:00+00:00,231.435,231.435,231.435,231.435,815.0,53.0,231.435
PAYC,2025-07-01 14:06:00+00:00,229.39,229.39,229.39,229.39,160.0,3.0,229.39
PAYC,2025-07-01 14:11:00+00:00,228.49,228.49,228.49,228.49,125.0,2.0,228.49
PAYC,2025-07-01 14:13:00+00:00,228.91,228.91,228.91,228.91,359.0,8.0,228.91
PAYC,2025-07-01 14:15:00+00:00,229.23,229.23,229.23,229.23,299.0,9.0,229.23
PAYC,2025-07-01 14:19:00+00:00,230.01,230.01,230.01,230.01,200.0,3.0,230.01
PAYC,2025-07-01 14:40:00+00:00,231.24,231.24,231.24,231.24,225.0,3.0,231.24
PAYC,2025-07-01 14:47:00+00:00,230.8,230.8,230.8,230.8,100.0,1.0,230.8
PAYC,2025-07-01 14:55:00+00:00,231.37,231.49,231.37,231.49,462.0,6.0,231.43
PAYC,2025-07-01 14:56:00+00:00,231.425,231.51,230.985,230.985,1139.0,24.0,231.321429
PAYC,2025-07-01 14:57:00+00:00,230.92,230.95,230.92,230.95,201.0,3.0,230.935
PAYC,2025-07-01 14:58:00+00:00,230.845,230.845,230.46,230.46,660.0,11.0,230.674341
PAYC,2025-07-01 14:59:00+00:00,230.375,230.75,230.375,230.75,720.0,12.0,230.675
PAYC,2025-07-01 15:01:00+00:00,230.96,230.96,230.8,230.8,386.0,7.0,230.88
PAYC,2025-07-01 15:04:00+00:00,231.32,231.34,231.32,231.34,301.0,4.0,231.33
PAYC,2025-07-01 15:08:00+00:00,230.04,230.04,230.04,230.04,225.0,6.0,230.04
PAYC,2025-07-01 15:11:00+00:00,230.12,230.12,230.12,230.12,202.0,6.0,230.12
PAYC,2025-07-01 15:14:00+00:00,230.75,230.75,230.75,230.75,300.0,4.0,230.75
PAYC,2025-07-01 15:17:00+00:00,231.25,231.28,231.25,231.28,221.0,4.0,231.265
PAYC,2025-07-01 15:19:00+00:00,231.45,231.45,231.45,231.45,100.0,1.0,231.45
PAYC,2025-07-01 15:20:00+00:00,231.62,231.62,231.62,231.62,100.0,1.0,231.62
PAYC,2025-07-01 15:21:00+00:00,232.075,232.075,232.075,232.075,100.0,1.0,232.075
PAYC,2025-07-01 15:26:00+00:00,231.91,231.91,231.91,231.91,355.0,5.0,231.91
PAYC,2025-07-01 15:27:00+00:00,232.22,232.22,232.22,232.22,286.0,5.0,232.22
PAYC,2025-07-01 15:28:00+00:00,232.2,232.2,232.2,232.2,121.0,5.0,232.2
PAYC,2025-07-01 15:35:00+00:00,232.555,232.555,232.555,232.555,255.0,8.0,232.555
PAYC,2025-07-01 15:36:00+00:00,232.83,232.83,232.83,232.83,327.0,6.0,232.83
PAYC,2025-07-01 15:38:00+00:00,233.235,233.235,233.235,233.235,2002.0,36.0,233.235
PAYC,2025-07-01 15:40:00+00:00,233.135,233.135,233.135,233.135,396.0,8.0,233.135
PAYC,2025-07-01 15:41:00+00:00,233.29,233.29,233.29,233.29,200.0,4.0,233.29
PAYC,2025-07-01 15:46:00+00:00,233.47,233.47,233.41,233.41,1726.0,21.0,233.443119
PAYC,2025-07-01 15:48:00+00:00,233.41,233.41,233.405,233.405,341.0,6.0,233.407069
PAYC,2025-07-01 15:49:00+00:00,233.405,233.405,233.405,233.405,369.0,12.0,233.405
PAYC,2025-07-01 15:51:00+00:00,233.61,233.62,233.61,233.62,540.0,15.0,233.616667
PAYC,2025-07-01 15:55:00+00:00,233.74,233.74,233.74,233.74,447.0,11.0,233.74
PAYC,2025-07-01 15:57:00+00:00,234.075,234.075,234.07,234.07,685.0,11.0,234.071
PAYC,2025-07-01 15:58:00+00:00,234.28,234.28,234.28,234.28,110.0,3.0,234.28
PAYC,2025-07-01 15:59:00+00:00,234.555,234.585,234.48,234.48,578.0,15.0,234.537508
PAYC,2025-07-01 16:00:00+00:00,234.59,234.59,234.55,234.575,2980.0,68.0,234.574286
PAYC,2025-07-01 16:02:00+00:00,234.62,234.62,234.62,234.62,1119.0,19.0,234.62
PAYC,2025-07-01 16:06:00+00:00,234.765,234.765,234.625,234.625,968.0,24.0,234.737
PAYC,2025-07-01 16:08:00+00:00,234.87,234.87,234.87,234.87,209.0,7.0,234.87
PAYC,2025-07-01 16:12:00+00:00,235.0,235.0,235.0,235.0,125.0,2.0,235.0
PAYC,2025-07-01 16:15:00+00:00,235.525,235.525,235.525,235.525,228.0,3.0,235.525
PAYC,2025-07-01 16:21:00+00:00,235.625,235.625,235.475,235.475,2363.0,44.0,235.606459
PAYC,2025-07-01 16:26:00+00:00,234.99,235.055,234.99,235.055,751.0,17.0,235.01875
PAYC,2025-07-01 16:27:00+00:00,234.87,234.87,234.87,234.87,532.0,19.0,234.87
PAYC,2025-07-01 16:40:00+00:00,235.155,235.155,235.155,235.155,327.0,6.0,235.155
PAYC,2025-07-01 16:43:00+00:00,234.79,234.79,234.79,234.79,105.0,2.0,234.79
PAYC,2025-07-01 16:49:00+00:00,234.35,234.35,234.35,234.35,106.0,2.0,234.35
PAYC,2025-07-01 16:54:00+00:00,234.235,234.235,234.235,234.235,102.0,2.0,234.235
PAYC,2025-07-01 16:55:00+00:00,234.47,234.47,234.47,234.47,133.0,3.0,234.47
PAYC,2025-07-01 16:57:00+00:00,234.79,234.79,234.79,234.79,100.0,1.0,234.79
PAYC,2025-07-01 17:00:00+00:00,234.4,234.4,234.39,234.39,279.0,6.0,234.395
PAYC,2025-07-01 17:05:00+00:00,234.015,234.015,234.015,234.015,100.0,1.0,234.015
PAYC,2025-07-01 17:09:00+00:00,233.78,233.78,233.78,233.78,113.0,6.0,233.78
PAYC,2025-07-01 17:25:00+00:00,234.47,234.56,234.47,234.56,312.0,8.0,234.515
