symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PNC,2025-06-30 13:32:00+00:00,187.02,187.02,186.74,186.74,438.0,5.0,186.89
PNC,2025-06-30 13:34:00+00:00,186.615,186.615,186.615,186.615,100.0,1.0,186.615
PNC,2025-06-30 13:35:00+00:00,186.945,186.945,186.915,186.915,400.0,3.0,186.9375
PNC,2025-06-30 13:37:00+00:00,186.895,186.96,186.895,186.96,201.0,3.0,186.9275
PNC,2025-06-30 13:38:00+00:00,187.02,187.02,187.02,187.02,150.0,3.0,187.02
PNC,2025-06-30 13:39:00+00:00,186.97,187.1,186.97,187.1,300.0,5.0,187.035
PNC,2025-06-30 13:44:00+00:00,186.73,186.73,186.73,186.73,100.0,1.0,186.73
PNC,2025-06-30 13:45:00+00:00,187.07,187.07,187.07,187.07,123.0,4.0,187.07
PNC,2025-06-30 13:46:00+00:00,187.145,187.145,187.145,187.145,100.0,1.0,187.145
PNC,2025-06-30 13:47:00+00:00,187.245,187.245,187.17,187.17,305.0,4.0,187.205
PNC,2025-06-30 13:49:00+00:00,187.59,187.65,187.515,187.515,390.0,5.0,187.585
PNC,2025-06-30 13:57:00+00:00,187.29,187.32,187.29,187.32,254.0,7.0,187.305
PNC,2025-06-30 13:58:00+00:00,187.23,187.23,187.23,187.23,140.0,4.0,187.23
PNC,2025-06-30 13:59:00+00:00,187.21,187.27,187.21,187.27,1214.0,19.0,187.245263
PNC,2025-06-30 14:00:00+00:00,187.155,187.155,187.155,187.155,240.0,5.0,187.155
PNC,2025-06-30 14:01:00+00:00,187.15,187.15,187.12,187.14,397.0,16.0,187.136667
PNC,2025-06-30 14:02:00+00:00,187.275,187.275,187.275,187.275,219.0,6.0,187.275
PNC,2025-06-30 14:03:00+00:00,187.13,187.17,187.13,187.16,1850.0,24.0,187.148467
PNC,2025-06-30 14:05:00+00:00,187.07,187.1,187.07,187.1,732.0,7.0,187.08827
PNC,2025-06-30 14:06:00+00:00,186.96,186.96,186.96,186.96,200.0,8.0,186.96
PNC,2025-06-30 14:07:00+00:00,187.11,187.11,187.11,187.11,129.0,2.0,187.11
PNC,2025-06-30 14:08:00+00:00,187.08,187.08,186.99,187.03,1966.0,26.0,187.047337
PNC,2025-06-30 14:09:00+00:00,187.035,187.035,187.0,187.005,558.0,8.0,187.022
PNC,2025-06-30 14:10:00+00:00,186.975,186.975,186.975,186.975,101.0,2.0,186.975
PNC,2025-06-30 14:11:00+00:00,186.95,186.97,186.95,186.97,477.0,6.0,186.962222
PNC,2025-06-30 14:14:00+00:00,187.035,187.035,186.99,186.99,720.0,9.0,187.0
PNC,2025-06-30 14:17:00+00:00,187.04,187.04,187.04,187.04,140.0,3.0,187.04
PNC,2025-06-30 14:20:00+00:00,187.18,187.18,187.18,187.18,161.0,6.0,187.18
PNC,2025-06-30 14:23:00+00:00,187.24,187.25,187.24,187.25,236.0,6.0,187.245
PNC,2025-06-30 14:46:00+00:00,187.31,187.31,187.31,187.31,238.0,3.0,187.31
PNC,2025-06-30 14:47:00+00:00,187.26,187.26,187.26,187.26,238.0,5.0,187.26
PNC,2025-06-30 14:50:00+00:00,187.38,187.38,187.38,187.38,138.0,2.0,187.38
PNC,2025-06-30 14:52:00+00:00,187.24,187.24,187.24,187.24,218.0,6.0,187.24
PNC,2025-06-30 15:03:00+00:00,187.07,187.07,187.07,187.07,254.0,6.0,187.07
PNC,2025-06-30 15:06:00+00:00,187.07,187.07,187.07,187.07,151.0,5.0,187.07
PNC,2025-06-30 15:12:00+00:00,186.935,186.935,186.935,186.935,100.0,1.0,186.935
PNC,2025-06-30 15:13:00+00:00,186.945,186.945,186.875,186.875,746.0,16.0,186.925
PNC,2025-06-30 15:15:00+00:00,186.875,186.9,186.875,186.9,272.0,3.0,186.885081
PNC,2025-06-30 15:16:00+00:00,186.96,186.96,186.96,186.96,243.0,8.0,186.96
PNC,2025-06-30 15:18:00+00:00,187.02,187.02,187.02,187.02,100.0,1.0,187.02
PNC,2025-06-30 15:20:00+00:00,187.06,187.06,187.06,187.06,113.0,4.0,187.06
PNC,2025-06-30 15:34:00+00:00,187.55,187.55,187.55,187.55,172.0,7.0,187.55
PNC,2025-06-30 15:40:00+00:00,187.5,187.5,187.5,187.5,200.0,3.0,187.5
PNC,2025-06-30 15:45:00+00:00,187.565,187.565,187.55,187.55,262.0,4.0,187.5575
PNC,2025-06-30 15:52:00+00:00,187.57,187.59,187.53,187.545,445.0,6.0,187.55875
PNC,2025-06-30 15:54:00+00:00,187.44,187.44,187.44,187.44,259.0,8.0,187.44
PNC,2025-06-30 15:58:00+00:00,187.37,187.38,187.37,187.38,315.0,6.0,187.374
PNC,2025-06-30 15:59:00+00:00,187.365,187.395,187.365,187.395,300.0,2.0,187.375
PNC,2025-06-30 16:00:00+00:00,187.43,187.43,187.38,187.38,308.0,4.0,187.413333
PNC,2025-06-30 16:01:00+00:00,187.385,187.385,187.35,187.35,232.0,3.0,187.3675
PNC,2025-06-30 16:02:00+00:00,187.24,187.24,187.24,187.24,343.0,5.0,187.24
PNC,2025-06-30 16:03:00+00:00,187.175,187.255,187.175,187.255,851.0,20.0,187.221457
PNC,2025-06-30 16:04:00+00:00,187.3,187.3,187.3,187.3,124.0,2.0,187.3
PNC,2025-06-30 16:08:00+00:00,187.39,187.39,187.39,187.39,254.0,5.0,187.39
PNC,2025-06-30 16:12:00+00:00,187.41,187.41,187.41,187.41,102.0,2.0,187.41
PNC,2025-06-30 16:13:00+00:00,187.48,187.48,187.48,187.48,296.0,8.0,187.48
PNC,2025-06-30 16:16:00+00:00,187.465,187.465,187.465,187.465,102.0,2.0,187.465
PNC,2025-06-30 16:19:00+00:00,187.4,187.4,187.4,187.4,117.0,3.0,187.4
PNC,2025-06-30 16:27:00+00:00,187.36,187.39,187.36,187.39,312.0,5.0,187.375
PNC,2025-06-30 16:28:00+00:00,187.33,187.33,187.33,187.33,119.0,5.0,187.33
PNC,2025-06-30 16:30:00+00:00,187.335,187.39,187.335,187.39,591.0,15.0,187.37625
PNC,2025-06-30 16:32:00+00:00,187.395,187.395,187.38,187.38,405.0,6.0,187.39
PNC,2025-06-30 16:36:00+00:00,187.45,187.45,187.45,187.45,112.0,2.0,187.45
PNC,2025-06-30 16:37:00+00:00,187.56,187.56,187.56,187.56,300.0,3.0,187.56
PNC,2025-06-30 16:49:00+00:00,187.57,187.57,187.57,187.57,100.0,1.0,187.57
PNC,2025-06-30 16:51:00+00:00,187.57,187.57,187.57,187.57,130.0,2.0,187.57
PNC,2025-06-30 17:10:00+00:00,187.015,187.015,187.015,187.015,200.0,2.0,187.015
PNC,2025-06-30 17:11:00+00:00,187.015,187.015,186.94,186.94,391.0,7.0,186.9775
PNC,2025-06-30 17:16:00+00:00,186.79,186.8,186.79,186.79,513.0,11.0,186.793333
PNC,2025-06-30 17:20:00+00:00,186.87,186.87,186.64,186.73,2452.0,33.0,186.722965
PNC,2025-06-30 17:30:00+00:00,186.42,186.42,186.42,186.42,201.0,2.0,186.42
PNC,2025-06-30 17:31:00+00:00,186.305,186.305,186.305,186.305,281.0,6.0,186.305
PNC,2025-06-30 17:32:00+00:00,186.15,186.15,186.15,186.15,387.0,18.0,186.15
PNC,2025-06-30 17:33:00+00:00,186.285,186.285,186.24,186.24,223.0,4.0,186.2625
PNC,2025-06-30 17:35:00+00:00,186.28,186.3,186.28,186.3,362.0,8.0,186.29
PNC,2025-06-30 17:38:00+00:00,186.53,186.53,186.46,186.46,200.0,2.0,186.495
PNC,2025-06-30 17:39:00+00:00,186.45,186.45,186.45,186.45,200.0,3.0,186.45
PNC,2025-06-30 17:45:00+00:00,186.5,186.5,186.33,186.33,502.0,7.0,186.443333
PNC,2025-06-30 17:50:00+00:00,186.32,186.32,186.28,186.28,316.0,6.0,186.3
PNC,2025-06-30 17:55:00+00:00,186.25,186.25,186.25,186.25,589.0,14.0,186.25
PNC,2025-06-30 17:57:00+00:00,185.79,185.79,185.79,185.79,141.0,3.0,185.79
PNC,2025-06-30 18:12:00+00:00,185.92,185.92,185.92,185.92,104.0,2.0,185.92
PNC,2025-06-30 18:14:00+00:00,186.01,186.01,186.01,186.01,118.0,3.0,186.01
PNC,2025-06-30 18:24:00+00:00,186.15,186.15,186.15,186.15,200.0,2.0,186.15
PNC,2025-06-30 18:26:00+00:00,186.14,186.14,186.14,186.14,332.0,5.0,186.14
PNC,2025-06-30 18:27:00+00:00,186.12,186.12,186.12,186.12,175.0,4.0,186.12
PNC,2025-06-30 18:28:00+00:00,186.045,186.045,186.045,186.045,133.0,2.0,186.045
PNC,2025-06-30 18:29:00+00:00,186.08,186.08,186.08,186.08,224.0,6.0,186.08
PNC,2025-06-30 18:31:00+00:00,185.93,185.93,185.93,185.93,189.0,5.0,185.93
PNC,2025-06-30 18:38:00+00:00,186.0,186.01,186.0,186.01,600.0,6.0,186.005
PNC,2025-06-30 18:41:00+00:00,185.95,185.95,185.95,185.95,228.0,4.0,185.95
PNC,2025-06-30 18:43:00+00:00,186.01,186.01,186.01,186.01,170.0,4.0,186.01
PNC,2025-06-30 18:44:00+00:00,186.01,186.06,186.005,186.06,729.0,12.0,186.0325
PNC,2025-06-30 18:45:00+00:00,186.1,186.13,186.09,186.13,866.0,24.0,186.112
PNC,2025-06-30 18:46:00+00:00,186.08,186.08,186.08,186.08,339.0,10.0,186.08
PNC,2025-06-30 18:47:00+00:00,186.12,186.12,186.09,186.09,517.0,16.0,186.11
PNC,2025-06-30 18:49:00+00:00,186.23,186.23,186.23,186.23,529.0,18.0,186.23
PNC,2025-06-30 18:50:00+00:00,186.26,186.26,186.26,186.26,349.0,10.0,186.26
PNC,2025-06-30 18:51:00+00:00,186.34,186.34,186.34,186.34,201.0,3.0,186.34
