symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PNW,2025-06-30 13:31:00+00:00,88.4,88.4,88.4,88.4,238.0,2.0,88.4
PNW,2025-06-30 13:33:00+00:00,88.485,88.485,88.485,88.485,104.0,2.0,88.485
PNW,2025-06-30 13:56:00+00:00,88.63,88.63,88.63,88.63,100.0,1.0,88.63
PNW,2025-06-30 14:08:00+00:00,88.395,88.395,88.395,88.395,218.0,2.0,88.395
PNW,2025-06-30 14:22:00+00:00,88.42,88.42,88.42,88.42,103.0,2.0,88.42
PNW,2025-06-30 14:39:00+00:00,88.47,88.47,88.47,88.47,244.0,4.0,88.47
PNW,2025-06-30 14:45:00+00:00,88.34,88.34,88.34,88.34,100.0,1.0,88.34
PNW,2025-06-30 14:57:00+00:00,88.54,88.57,88.54,88.57,219.0,4.0,88.555
PNW,2025-06-30 15:01:00+00:00,88.65,88.65,88.65,88.65,200.0,2.0,88.65
PNW,2025-06-30 15:04:00+00:00,88.73,88.73,88.73,88.73,114.0,3.0,88.73
PNW,2025-06-30 15:06:00+00:00,88.67,88.67,88.67,88.67,100.0,1.0,88.67
PNW,2025-06-30 15:28:00+00:00,88.57,88.57,88.57,88.57,243.0,4.0,88.57
PNW,2025-06-30 15:33:00+00:00,88.61,88.61,88.61,88.61,208.0,5.0,88.61
PNW,2025-06-30 15:35:00+00:00,88.7,88.7,88.68,88.68,253.0,5.0,88.69
PNW,2025-06-30 15:36:00+00:00,88.65,88.65,88.65,88.65,138.0,2.0,88.65
PNW,2025-06-30 15:38:00+00:00,88.74,88.74,88.74,88.74,222.0,3.0,88.74
PNW,2025-06-30 15:39:00+00:00,88.8,88.8,88.8,88.8,196.0,4.0,88.8
PNW,2025-06-30 15:43:00+00:00,88.8,88.8,88.785,88.785,1694.0,11.0,88.788977
PNW,2025-06-30 15:44:00+00:00,88.8,88.8,88.8,88.8,430.0,7.0,88.8
PNW,2025-06-30 15:47:00+00:00,88.795,88.8,88.795,88.8,1572.0,11.0,88.799621
PNW,2025-06-30 15:48:00+00:00,88.77,88.77,88.74,88.74,803.0,10.0,88.758571
PNW,2025-06-30 15:49:00+00:00,88.74,88.74,88.74,88.74,106.0,2.0,88.74
PNW,2025-06-30 15:50:00+00:00,88.79,88.79,88.79,88.79,195.0,7.0,88.79
PNW,2025-06-30 15:51:00+00:00,88.81,88.81,88.81,88.81,200.0,3.0,88.81
PNW,2025-06-30 15:52:00+00:00,88.94,88.95,88.94,88.95,539.0,14.0,88.943333
PNW,2025-06-30 15:55:00+00:00,88.83,88.83,88.83,88.83,219.0,4.0,88.83
