symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PWR,2025-06-30 13:28:00+00:00,378.69,378.69,378.69,378.69,100.0,1.0,378.69
PWR,2025-06-30 13:30:00+00:00,375.0,375.0,371.19,372.48,1480.0,18.0,372.837692
PWR,2025-06-30 13:31:00+00:00,369.35,370.495,369.35,370.495,712.0,7.0,369.805
PWR,2025-06-30 13:32:00+00:00,371.37,372.13,371.37,372.13,438.0,13.0,371.887853
PWR,2025-06-30 13:33:00+00:00,371.84,371.84,371.84,371.84,559.0,16.0,371.84
PWR,2025-06-30 13:35:00+00:00,370.53,370.53,370.53,370.53,962.0,20.0,370.53
PWR,2025-06-30 13:36:00+00:00,372.295,372.295,371.065,371.27,1213.0,23.0,371.78
PWR,2025-06-30 13:37:00+00:00,371.355,372.775,371.355,372.775,868.0,9.0,371.882011
PWR,2025-06-30 13:38:00+00:00,373.71,373.71,373.71,373.71,339.0,9.0,373.71
PWR,2025-06-30 13:39:00+00:00,373.485,373.485,373.48,373.48,416.0,6.0,373.483361
PWR,2025-06-30 13:40:00+00:00,374.22,374.84,374.22,374.84,374.0,6.0,374.436667
PWR,2025-06-30 13:43:00+00:00,375.99,375.99,375.99,375.99,191.0,4.0,375.99
PWR,2025-06-30 13:44:00+00:00,376.005,376.005,375.43,375.43,264.0,11.0,375.7175
PWR,2025-06-30 13:47:00+00:00,373.615,374.31,373.615,374.31,502.0,13.0,373.9625
PWR,2025-06-30 13:50:00+00:00,374.7,374.7,374.7,374.7,512.0,19.0,374.7
PWR,2025-06-30 13:51:00+00:00,374.83,374.83,374.83,374.83,231.0,8.0,374.83
PWR,2025-06-30 13:52:00+00:00,375.28,375.28,375.28,375.28,177.0,3.0,375.28
PWR,2025-06-30 13:53:00+00:00,375.355,375.355,375.355,375.355,195.0,1.0,375.355
PWR,2025-06-30 13:54:00+00:00,375.355,375.355,375.355,375.355,185.0,8.0,375.355
PWR,2025-06-30 13:55:00+00:00,376.39,376.39,376.39,376.39,131.0,5.0,376.39
PWR,2025-06-30 13:56:00+00:00,376.465,376.465,376.465,376.465,109.0,7.0,376.465
PWR,2025-06-30 13:57:00+00:00,376.44,376.44,376.44,376.44,126.0,6.0,376.44
PWR,2025-06-30 13:58:00+00:00,376.475,376.885,376.475,376.81,322.0,8.0,376.723333
PWR,2025-06-30 13:59:00+00:00,377.29,377.29,377.29,377.29,316.0,17.0,377.29
PWR,2025-06-30 14:00:00+00:00,377.34,377.34,377.34,377.34,294.0,11.0,377.34
PWR,2025-06-30 14:02:00+00:00,377.1,377.26,377.1,377.26,244.0,7.0,377.18
PWR,2025-06-30 14:03:00+00:00,377.7,377.78,377.56,377.56,412.0,14.0,377.68
PWR,2025-06-30 14:04:00+00:00,377.78,377.78,377.78,377.78,142.0,5.0,377.78
PWR,2025-06-30 14:07:00+00:00,376.62,376.62,376.51,376.51,302.0,5.0,376.565
PWR,2025-06-30 14:08:00+00:00,376.33,376.33,376.33,376.33,223.0,10.0,376.33
PWR,2025-06-30 14:09:00+00:00,376.145,376.4,376.145,376.4,526.0,11.0,376.2725
PWR,2025-06-30 14:12:00+00:00,376.385,376.385,376.385,376.385,168.0,9.0,376.385
