symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ROST,2025-06-30 13:30:00+00:00,128.225,128.65,128.225,128.65,300.0,2.0,128.366667
ROST,2025-06-30 13:31:00+00:00,128.65,128.65,128.65,128.65,119.0,2.0,128.65
ROST,2025-06-30 13:32:00+00:00,128.65,128.65,128.23,128.23,519.0,10.0,128.51
ROST,2025-06-30 13:33:00+00:00,127.84,127.84,127.84,127.84,101.0,2.0,127.84
ROST,2025-06-30 13:35:00+00:00,128.19,128.19,128.19,128.19,251.0,3.0,128.19
ROST,2025-06-30 13:36:00+00:00,128.125,128.19,128.125,128.19,550.0,5.0,128.1575
ROST,2025-06-30 13:39:00+00:00,127.93,127.95,127.91,127.95,485.0,8.0,127.93
ROST,2025-06-30 13:41:00+00:00,128.06,128.06,128.06,128.06,100.0,1.0,128.06
ROST,2025-06-30 13:45:00+00:00,127.99,127.99,127.99,127.99,140.0,5.0,127.99
ROST,2025-06-30 13:47:00+00:00,128.08,128.08,128.08,128.08,125.0,3.0,128.08
ROST,2025-06-30 13:50:00+00:00,127.88,127.88,127.88,127.88,201.0,8.0,127.88
ROST,2025-06-30 13:52:00+00:00,127.745,127.745,127.69,127.69,329.0,5.0,127.708333
ROST,2025-06-30 13:58:00+00:00,128.17,128.17,128.17,128.17,100.0,1.0,128.17
ROST,2025-06-30 14:01:00+00:00,127.955,127.955,127.955,127.955,240.0,3.0,127.955
ROST,2025-06-30 14:03:00+00:00,127.97,127.97,127.97,127.97,268.0,11.0,127.97
ROST,2025-06-30 14:09:00+00:00,128.24,128.24,128.24,128.24,105.0,2.0,128.24
ROST,2025-06-30 14:10:00+00:00,128.24,128.24,128.24,128.24,317.0,10.0,128.24
ROST,2025-06-30 14:11:00+00:00,128.255,128.255,128.255,128.255,151.0,3.0,128.255
ROST,2025-06-30 14:13:00+00:00,128.095,128.095,128.095,128.095,325.0,5.0,128.095
ROST,2025-06-30 14:16:00+00:00,128.11,128.11,128.11,128.11,151.0,3.0,128.11
ROST,2025-06-30 14:19:00+00:00,127.805,127.805,127.805,127.805,151.0,3.0,127.805
ROST,2025-06-30 14:22:00+00:00,127.64,127.64,127.64,127.64,201.0,5.0,127.64
ROST,2025-06-30 14:23:00+00:00,127.595,127.64,127.595,127.605,856.0,13.0,127.605
ROST,2025-06-30 14:25:00+00:00,127.605,127.605,127.605,127.605,380.0,8.0,127.605
ROST,2025-06-30 14:26:00+00:00,127.4,127.4,127.39,127.39,250.0,3.0,127.395
ROST,2025-06-30 14:28:00+00:00,127.39,127.39,127.39,127.39,342.0,13.0,127.39
ROST,2025-06-30 14:29:00+00:00,127.5,127.51,127.5,127.51,330.0,4.0,127.503333
ROST,2025-06-30 14:34:00+00:00,127.065,127.065,127.065,127.065,116.0,4.0,127.065
ROST,2025-06-30 14:35:00+00:00,127.115,127.115,127.115,127.115,132.0,2.0,127.115
ROST,2025-06-30 14:36:00+00:00,127.09,127.14,127.09,127.135,1999.0,24.0,127.117894
ROST,2025-06-30 14:45:00+00:00,127.21,127.21,127.21,127.21,259.0,5.0,127.21
ROST,2025-06-30 14:52:00+00:00,127.32,127.32,127.32,127.32,200.0,3.0,127.32
ROST,2025-06-30 14:56:00+00:00,127.295,127.295,127.295,127.295,140.0,4.0,127.295
ROST,2025-06-30 14:58:00+00:00,127.2,127.2,127.2,127.2,162.0,4.0,127.2
ROST,2025-06-30 15:00:00+00:00,127.14,127.145,127.14,127.145,200.0,2.0,127.1425
ROST,2025-06-30 15:02:00+00:00,127.09,127.09,127.09,127.09,400.0,4.0,127.09
ROST,2025-06-30 15:04:00+00:00,127.125,127.125,127.125,127.125,698.0,2.0,127.125
ROST,2025-06-30 15:05:00+00:00,127.135,127.135,127.135,127.135,238.0,2.0,127.135
ROST,2025-06-30 15:07:00+00:00,127.175,127.175,127.175,127.175,288.0,2.0,127.175
ROST,2025-06-30 15:09:00+00:00,127.13,127.14,127.12,127.12,1955.0,18.0,127.123072
ROST,2025-06-30 15:12:00+00:00,127.21,127.21,127.205,127.205,712.0,7.0,127.205702
ROST,2025-06-30 15:15:00+00:00,127.28,127.28,127.28,127.28,298.0,4.0,127.28
ROST,2025-06-30 15:16:00+00:00,127.32,127.325,127.32,127.32,398.0,4.0,127.322375
ROST,2025-06-30 15:20:00+00:00,127.26,127.33,127.24,127.33,447.0,7.0,127.276667
ROST,2025-06-30 15:24:00+00:00,127.48,127.48,127.48,127.48,101.0,2.0,127.48
ROST,2025-06-30 15:25:00+00:00,127.495,127.495,127.495,127.495,152.0,2.0,127.495
ROST,2025-06-30 15:33:00+00:00,127.28,127.28,127.28,127.28,160.0,3.0,127.28
ROST,2025-06-30 15:34:00+00:00,127.255,127.255,127.255,127.255,2724.0,5.0,127.255
ROST,2025-06-30 15:35:00+00:00,127.26,127.26,127.255,127.255,200.0,2.0,127.2575
ROST,2025-06-30 15:36:00+00:00,127.225,127.225,127.225,127.225,318.0,3.0,127.225
ROST,2025-06-30 15:39:00+00:00,127.065,127.065,127.065,127.065,364.0,4.0,127.065
ROST,2025-06-30 15:40:00+00:00,127.035,127.035,127.035,127.035,236.0,4.0,127.035
ROST,2025-06-30 15:44:00+00:00,126.98,127.02,126.98,127.0,400.0,4.0,127.0
ROST,2025-06-30 15:45:00+00:00,127.03,127.03,127.025,127.025,1424.0,16.0,127.028214
ROST,2025-06-30 15:48:00+00:00,127.085,127.085,127.085,127.085,100.0,1.0,127.085
ROST,2025-06-30 15:52:00+00:00,127.035,127.035,127.035,127.035,161.0,2.0,127.035
ROST,2025-06-30 15:54:00+00:00,127.03,127.03,127.03,127.03,102.0,2.0,127.03
ROST,2025-06-30 15:57:00+00:00,126.98,127.03,126.98,127.03,400.0,4.0,127.01
ROST,2025-06-30 15:58:00+00:00,127.03,127.03,127.03,127.03,112.0,2.0,127.03
ROST,2025-06-30 15:59:00+00:00,126.9,126.9,126.895,126.895,385.0,9.0,126.896667
ROST,2025-06-30 16:01:00+00:00,126.98,126.98,126.98,126.98,111.0,2.0,126.98
ROST,2025-06-30 16:04:00+00:00,126.915,126.915,126.915,126.915,114.0,3.0,126.915
ROST,2025-06-30 16:06:00+00:00,126.98,126.98,126.98,126.98,150.0,2.0,126.98
ROST,2025-06-30 16:08:00+00:00,126.9,126.9,126.9,126.9,115.0,3.0,126.9
ROST,2025-06-30 16:12:00+00:00,126.84,126.84,126.84,126.84,100.0,1.0,126.84
ROST,2025-06-30 16:13:00+00:00,126.89,126.89,126.89,126.89,114.0,2.0,126.89
ROST,2025-06-30 16:15:00+00:00,126.955,126.955,126.955,126.955,322.0,8.0,126.955
ROST,2025-06-30 16:16:00+00:00,126.955,126.955,126.955,126.955,109.0,3.0,126.955
ROST,2025-06-30 16:18:00+00:00,126.97,126.97,126.97,126.97,556.0,13.0,126.97
ROST,2025-06-30 16:19:00+00:00,126.94,126.94,126.94,126.94,373.0,9.0,126.94
ROST,2025-06-30 16:20:00+00:00,126.97,126.97,126.97,126.97,100.0,1.0,126.97
ROST,2025-06-30 16:23:00+00:00,127.02,127.02,127.02,127.02,200.0,2.0,127.02
ROST,2025-06-30 16:25:00+00:00,127.03,127.03,127.03,127.03,220.0,4.0,127.03
ROST,2025-06-30 16:28:00+00:00,127.07,127.07,127.07,127.07,302.0,4.0,127.07
ROST,2025-06-30 16:30:00+00:00,127.0,127.0,127.0,127.0,115.0,3.0,127.0
ROST,2025-06-30 16:31:00+00:00,126.87,126.87,126.87,126.87,257.0,11.0,126.87
ROST,2025-06-30 16:36:00+00:00,126.88,126.94,126.88,126.94,258.0,6.0,126.912973
ROST,2025-06-30 16:47:00+00:00,126.955,126.955,126.955,126.955,303.0,6.0,126.955
ROST,2025-06-30 16:48:00+00:00,126.98,126.98,126.98,126.98,100.0,1.0,126.98
ROST,2025-06-30 16:50:00+00:00,127.01,127.015,127.01,127.015,245.0,5.0,127.0125
ROST,2025-06-30 16:54:00+00:00,127.05,127.065,127.05,127.065,218.0,5.0,127.0575
ROST,2025-06-30 16:56:00+00:00,126.995,126.995,126.995,126.995,234.0,10.0,126.995
ROST,2025-06-30 16:59:00+00:00,126.96,126.96,126.96,126.96,114.0,4.0,126.96
ROST,2025-06-30 17:05:00+00:00,126.92,126.92,126.92,126.92,126.0,3.0,126.92
ROST,2025-06-30 17:13:00+00:00,126.9,126.9,126.9,126.9,115.0,5.0,126.9
ROST,2025-06-30 17:14:00+00:00,126.98,126.98,126.965,126.97,655.0,9.0,126.97
ROST,2025-06-30 17:15:00+00:00,126.98,126.98,126.98,126.98,100.0,1.0,126.98
ROST,2025-06-30 17:17:00+00:00,126.96,126.96,126.95,126.95,202.0,4.0,126.955
ROST,2025-06-30 17:23:00+00:00,126.99,126.99,126.99,126.99,112.0,6.0,126.99
ROST,2025-06-30 17:24:00+00:00,126.98,126.98,126.98,126.98,387.0,7.0,126.98
ROST,2025-06-30 17:26:00+00:00,126.97,127.01,126.97,127.01,501.0,9.0,126.98625
ROST,2025-06-30 17:31:00+00:00,127.09,127.09,127.09,127.09,217.0,13.0,127.09
ROST,2025-06-30 17:34:00+00:00,127.08,127.08,127.075,127.075,316.0,7.0,127.0775
ROST,2025-06-30 17:36:00+00:00,127.155,127.155,127.155,127.155,325.0,4.0,127.155
ROST,2025-06-30 17:38:00+00:00,127.22,127.22,127.22,127.22,233.0,7.0,127.22
ROST,2025-06-30 17:42:00+00:00,127.19,127.2,127.14,127.14,783.0,11.0,127.181429
ROST,2025-06-30 17:45:00+00:00,127.23,127.23,127.215,127.215,246.0,5.0,127.2225
ROST,2025-06-30 17:48:00+00:00,127.19,127.19,127.19,127.19,152.0,4.0,127.19
ROST,2025-06-30 17:50:00+00:00,127.105,127.105,127.1,127.1,207.0,4.0,127.1025
ROST,2025-06-30 17:51:00+00:00,127.06,127.07,127.06,127.07,461.0,6.0,127.062941
ROST,2025-06-30 17:53:00+00:00,127.1,127.1,127.1,127.1,102.0,2.0,127.1
ROST,2025-06-30 17:54:00+00:00,127.1,127.1,127.1,127.1,971.0,11.0,127.1
ROST,2025-06-30 17:55:00+00:00,127.1,127.11,127.08,127.085,1443.0,34.0,127.093876
ROST,2025-06-30 17:56:00+00:00,127.0,127.0,127.0,127.0,138.0,4.0,127.0
ROST,2025-06-30 17:57:00+00:00,126.96,126.96,126.96,126.96,120.0,3.0,126.96
ROST,2025-06-30 17:59:00+00:00,127.105,127.11,127.105,127.11,405.0,5.0,127.108333
ROST,2025-06-30 18:00:00+00:00,127.06,127.06,127.06,127.06,128.0,5.0,127.06
ROST,2025-06-30 18:04:00+00:00,127.085,127.12,127.085,127.12,1602.0,20.0,127.092052
ROST,2025-06-30 18:11:00+00:00,127.18,127.18,127.17,127.17,328.0,11.0,127.175
ROST,2025-06-30 18:12:00+00:00,127.17,127.22,127.17,127.19,1511.0,17.0,127.179667
ROST,2025-06-30 18:14:00+00:00,127.24,127.24,127.22,127.22,622.0,8.0,127.23
ROST,2025-06-30 18:15:00+00:00,127.23,127.23,127.23,127.23,223.0,4.0,127.23
ROST,2025-06-30 18:16:00+00:00,127.225,127.23,127.225,127.23,464.0,11.0,127.227364
ROST,2025-06-30 18:18:00+00:00,127.23,127.23,127.23,127.23,216.0,13.0,127.23
ROST,2025-06-30 18:19:00+00:00,127.21,127.21,127.21,127.21,175.0,3.0,127.21
ROST,2025-06-30 18:20:00+00:00,127.23,127.23,127.23,127.23,424.0,6.0,127.23
ROST,2025-06-30 18:21:00+00:00,127.255,127.255,127.255,127.255,300.0,3.0,127.255
ROST,2025-06-30 18:22:00+00:00,127.26,127.26,127.26,127.26,105.0,2.0,127.26
ROST,2025-06-30 18:23:00+00:00,127.27,127.39,127.27,127.39,517.0,9.0,127.34625
ROST,2025-06-30 18:25:00+00:00,127.31,127.31,127.305,127.305,448.0,10.0,127.30625
ROST,2025-06-30 18:28:00+00:00,127.18,127.18,127.155,127.155,407.0,13.0,127.1675
ROST,2025-06-30 18:31:00+00:00,127.18,127.18,127.13,127.15,497.0,7.0,127.158789
ROST,2025-06-30 18:33:00+00:00,127.03,127.055,127.03,127.055,729.0,13.0,127.043
ROST,2025-06-30 18:35:00+00:00,127.13,127.13,127.13,127.13,205.0,4.0,127.13
ROST,2025-06-30 18:36:00+00:00,127.035,127.06,127.035,127.06,418.0,10.0,127.0475
ROST,2025-06-30 18:37:00+00:00,127.11,127.11,127.11,127.11,150.0,2.0,127.11
ROST,2025-06-30 18:42:00+00:00,127.11,127.11,127.11,127.11,409.0,8.0,127.11
ROST,2025-06-30 18:43:00+00:00,127.135,127.15,127.135,127.15,309.0,6.0,127.1425
ROST,2025-06-30 18:44:00+00:00,127.165,127.165,127.16,127.16,211.0,3.0,127.1625
ROST,2025-06-30 18:45:00+00:00,127.185,127.19,127.185,127.19,508.0,7.0,127.1875
ROST,2025-06-30 18:47:00+00:00,127.21,127.21,127.21,127.21,202.0,6.0,127.21
ROST,2025-06-30 18:50:00+00:00,127.275,127.275,127.275,127.275,219.0,3.0,127.275
ROST,2025-06-30 18:52:00+00:00,127.28,127.28,127.28,127.28,108.0,3.0,127.28
ROST,2025-06-30 18:55:00+00:00,127.23,127.23,127.23,127.23,278.0,9.0,127.23
ROST,2025-06-30 18:56:00+00:00,127.2,127.21,127.2,127.21,215.0,7.0,127.205
ROST,2025-06-30 18:57:00+00:00,127.23,127.25,127.23,127.235,802.0,9.0,127.235
ROST,2025-06-30 19:01:00+00:00,127.25,127.26,127.22,127.22,306.0,5.0,127.243333
ROST,2025-06-30 19:03:00+00:00,127.23,127.23,127.2,127.2,312.0,7.0,127.215
ROST,2025-06-30 19:04:00+00:00,127.26,127.26,127.26,127.26,344.0,8.0,127.26
ROST,2025-06-30 19:08:00+00:00,127.28,127.28,127.28,127.28,213.0,5.0,127.28
ROST,2025-06-30 19:10:00+00:00,127.26,127.26,127.26,127.26,200.0,2.0,127.26
ROST,2025-06-30 19:11:00+00:00,127.25,127.25,127.25,127.25,215.0,3.0,127.25
ROST,2025-06-30 19:13:00+00:00,127.27,127.27,127.27,127.27,395.0,4.0,127.27
ROST,2025-06-30 19:14:00+00:00,127.285,127.285,127.285,127.285,241.0,12.0,127.285
ROST,2025-06-30 19:17:00+00:00,127.17,127.17,127.16,127.16,705.0,5.0,127.161439
ROST,2025-06-30 19:18:00+00:00,127.21,127.21,127.21,127.21,152.0,4.0,127.21
