symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SJM,2025-06-30 13:31:00+00:00,95.645,95.99,95.62,95.99,546.0,8.0,95.81125
SJM,2025-06-30 13:32:00+00:00,95.82,95.82,95.82,95.82,597.0,7.0,95.82
SJM,2025-06-30 13:34:00+00:00,96.2,96.2,96.04,96.04,500.0,7.0,96.1225
SJM,2025-06-30 13:37:00+00:00,96.39,96.5,96.39,96.5,238.0,3.0,96.445
SJM,2025-06-30 13:41:00+00:00,96.525,96.525,96.42,96.42,355.0,5.0,96.49
SJM,2025-06-30 13:42:00+00:00,96.48,96.48,96.48,96.48,104.0,2.0,96.48
SJM,2025-06-30 13:44:00+00:00,96.465,96.465,96.44,96.44,300.0,3.0,96.456667
SJM,2025-06-30 13:45:00+00:00,96.47,96.47,96.47,96.47,105.0,2.0,96.47
SJM,2025-06-30 13:47:00+00:00,96.435,96.435,96.42,96.42,226.0,5.0,96.4275
SJM,2025-06-30 13:49:00+00:00,96.38,96.38,96.33,96.33,300.0,3.0,96.353333
SJM,2025-06-30 13:50:00+00:00,96.245,96.245,96.245,96.245,100.0,1.0,96.245
SJM,2025-06-30 13:51:00+00:00,96.18,96.18,96.18,96.18,100.0,1.0,96.18
SJM,2025-06-30 13:56:00+00:00,96.21,96.27,96.21,96.27,400.0,4.0,96.2275
SJM,2025-06-30 13:58:00+00:00,96.24,96.24,96.24,96.24,300.0,3.0,96.24
SJM,2025-06-30 14:02:00+00:00,96.34,96.34,96.34,96.34,100.0,1.0,96.34
SJM,2025-06-30 14:04:00+00:00,96.5,96.5,96.5,96.5,100.0,1.0,96.5
SJM,2025-06-30 14:05:00+00:00,96.56,96.56,96.56,96.56,100.0,1.0,96.56
SJM,2025-06-30 14:09:00+00:00,96.955,96.955,96.955,96.955,223.0,3.0,96.955
SJM,2025-06-30 14:12:00+00:00,97.045,97.045,97.045,97.045,202.0,4.0,97.045
SJM,2025-06-30 14:14:00+00:00,97.095,97.095,97.095,97.095,155.0,3.0,97.095
SJM,2025-06-30 14:15:00+00:00,97.23,97.23,97.23,97.23,335.0,8.0,97.23
SJM,2025-06-30 14:16:00+00:00,97.22,97.22,97.22,97.22,247.0,7.0,97.22
SJM,2025-06-30 14:20:00+00:00,97.22,97.22,97.22,97.22,100.0,1.0,97.22
SJM,2025-06-30 14:21:00+00:00,97.205,97.205,97.205,97.205,217.0,6.0,97.205
SJM,2025-06-30 14:23:00+00:00,97.22,97.345,97.22,97.345,283.0,4.0,97.2825
SJM,2025-06-30 14:28:00+00:00,97.42,97.42,97.42,97.42,114.0,2.0,97.42
SJM,2025-06-30 14:31:00+00:00,97.485,97.485,97.455,97.455,323.0,4.0,97.465
SJM,2025-06-30 14:32:00+00:00,97.45,97.45,97.45,97.45,103.0,2.0,97.45
SJM,2025-06-30 14:35:00+00:00,97.395,97.395,97.395,97.395,144.0,4.0,97.395
SJM,2025-06-30 14:37:00+00:00,97.35,97.35,97.35,97.35,150.0,6.0,97.35
SJM,2025-06-30 14:39:00+00:00,97.4,97.4,97.39,97.39,304.0,3.0,97.393333
SJM,2025-06-30 14:41:00+00:00,97.42,97.42,97.42,97.42,100.0,1.0,97.42
