symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TAP,2025-06-30 13:30:00+00:00,47.31,47.495,47.31,47.495,681.0,6.0,47.4
TAP,2025-06-30 13:31:00+00:00,47.62,47.62,47.605,47.62,1303.0,11.0,47.61878
TAP,2025-06-30 13:32:00+00:00,47.68,47.68,47.585,47.595,1514.0,11.0,47.645292
TAP,2025-06-30 13:33:00+00:00,47.5,47.5,47.5,47.5,408.0,6.0,47.5
TAP,2025-06-30 13:35:00+00:00,47.68,47.7,47.67,47.7,788.0,16.0,47.685
TAP,2025-06-30 13:36:00+00:00,47.66,47.73,47.66,47.73,842.0,8.0,47.702059
TAP,2025-06-30 13:37:00+00:00,47.73,47.73,47.73,47.73,100.0,1.0,47.73
TAP,2025-06-30 13:38:00+00:00,47.65,47.65,47.65,47.65,1435.0,4.0,47.65
TAP,2025-06-30 13:39:00+00:00,47.64,47.64,47.64,47.64,100.0,1.0,47.64
TAP,2025-06-30 13:40:00+00:00,47.665,47.69,47.66,47.69,2614.0,17.0,47.664456
TAP,2025-06-30 13:41:00+00:00,47.695,47.695,47.695,47.695,263.0,2.0,47.695
TAP,2025-06-30 13:42:00+00:00,47.73,47.73,47.73,47.73,100.0,1.0,47.73
TAP,2025-06-30 13:43:00+00:00,47.63,47.63,47.6,47.6,200.0,2.0,47.615
TAP,2025-06-30 13:45:00+00:00,47.585,47.585,47.585,47.585,305.0,4.0,47.585
TAP,2025-06-30 13:46:00+00:00,47.545,47.545,47.535,47.535,265.0,4.0,47.54
TAP,2025-06-30 13:47:00+00:00,47.57,47.57,47.5,47.5,350.0,3.0,47.528571
TAP,2025-06-30 13:48:00+00:00,47.485,47.485,47.485,47.485,110.0,2.0,47.485
TAP,2025-06-30 13:49:00+00:00,47.505,47.53,47.5,47.53,451.0,6.0,47.51
TAP,2025-06-30 13:50:00+00:00,47.45,47.45,47.41,47.41,485.0,7.0,47.42
TAP,2025-06-30 13:51:00+00:00,47.43,47.44,47.43,47.44,315.0,5.0,47.436667
TAP,2025-06-30 13:52:00+00:00,47.39,47.415,47.39,47.41,383.0,5.0,47.405
TAP,2025-06-30 13:53:00+00:00,47.415,47.415,47.415,47.415,168.0,2.0,47.415
TAP,2025-06-30 13:55:00+00:00,47.37,47.37,47.37,47.37,439.0,8.0,47.37
TAP,2025-06-30 13:56:00+00:00,47.42,47.42,47.37,47.37,243.0,4.0,47.395
TAP,2025-06-30 13:57:00+00:00,47.37,47.39,47.37,47.39,500.0,10.0,47.375747
TAP,2025-06-30 13:59:00+00:00,47.37,47.39,47.37,47.39,326.0,7.0,47.38
TAP,2025-06-30 14:00:00+00:00,47.44,47.44,47.35,47.35,493.0,7.0,47.415
TAP,2025-06-30 14:01:00+00:00,47.41,47.41,47.41,47.41,305.0,6.0,47.41
TAP,2025-06-30 14:02:00+00:00,47.45,47.45,47.45,47.45,214.0,1.0,47.45
TAP,2025-06-30 14:03:00+00:00,47.505,47.505,47.505,47.505,119.0,2.0,47.505
TAP,2025-06-30 14:05:00+00:00,47.54,47.54,47.54,47.54,100.0,1.0,47.54
TAP,2025-06-30 14:06:00+00:00,47.55,47.55,47.535,47.535,308.0,3.0,47.53987
TAP,2025-06-30 14:07:00+00:00,47.575,47.575,47.565,47.565,221.0,4.0,47.57
TAP,2025-06-30 14:08:00+00:00,47.64,47.64,47.605,47.61,827.0,14.0,47.627
TAP,2025-06-30 14:09:00+00:00,47.67,47.705,47.65,47.705,398.0,5.0,47.675
TAP,2025-06-30 14:12:00+00:00,47.695,47.695,47.68,47.68,300.0,3.0,47.688333
TAP,2025-06-30 14:17:00+00:00,47.74,47.74,47.74,47.74,100.0,1.0,47.74
TAP,2025-06-30 14:18:00+00:00,47.73,47.73,47.715,47.715,701.0,4.0,47.718571
TAP,2025-06-30 14:19:00+00:00,47.715,47.75,47.715,47.75,459.0,10.0,47.738333
TAP,2025-06-30 14:20:00+00:00,47.795,47.795,47.78,47.78,713.0,7.0,47.784545
TAP,2025-06-30 14:21:00+00:00,47.78,47.78,47.77,47.77,501.0,5.0,47.772
TAP,2025-06-30 14:24:00+00:00,47.78,47.805,47.78,47.805,200.0,2.0,47.7925
TAP,2025-06-30 14:25:00+00:00,47.78,47.86,47.78,47.86,995.0,19.0,47.834704
TAP,2025-06-30 14:26:00+00:00,47.88,47.96,47.88,47.96,1655.0,14.0,47.922282
TAP,2025-06-30 14:27:00+00:00,47.865,47.865,47.865,47.865,417.0,6.0,47.865
TAP,2025-06-30 14:28:00+00:00,47.855,47.855,47.855,47.855,123.0,2.0,47.855
TAP,2025-06-30 14:29:00+00:00,47.91,47.98,47.905,47.955,993.0,14.0,47.932791
TAP,2025-06-30 14:30:00+00:00,47.94,47.94,47.94,47.94,139.0,2.0,47.94
TAP,2025-06-30 14:31:00+00:00,47.97,47.98,47.97,47.97,300.0,3.0,47.973333
TAP,2025-06-30 14:32:00+00:00,47.94,47.94,47.94,47.94,271.0,5.0,47.94
TAP,2025-06-30 14:33:00+00:00,47.92,47.95,47.92,47.925,302.0,4.0,47.931667
TAP,2025-06-30 14:34:00+00:00,47.925,47.925,47.92,47.92,296.0,3.0,47.9225
TAP,2025-06-30 14:35:00+00:00,47.92,47.93,47.92,47.93,585.0,13.0,47.9225
TAP,2025-06-30 14:37:00+00:00,47.95,47.95,47.95,47.95,263.0,6.0,47.95
TAP,2025-06-30 14:38:00+00:00,47.965,47.965,47.95,47.95,460.0,6.0,47.958333
TAP,2025-06-30 14:39:00+00:00,47.935,47.935,47.915,47.915,567.0,9.0,47.923333
TAP,2025-06-30 14:41:00+00:00,47.91,47.91,47.91,47.91,128.0,2.0,47.91
TAP,2025-06-30 14:45:00+00:00,47.965,47.965,47.965,47.965,239.0,5.0,47.965
TAP,2025-06-30 14:46:00+00:00,47.95,47.95,47.93,47.95,639.0,8.0,47.946667
TAP,2025-06-30 14:47:00+00:00,47.96,47.96,47.96,47.96,302.0,5.0,47.96
TAP,2025-06-30 14:48:00+00:00,47.97,47.97,47.95,47.95,350.0,9.0,47.96
TAP,2025-06-30 14:49:00+00:00,47.98,47.98,47.98,47.98,185.0,5.0,47.98
TAP,2025-06-30 14:50:00+00:00,48.02,48.02,48.02,48.02,127.0,3.0,48.02
TAP,2025-06-30 14:54:00+00:00,48.03,48.03,48.02,48.02,419.0,6.0,48.026667
TAP,2025-06-30 14:55:00+00:00,48.025,48.025,48.025,48.025,278.0,8.0,48.025
TAP,2025-06-30 14:56:00+00:00,48.04,48.06,48.03,48.06,590.0,9.0,48.045086
TAP,2025-06-30 14:57:00+00:00,48.07,48.07,48.07,48.07,101.0,2.0,48.07
TAP,2025-06-30 14:58:00+00:00,48.09,48.09,48.09,48.09,343.0,5.0,48.09
TAP,2025-06-30 15:00:00+00:00,48.09,48.09,48.07,48.07,1066.0,9.0,48.077
TAP,2025-06-30 15:01:00+00:00,48.1,48.1,48.1,48.1,115.0,2.0,48.1
TAP,2025-06-30 15:03:00+00:00,48.1,48.1,48.1,48.1,202.0,2.0,48.1
TAP,2025-06-30 15:04:00+00:00,48.09,48.09,48.09,48.09,416.0,9.0,48.09
TAP,2025-06-30 15:05:00+00:00,48.1,48.1,48.1,48.1,980.0,9.0,48.1
TAP,2025-06-30 15:06:00+00:00,48.165,48.165,48.165,48.165,200.0,2.0,48.165
TAP,2025-06-30 15:08:00+00:00,48.09,48.09,48.08,48.08,202.0,4.0,48.085
TAP,2025-06-30 15:09:00+00:00,48.07,48.08,48.07,48.08,464.0,5.0,48.077778
TAP,2025-06-30 15:10:00+00:00,48.09,48.09,48.085,48.085,401.0,5.0,48.088333
TAP,2025-06-30 15:12:00+00:00,48.01,48.04,48.01,48.04,274.0,5.0,48.025
TAP,2025-06-30 15:13:00+00:00,47.96,47.96,47.95,47.95,201.0,3.0,47.955
TAP,2025-06-30 15:18:00+00:00,47.91,47.915,47.91,47.915,200.0,2.0,47.9125
TAP,2025-06-30 15:19:00+00:00,47.91,47.91,47.91,47.91,203.0,6.0,47.91
TAP,2025-06-30 15:20:00+00:00,47.885,47.885,47.885,47.885,100.0,1.0,47.885
TAP,2025-06-30 15:23:00+00:00,47.95,47.95,47.95,47.95,100.0,1.0,47.95
TAP,2025-06-30 15:24:00+00:00,47.97,47.98,47.97,47.98,444.0,4.0,47.973874
TAP,2025-06-30 15:25:00+00:00,47.97,47.975,47.97,47.975,405.0,9.0,47.973333
TAP,2025-06-30 15:26:00+00:00,47.925,47.925,47.925,47.925,101.0,2.0,47.925
TAP,2025-06-30 15:27:00+00:00,47.91,47.915,47.91,47.915,256.0,3.0,47.9125
TAP,2025-06-30 15:28:00+00:00,47.915,47.93,47.915,47.93,334.0,4.0,47.92
TAP,2025-06-30 15:29:00+00:00,47.91,47.91,47.905,47.905,390.0,7.0,47.906667
TAP,2025-06-30 15:30:00+00:00,47.905,47.905,47.905,47.905,153.0,2.0,47.905
TAP,2025-06-30 15:31:00+00:00,47.905,47.905,47.905,47.905,300.0,3.0,47.905
TAP,2025-06-30 15:32:00+00:00,47.885,47.91,47.885,47.91,501.0,8.0,47.9
TAP,2025-06-30 15:33:00+00:00,47.93,47.97,47.93,47.965,706.0,10.0,47.955714
TAP,2025-06-30 15:34:00+00:00,47.905,47.905,47.905,47.905,356.0,5.0,47.905
TAP,2025-06-30 15:35:00+00:00,47.92,47.92,47.92,47.92,101.0,2.0,47.92
TAP,2025-06-30 15:39:00+00:00,47.96,47.96,47.945,47.95,400.0,3.0,47.95
TAP,2025-06-30 15:40:00+00:00,47.97,47.97,47.935,47.935,300.0,2.0,47.946667
TAP,2025-06-30 15:41:00+00:00,47.915,47.915,47.915,47.915,217.0,5.0,47.915
TAP,2025-06-30 15:42:00+00:00,47.905,47.905,47.89,47.89,200.0,2.0,47.8975
TAP,2025-06-30 15:43:00+00:00,47.88,47.88,47.88,47.88,325.0,6.0,47.88
TAP,2025-06-30 15:46:00+00:00,47.835,47.85,47.835,47.85,822.0,7.0,47.84625
TAP,2025-06-30 15:47:00+00:00,47.845,47.845,47.83,47.835,700.0,5.0,47.840714
TAP,2025-06-30 15:48:00+00:00,47.85,47.87,47.85,47.87,331.0,8.0,47.86
TAP,2025-06-30 15:49:00+00:00,47.94,47.94,47.935,47.935,208.0,6.0,47.9375
TAP,2025-06-30 15:50:00+00:00,47.975,48.0,47.975,48.0,390.0,8.0,47.9875
TAP,2025-06-30 15:51:00+00:00,47.99,47.99,47.99,47.99,230.0,3.0,47.99
TAP,2025-06-30 15:52:00+00:00,47.99,47.99,47.99,47.99,200.0,2.0,47.99
TAP,2025-06-30 15:53:00+00:00,47.98,47.98,47.98,47.98,150.0,3.0,47.98
TAP,2025-06-30 15:55:00+00:00,47.96,47.96,47.96,47.96,155.0,5.0,47.96
TAP,2025-06-30 15:56:00+00:00,47.945,47.945,47.9,47.9,458.0,9.0,47.9225
TAP,2025-06-30 15:57:00+00:00,47.89,47.89,47.875,47.875,300.0,2.0,47.88
TAP,2025-06-30 15:58:00+00:00,47.92,47.92,47.915,47.915,380.0,9.0,47.916667
TAP,2025-06-30 15:59:00+00:00,47.895,47.895,47.895,47.895,252.0,3.0,47.895
TAP,2025-06-30 16:02:00+00:00,47.93,47.94,47.93,47.94,500.0,5.0,47.9375
TAP,2025-06-30 16:04:00+00:00,47.92,47.92,47.92,47.92,100.0,1.0,47.92
TAP,2025-06-30 16:05:00+00:00,47.945,47.945,47.945,47.945,100.0,1.0,47.945
TAP,2025-06-30 16:07:00+00:00,47.97,47.97,47.97,47.97,100.0,1.0,47.97
TAP,2025-06-30 16:09:00+00:00,47.97,47.995,47.97,47.995,430.0,9.0,47.9825
TAP,2025-06-30 16:10:00+00:00,47.995,47.995,47.985,47.99,409.0,5.0,47.99
TAP,2025-06-30 16:11:00+00:00,47.99,47.99,47.97,47.99,580.0,7.0,47.985
TAP,2025-06-30 16:14:00+00:00,47.99,48.01,47.99,48.01,303.0,5.0,48.0
TAP,2025-06-30 16:16:00+00:00,48.04,48.06,48.04,48.055,813.0,10.0,48.052337
TAP,2025-06-30 16:17:00+00:00,48.05,48.05,48.05,48.05,122.0,3.0,48.05
TAP,2025-06-30 16:18:00+00:00,48.075,48.075,48.075,48.075,100.0,1.0,48.075
