symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TDY,2025-06-30 13:50:00+00:00,513.0,513.0,513.0,513.0,110.0,1.0,513.0
TDY,2025-06-30 14:12:00+00:00,511.895,511.895,511.895,511.895,150.0,1.0,511.895
TDY,2025-06-30 14:19:00+00:00,512.27,512.27,512.27,512.27,100.0,1.0,512.27
TDY,2025-06-30 14:50:00+00:00,512.46,512.46,512.46,512.46,160.0,7.0,512.46
TDY,2025-06-30 15:06:00+00:00,511.605,511.605,511.605,511.605,100.0,1.0,511.605
TDY,2025-06-30 15:08:00+00:00,511.49,511.49,510.775,510.775,539.0,23.0,511.1675
TDY,2025-06-30 15:17:00+00:00,509.96,510.04,509.96,510.035,792.0,7.0,510.0247
TDY,2025-06-30 15:22:00+00:00,510.0,510.29,510.0,510.06,915.0,17.0,510.07375
TDY,2025-06-30 15:23:00+00:00,510.08,510.08,510.08,510.08,354.0,12.0,510.08
TDY,2025-06-30 15:30:00+00:00,510.01,510.02,510.01,510.02,491.0,15.0,510.015
TDY,2025-06-30 15:31:00+00:00,510.13,510.13,510.0,510.01,1345.0,15.0,510.027308
TDY,2025-06-30 15:32:00+00:00,510.0,510.0,510.0,510.0,100.0,1.0,510.0
TDY,2025-06-30 15:33:00+00:00,510.0,510.135,510.0,510.135,1088.0,21.0,510.016875
TDY,2025-06-30 15:35:00+00:00,510.41,510.41,510.41,510.41,110.0,2.0,510.41
TDY,2025-06-30 15:47:00+00:00,510.86,510.86,510.86,510.86,100.0,1.0,510.86
TDY,2025-06-30 15:52:00+00:00,510.44,510.44,510.44,510.44,102.0,3.0,510.44
TDY,2025-06-30 16:01:00+00:00,509.4,509.4,509.4,509.4,140.0,2.0,509.4
TDY,2025-06-30 16:50:00+00:00,509.16,509.16,509.16,509.16,100.0,1.0,509.16
TDY,2025-06-30 17:54:00+00:00,508.915,508.915,508.915,508.915,215.0,6.0,508.915
TDY,2025-06-30 18:28:00+00:00,508.89,508.89,508.89,508.89,147.0,5.0,508.89
TDY,2025-06-30 18:35:00+00:00,508.85,508.85,508.85,508.85,424.0,18.0,508.85
TDY,2025-06-30 18:38:00+00:00,508.73,508.73,508.73,508.73,301.0,8.0,508.73
TDY,2025-06-30 18:40:00+00:00,508.61,508.61,508.43,508.43,346.0,10.0,508.52
TDY,2025-06-30 18:41:00+00:00,508.4,508.4,508.4,508.4,181.0,3.0,508.4
TDY,2025-06-30 18:45:00+00:00,509.01,509.01,509.01,509.01,177.0,7.0,509.01
TDY,2025-06-30 18:50:00+00:00,509.17,509.17,509.17,509.17,377.0,14.0,509.17
TDY,2025-06-30 18:54:00+00:00,508.79,508.795,508.65,508.65,445.0,6.0,508.760358
TDY,2025-06-30 18:56:00+00:00,508.8,508.8,508.8,508.8,106.0,2.0,508.8
TDY,2025-06-30 18:57:00+00:00,508.965,508.965,508.965,508.965,104.0,2.0,508.965
TDY,2025-06-30 19:01:00+00:00,508.885,508.885,508.885,508.885,114.0,5.0,508.885
TDY,2025-06-30 19:03:00+00:00,508.895,508.895,508.895,508.895,119.0,10.0,508.895
TDY,2025-06-30 19:06:00+00:00,508.94,509.02,508.94,509.015,444.0,12.0,508.991667
TDY,2025-06-30 19:10:00+00:00,509.07,509.25,509.07,509.25,1078.0,30.0,509.09625
TDY,2025-06-30 19:11:00+00:00,509.515,509.515,509.515,509.515,101.0,2.0,509.515
TDY,2025-06-30 19:12:00+00:00,509.52,509.52,509.52,509.52,260.0,4.0,509.52
TDY,2025-06-30 19:13:00+00:00,509.68,509.68,509.68,509.68,158.0,7.0,509.68
TDY,2025-06-30 19:15:00+00:00,509.485,509.485,509.485,509.485,121.0,2.0,509.485
TDY,2025-06-30 19:16:00+00:00,509.6,509.6,509.6,509.6,100.0,1.0,509.6
TDY,2025-06-30 19:19:00+00:00,509.635,509.635,509.635,509.635,112.0,4.0,509.635
TDY,2025-06-30 19:20:00+00:00,510.08,510.16,510.08,510.16,209.0,7.0,510.12
TDY,2025-06-30 19:21:00+00:00,510.365,510.365,510.365,510.365,132.0,4.0,510.365
TDY,2025-06-30 19:31:00+00:00,510.535,510.535,510.535,510.535,116.0,3.0,510.535
TDY,2025-06-30 19:35:00+00:00,510.415,510.415,510.415,510.415,274.0,10.0,510.415
TDY,2025-06-30 19:37:00+00:00,510.31,510.31,510.31,510.31,159.0,6.0,510.31
TDY,2025-06-30 19:39:00+00:00,509.7,509.71,509.7,509.71,242.0,7.0,509.705
TDY,2025-06-30 19:40:00+00:00,509.79,509.975,509.76,509.975,646.0,14.0,509.839
TDY,2025-06-30 19:41:00+00:00,510.105,510.105,510.105,510.105,572.0,17.0,510.105
TDY,2025-06-30 19:42:00+00:00,510.07,510.07,510.07,510.07,257.0,5.0,510.07
TDY,2025-06-30 19:44:00+00:00,510.085,510.085,510.085,510.085,271.0,14.0,510.085
TDY,2025-06-30 19:45:00+00:00,510.08,510.26,510.08,510.17,500.0,9.0,510.1475
TDY,2025-06-30 19:46:00+00:00,510.2,510.2,510.2,510.2,177.0,8.0,510.2
TDY,2025-06-30 19:47:00+00:00,510.2,510.325,510.2,510.325,857.0,19.0,510.26192
TDY,2025-06-30 19:48:00+00:00,510.33,510.43,510.325,510.43,476.0,9.0,510.355471
TDY,2025-06-30 19:49:00+00:00,510.26,510.26,510.26,510.26,588.0,12.0,510.26
TDY,2025-06-30 19:50:00+00:00,510.295,510.69,510.265,510.69,927.0,18.0,510.415612
TDY,2025-06-30 19:55:00+00:00,512.22,512.22,512.22,512.22,787.0,26.0,512.22
TDY,2025-06-30 19:58:00+00:00,511.81,511.81,511.81,511.81,161.0,7.0,511.81
TDY,2025-06-30 19:59:00+00:00,511.83,511.89,511.83,511.89,1038.0,36.0,511.86
TDY,2025-07-01 13:30:00+00:00,507.77,510.15,507.77,510.15,385.0,19.0,508.96
TDY,2025-07-01 13:33:00+00:00,509.29,509.29,509.29,509.29,185.0,10.0,509.29
TDY,2025-07-01 13:46:00+00:00,510.31,510.31,510.31,510.31,235.0,9.0,510.31
TDY,2025-07-01 13:55:00+00:00,509.91,509.91,509.91,509.91,175.0,7.0,509.91
TDY,2025-07-01 14:04:00+00:00,511.09,511.09,511.09,511.09,506.0,20.0,511.09
TDY,2025-07-01 14:35:00+00:00,510.47,510.47,510.47,510.47,229.0,9.0,510.47
TDY,2025-07-01 14:37:00+00:00,509.62,509.62,509.62,509.62,103.0,3.0,509.62
TDY,2025-07-01 14:45:00+00:00,509.39,509.39,509.39,509.39,145.0,7.0,509.39
