symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TECH,2025-06-30 13:30:00+00:00,51.6,51.6,51.6,51.6,201.0,4.0,51.6
TECH,2025-06-30 13:33:00+00:00,51.345,51.345,51.275,51.275,1912.0,14.0,51.2804
TECH,2025-06-30 13:34:00+00:00,51.28,51.28,51.28,51.28,990.0,8.0,51.28
TECH,2025-06-30 13:36:00+00:00,51.505,51.535,51.5,51.52,2400.0,20.0,51.514375
TECH,2025-06-30 13:37:00+00:00,51.605,51.905,51.605,51.905,400.0,5.0,51.71
TECH,2025-06-30 13:42:00+00:00,51.75,51.805,51.75,51.805,200.0,2.0,51.7775
TECH,2025-06-30 13:44:00+00:00,52.035,52.035,52.035,52.035,550.0,9.0,52.035
TECH,2025-06-30 13:45:00+00:00,52.035,52.035,52.035,52.035,286.0,5.0,52.035
TECH,2025-06-30 13:52:00+00:00,51.745,51.745,51.745,51.745,210.0,2.0,51.745
TECH,2025-06-30 13:53:00+00:00,51.69,51.69,51.69,51.69,150.0,2.0,51.69
TECH,2025-06-30 13:54:00+00:00,51.59,51.59,51.59,51.59,401.0,2.0,51.59
TECH,2025-06-30 13:55:00+00:00,51.585,51.585,51.47,51.47,1289.0,14.0,51.542
TECH,2025-06-30 13:57:00+00:00,51.575,51.575,51.575,51.575,600.0,9.0,51.575
TECH,2025-06-30 14:00:00+00:00,51.425,51.425,51.425,51.425,284.0,4.0,51.425
TECH,2025-06-30 14:03:00+00:00,51.445,51.445,51.445,51.445,200.0,2.0,51.445
TECH,2025-06-30 14:04:00+00:00,51.52,51.52,51.52,51.52,268.0,7.0,51.52
TECH,2025-06-30 14:09:00+00:00,51.7,51.7,51.7,51.7,123.0,4.0,51.7
TECH,2025-06-30 14:15:00+00:00,51.82,51.82,51.82,51.82,139.0,3.0,51.82
TECH,2025-06-30 14:16:00+00:00,51.845,51.92,51.845,51.885,600.0,6.0,51.8875
TECH,2025-06-30 14:17:00+00:00,51.84,51.85,51.84,51.85,200.0,2.0,51.845
TECH,2025-06-30 14:18:00+00:00,51.855,51.855,51.855,51.855,202.0,5.0,51.855
TECH,2025-06-30 14:19:00+00:00,51.855,51.855,51.855,51.855,280.0,4.0,51.855
TECH,2025-06-30 14:21:00+00:00,51.75,51.75,51.75,51.75,223.0,4.0,51.75
TECH,2025-06-30 14:26:00+00:00,51.85,51.85,51.85,51.85,100.0,1.0,51.85
TECH,2025-06-30 14:28:00+00:00,51.82,51.82,51.82,51.82,100.0,1.0,51.82
TECH,2025-06-30 14:29:00+00:00,51.82,51.82,51.82,51.82,113.0,1.0,51.82
TECH,2025-06-30 14:33:00+00:00,51.82,51.82,51.82,51.82,441.0,8.0,51.82
TECH,2025-06-30 14:41:00+00:00,51.68,51.68,51.68,51.68,160.0,2.0,51.68
TECH,2025-06-30 14:47:00+00:00,51.69,51.69,51.69,51.69,273.0,2.0,51.69
TECH,2025-06-30 14:53:00+00:00,51.715,51.715,51.715,51.715,266.0,8.0,51.715
TECH,2025-06-30 14:54:00+00:00,51.75,51.75,51.75,51.75,145.0,3.0,51.75
TECH,2025-06-30 14:55:00+00:00,51.74,51.74,51.74,51.74,100.0,1.0,51.74
TECH,2025-06-30 14:56:00+00:00,51.74,51.74,51.74,51.74,100.0,1.0,51.74
TECH,2025-06-30 14:59:00+00:00,51.745,51.745,51.745,51.745,101.0,2.0,51.745
TECH,2025-06-30 15:03:00+00:00,51.88,51.88,51.88,51.88,201.0,3.0,51.88
TECH,2025-06-30 15:09:00+00:00,51.99,51.99,51.98,51.98,482.0,10.0,51.985169
TECH,2025-06-30 15:17:00+00:00,51.83,51.83,51.83,51.83,154.0,3.0,51.83
TECH,2025-06-30 15:23:00+00:00,51.64,51.64,51.64,51.64,118.0,3.0,51.64
TECH,2025-06-30 15:25:00+00:00,51.56,51.56,51.56,51.56,100.0,1.0,51.56
TECH,2025-06-30 15:47:00+00:00,51.39,51.39,51.39,51.39,226.0,4.0,51.39
TECH,2025-06-30 15:59:00+00:00,51.18,51.18,51.18,51.18,336.0,8.0,51.18
TECH,2025-06-30 16:00:00+00:00,51.22,51.22,51.22,51.22,100.0,1.0,51.22
TECH,2025-06-30 16:01:00+00:00,51.245,51.245,51.245,51.245,600.0,2.0,51.245
TECH,2025-06-30 16:02:00+00:00,51.34,51.34,51.34,51.34,229.0,7.0,51.34
TECH,2025-06-30 16:03:00+00:00,51.36,51.36,51.31,51.31,1005.0,6.0,51.318333
TECH,2025-06-30 16:05:00+00:00,51.36,51.36,51.36,51.36,174.0,4.0,51.36
TECH,2025-06-30 16:10:00+00:00,51.135,51.135,51.135,51.135,144.0,3.0,51.135
TECH,2025-06-30 16:11:00+00:00,51.13,51.13,51.13,51.13,413.0,6.0,51.13
