symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TRGP,2025-06-30 13:31:00+00:00,174.21,174.21,174.21,174.21,201.0,4.0,174.21
TRGP,2025-06-30 13:32:00+00:00,173.985,173.985,173.985,173.985,200.0,2.0,173.985
TRGP,2025-06-30 13:33:00+00:00,174.085,174.485,174.085,174.485,218.0,5.0,174.285
TRGP,2025-06-30 13:35:00+00:00,174.56,174.56,174.56,174.56,738.0,5.0,174.56
TRGP,2025-06-30 13:36:00+00:00,174.52,174.52,174.52,174.52,200.0,2.0,174.52
TRGP,2025-06-30 13:37:00+00:00,174.52,174.52,174.52,174.52,176.0,3.0,174.52
TRGP,2025-06-30 13:38:00+00:00,174.52,174.52,174.52,174.52,100.0,1.0,174.52
TRGP,2025-06-30 13:41:00+00:00,174.87,174.87,174.87,174.87,100.0,1.0,174.87
TRGP,2025-06-30 13:42:00+00:00,174.84,174.84,174.84,174.84,300.0,3.0,174.84
TRGP,2025-06-30 13:43:00+00:00,174.77,174.77,174.62,174.62,371.0,9.0,174.695
TRGP,2025-06-30 13:45:00+00:00,174.5,174.5,174.5,174.5,360.0,10.0,174.5
TRGP,2025-06-30 13:46:00+00:00,174.705,174.705,174.705,174.705,532.0,12.0,174.705
TRGP,2025-06-30 13:48:00+00:00,174.47,174.47,174.47,174.47,150.0,6.0,174.47
TRGP,2025-06-30 13:50:00+00:00,174.935,174.935,174.53,174.53,464.0,7.0,174.7325
TRGP,2025-06-30 13:54:00+00:00,175.28,175.28,175.28,175.28,177.0,7.0,175.28
TRGP,2025-06-30 13:55:00+00:00,175.6,175.6,175.6,175.6,242.0,4.0,175.6
TRGP,2025-06-30 13:57:00+00:00,175.595,175.595,175.595,175.595,140.0,5.0,175.595
TRGP,2025-06-30 13:58:00+00:00,175.565,175.565,175.46,175.46,280.0,12.0,175.5125
TRGP,2025-06-30 13:59:00+00:00,175.615,175.67,175.615,175.67,611.0,12.0,175.62875
TRGP,2025-06-30 14:00:00+00:00,175.765,175.765,175.765,175.765,440.0,11.0,175.765
TRGP,2025-06-30 14:02:00+00:00,175.76,175.76,175.7,175.7,307.0,6.0,175.72
TRGP,2025-06-30 14:03:00+00:00,175.89,175.895,175.89,175.895,313.0,9.0,175.8925
TRGP,2025-06-30 14:04:00+00:00,175.98,176.005,175.945,175.99,1506.0,15.0,175.982742
TRGP,2025-06-30 14:05:00+00:00,175.985,175.985,175.985,175.985,211.0,4.0,175.985
TRGP,2025-06-30 14:06:00+00:00,175.69,175.69,175.69,175.69,100.0,1.0,175.69
TRGP,2025-06-30 14:07:00+00:00,175.82,175.82,175.8,175.8,407.0,15.0,175.81
TRGP,2025-06-30 14:08:00+00:00,175.9,175.9,175.9,175.9,101.0,2.0,175.9
TRGP,2025-06-30 14:09:00+00:00,175.77,175.78,175.77,175.78,206.0,3.0,175.775
TRGP,2025-06-30 14:10:00+00:00,175.715,175.715,175.715,175.715,321.0,9.0,175.715
TRGP,2025-06-30 14:11:00+00:00,175.865,175.865,175.75,175.75,369.0,10.0,175.788333
TRGP,2025-06-30 14:12:00+00:00,175.355,175.355,175.355,175.355,255.0,8.0,175.355
TRGP,2025-06-30 14:13:00+00:00,175.04,175.115,175.04,175.115,710.0,8.0,175.06
TRGP,2025-06-30 14:14:00+00:00,175.08,175.08,175.07,175.07,507.0,7.0,175.077
TRGP,2025-06-30 14:15:00+00:00,175.11,175.11,175.11,175.11,320.0,10.0,175.11
TRGP,2025-06-30 14:16:00+00:00,175.595,175.605,175.595,175.605,405.0,8.0,175.6
TRGP,2025-06-30 14:17:00+00:00,175.6,175.6,175.595,175.595,217.0,4.0,175.5975
TRGP,2025-06-30 14:18:00+00:00,175.54,175.545,175.44,175.44,577.0,9.0,175.491
TRGP,2025-06-30 14:20:00+00:00,175.435,175.435,175.435,175.435,337.0,6.0,175.435
TRGP,2025-06-30 14:22:00+00:00,175.375,175.375,175.37,175.37,551.0,9.0,175.37375
TRGP,2025-06-30 14:24:00+00:00,175.31,175.31,175.31,175.31,194.0,10.0,175.31
TRGP,2025-06-30 14:25:00+00:00,175.33,175.33,175.08,175.08,800.0,29.0,175.225833
TRGP,2025-06-30 14:27:00+00:00,175.12,175.12,175.12,175.12,178.0,6.0,175.12
TRGP,2025-06-30 14:28:00+00:00,175.135,175.135,175.01,175.09,1598.0,23.0,175.097083
TRGP,2025-06-30 14:30:00+00:00,174.825,174.825,174.825,174.825,300.0,7.0,174.825
TRGP,2025-06-30 14:33:00+00:00,174.795,174.91,174.72,174.72,1499.0,29.0,174.827853
TRGP,2025-06-30 14:34:00+00:00,174.525,174.525,174.525,174.525,108.0,3.0,174.525
TRGP,2025-06-30 14:35:00+00:00,174.685,174.72,174.685,174.72,469.0,13.0,174.7025
TRGP,2025-06-30 14:36:00+00:00,174.575,174.575,174.575,174.575,211.0,5.0,174.575
TRGP,2025-06-30 14:37:00+00:00,174.28,174.355,174.28,174.355,814.0,6.0,174.3275
TRGP,2025-06-30 14:38:00+00:00,174.305,174.305,174.3,174.3,425.0,7.0,174.303333
TRGP,2025-06-30 14:39:00+00:00,174.21,174.23,174.07,174.07,607.0,9.0,174.147014
TRGP,2025-06-30 14:41:00+00:00,174.185,174.185,174.185,174.185,627.0,13.0,174.185
TRGP,2025-06-30 14:42:00+00:00,174.28,174.28,174.28,174.28,405.0,9.0,174.28
TRGP,2025-06-30 14:46:00+00:00,174.205,174.205,174.205,174.205,100.0,1.0,174.205
TRGP,2025-06-30 14:47:00+00:00,174.195,174.195,174.195,174.195,101.0,2.0,174.195
TRGP,2025-06-30 14:48:00+00:00,174.35,174.355,174.325,174.355,601.0,11.0,174.346415
TRGP,2025-06-30 14:49:00+00:00,174.44,174.465,174.44,174.46,705.0,12.0,174.45625
TRGP,2025-06-30 14:50:00+00:00,174.47,174.47,174.47,174.47,105.0,2.0,174.47
TRGP,2025-06-30 14:52:00+00:00,174.53,174.725,174.53,174.725,432.0,8.0,174.6275
TRGP,2025-06-30 14:53:00+00:00,174.74,174.74,174.74,174.74,270.0,4.0,174.74
TRGP,2025-06-30 14:54:00+00:00,174.78,175.025,174.78,174.995,1020.0,29.0,174.936
TRGP,2025-06-30 14:55:00+00:00,175.015,175.03,175.015,175.03,701.0,9.0,175.0275
TRGP,2025-06-30 14:56:00+00:00,174.98,174.98,174.91,174.96,558.0,8.0,174.94
TRGP,2025-06-30 14:58:00+00:00,174.8,174.8,174.8,174.8,173.0,4.0,174.8
TRGP,2025-06-30 15:00:00+00:00,174.83,174.84,174.83,174.84,397.0,12.0,174.835
TRGP,2025-06-30 15:02:00+00:00,174.86,174.86,174.86,174.86,164.0,5.0,174.86
TRGP,2025-06-30 15:06:00+00:00,174.685,174.685,174.685,174.685,110.0,3.0,174.685
TRGP,2025-06-30 15:07:00+00:00,174.705,174.705,174.705,174.705,753.0,9.0,174.705
TRGP,2025-06-30 15:08:00+00:00,174.82,174.87,174.69,174.71,1091.0,15.0,174.798
TRGP,2025-06-30 15:09:00+00:00,174.725,174.725,174.63,174.64,400.0,4.0,174.65875
TRGP,2025-06-30 15:10:00+00:00,174.635,174.635,174.63,174.63,200.0,2.0,174.6325
TRGP,2025-06-30 15:11:00+00:00,174.61,174.63,174.61,174.63,442.0,9.0,174.614808
TRGP,2025-06-30 15:12:00+00:00,174.62,174.62,174.62,174.62,200.0,2.0,174.62
TRGP,2025-06-30 15:13:00+00:00,174.555,174.555,174.555,174.555,214.0,4.0,174.555
TRGP,2025-06-30 15:14:00+00:00,174.57,174.58,174.57,174.58,211.0,3.0,174.575
TRGP,2025-06-30 15:15:00+00:00,174.73,174.78,174.73,174.78,366.0,7.0,174.755
TRGP,2025-06-30 15:16:00+00:00,174.77,174.77,174.62,174.625,320.0,4.0,174.671667
TRGP,2025-06-30 15:18:00+00:00,174.77,174.77,174.765,174.765,202.0,3.0,174.7675
TRGP,2025-06-30 15:19:00+00:00,174.765,174.765,174.765,174.765,197.0,9.0,174.765
TRGP,2025-06-30 15:22:00+00:00,175.24,175.24,175.24,175.24,200.0,2.0,175.24
TRGP,2025-06-30 15:24:00+00:00,175.34,175.34,175.34,175.34,251.0,4.0,175.34
TRGP,2025-06-30 15:29:00+00:00,175.7,175.7,175.7,175.7,259.0,5.0,175.7
TRGP,2025-06-30 15:31:00+00:00,175.72,175.72,175.57,175.57,439.0,10.0,175.625
TRGP,2025-06-30 15:33:00+00:00,175.475,175.475,175.4,175.41,688.0,10.0,175.418333
TRGP,2025-06-30 15:35:00+00:00,175.39,175.39,175.39,175.39,108.0,2.0,175.39
TRGP,2025-06-30 15:36:00+00:00,175.38,175.38,175.38,175.38,106.0,2.0,175.38
TRGP,2025-06-30 15:39:00+00:00,175.24,175.24,175.14,175.14,363.0,6.0,175.173333
TRGP,2025-06-30 15:40:00+00:00,175.13,175.13,175.13,175.13,206.0,3.0,175.13
TRGP,2025-06-30 15:41:00+00:00,174.96,174.96,174.96,174.96,113.0,3.0,174.96
TRGP,2025-06-30 15:42:00+00:00,174.825,174.825,174.825,174.825,107.0,2.0,174.825
TRGP,2025-06-30 15:43:00+00:00,174.885,174.885,174.885,174.885,109.0,2.0,174.885
TRGP,2025-06-30 15:44:00+00:00,174.81,174.81,174.81,174.81,208.0,3.0,174.81
TRGP,2025-06-30 15:46:00+00:00,174.8,174.815,174.8,174.815,271.0,7.0,174.8075
TRGP,2025-06-30 15:48:00+00:00,174.94,174.94,174.94,174.94,184.0,16.0,174.94
TRGP,2025-06-30 15:54:00+00:00,175.2,175.2,175.2,175.2,476.0,7.0,175.2
TRGP,2025-06-30 15:56:00+00:00,175.235,175.255,175.18,175.18,807.0,9.0,175.226875
TRGP,2025-06-30 15:58:00+00:00,175.15,175.15,175.15,175.15,229.0,4.0,175.15
TRGP,2025-06-30 16:01:00+00:00,175.14,175.14,175.14,175.14,102.0,2.0,175.14
TRGP,2025-06-30 16:02:00+00:00,175.14,175.14,175.14,175.14,328.0,9.0,175.14
TRGP,2025-06-30 16:04:00+00:00,174.89,174.89,174.88,174.88,200.0,2.0,174.885
TRGP,2025-06-30 16:07:00+00:00,174.77,174.77,174.77,174.77,112.0,2.0,174.77
TRGP,2025-06-30 16:08:00+00:00,174.775,174.78,174.775,174.775,556.0,10.0,174.776
TRGP,2025-06-30 16:09:00+00:00,174.77,174.77,174.77,174.77,158.0,3.0,174.77
TRGP,2025-06-30 16:10:00+00:00,174.67,174.67,174.67,174.67,283.0,5.0,174.67
TRGP,2025-06-30 16:12:00+00:00,174.785,174.785,174.785,174.785,150.0,2.0,174.785
TRGP,2025-06-30 16:17:00+00:00,174.86,174.86,174.86,174.86,260.0,6.0,174.86
TRGP,2025-06-30 16:18:00+00:00,174.79,174.79,174.79,174.79,177.0,2.0,174.79
TRGP,2025-06-30 16:19:00+00:00,174.765,174.765,174.765,174.765,104.0,3.0,174.765
TRGP,2025-06-30 16:21:00+00:00,174.46,174.46,174.46,174.46,175.0,8.0,174.46
TRGP,2025-06-30 16:25:00+00:00,174.745,174.745,174.745,174.745,110.0,2.0,174.745
TRGP,2025-06-30 16:28:00+00:00,174.73,174.79,174.73,174.79,529.0,9.0,174.756967
TRGP,2025-06-30 16:31:00+00:00,174.98,174.98,174.935,174.935,365.0,7.0,174.9575
TRGP,2025-06-30 16:34:00+00:00,174.86,174.865,174.86,174.865,305.0,4.0,174.863333
TRGP,2025-06-30 16:37:00+00:00,174.84,174.84,174.785,174.785,424.0,7.0,174.79875
TRGP,2025-06-30 16:40:00+00:00,174.78,174.84,174.78,174.84,649.0,10.0,174.805453
TRGP,2025-06-30 16:41:00+00:00,174.81,174.81,174.81,174.81,100.0,1.0,174.81
TRGP,2025-06-30 16:44:00+00:00,174.83,174.83,174.83,174.83,105.0,2.0,174.83
TRGP,2025-06-30 16:45:00+00:00,175.0,175.0,175.0,175.0,435.0,6.0,175.0
TRGP,2025-06-30 16:48:00+00:00,174.93,174.93,174.93,174.93,101.0,2.0,174.93
TRGP,2025-06-30 16:49:00+00:00,174.86,174.86,174.84,174.84,200.0,2.0,174.85
TRGP,2025-06-30 16:50:00+00:00,174.8,174.8,174.775,174.775,219.0,4.0,174.7875
TRGP,2025-06-30 16:51:00+00:00,174.765,174.84,174.765,174.84,221.0,5.0,174.8025
TRGP,2025-06-30 16:52:00+00:00,174.855,174.87,174.855,174.87,350.0,7.0,174.8625
TRGP,2025-06-30 16:53:00+00:00,174.925,174.925,174.925,174.925,105.0,2.0,174.925
TRGP,2025-06-30 16:54:00+00:00,174.88,174.88,174.88,174.88,119.0,6.0,174.88
TRGP,2025-06-30 16:55:00+00:00,175.0,175.0,175.0,175.0,547.0,10.0,175.0
TRGP,2025-06-30 16:56:00+00:00,174.98,175.0,174.98,175.0,532.0,8.0,174.993569
TRGP,2025-06-30 16:57:00+00:00,175.07,175.07,175.07,175.07,137.0,3.0,175.07
TRGP,2025-06-30 16:58:00+00:00,175.03,175.13,175.03,175.13,439.0,8.0,175.073887
TRGP,2025-06-30 16:59:00+00:00,175.11,175.11,175.07,175.07,303.0,4.0,175.086667
TRGP,2025-06-30 17:02:00+00:00,174.97,174.97,174.97,174.97,101.0,2.0,174.97
TRGP,2025-06-30 17:03:00+00:00,175.075,175.075,175.075,175.075,200.0,2.0,175.075
TRGP,2025-06-30 17:07:00+00:00,174.68,174.68,174.68,174.68,106.0,2.0,174.68
TRGP,2025-06-30 17:08:00+00:00,174.62,174.62,174.62,174.62,213.0,3.0,174.62
TRGP,2025-06-30 17:10:00+00:00,174.5,174.5,174.5,174.5,212.0,9.0,174.5
TRGP,2025-06-30 17:12:00+00:00,174.49,174.49,174.49,174.49,100.0,1.0,174.49
TRGP,2025-06-30 17:13:00+00:00,174.485,174.485,174.485,174.485,100.0,1.0,174.485
TRGP,2025-06-30 17:14:00+00:00,174.22,174.22,174.22,174.22,205.0,4.0,174.22
TRGP,2025-06-30 17:15:00+00:00,173.885,173.885,173.885,173.885,245.0,7.0,173.885
TRGP,2025-06-30 17:16:00+00:00,174.04,174.165,174.04,174.165,758.0,14.0,174.116923
TRGP,2025-06-30 17:17:00+00:00,174.165,174.165,174.165,174.165,125.0,2.0,174.165
TRGP,2025-06-30 17:18:00+00:00,174.165,174.165,174.165,174.165,100.0,1.0,174.165
TRGP,2025-06-30 17:19:00+00:00,174.19,174.27,174.19,174.27,385.0,5.0,174.236667
TRGP,2025-06-30 17:26:00+00:00,174.13,174.13,174.13,174.13,100.0,1.0,174.13
TRGP,2025-06-30 17:27:00+00:00,174.13,174.13,174.13,174.13,110.0,2.0,174.13
TRGP,2025-06-30 17:30:00+00:00,174.16,174.16,174.155,174.155,248.0,3.0,174.1575
TRGP,2025-06-30 17:32:00+00:00,174.095,174.095,174.095,174.095,110.0,2.0,174.095
TRGP,2025-06-30 17:34:00+00:00,174.08,174.08,174.08,174.08,100.0,1.0,174.08
TRGP,2025-06-30 17:35:00+00:00,173.85,173.88,173.85,173.88,210.0,3.0,173.865
TRGP,2025-06-30 17:37:00+00:00,173.905,173.905,173.905,173.905,100.0,1.0,173.905
TRGP,2025-06-30 17:38:00+00:00,173.95,173.95,173.95,173.95,102.0,2.0,173.95
TRGP,2025-06-30 17:42:00+00:00,173.9,173.94,173.9,173.94,200.0,2.0,173.92
