symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TRMB,2025-06-30 13:30:00+00:00,75.775,75.79,75.775,75.79,200.0,2.0,75.7825
TRMB,2025-06-30 13:31:00+00:00,75.38,75.38,75.37,75.37,610.0,6.0,75.371748
TRMB,2025-06-30 13:32:00+00:00,75.26,75.26,75.26,75.26,100.0,1.0,75.26
TRMB,2025-06-30 13:34:00+00:00,75.155,75.29,75.155,75.29,692.0,7.0,75.262089
TRMB,2025-06-30 13:35:00+00:00,75.29,75.29,75.29,75.29,862.0,6.0,75.29
TRMB,2025-06-30 13:36:00+00:00,75.28,75.28,75.255,75.275,1325.0,17.0,75.274472
TRMB,2025-06-30 13:44:00+00:00,75.47,75.47,75.47,75.47,100.0,1.0,75.47
TRMB,2025-06-30 13:49:00+00:00,75.745,75.745,75.745,75.745,165.0,3.0,75.745
TRMB,2025-06-30 13:59:00+00:00,75.835,75.835,75.835,75.835,283.0,7.0,75.835
TRMB,2025-06-30 14:14:00+00:00,75.77,75.77,75.77,75.77,101.0,2.0,75.77
TRMB,2025-06-30 14:20:00+00:00,75.72,75.72,75.72,75.72,100.0,1.0,75.72
TRMB,2025-06-30 14:30:00+00:00,75.8,75.8,75.8,75.8,115.0,2.0,75.8
TRMB,2025-06-30 14:33:00+00:00,75.77,75.77,75.77,75.77,200.0,3.0,75.77
TRMB,2025-06-30 14:37:00+00:00,75.62,75.62,75.61,75.61,588.0,5.0,75.611701
TRMB,2025-06-30 14:49:00+00:00,75.71,75.71,75.71,75.71,229.0,6.0,75.71
TRMB,2025-06-30 15:00:00+00:00,75.7,75.7,75.7,75.7,100.0,1.0,75.7
TRMB,2025-06-30 15:01:00+00:00,75.7,75.7,75.7,75.7,601.0,3.0,75.7
TRMB,2025-06-30 15:03:00+00:00,75.725,75.725,75.725,75.725,141.0,3.0,75.725
TRMB,2025-06-30 15:20:00+00:00,75.62,75.62,75.62,75.62,397.0,5.0,75.62
TRMB,2025-06-30 15:32:00+00:00,75.57,75.57,75.57,75.57,142.0,4.0,75.57
TRMB,2025-06-30 15:35:00+00:00,75.56,75.56,75.56,75.56,102.0,1.0,75.56
TRMB,2025-06-30 15:36:00+00:00,75.57,75.57,75.57,75.57,105.0,5.0,75.57
TRMB,2025-06-30 15:40:00+00:00,75.65,75.65,75.65,75.65,392.0,3.0,75.65
TRMB,2025-06-30 15:41:00+00:00,75.64,75.65,75.63,75.65,1415.0,13.0,75.637402
