symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TT,2025-06-30 13:30:00+00:00,433.275,433.275,433.275,433.275,189.0,3.0,433.275
TT,2025-06-30 13:31:00+00:00,433.57,433.57,433.57,433.57,555.0,17.0,433.57
TT,2025-06-30 13:33:00+00:00,433.3,433.3,433.3,433.3,150.0,4.0,433.3
TT,2025-06-30 13:36:00+00:00,431.545,431.575,431.485,431.575,445.0,8.0,431.535
TT,2025-06-30 13:37:00+00:00,432.55,432.55,432.55,432.55,105.0,2.0,432.55
TT,2025-06-30 13:42:00+00:00,433.94,433.94,433.94,433.94,281.0,4.0,433.94
TT,2025-06-30 13:54:00+00:00,433.705,433.705,433.705,433.705,300.0,3.0,433.705
TT,2025-06-30 13:56:00+00:00,433.87,433.87,433.87,433.87,300.0,5.0,433.87
TT,2025-06-30 13:58:00+00:00,434.24,434.24,434.24,434.24,213.0,9.0,434.24
TT,2025-06-30 14:00:00+00:00,433.815,433.815,433.57,433.57,892.0,29.0,433.651667
TT,2025-06-30 14:03:00+00:00,433.955,433.955,433.955,433.955,506.0,29.0,433.955
TT,2025-06-30 14:05:00+00:00,434.53,434.53,434.49,434.53,687.0,17.0,434.52
TT,2025-06-30 14:06:00+00:00,434.3,434.3,434.29,434.29,1639.0,35.0,434.299091
TT,2025-06-30 14:12:00+00:00,434.005,434.005,434.005,434.005,315.0,9.0,434.005
TT,2025-06-30 14:13:00+00:00,433.79,433.79,433.79,433.79,142.0,4.0,433.79
TT,2025-06-30 14:15:00+00:00,434.435,434.435,434.435,434.435,214.0,12.0,434.435
TT,2025-06-30 14:17:00+00:00,434.395,434.41,434.395,434.41,350.0,10.0,434.4025
TT,2025-06-30 14:20:00+00:00,434.355,434.355,434.355,434.355,1195.0,27.0,434.355
TT,2025-06-30 14:21:00+00:00,434.12,434.12,434.12,434.12,364.0,12.0,434.12
TT,2025-06-30 14:27:00+00:00,434.34,434.34,434.34,434.34,151.0,5.0,434.34
TT,2025-06-30 14:28:00+00:00,434.31,434.31,434.16,434.16,967.0,21.0,434.263333
TT,2025-06-30 14:34:00+00:00,433.865,433.865,433.615,433.615,528.0,13.0,433.74
TT,2025-06-30 14:36:00+00:00,433.61,433.61,433.36,433.36,300.0,3.0,433.443333
TT,2025-06-30 14:37:00+00:00,433.34,433.34,433.34,433.34,251.0,10.0,433.34
TT,2025-06-30 14:45:00+00:00,433.71,433.71,433.71,433.71,267.0,12.0,433.71
TT,2025-06-30 14:49:00+00:00,433.53,433.53,433.53,433.53,180.0,4.0,433.53
TT,2025-06-30 15:20:00+00:00,434.215,434.215,434.215,434.215,222.0,14.0,434.215
TT,2025-06-30 15:33:00+00:00,434.81,434.81,434.81,434.81,109.0,3.0,434.81
TT,2025-06-30 15:34:00+00:00,434.805,434.805,434.805,434.805,454.0,14.0,434.805
TT,2025-06-30 15:35:00+00:00,434.8,434.8,434.8,434.8,229.0,4.0,434.8
TT,2025-06-30 15:36:00+00:00,434.795,434.795,434.79,434.79,218.0,10.0,434.7925
TT,2025-06-30 15:37:00+00:00,434.8,434.8,434.8,434.8,334.0,11.0,434.8
TT,2025-06-30 15:39:00+00:00,434.775,434.775,434.775,434.775,160.0,7.0,434.775
TT,2025-06-30 15:42:00+00:00,434.765,434.765,434.765,434.765,272.0,17.0,434.765
TT,2025-06-30 15:45:00+00:00,434.78,434.78,434.775,434.78,1525.0,24.0,434.779583
TT,2025-06-30 16:06:00+00:00,434.77,434.77,434.77,434.77,940.0,18.0,434.77
TT,2025-06-30 16:07:00+00:00,434.8,434.8,434.77,434.77,518.0,11.0,434.7775
TT,2025-06-30 16:19:00+00:00,435.49,435.49,435.49,435.49,110.0,2.0,435.49
TT,2025-06-30 16:25:00+00:00,436.03,436.03,436.03,436.03,100.0,1.0,436.03
TT,2025-06-30 16:53:00+00:00,436.55,436.55,436.27,436.27,944.0,33.0,436.41
TT,2025-06-30 16:59:00+00:00,436.37,436.37,436.37,436.37,100.0,1.0,436.37
TT,2025-06-30 17:08:00+00:00,436.655,436.76,436.655,436.76,301.0,3.0,436.69
TT,2025-06-30 17:16:00+00:00,436.89,436.89,436.89,436.89,240.0,15.0,436.89
TT,2025-06-30 17:19:00+00:00,436.78,436.78,436.78,436.78,139.0,6.0,436.78
TT,2025-06-30 17:31:00+00:00,436.94,436.95,436.94,436.95,255.0,4.0,436.945
TT,2025-06-30 17:51:00+00:00,436.97,436.97,436.97,436.97,265.0,10.0,436.97
TT,2025-06-30 17:56:00+00:00,436.965,436.965,436.925,436.925,300.0,2.0,436.938333
TT,2025-06-30 17:59:00+00:00,436.62,436.62,436.62,436.62,131.0,4.0,436.62
TT,2025-06-30 18:02:00+00:00,437.04,437.04,437.04,437.04,162.0,3.0,437.04
TT,2025-06-30 18:07:00+00:00,437.31,437.335,437.25,437.335,937.0,20.0,437.291203
TT,2025-06-30 18:09:00+00:00,437.305,437.305,437.305,437.305,136.0,2.0,437.305
TT,2025-06-30 18:16:00+00:00,437.0,437.0,436.89,436.89,220.0,3.0,436.945
TT,2025-06-30 18:30:00+00:00,437.19,437.19,437.19,437.19,104.0,3.0,437.19
TT,2025-06-30 18:31:00+00:00,437.03,437.03,437.03,437.03,161.0,3.0,437.03
TT,2025-06-30 18:35:00+00:00,436.99,436.99,436.99,436.99,100.0,1.0,436.99
TT,2025-06-30 18:36:00+00:00,436.77,436.77,436.77,436.77,509.0,15.0,436.77
TT,2025-06-30 18:40:00+00:00,436.58,436.58,436.555,436.555,231.0,4.0,436.5675
TT,2025-06-30 18:41:00+00:00,436.555,436.555,436.555,436.555,250.0,7.0,436.555
TT,2025-06-30 18:49:00+00:00,436.525,436.525,436.525,436.525,169.0,4.0,436.525
TT,2025-06-30 18:53:00+00:00,436.745,436.745,436.745,436.745,178.0,4.0,436.745
TT,2025-06-30 18:56:00+00:00,436.63,436.63,436.58,436.58,638.0,11.0,436.605
TT,2025-06-30 19:18:00+00:00,436.49,436.49,436.485,436.485,501.0,4.0,436.488
TT,2025-06-30 19:20:00+00:00,436.715,436.715,436.715,436.715,185.0,7.0,436.715
TT,2025-06-30 19:32:00+00:00,436.42,436.42,436.42,436.42,259.0,12.0,436.42
TT,2025-06-30 19:35:00+00:00,436.725,436.725,436.725,436.725,374.0,11.0,436.725
TT,2025-06-30 19:37:00+00:00,436.5,436.5,436.5,436.5,101.0,2.0,436.5
TT,2025-06-30 19:39:00+00:00,436.38,436.38,436.375,436.38,327.0,6.0,436.378333
TT,2025-06-30 19:45:00+00:00,436.83,436.83,436.83,436.83,247.0,7.0,436.83
TT,2025-06-30 19:46:00+00:00,436.815,436.815,436.815,436.815,390.0,11.0,436.815
TT,2025-06-30 19:49:00+00:00,437.11,437.11,437.11,437.11,101.0,2.0,437.11
TT,2025-06-30 19:50:00+00:00,437.75,437.75,437.75,437.75,116.0,8.0,437.75
TT,2025-06-30 19:52:00+00:00,437.935,437.935,437.92,437.92,381.0,12.0,437.9275
TT,2025-06-30 19:55:00+00:00,437.975,437.975,437.72,437.72,824.0,21.0,437.86
TT,2025-06-30 19:56:00+00:00,437.44,437.44,437.33,437.33,439.0,22.0,437.385
TT,2025-06-30 19:57:00+00:00,437.45,437.45,437.45,437.45,670.0,25.0,437.45
TT,2025-06-30 19:58:00+00:00,437.48,437.57,437.48,437.52,2263.0,76.0,437.528217
TT,2025-06-30 19:59:00+00:00,437.41,437.49,437.41,437.46,1027.0,44.0,437.452
TT,2025-07-01 13:30:00+00:00,434.205,434.205,434.205,434.205,100.0,1.0,434.205
TT,2025-07-01 13:31:00+00:00,434.655,434.655,434.655,434.655,100.0,1.0,434.655
TT,2025-07-01 13:34:00+00:00,434.655,434.655,434.655,434.655,100.0,1.0,434.655
TT,2025-07-01 13:36:00+00:00,435.04,435.04,435.04,435.04,224.0,6.0,435.04
TT,2025-07-01 13:39:00+00:00,434.31,434.31,434.31,434.31,166.0,5.0,434.31
TT,2025-07-01 13:40:00+00:00,434.085,434.085,434.085,434.085,110.0,5.0,434.085
TT,2025-07-01 13:44:00+00:00,433.44,433.44,433.44,433.44,221.0,5.0,433.44
TT,2025-07-01 13:46:00+00:00,433.46,433.46,433.46,433.46,100.0,1.0,433.46
TT,2025-07-01 13:47:00+00:00,433.8,433.805,433.8,433.805,309.0,7.0,433.8025
TT,2025-07-01 13:51:00+00:00,433.78,433.84,433.78,433.84,1202.0,15.0,433.789
TT,2025-07-01 14:00:00+00:00,434.705,434.705,434.705,434.705,1058.0,6.0,434.705
TT,2025-07-01 14:06:00+00:00,436.225,436.225,436.225,436.225,196.0,6.0,436.225
TT,2025-07-01 14:08:00+00:00,435.805,435.805,435.805,435.805,204.0,4.0,435.805
TT,2025-07-01 14:20:00+00:00,436.22,436.22,436.22,436.22,241.0,7.0,436.22
TT,2025-07-01 14:34:00+00:00,435.0,435.0,435.0,435.0,127.0,5.0,435.0
TT,2025-07-01 14:38:00+00:00,432.18,432.18,432.18,432.18,511.0,22.0,432.18
TT,2025-07-01 14:39:00+00:00,432.05,432.05,432.05,432.05,188.0,4.0,432.05
TT,2025-07-01 14:41:00+00:00,431.91,431.91,431.91,431.91,229.0,4.0,431.91
TT,2025-07-01 14:45:00+00:00,431.86,431.86,431.86,431.86,100.0,1.0,431.86
TT,2025-07-01 14:55:00+00:00,432.46,432.46,432.46,432.46,138.0,8.0,432.46
TT,2025-07-01 14:56:00+00:00,432.36,432.36,432.36,432.36,241.0,5.0,432.36
TT,2025-07-01 15:01:00+00:00,433.775,433.775,433.775,433.775,103.0,2.0,433.775
TT,2025-07-01 15:03:00+00:00,433.775,433.775,433.775,433.775,179.0,8.0,433.775
TT,2025-07-01 15:09:00+00:00,433.295,433.295,433.295,433.295,134.0,6.0,433.295
TT,2025-07-01 15:27:00+00:00,431.925,431.925,431.925,431.925,100.0,1.0,431.925
TT,2025-07-01 15:33:00+00:00,431.8,431.8,431.8,431.8,476.0,13.0,431.8
TT,2025-07-01 15:35:00+00:00,432.42,432.42,432.415,432.415,620.0,12.0,432.416667
TT,2025-07-01 15:40:00+00:00,432.17,432.17,432.17,432.17,244.0,9.0,432.17
TT,2025-07-01 15:43:00+00:00,431.46,431.505,431.46,431.505,210.0,3.0,431.4825
TT,2025-07-01 15:46:00+00:00,430.055,430.325,430.055,430.325,294.0,8.0,430.19
TT,2025-07-01 15:47:00+00:00,430.155,430.155,429.58,429.76,1625.0,35.0,429.764684
TT,2025-07-01 15:49:00+00:00,428.415,428.415,428.41,428.41,557.0,10.0,428.413786
TT,2025-07-01 15:50:00+00:00,428.94,428.94,428.94,428.94,230.0,7.0,428.94
TT,2025-07-01 15:54:00+00:00,430.73,430.73,430.73,430.73,100.0,1.0,430.73
TT,2025-07-01 16:05:00+00:00,431.95,431.95,431.95,431.95,101.0,2.0,431.95
TT,2025-07-01 16:21:00+00:00,433.705,433.705,433.47,433.47,649.0,13.0,433.64625
TT,2025-07-01 16:22:00+00:00,433.26,433.26,433.26,433.26,100.0,1.0,433.26
TT,2025-07-01 16:27:00+00:00,433.25,433.25,433.25,433.25,148.0,12.0,433.25
TT,2025-07-01 16:30:00+00:00,433.155,433.155,433.155,433.155,100.0,1.0,433.155
TT,2025-07-01 16:32:00+00:00,433.41,433.41,433.41,433.41,300.0,3.0,433.41
TT,2025-07-01 16:36:00+00:00,433.175,433.175,433.175,433.175,178.0,4.0,433.175
TT,2025-07-01 16:42:00+00:00,432.85,432.85,432.85,432.85,201.0,4.0,432.85
TT,2025-07-01 16:47:00+00:00,434.06,434.06,434.06,434.06,211.0,3.0,434.06
TT,2025-07-01 16:49:00+00:00,434.48,434.48,434.48,434.48,159.0,6.0,434.48
TT,2025-07-01 16:57:00+00:00,435.815,435.815,435.815,435.815,101.0,2.0,435.815
TT,2025-07-01 16:59:00+00:00,435.55,435.55,435.55,435.55,370.0,8.0,435.55
TT,2025-07-01 17:00:00+00:00,435.26,435.26,435.26,435.26,216.0,7.0,435.26
TT,2025-07-01 17:05:00+00:00,435.22,435.22,435.22,435.22,508.0,7.0,435.22
TT,2025-07-01 17:06:00+00:00,434.965,434.965,434.965,434.965,100.0,1.0,434.965
TT,2025-07-01 17:10:00+00:00,435.005,435.415,435.005,435.415,409.0,10.0,435.186667
TT,2025-07-01 17:11:00+00:00,435.56,435.56,435.545,435.55,400.0,4.0,435.55
TT,2025-07-01 17:15:00+00:00,435.965,435.965,435.965,435.965,100.0,1.0,435.965
TT,2025-07-01 17:20:00+00:00,436.72,436.72,436.605,436.605,300.0,3.0,436.681667
TT,2025-07-01 17:29:00+00:00,436.505,436.505,436.505,436.505,189.0,4.0,436.505
TT,2025-07-01 17:30:00+00:00,436.685,436.685,436.47,436.47,200.0,2.0,436.5775
