symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TTD,2025-06-30 13:30:00+00:00,70.625,70.75,70.41,70.75,701.0,8.0,70.555
TTD,2025-06-30 13:31:00+00:00,71.225,71.42,71.225,71.42,423.0,10.0,71.3225
TTD,2025-06-30 13:32:00+00:00,71.675,71.74,71.6,71.74,1497.0,22.0,71.672917
TTD,2025-06-30 13:33:00+00:00,71.41,71.63,71.41,71.63,1842.0,7.0,71.433333
TTD,2025-06-30 13:34:00+00:00,71.55,71.55,71.43,71.43,476.0,6.0,71.514444
TTD,2025-06-30 13:35:00+00:00,71.48,71.48,71.385,71.46,1486.0,22.0,71.419167
TTD,2025-06-30 13:36:00+00:00,71.68,71.945,71.68,71.9,2280.0,32.0,71.835278
TTD,2025-06-30 13:37:00+00:00,71.99,72.115,71.99,72.085,1424.0,27.0,72.045
TTD,2025-06-30 13:38:00+00:00,72.11,72.11,71.98,72.06,1930.0,25.0,72.0457
TTD,2025-06-30 13:39:00+00:00,72.02,72.11,72.02,72.11,812.0,12.0,72.085
TTD,2025-06-30 13:40:00+00:00,71.97,72.19,71.95,72.155,1350.0,22.0,72.0775
TTD,2025-06-30 13:41:00+00:00,72.1,72.16,72.08,72.16,782.0,11.0,72.121538
TTD,2025-06-30 13:42:00+00:00,72.14,72.145,72.12,72.12,686.0,12.0,72.135
TTD,2025-06-30 13:43:00+00:00,72.19,72.25,72.175,72.21,1440.0,25.0,72.208567
TTD,2025-06-30 13:44:00+00:00,72.125,72.17,72.11,72.16,775.0,9.0,72.144286
TTD,2025-06-30 13:45:00+00:00,72.16,72.19,72.145,72.19,966.0,36.0,72.16
TTD,2025-06-30 13:46:00+00:00,72.22,72.22,72.16,72.18,1311.0,14.0,72.193472
TTD,2025-06-30 13:47:00+00:00,72.12,72.21,72.12,72.21,482.0,8.0,72.1525
TTD,2025-06-30 13:48:00+00:00,72.315,72.315,72.08,72.09,1990.0,31.0,72.228793
TTD,2025-06-30 13:49:00+00:00,72.1,72.175,72.04,72.04,1161.0,17.0,72.105556
TTD,2025-06-30 13:50:00+00:00,72.085,72.28,72.07,72.28,4594.0,54.0,72.156125
TTD,2025-06-30 13:51:00+00:00,72.285,72.44,72.285,72.415,1900.0,34.0,72.321799
TTD,2025-06-30 13:52:00+00:00,72.52,72.535,72.49,72.49,749.0,14.0,72.515455
TTD,2025-06-30 13:53:00+00:00,72.505,72.505,72.485,72.5,851.0,12.0,72.492
TTD,2025-06-30 13:54:00+00:00,72.635,72.635,72.635,72.635,567.0,12.0,72.635
TTD,2025-06-30 13:55:00+00:00,72.69,72.965,72.68,72.965,841.0,13.0,72.817825
TTD,2025-06-30 13:56:00+00:00,72.985,73.05,72.985,73.045,841.0,23.0,73.0325
TTD,2025-06-30 13:57:00+00:00,73.11,73.21,73.11,73.21,1340.0,21.0,73.185833
TTD,2025-06-30 13:58:00+00:00,73.19,73.19,73.115,73.115,797.0,18.0,73.141667
TTD,2025-06-30 13:59:00+00:00,73.2,73.38,73.2,73.38,782.0,13.0,73.291
TTD,2025-06-30 14:00:00+00:00,73.39,73.695,73.39,73.54,1716.0,25.0,73.544231
TTD,2025-06-30 14:01:00+00:00,73.575,73.67,73.55,73.55,2047.0,23.0,73.612632
TTD,2025-06-30 14:02:00+00:00,73.625,73.625,73.625,73.625,251.0,4.0,73.625
TTD,2025-06-30 14:03:00+00:00,73.595,73.595,73.525,73.54,1832.0,28.0,73.562693
TTD,2025-06-30 14:04:00+00:00,73.65,73.73,73.64,73.73,1381.0,21.0,73.689093
TTD,2025-06-30 14:05:00+00:00,73.61,73.68,73.42,73.42,2206.0,40.0,73.580944
TTD,2025-06-30 14:06:00+00:00,73.4,73.45,73.33,73.45,1497.0,22.0,73.412917
TTD,2025-06-30 14:07:00+00:00,73.515,73.515,73.44,73.515,1835.0,24.0,73.492126
TTD,2025-06-30 14:08:00+00:00,73.5,73.57,73.5,73.57,1591.0,22.0,73.537
TTD,2025-06-30 14:09:00+00:00,73.57,73.63,73.57,73.63,633.0,12.0,73.6
TTD,2025-06-30 14:10:00+00:00,73.69,73.7,73.56,73.56,809.0,13.0,73.660769
TTD,2025-06-30 14:11:00+00:00,73.58,73.58,73.48,73.57,810.0,15.0,73.538
TTD,2025-06-30 14:12:00+00:00,73.53,73.53,73.49,73.51,528.0,12.0,73.511481
TTD,2025-06-30 14:13:00+00:00,73.56,73.56,73.56,73.56,458.0,10.0,73.56
TTD,2025-06-30 14:14:00+00:00,73.49,73.49,73.46,73.49,1207.0,24.0,73.478774
TTD,2025-06-30 14:15:00+00:00,73.46,73.46,73.4,73.45,926.0,17.0,73.435
TTD,2025-06-30 14:16:00+00:00,73.43,73.43,73.365,73.365,1954.0,9.0,73.379964
TTD,2025-06-30 14:17:00+00:00,73.41,73.41,73.41,73.41,272.0,8.0,73.41
TTD,2025-06-30 14:18:00+00:00,73.275,73.275,73.24,73.265,1045.0,17.0,73.263571
TTD,2025-06-30 14:19:00+00:00,73.23,73.235,73.23,73.235,567.0,12.0,73.231667
TTD,2025-06-30 14:20:00+00:00,73.28,73.355,73.18,73.18,3820.0,30.0,73.318346
TTD,2025-06-30 14:21:00+00:00,73.16,73.16,73.14,73.14,1160.0,13.0,73.149302
TTD,2025-06-30 14:22:00+00:00,73.15,73.215,73.15,73.21,1171.0,19.0,73.18758
TTD,2025-06-30 14:23:00+00:00,73.2,73.2,73.2,73.2,355.0,10.0,73.2
TTD,2025-06-30 14:24:00+00:00,73.2,73.2,72.945,73.01,1675.0,25.0,73.008456
TTD,2025-06-30 14:25:00+00:00,73.04,73.04,72.94,72.94,629.0,11.0,73.005
TTD,2025-06-30 14:26:00+00:00,72.79,72.82,72.79,72.82,1158.0,21.0,72.804825
TTD,2025-06-30 14:27:00+00:00,72.795,72.795,72.75,72.785,849.0,13.0,72.77
TTD,2025-06-30 14:28:00+00:00,72.81,72.915,72.81,72.88,1714.0,20.0,72.853599
TTD,2025-06-30 14:29:00+00:00,72.91,72.91,72.88,72.88,391.0,8.0,72.897143
TTD,2025-06-30 14:31:00+00:00,72.655,72.655,72.585,72.62,1213.0,15.0,72.621181
TTD,2025-06-30 14:32:00+00:00,72.64,72.78,72.61,72.765,1027.0,26.0,72.729286
TTD,2025-06-30 14:33:00+00:00,72.735,72.77,72.725,72.77,771.0,14.0,72.737844
TTD,2025-06-30 14:34:00+00:00,72.765,72.765,72.675,72.74,1619.0,19.0,72.72281
TTD,2025-06-30 14:35:00+00:00,72.73,72.82,72.73,72.8,1324.0,25.0,72.7775
TTD,2025-06-30 14:36:00+00:00,72.805,72.805,72.74,72.74,1932.0,16.0,72.77612
TTD,2025-06-30 14:37:00+00:00,72.69,72.69,72.68,72.68,364.0,5.0,72.683333
TTD,2025-06-30 14:38:00+00:00,72.75,72.75,72.66,72.72,800.0,8.0,72.707333
TTD,2025-06-30 14:39:00+00:00,72.72,72.73,72.65,72.65,1067.0,10.0,72.707934
TTD,2025-06-30 14:40:00+00:00,72.67,72.76,72.67,72.76,704.0,8.0,72.737759
TTD,2025-06-30 14:41:00+00:00,72.79,72.825,72.79,72.825,257.0,4.0,72.8075
TTD,2025-06-30 14:42:00+00:00,72.83,72.83,72.83,72.83,265.0,5.0,72.83
TTD,2025-06-30 14:43:00+00:00,72.96,72.96,72.925,72.925,437.0,12.0,72.9425
TTD,2025-06-30 14:44:00+00:00,72.85,72.875,72.84,72.84,912.0,11.0,72.849375
TTD,2025-06-30 14:45:00+00:00,72.82,72.82,72.73,72.73,226.0,3.0,72.770359
TTD,2025-06-30 14:46:00+00:00,72.7,72.88,72.7,72.88,926.0,16.0,72.739911
TTD,2025-06-30 14:48:00+00:00,72.95,72.955,72.885,72.955,616.0,13.0,72.93
TTD,2025-06-30 14:49:00+00:00,73.045,73.07,73.045,73.06,672.0,10.0,73.055
TTD,2025-06-30 14:50:00+00:00,72.97,72.97,72.88,72.88,376.0,7.0,72.929091
TTD,2025-06-30 14:51:00+00:00,72.885,72.885,72.86,72.86,380.0,4.0,72.876667
TTD,2025-06-30 14:52:00+00:00,72.99,72.99,72.99,72.99,518.0,10.0,72.99
TTD,2025-06-30 14:53:00+00:00,72.88,72.88,72.88,72.88,337.0,6.0,72.88
TTD,2025-06-30 14:54:00+00:00,72.855,72.855,72.83,72.85,996.0,19.0,72.845663
TTD,2025-06-30 14:55:00+00:00,72.775,72.775,72.77,72.775,673.0,8.0,72.773
TTD,2025-06-30 14:56:00+00:00,72.775,72.78,72.73,72.78,1145.0,17.0,72.749883
TTD,2025-06-30 14:57:00+00:00,72.73,72.73,72.73,72.73,170.0,6.0,72.73
TTD,2025-06-30 14:58:00+00:00,72.725,72.725,72.64,72.64,254.0,6.0,72.6825
TTD,2025-06-30 14:59:00+00:00,72.62,72.67,72.61,72.67,625.0,9.0,72.63
TTD,2025-06-30 15:00:00+00:00,72.65,72.67,72.635,72.67,745.0,11.0,72.653333
TTD,2025-06-30 15:01:00+00:00,72.62,72.67,72.6,72.67,1387.0,19.0,72.624457
TTD,2025-06-30 15:02:00+00:00,72.675,72.675,72.61,72.61,444.0,6.0,72.631667
TTD,2025-06-30 15:03:00+00:00,72.61,72.725,72.61,72.725,616.0,9.0,72.659
TTD,2025-06-30 15:04:00+00:00,72.8,72.88,72.8,72.87,488.0,12.0,72.85
TTD,2025-06-30 15:05:00+00:00,73.06,73.13,73.05,73.115,1663.0,17.0,73.106025
TTD,2025-06-30 15:06:00+00:00,73.13,73.13,73.12,73.12,1236.0,13.0,73.129167
TTD,2025-06-30 15:07:00+00:00,73.07,73.07,73.07,73.07,132.0,2.0,73.07
TTD,2025-06-30 15:08:00+00:00,73.035,73.035,73.035,73.035,101.0,2.0,73.035
TTD,2025-06-30 15:13:00+00:00,72.85,72.85,72.85,72.85,131.0,3.0,72.85
TTD,2025-06-30 15:14:00+00:00,72.87,72.975,72.87,72.975,1011.0,13.0,72.914667
TTD,2025-06-30 15:15:00+00:00,72.97,72.98,72.93,72.98,1598.0,16.0,72.953
TTD,2025-06-30 15:16:00+00:00,73.015,73.07,73.01,73.03,2128.0,28.0,73.041301
TTD,2025-06-30 15:17:00+00:00,73.08,73.08,72.97,72.97,1432.0,14.0,73.016358
TTD,2025-06-30 15:18:00+00:00,72.9,72.92,72.885,72.885,1287.0,10.0,72.908044
TTD,2025-06-30 15:19:00+00:00,72.82,72.82,72.82,72.82,200.0,7.0,72.82
TTD,2025-06-30 15:20:00+00:00,72.795,72.795,72.795,72.795,518.0,4.0,72.795
TTD,2025-06-30 15:21:00+00:00,72.94,72.94,72.94,72.94,356.0,12.0,72.94
TTD,2025-06-30 15:22:00+00:00,72.9,72.9,72.85,72.85,330.0,8.0,72.866667
TTD,2025-06-30 15:23:00+00:00,72.96,72.96,72.96,72.96,461.0,15.0,72.96
TTD,2025-06-30 15:24:00+00:00,72.92,72.92,72.92,72.92,241.0,7.0,72.92
TTD,2025-06-30 15:25:00+00:00,72.915,72.915,72.915,72.915,205.0,8.0,72.915
TTD,2025-06-30 15:26:00+00:00,72.855,72.88,72.845,72.845,531.0,10.0,72.86
TTD,2025-06-30 15:27:00+00:00,72.58,72.58,72.57,72.57,275.0,9.0,72.575
TTD,2025-06-30 15:28:00+00:00,72.59,72.74,72.59,72.74,1077.0,16.0,72.667143
TTD,2025-06-30 15:29:00+00:00,72.84,72.84,72.84,72.84,276.0,9.0,72.84
TTD,2025-06-30 15:32:00+00:00,72.795,72.795,72.795,72.795,250.0,6.0,72.795
TTD,2025-06-30 15:34:00+00:00,72.71,72.71,72.65,72.67,306.0,4.0,72.676667
TTD,2025-06-30 15:35:00+00:00,72.63,72.7,72.63,72.7,566.0,12.0,72.666667
TTD,2025-06-30 15:38:00+00:00,72.72,72.72,72.7,72.7,272.0,10.0,72.71
TTD,2025-06-30 15:39:00+00:00,72.755,72.77,72.73,72.73,472.0,9.0,72.751667
TTD,2025-06-30 15:40:00+00:00,72.62,72.62,72.61,72.61,353.0,12.0,72.615
TTD,2025-06-30 15:41:00+00:00,72.6,72.6,72.6,72.6,102.0,3.0,72.6
TTD,2025-06-30 15:42:00+00:00,72.56,72.56,72.555,72.555,700.0,5.0,72.555714
TTD,2025-06-30 15:44:00+00:00,72.54,72.54,72.54,72.54,300.0,4.0,72.54
TTD,2025-06-30 15:46:00+00:00,72.6,72.64,72.575,72.64,680.0,9.0,72.607
TTD,2025-06-30 15:48:00+00:00,72.72,72.76,72.72,72.76,548.0,11.0,72.74
TTD,2025-06-30 15:49:00+00:00,72.81,72.85,72.81,72.85,363.0,7.0,72.83
TTD,2025-06-30 15:50:00+00:00,72.855,72.855,72.855,72.855,204.0,4.0,72.855
TTD,2025-06-30 15:51:00+00:00,72.78,72.78,72.78,72.78,296.0,8.0,72.78
TTD,2025-06-30 15:52:00+00:00,72.61,72.61,72.6,72.6,325.0,4.0,72.605
TTD,2025-06-30 15:53:00+00:00,72.61,72.615,72.61,72.615,302.0,12.0,72.612315
TTD,2025-06-30 15:54:00+00:00,72.62,72.62,72.55,72.55,583.0,23.0,72.585
TTD,2025-06-30 15:55:00+00:00,72.53,72.53,72.53,72.53,222.0,5.0,72.53
TTD,2025-06-30 15:56:00+00:00,72.53,72.53,72.53,72.53,120.0,5.0,72.53
TTD,2025-06-30 15:57:00+00:00,72.635,72.635,72.635,72.635,349.0,14.0,72.635
TTD,2025-06-30 15:58:00+00:00,72.55,72.55,72.54,72.54,464.0,15.0,72.545
TTD,2025-06-30 15:59:00+00:00,72.525,72.535,72.525,72.535,651.0,9.0,72.533
TTD,2025-06-30 16:00:00+00:00,72.485,72.53,72.485,72.51,803.0,8.0,72.500625
TTD,2025-06-30 16:01:00+00:00,72.5,72.5,72.5,72.5,341.0,10.0,72.5
TTD,2025-06-30 16:02:00+00:00,72.47,72.48,72.42,72.45,878.0,13.0,72.453044
TTD,2025-06-30 16:03:00+00:00,72.39,72.42,72.39,72.42,265.0,4.0,72.405
TTD,2025-06-30 16:05:00+00:00,72.44,72.445,72.44,72.445,300.0,3.0,72.441667
TTD,2025-06-30 16:06:00+00:00,72.47,72.49,72.47,72.49,222.0,8.0,72.48
TTD,2025-06-30 16:08:00+00:00,72.555,72.555,72.555,72.555,107.0,3.0,72.555
TTD,2025-06-30 16:09:00+00:00,72.59,72.59,72.565,72.565,252.0,6.0,72.5775
TTD,2025-06-30 16:10:00+00:00,72.56,72.56,72.56,72.56,219.0,3.0,72.56
TTD,2025-06-30 16:11:00+00:00,72.55,72.55,72.515,72.515,282.0,6.0,72.5325
TTD,2025-06-30 16:13:00+00:00,72.5,72.5,72.5,72.5,100.0,1.0,72.5
TTD,2025-06-30 16:14:00+00:00,72.46,72.46,72.46,72.46,105.0,3.0,72.46
TTD,2025-06-30 16:17:00+00:00,72.37,72.37,72.37,72.37,187.0,6.0,72.37
TTD,2025-06-30 16:19:00+00:00,72.255,72.26,72.255,72.26,318.0,8.0,72.2575
TTD,2025-06-30 16:20:00+00:00,72.31,72.31,72.31,72.31,163.0,2.0,72.31
TTD,2025-06-30 16:21:00+00:00,72.34,72.34,72.3,72.3,248.0,3.0,72.32
TTD,2025-06-30 16:24:00+00:00,72.35,72.35,72.35,72.35,129.0,3.0,72.35
TTD,2025-06-30 16:25:00+00:00,72.26,72.295,72.26,72.295,242.0,6.0,72.2775
TTD,2025-06-30 16:26:00+00:00,72.27,72.27,72.27,72.27,170.0,7.0,72.27
TTD,2025-06-30 16:27:00+00:00,72.28,72.31,72.28,72.3,1150.0,12.0,72.301111
TTD,2025-06-30 16:28:00+00:00,72.3,72.3,72.295,72.295,1246.0,19.0,72.2995
TTD,2025-06-30 16:29:00+00:00,72.25,72.465,72.25,72.465,1671.0,21.0,72.3325
TTD,2025-06-30 16:30:00+00:00,72.52,72.52,72.5,72.5,201.0,3.0,72.51
TTD,2025-06-30 16:33:00+00:00,72.515,72.515,72.515,72.515,112.0,4.0,72.515
TTD,2025-06-30 16:34:00+00:00,72.495,72.495,72.495,72.495,274.0,5.0,72.495
TTD,2025-06-30 16:36:00+00:00,72.475,72.475,72.42,72.42,953.0,12.0,72.440046
TTD,2025-06-30 16:37:00+00:00,72.45,72.45,72.45,72.45,199.0,2.0,72.45
TTD,2025-06-30 16:38:00+00:00,72.42,72.42,72.42,72.42,100.0,1.0,72.42
TTD,2025-06-30 16:40:00+00:00,72.45,72.45,72.45,72.45,300.0,4.0,72.45
TTD,2025-06-30 16:41:00+00:00,72.43,72.43,72.395,72.395,391.0,6.0,72.406667
TTD,2025-06-30 16:45:00+00:00,72.45,72.45,72.45,72.45,184.0,7.0,72.45
TTD,2025-06-30 16:46:00+00:00,72.45,72.47,72.45,72.47,466.0,9.0,72.458333
TTD,2025-06-30 16:48:00+00:00,72.41,72.41,72.41,72.41,109.0,4.0,72.41
TTD,2025-06-30 16:49:00+00:00,72.44,72.44,72.44,72.44,293.0,8.0,72.44
TTD,2025-06-30 16:52:00+00:00,72.55,72.55,72.53,72.53,1027.0,16.0,72.538
