symbol,timestamp,open,high,low,close,volume,trade_count,vwap
UDR,2025-06-30 13:30:00+00:00,40.495,40.495,40.46,40.46,401.0,5.0,40.481667
UDR,2025-06-30 13:34:00+00:00,40.35,40.35,40.35,40.35,400.0,4.0,40.35
UDR,2025-06-30 13:35:00+00:00,40.34,40.43,40.34,40.43,315.0,4.0,40.38082
UDR,2025-06-30 13:36:00+00:00,40.37,40.45,40.37,40.44,1200.0,12.0,40.425
UDR,2025-06-30 13:39:00+00:00,40.41,40.425,40.4,40.4,300.0,3.0,40.411667
UDR,2025-06-30 13:40:00+00:00,40.485,40.535,40.485,40.535,315.0,4.0,40.51
UDR,2025-06-30 13:41:00+00:00,40.485,40.485,40.45,40.45,203.0,4.0,40.4675
UDR,2025-06-30 13:42:00+00:00,40.49,40.49,40.49,40.49,154.0,4.0,40.49
UDR,2025-06-30 13:43:00+00:00,40.415,40.42,40.415,40.42,455.0,7.0,40.41875
UDR,2025-06-30 13:44:00+00:00,40.44,40.515,40.44,40.515,445.0,6.0,40.475
UDR,2025-06-30 13:46:00+00:00,40.63,40.63,40.63,40.63,100.0,1.0,40.63
UDR,2025-06-30 13:47:00+00:00,40.62,40.645,40.62,40.645,201.0,3.0,40.6325
UDR,2025-06-30 13:49:00+00:00,40.68,40.68,40.65,40.65,471.0,6.0,40.6575
UDR,2025-06-30 13:51:00+00:00,40.68,40.68,40.67,40.67,200.0,2.0,40.675
UDR,2025-06-30 13:52:00+00:00,40.65,40.65,40.65,40.65,100.0,1.0,40.65
UDR,2025-06-30 13:58:00+00:00,40.61,40.61,40.59,40.59,503.0,4.0,40.594
UDR,2025-06-30 13:59:00+00:00,40.595,40.595,40.595,40.595,102.0,3.0,40.595
UDR,2025-06-30 14:00:00+00:00,40.58,40.58,40.58,40.58,111.0,2.0,40.58
UDR,2025-06-30 14:02:00+00:00,40.58,40.58,40.58,40.58,129.0,3.0,40.58
UDR,2025-06-30 14:04:00+00:00,40.57,40.57,40.57,40.57,445.0,8.0,40.57
UDR,2025-06-30 14:05:00+00:00,40.54,40.54,40.54,40.54,256.0,5.0,40.54
UDR,2025-06-30 14:06:00+00:00,40.55,40.55,40.55,40.55,457.0,2.0,40.55
UDR,2025-06-30 14:08:00+00:00,40.62,40.62,40.61,40.61,585.0,6.0,40.6125
UDR,2025-06-30 14:09:00+00:00,40.615,40.615,40.615,40.615,388.0,2.0,40.615
UDR,2025-06-30 14:10:00+00:00,40.62,40.62,40.6,40.6,375.0,7.0,40.612
UDR,2025-06-30 14:11:00+00:00,40.625,40.625,40.625,40.625,100.0,1.0,40.625
UDR,2025-06-30 14:16:00+00:00,40.66,40.66,40.66,40.66,100.0,1.0,40.66
UDR,2025-06-30 14:17:00+00:00,40.675,40.675,40.675,40.675,101.0,2.0,40.675
UDR,2025-06-30 14:19:00+00:00,40.64,40.66,40.64,40.66,235.0,3.0,40.65
UDR,2025-06-30 14:20:00+00:00,40.68,40.68,40.68,40.68,100.0,1.0,40.68
UDR,2025-06-30 14:21:00+00:00,40.67,40.67,40.67,40.67,235.0,6.0,40.67
UDR,2025-06-30 14:22:00+00:00,40.69,40.69,40.69,40.69,134.0,3.0,40.69
UDR,2025-06-30 14:23:00+00:00,40.705,40.705,40.68,40.68,200.0,2.0,40.6925
UDR,2025-06-30 14:24:00+00:00,40.72,40.72,40.72,40.72,161.0,3.0,40.72
UDR,2025-06-30 14:26:00+00:00,40.73,40.73,40.73,40.73,199.0,2.0,40.73
UDR,2025-06-30 14:28:00+00:00,40.775,40.775,40.775,40.775,232.0,6.0,40.775
UDR,2025-06-30 14:29:00+00:00,40.81,40.81,40.78,40.78,397.0,4.0,40.8
UDR,2025-06-30 14:30:00+00:00,40.78,40.78,40.77,40.77,200.0,2.0,40.775
UDR,2025-06-30 14:39:00+00:00,40.66,40.67,40.66,40.67,280.0,4.0,40.665
