symbol,timestamp,open,high,low,close,volume,trade_count,vwap
USB,2025-06-30 13:30:00+00:00,45.39,45.415,45.385,45.415,644.0,15.0,45.396
USB,2025-06-30 13:31:00+00:00,45.42,45.49,45.33,45.49,5874.0,35.0,45.376034
USB,2025-06-30 13:32:00+00:00,45.505,45.53,45.46,45.5,4153.0,37.0,45.513875
USB,2025-06-30 13:33:00+00:00,45.49,45.51,45.455,45.455,1835.0,16.0,45.493862
USB,2025-06-30 13:34:00+00:00,45.46,45.55,45.46,45.54,991.0,10.0,45.51839
USB,2025-06-30 13:35:00+00:00,45.545,45.56,45.46,45.51,3806.0,37.0,45.499028
USB,2025-06-30 13:36:00+00:00,45.5,45.5,45.41,45.43,4456.0,24.0,45.443968
USB,2025-06-30 13:37:00+00:00,45.46,45.51,45.455,45.51,4496.0,33.0,45.466071
USB,2025-06-30 13:38:00+00:00,45.505,45.59,45.505,45.57,1393.0,12.0,45.568846
USB,2025-06-30 13:39:00+00:00,45.54,45.565,45.53,45.555,1720.0,14.0,45.540882
USB,2025-06-30 13:40:00+00:00,45.56,45.56,45.49,45.49,1107.0,8.0,45.521818
USB,2025-06-30 13:41:00+00:00,45.44,45.44,45.39,45.4,1828.0,16.0,45.407353
USB,2025-06-30 13:42:00+00:00,45.415,45.44,45.41,45.41,1903.0,22.0,45.418056
USB,2025-06-30 13:43:00+00:00,45.42,45.48,45.42,45.46,410.0,5.0,45.4575
USB,2025-06-30 13:44:00+00:00,45.47,45.5,45.45,45.47,2098.0,20.0,45.475556
USB,2025-06-30 13:45:00+00:00,45.49,45.535,45.49,45.535,1035.0,11.0,45.5145
USB,2025-06-30 13:46:00+00:00,45.53,45.55,45.525,45.55,905.0,8.0,45.535556
USB,2025-06-30 13:47:00+00:00,45.58,45.58,45.55,45.58,749.0,8.0,45.575
USB,2025-06-30 13:48:00+00:00,45.645,45.645,45.645,45.645,154.0,4.0,45.645
USB,2025-06-30 13:49:00+00:00,45.62,45.62,45.59,45.6,1135.0,17.0,45.6
USB,2025-06-30 13:50:00+00:00,45.605,45.605,45.57,45.585,1768.0,14.0,45.591739
USB,2025-06-30 13:51:00+00:00,45.605,45.63,45.605,45.605,660.0,7.0,45.616667
USB,2025-06-30 13:52:00+00:00,45.595,45.63,45.595,45.63,1653.0,23.0,45.620662
USB,2025-06-30 13:53:00+00:00,45.625,45.635,45.625,45.635,517.0,7.0,45.6325
USB,2025-06-30 13:54:00+00:00,45.655,45.655,45.635,45.635,300.0,3.0,45.648333
USB,2025-06-30 13:55:00+00:00,45.62,45.65,45.62,45.65,1601.0,14.0,45.63375
USB,2025-06-30 13:56:00+00:00,45.64,45.65,45.63,45.645,1100.0,13.0,45.6375
USB,2025-06-30 13:57:00+00:00,45.645,45.655,45.645,45.655,509.0,6.0,45.6525
USB,2025-06-30 13:59:00+00:00,45.66,45.69,45.66,45.68,907.0,12.0,45.674286
USB,2025-06-30 14:00:00+00:00,45.685,45.69,45.64,45.65,1380.0,14.0,45.66625
USB,2025-06-30 14:01:00+00:00,45.655,45.655,45.62,45.62,836.0,9.0,45.632143
USB,2025-06-30 14:02:00+00:00,45.625,45.64,45.625,45.625,667.0,6.0,45.63
USB,2025-06-30 14:03:00+00:00,45.57,45.59,45.57,45.57,1870.0,14.0,45.57932
USB,2025-06-30 14:04:00+00:00,45.57,45.57,45.57,45.57,250.0,3.0,45.57
USB,2025-06-30 14:05:00+00:00,45.565,45.565,45.525,45.525,1164.0,14.0,45.549
USB,2025-06-30 14:06:00+00:00,45.515,45.54,45.515,45.54,1200.0,5.0,45.534583
USB,2025-06-30 14:07:00+00:00,45.555,45.56,45.53,45.53,2303.0,15.0,45.546197
USB,2025-06-30 14:08:00+00:00,45.53,45.55,45.515,45.55,7401.0,28.0,45.527114
USB,2025-06-30 14:09:00+00:00,45.525,45.53,45.525,45.53,410.0,9.0,45.528333
USB,2025-06-30 14:10:00+00:00,45.52,45.535,45.52,45.535,1607.0,7.0,45.529375
USB,2025-06-30 14:11:00+00:00,45.525,45.525,45.49,45.49,700.0,7.0,45.501429
USB,2025-06-30 14:12:00+00:00,45.495,45.495,45.475,45.48,662.0,10.0,45.485
USB,2025-06-30 14:13:00+00:00,45.47,45.5,45.47,45.5,502.0,6.0,45.486
USB,2025-06-30 14:14:00+00:00,45.48,45.49,45.48,45.49,505.0,6.0,45.485
USB,2025-06-30 14:15:00+00:00,45.49,45.49,45.48,45.485,1400.0,14.0,45.483462
USB,2025-06-30 14:16:00+00:00,45.49,45.52,45.49,45.52,445.0,6.0,45.503333
USB,2025-06-30 14:17:00+00:00,45.52,45.52,45.51,45.51,1170.0,14.0,45.514556
USB,2025-06-30 14:18:00+00:00,45.5,45.515,45.495,45.515,1028.0,7.0,45.5005
USB,2025-06-30 14:19:00+00:00,45.51,45.525,45.505,45.525,1097.0,13.0,45.512778
USB,2025-06-30 14:20:00+00:00,45.55,45.555,45.545,45.545,1335.0,11.0,45.546923
USB,2025-06-30 14:21:00+00:00,45.51,45.525,45.5,45.5,1011.0,10.0,45.509006
USB,2025-06-30 14:22:00+00:00,45.51,45.525,45.5,45.51,1278.0,12.0,45.5125
USB,2025-06-30 14:23:00+00:00,45.53,45.54,45.53,45.54,475.0,7.0,45.535
USB,2025-06-30 14:24:00+00:00,45.525,45.525,45.51,45.51,1368.0,11.0,45.52
USB,2025-06-30 14:25:00+00:00,45.52,45.545,45.52,45.545,2925.0,11.0,45.541552
USB,2025-06-30 14:26:00+00:00,45.53,45.53,45.53,45.53,311.0,5.0,45.53
USB,2025-06-30 14:27:00+00:00,45.535,45.555,45.535,45.545,3200.0,17.0,45.547719
USB,2025-06-30 14:28:00+00:00,45.55,45.57,45.545,45.565,3580.0,27.0,45.555744
USB,2025-06-30 14:29:00+00:00,45.57,45.575,45.565,45.565,2676.0,19.0,45.57
USB,2025-06-30 14:30:00+00:00,45.57,45.58,45.57,45.58,300.0,3.0,45.575
USB,2025-06-30 14:31:00+00:00,45.57,45.58,45.57,45.58,618.0,9.0,45.578333
USB,2025-06-30 14:32:00+00:00,45.54,45.565,45.535,45.565,3600.0,18.0,45.547535
USB,2025-06-30 14:33:00+00:00,45.565,45.575,45.565,45.57,602.0,7.0,45.569167
USB,2025-06-30 14:34:00+00:00,45.565,45.575,45.565,45.575,3600.0,19.0,45.5725
USB,2025-06-30 14:35:00+00:00,45.585,45.585,45.565,45.58,1200.0,8.0,45.57
USB,2025-06-30 14:36:00+00:00,45.59,45.59,45.59,45.59,188.0,2.0,45.59
USB,2025-06-30 14:37:00+00:00,45.56,45.56,45.53,45.53,565.0,8.0,45.542
USB,2025-06-30 14:38:00+00:00,45.52,45.52,45.49,45.49,2529.0,17.0,45.4958
USB,2025-06-30 14:39:00+00:00,45.495,45.515,45.495,45.51,2468.0,21.0,45.513116
USB,2025-06-30 14:40:00+00:00,45.505,45.505,45.485,45.485,1109.0,9.0,45.497273
USB,2025-06-30 14:41:00+00:00,45.48,45.49,45.48,45.49,310.0,4.0,45.485
USB,2025-06-30 14:42:00+00:00,45.51,45.52,45.5,45.52,1606.0,15.0,45.510625
USB,2025-06-30 14:43:00+00:00,45.54,45.54,45.54,45.54,410.0,3.0,45.54
USB,2025-06-30 14:44:00+00:00,45.535,45.535,45.525,45.525,1618.0,16.0,45.52875
USB,2025-06-30 14:45:00+00:00,45.535,45.54,45.515,45.52,1300.0,9.0,45.524631
USB,2025-06-30 14:46:00+00:00,45.52,45.53,45.52,45.525,700.0,6.0,45.52582
USB,2025-06-30 14:47:00+00:00,45.52,45.54,45.52,45.54,720.0,9.0,45.532857
USB,2025-06-30 14:48:00+00:00,45.55,45.55,45.53,45.53,1822.0,17.0,45.53625
USB,2025-06-30 14:49:00+00:00,45.54,45.54,45.54,45.54,146.0,3.0,45.54
USB,2025-06-30 14:50:00+00:00,45.535,45.535,45.53,45.53,401.0,3.0,45.53375
USB,2025-06-30 14:51:00+00:00,45.52,45.52,45.51,45.52,1135.0,13.0,45.518889
USB,2025-06-30 14:52:00+00:00,45.51,45.515,45.51,45.515,301.0,5.0,45.5125
USB,2025-06-30 14:53:00+00:00,45.51,45.51,45.505,45.51,878.0,7.0,45.508826
USB,2025-06-30 14:54:00+00:00,45.505,45.505,45.495,45.495,1457.0,12.0,45.502692
USB,2025-06-30 14:55:00+00:00,45.49,45.51,45.49,45.51,600.0,7.0,45.502
USB,2025-06-30 14:56:00+00:00,45.51,45.52,45.505,45.505,1387.0,16.0,45.515909
USB,2025-06-30 14:58:00+00:00,45.52,45.52,45.5,45.5,3034.0,23.0,45.508333
USB,2025-06-30 14:59:00+00:00,45.48,45.495,45.475,45.485,2306.0,16.0,45.487795
USB,2025-06-30 15:00:00+00:00,45.495,45.5,45.495,45.5,211.0,4.0,45.4975
USB,2025-06-30 15:01:00+00:00,45.465,45.465,45.465,45.465,112.0,2.0,45.465
USB,2025-06-30 15:02:00+00:00,45.48,45.48,45.48,45.48,730.0,8.0,45.48
USB,2025-06-30 15:03:00+00:00,45.49,45.51,45.49,45.51,521.0,8.0,45.498
USB,2025-06-30 15:04:00+00:00,45.51,45.51,45.49,45.49,1078.0,15.0,45.49375
USB,2025-06-30 15:05:00+00:00,45.49,45.505,45.49,45.505,1267.0,14.0,45.492986
USB,2025-06-30 15:06:00+00:00,45.51,45.52,45.51,45.51,1608.0,15.0,45.514667
USB,2025-06-30 15:07:00+00:00,45.5,45.5,45.5,45.5,100.0,1.0,45.5
USB,2025-06-30 15:08:00+00:00,45.49,45.49,45.47,45.47,335.0,3.0,45.481045
USB,2025-06-30 15:09:00+00:00,45.475,45.5,45.475,45.5,1157.0,15.0,45.49047
USB,2025-06-30 15:10:00+00:00,45.49,45.49,45.465,45.465,726.0,10.0,45.475
USB,2025-06-30 15:11:00+00:00,45.45,45.45,45.435,45.435,635.0,12.0,45.441
USB,2025-06-30 15:13:00+00:00,45.43,45.445,45.43,45.44,1115.0,9.0,45.4395
USB,2025-06-30 15:14:00+00:00,45.425,45.43,45.425,45.43,1251.0,13.0,45.429444
USB,2025-06-30 15:15:00+00:00,45.44,45.44,45.42,45.42,730.0,10.0,45.435574
USB,2025-06-30 15:16:00+00:00,45.43,45.44,45.43,45.44,1110.0,10.0,45.437
USB,2025-06-30 15:17:00+00:00,45.43,45.435,45.43,45.435,721.0,9.0,45.430974
USB,2025-06-30 15:18:00+00:00,45.44,45.44,45.435,45.435,831.0,6.0,45.43625
USB,2025-06-30 15:19:00+00:00,45.445,45.45,45.44,45.45,721.0,7.0,45.447431
USB,2025-06-30 15:20:00+00:00,45.44,45.445,45.44,45.445,426.0,4.0,45.443333
USB,2025-06-30 15:21:00+00:00,45.44,45.44,45.41,45.41,1738.0,17.0,45.422554
USB,2025-06-30 15:22:00+00:00,45.4,45.41,45.4,45.41,1836.0,16.0,45.405187
USB,2025-06-30 15:23:00+00:00,45.405,45.41,45.405,45.405,1489.0,14.0,45.405388
USB,2025-06-30 15:24:00+00:00,45.405,45.405,45.405,45.405,996.0,7.0,45.405
USB,2025-06-30 15:25:00+00:00,45.4,45.41,45.4,45.4,1218.0,11.0,45.406667
USB,2025-06-30 15:26:00+00:00,45.4,45.43,45.385,45.425,3647.0,27.0,45.404315
USB,2025-06-30 15:27:00+00:00,45.42,45.42,45.4,45.4,1410.0,14.0,45.407692
USB,2025-06-30 15:28:00+00:00,45.39,45.39,45.385,45.385,431.0,4.0,45.386667
USB,2025-06-30 15:29:00+00:00,45.4,45.4,45.39,45.395,1388.0,18.0,45.396319
USB,2025-06-30 15:30:00+00:00,45.4,45.43,45.4,45.42,3397.0,27.0,45.419955
USB,2025-06-30 15:31:00+00:00,45.42,45.435,45.415,45.435,5214.0,28.0,45.426373
USB,2025-06-30 15:32:00+00:00,45.435,45.445,45.435,45.445,4270.0,23.0,45.43639
USB,2025-06-30 15:33:00+00:00,45.45,45.47,45.45,45.47,3178.0,25.0,45.4605
USB,2025-06-30 15:34:00+00:00,45.475,45.49,45.475,45.49,2845.0,21.0,45.478843
USB,2025-06-30 15:35:00+00:00,45.49,45.535,45.49,45.535,715.0,10.0,45.519209
USB,2025-06-30 15:36:00+00:00,45.535,45.545,45.535,45.54,609.0,12.0,45.54125
USB,2025-06-30 15:37:00+00:00,45.52,45.52,45.51,45.51,1200.0,11.0,45.515802
USB,2025-06-30 15:38:00+00:00,45.51,45.535,45.51,45.535,1259.0,16.0,45.52742
USB,2025-06-30 15:39:00+00:00,45.53,45.53,45.52,45.525,1844.0,16.0,45.527257
USB,2025-06-30 15:40:00+00:00,45.515,45.515,45.51,45.515,924.0,9.0,45.513571
USB,2025-06-30 15:41:00+00:00,45.52,45.525,45.52,45.525,1541.0,17.0,45.522308
USB,2025-06-30 15:42:00+00:00,45.525,45.535,45.525,45.535,1202.0,7.0,45.5317
USB,2025-06-30 15:43:00+00:00,45.525,45.525,45.51,45.51,905.0,16.0,45.5175
USB,2025-06-30 15:44:00+00:00,45.51,45.525,45.51,45.525,1224.0,18.0,45.519008
USB,2025-06-30 15:45:00+00:00,45.53,45.53,45.505,45.505,1170.0,12.0,45.52
USB,2025-06-30 15:46:00+00:00,45.48,45.48,45.465,45.465,1107.0,22.0,45.468
USB,2025-06-30 15:47:00+00:00,45.485,45.485,45.485,45.485,902.0,22.0,45.485
USB,2025-06-30 15:48:00+00:00,45.485,45.515,45.485,45.515,987.0,8.0,45.499906
USB,2025-06-30 15:49:00+00:00,45.505,45.505,45.5,45.5,634.0,9.0,45.50375
USB,2025-06-30 15:50:00+00:00,45.5,45.5,45.495,45.495,1231.0,14.0,45.495455
USB,2025-06-30 15:51:00+00:00,45.495,45.5,45.495,45.5,1392.0,12.0,45.499307
USB,2025-06-30 15:52:00+00:00,45.495,45.495,45.495,45.495,529.0,7.0,45.495
USB,2025-06-30 15:53:00+00:00,45.47,45.475,45.47,45.475,997.0,16.0,45.473
USB,2025-06-30 15:54:00+00:00,45.48,45.48,45.475,45.475,685.0,8.0,45.478
USB,2025-06-30 15:55:00+00:00,45.47,45.475,45.47,45.47,743.0,9.0,45.472466
USB,2025-06-30 15:56:00+00:00,45.47,45.47,45.465,45.465,1465.0,16.0,45.46547
USB,2025-06-30 15:57:00+00:00,45.465,45.465,45.465,45.465,1239.0,18.0,45.465
USB,2025-06-30 15:58:00+00:00,45.46,45.46,45.45,45.46,2217.0,18.0,45.457632
USB,2025-06-30 15:59:00+00:00,45.45,45.45,45.435,45.435,864.0,14.0,45.440714
USB,2025-06-30 16:00:00+00:00,45.44,45.445,45.43,45.44,2202.0,13.0,45.439286
USB,2025-06-30 16:01:00+00:00,45.445,45.445,45.445,45.445,166.0,2.0,45.445
USB,2025-06-30 16:02:00+00:00,45.435,45.435,45.42,45.42,1626.0,15.0,45.429807
USB,2025-06-30 16:03:00+00:00,45.415,45.415,45.405,45.405,763.0,10.0,45.411865
USB,2025-06-30 16:04:00+00:00,45.44,45.465,45.44,45.46,2490.0,33.0,45.450067
USB,2025-06-30 16:05:00+00:00,45.46,45.47,45.46,45.46,1132.0,13.0,45.465526
USB,2025-06-30 16:06:00+00:00,45.455,45.46,45.455,45.46,562.0,7.0,45.4575
USB,2025-06-30 16:07:00+00:00,45.43,45.43,45.43,45.43,549.0,7.0,45.43
USB,2025-06-30 16:08:00+00:00,45.44,45.44,45.44,45.44,177.0,4.0,45.44
USB,2025-06-30 16:09:00+00:00,45.45,45.46,45.45,45.46,1350.0,15.0,45.454476
USB,2025-06-30 16:10:00+00:00,45.455,45.455,45.455,45.455,1034.0,13.0,45.455
USB,2025-06-30 16:11:00+00:00,45.455,45.46,45.45,45.45,1169.0,10.0,45.455
USB,2025-06-30 16:12:00+00:00,45.455,45.455,45.455,45.455,620.0,14.0,45.455
USB,2025-06-30 16:13:00+00:00,45.455,45.47,45.455,45.47,686.0,8.0,45.462685
USB,2025-06-30 16:14:00+00:00,45.46,45.46,45.455,45.455,1271.0,14.0,45.458636
USB,2025-06-30 16:15:00+00:00,45.465,45.465,45.465,45.465,323.0,5.0,45.465
USB,2025-06-30 16:16:00+00:00,45.47,45.47,45.46,45.46,1172.0,16.0,45.465
USB,2025-06-30 16:17:00+00:00,45.455,45.46,45.455,45.46,2184.0,26.0,45.457188
USB,2025-06-30 16:18:00+00:00,45.455,45.455,45.445,45.445,423.0,6.0,45.45
USB,2025-06-30 16:19:00+00:00,45.435,45.435,45.42,45.43,454.0,8.0,45.428333
USB,2025-06-30 16:21:00+00:00,45.43,45.43,45.43,45.43,100.0,1.0,45.43
USB,2025-06-30 16:23:00+00:00,45.45,45.45,45.45,45.45,112.0,3.0,45.45
USB,2025-06-30 16:24:00+00:00,45.45,45.455,45.45,45.455,1048.0,12.0,45.450833
USB,2025-06-30 16:26:00+00:00,45.445,45.455,45.445,45.455,789.0,15.0,45.45
USB,2025-06-30 16:27:00+00:00,45.45,45.45,45.45,45.45,143.0,4.0,45.45
USB,2025-06-30 16:28:00+00:00,45.43,45.445,45.43,45.445,1109.0,11.0,45.438182
USB,2025-06-30 16:29:00+00:00,45.435,45.435,45.43,45.43,541.0,6.0,45.431
USB,2025-06-30 16:30:00+00:00,45.425,45.45,45.425,45.45,618.0,10.0,45.43375
USB,2025-06-30 16:31:00+00:00,45.45,45.45,45.45,45.45,640.0,10.0,45.45
USB,2025-06-30 16:33:00+00:00,45.445,45.445,45.445,45.445,780.0,3.0,45.445
USB,2025-06-30 16:34:00+00:00,45.455,45.455,45.45,45.45,1262.0,22.0,45.4525
USB,2025-06-30 16:35:00+00:00,45.45,45.45,45.445,45.45,2038.0,28.0,45.449333
USB,2025-06-30 16:36:00+00:00,45.45,45.45,45.43,45.44,1503.0,17.0,45.43875
USB,2025-06-30 16:37:00+00:00,45.44,45.44,45.44,45.44,498.0,4.0,45.44
