symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WFC,2025-06-30 13:30:00+00:00,80.485,80.485,80.485,80.485,599.0,12.0,80.485
WFC,2025-06-30 13:31:00+00:00,80.515,80.695,80.425,80.695,8702.0,73.0,80.561386
WFC,2025-06-30 13:32:00+00:00,80.69,80.86,80.59,80.595,13565.0,127.0,80.741762
WFC,2025-06-30 13:33:00+00:00,80.53,80.66,80.53,80.65,2493.0,37.0,80.624627
WFC,2025-06-30 13:34:00+00:00,80.645,80.78,80.6,80.78,4625.0,46.0,80.637115
WFC,2025-06-30 13:35:00+00:00,80.78,80.82,80.56,80.6,2741.0,28.0,80.658098
WFC,2025-06-30 13:36:00+00:00,80.71,80.72,80.61,80.63,2230.0,26.0,80.651053
WFC,2025-06-30 13:37:00+00:00,80.685,80.71,80.595,80.61,4794.0,51.0,80.654188
WFC,2025-06-30 13:38:00+00:00,80.615,80.7,80.61,80.63,1313.0,20.0,80.653125
WFC,2025-06-30 13:39:00+00:00,80.62,80.72,80.62,80.71,3517.0,44.0,80.667876
WFC,2025-06-30 13:40:00+00:00,80.74,80.77,80.665,80.73,7502.0,62.0,80.714266
WFC,2025-06-30 13:41:00+00:00,80.73,80.73,80.63,80.63,2144.0,25.0,80.665
WFC,2025-06-30 13:42:00+00:00,80.69,80.71,80.54,80.56,7314.0,61.0,80.624211
WFC,2025-06-30 13:43:00+00:00,80.55,80.65,80.55,80.57,4220.0,38.0,80.612227
WFC,2025-06-30 13:44:00+00:00,80.59,80.68,80.59,80.68,14108.0,40.0,80.663527
WFC,2025-06-30 13:45:00+00:00,80.67,80.82,80.67,80.82,4693.0,45.0,80.757962
WFC,2025-06-30 13:46:00+00:00,80.81,80.9,80.81,80.865,4892.0,32.0,80.85189
WFC,2025-06-30 13:47:00+00:00,80.9,80.95,80.87,80.94,2655.0,27.0,80.917857
WFC,2025-06-30 13:48:00+00:00,80.93,81.045,80.93,81.025,6172.0,59.0,81.011803
WFC,2025-06-30 13:49:00+00:00,81.015,81.025,80.96,80.985,4571.0,66.0,80.991649
WFC,2025-06-30 13:50:00+00:00,80.94,80.94,80.89,80.91,1315.0,10.0,80.914615
WFC,2025-06-30 13:51:00+00:00,80.93,80.95,80.93,80.95,513.0,10.0,80.936667
WFC,2025-06-30 13:52:00+00:00,80.98,80.99,80.955,80.96,1966.0,26.0,80.969412
WFC,2025-06-30 13:53:00+00:00,80.98,81.0,80.97,81.0,849.0,8.0,80.981248
WFC,2025-06-30 13:54:00+00:00,81.0,81.0,80.97,80.97,907.0,17.0,80.98625
WFC,2025-06-30 13:55:00+00:00,81.0,81.0,81.0,81.0,235.0,4.0,81.0
WFC,2025-06-30 13:56:00+00:00,81.07,81.075,80.97,80.97,2750.0,30.0,81.028298
WFC,2025-06-30 13:57:00+00:00,80.98,81.055,80.98,81.055,1805.0,11.0,81.011944
WFC,2025-06-30 13:58:00+00:00,81.01,81.03,80.99,80.995,3006.0,40.0,81.010644
WFC,2025-06-30 13:59:00+00:00,81.005,81.07,81.0,81.025,2329.0,26.0,81.029521
