symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WMB,2025-06-30 13:30:00+00:00,62.855,62.855,62.59,62.62,3281.0,23.0,62.645158
WMB,2025-06-30 13:31:00+00:00,62.52,62.52,62.295,62.415,1792.0,19.0,62.388571
WMB,2025-06-30 13:32:00+00:00,62.41,62.48,62.41,62.48,839.0,11.0,62.459091
WMB,2025-06-30 13:33:00+00:00,62.54,62.625,62.54,62.625,634.0,9.0,62.56375
WMB,2025-06-30 13:34:00+00:00,62.71,62.725,62.71,62.725,284.0,5.0,62.7175
WMB,2025-06-30 13:35:00+00:00,62.715,62.73,62.475,62.475,2462.0,22.0,62.64772
WMB,2025-06-30 13:36:00+00:00,62.555,62.68,62.55,62.6,3701.0,32.0,62.62135
WMB,2025-06-30 13:37:00+00:00,62.6,62.65,62.59,62.65,3342.0,32.0,62.613386
WMB,2025-06-30 13:38:00+00:00,62.65,62.68,62.65,62.68,740.0,4.0,62.666622
WMB,2025-06-30 13:39:00+00:00,62.69,62.69,62.64,62.64,1275.0,9.0,62.650425
WMB,2025-06-30 13:40:00+00:00,62.615,62.665,62.615,62.65,759.0,12.0,62.6375
WMB,2025-06-30 13:41:00+00:00,62.64,62.64,62.585,62.585,623.0,9.0,62.601667
WMB,2025-06-30 13:42:00+00:00,62.585,62.585,62.52,62.525,702.0,9.0,62.539286
WMB,2025-06-30 13:43:00+00:00,62.55,62.575,62.55,62.575,973.0,9.0,62.555528
WMB,2025-06-30 13:44:00+00:00,62.54,62.54,62.535,62.54,711.0,10.0,62.539167
WMB,2025-06-30 13:45:00+00:00,62.58,62.58,62.575,62.575,506.0,9.0,62.57625
WMB,2025-06-30 13:46:00+00:00,62.57,62.6,62.55,62.58,2075.0,12.0,62.579334
WMB,2025-06-30 13:47:00+00:00,62.545,62.55,62.54,62.55,648.0,8.0,62.546
WMB,2025-06-30 13:48:00+00:00,62.53,62.6,62.53,62.6,1040.0,6.0,62.557212
WMB,2025-06-30 13:49:00+00:00,62.58,62.6,62.57,62.575,2346.0,20.0,62.58323
WMB,2025-06-30 13:50:00+00:00,62.57,62.58,62.485,62.485,1250.0,11.0,62.531382
WMB,2025-06-30 13:51:00+00:00,62.47,62.52,62.46,62.5,1878.0,23.0,62.487667
WMB,2025-06-30 13:52:00+00:00,62.49,62.5,62.47,62.47,1405.0,14.0,62.488173
WMB,2025-06-30 13:53:00+00:00,62.5,62.555,62.5,62.555,1510.0,12.0,62.533333
WMB,2025-06-30 13:54:00+00:00,62.57,62.58,62.56,62.56,1530.0,18.0,62.566454
WMB,2025-06-30 13:55:00+00:00,62.59,62.62,62.59,62.6,4900.0,52.0,62.598455
WMB,2025-06-30 13:56:00+00:00,62.6,62.62,62.6,62.62,1868.0,21.0,62.608296
WMB,2025-06-30 13:57:00+00:00,62.625,62.635,62.615,62.635,586.0,11.0,62.62625
WMB,2025-06-30 13:58:00+00:00,62.655,62.66,62.62,62.625,1196.0,15.0,62.640186
WMB,2025-06-30 13:59:00+00:00,62.67,62.755,62.67,62.73,1824.0,26.0,62.7175
WMB,2025-06-30 14:00:00+00:00,62.715,62.74,62.715,62.74,944.0,10.0,62.724572
WMB,2025-06-30 14:01:00+00:00,62.76,62.87,62.76,62.87,1061.0,10.0,62.775556
WMB,2025-06-30 14:02:00+00:00,62.805,62.82,62.805,62.815,1312.0,7.0,62.818462
WMB,2025-06-30 14:03:00+00:00,62.81,62.85,62.81,62.85,1592.0,20.0,62.846313
WMB,2025-06-30 14:04:00+00:00,62.86,62.88,62.86,62.88,972.0,9.0,62.87375
WMB,2025-06-30 14:05:00+00:00,62.855,62.855,62.815,62.815,2297.0,22.0,62.844811
WMB,2025-06-30 14:06:00+00:00,62.8,62.83,62.8,62.82,915.0,18.0,62.815
WMB,2025-06-30 14:07:00+00:00,62.77,62.835,62.77,62.83,2435.0,20.0,62.799018
WMB,2025-06-30 14:08:00+00:00,62.8,62.8,62.76,62.76,304.0,7.0,62.78
WMB,2025-06-30 14:09:00+00:00,62.76,62.76,62.74,62.74,614.0,16.0,62.75
WMB,2025-06-30 14:10:00+00:00,62.66,62.68,62.66,62.66,642.0,6.0,62.667475
WMB,2025-06-30 14:11:00+00:00,62.64,62.73,62.63,62.73,2985.0,28.0,62.687628
WMB,2025-06-30 14:12:00+00:00,62.725,62.76,62.685,62.685,1166.0,20.0,62.728125
WMB,2025-06-30 14:13:00+00:00,62.66,62.66,62.62,62.63,513.0,8.0,62.6325
WMB,2025-06-30 14:14:00+00:00,62.62,62.63,62.62,62.62,674.0,14.0,62.623902
WMB,2025-06-30 14:15:00+00:00,62.65,62.675,62.625,62.675,1974.0,20.0,62.640028
WMB,2025-06-30 14:16:00+00:00,62.7,62.975,62.7,62.81,6523.0,69.0,62.831769
WMB,2025-06-30 14:17:00+00:00,62.85,62.87,62.85,62.87,884.0,13.0,62.864286
WMB,2025-06-30 14:18:00+00:00,62.83,62.83,62.785,62.785,900.0,9.0,62.813925
WMB,2025-06-30 14:19:00+00:00,62.85,62.85,62.85,62.85,1109.0,11.0,62.85
WMB,2025-06-30 14:20:00+00:00,62.84,62.84,62.81,62.81,367.0,9.0,62.82
WMB,2025-06-30 14:21:00+00:00,62.82,62.82,62.8,62.8,1131.0,10.0,62.812973
WMB,2025-06-30 14:22:00+00:00,62.86,62.86,62.83,62.83,622.0,7.0,62.854545
WMB,2025-06-30 14:23:00+00:00,62.84,62.84,62.83,62.83,487.0,9.0,62.834
WMB,2025-06-30 14:24:00+00:00,62.825,62.825,62.815,62.815,210.0,3.0,62.82
WMB,2025-06-30 14:25:00+00:00,62.82,62.82,62.8,62.8,1770.0,11.0,62.810621
WMB,2025-06-30 14:26:00+00:00,62.78,62.785,62.78,62.78,1203.0,9.0,62.780989
WMB,2025-06-30 14:27:00+00:00,62.8,62.83,62.8,62.83,866.0,8.0,62.824667
WMB,2025-06-30 14:28:00+00:00,62.82,62.82,62.82,62.82,239.0,5.0,62.82
WMB,2025-06-30 14:29:00+00:00,62.79,62.8,62.77,62.77,1194.0,20.0,62.7875
WMB,2025-06-30 14:30:00+00:00,62.72,62.72,62.72,62.72,136.0,4.0,62.72
WMB,2025-06-30 14:31:00+00:00,62.73,62.73,62.73,62.73,232.0,6.0,62.73
WMB,2025-06-30 14:32:00+00:00,62.74,62.74,62.74,62.74,142.0,6.0,62.74
WMB,2025-06-30 14:33:00+00:00,62.77,62.77,62.76,62.76,1104.0,15.0,62.765
WMB,2025-06-30 14:34:00+00:00,62.77,62.77,62.77,62.77,194.0,4.0,62.77
WMB,2025-06-30 14:36:00+00:00,62.82,62.82,62.785,62.79,1359.0,17.0,62.805833
WMB,2025-06-30 14:37:00+00:00,62.78,62.78,62.77,62.77,864.0,15.0,62.775714
WMB,2025-06-30 14:38:00+00:00,62.79,62.79,62.79,62.79,537.0,11.0,62.79
WMB,2025-06-30 14:39:00+00:00,62.76,62.76,62.76,62.76,208.0,5.0,62.76
WMB,2025-06-30 14:40:00+00:00,62.72,62.72,62.72,62.72,601.0,8.0,62.72
WMB,2025-06-30 14:41:00+00:00,62.73,62.73,62.72,62.72,603.0,11.0,62.726
WMB,2025-06-30 14:42:00+00:00,62.78,62.825,62.78,62.81,1132.0,17.0,62.81
WMB,2025-06-30 14:43:00+00:00,62.76,62.76,62.76,62.76,311.0,7.0,62.76
WMB,2025-06-30 14:44:00+00:00,62.73,62.73,62.73,62.73,250.0,4.0,62.73
WMB,2025-06-30 14:45:00+00:00,62.74,62.75,62.74,62.74,684.0,10.0,62.742671
WMB,2025-06-30 14:46:00+00:00,62.77,62.77,62.76,62.76,265.0,7.0,62.765
WMB,2025-06-30 14:47:00+00:00,62.79,62.79,62.78,62.79,799.0,13.0,62.788333
WMB,2025-06-30 14:49:00+00:00,62.8,62.8,62.785,62.8,1079.0,9.0,62.7975
WMB,2025-06-30 14:50:00+00:00,62.79,62.86,62.79,62.86,521.0,8.0,62.824
WMB,2025-06-30 14:51:00+00:00,62.85,62.85,62.84,62.85,746.0,11.0,62.846429
WMB,2025-06-30 14:52:00+00:00,62.89,62.93,62.89,62.93,579.0,7.0,62.918182
WMB,2025-06-30 14:53:00+00:00,62.91,62.91,62.9,62.9,322.0,7.0,62.905
WMB,2025-06-30 14:54:00+00:00,62.895,62.955,62.895,62.92,1223.0,11.0,62.928636
WMB,2025-06-30 14:55:00+00:00,62.92,62.92,62.915,62.915,303.0,4.0,62.918311
WMB,2025-06-30 14:56:00+00:00,62.89,62.9,62.87,62.87,527.0,8.0,62.89
WMB,2025-06-30 14:57:00+00:00,62.85,62.885,62.85,62.885,250.0,5.0,62.8675
WMB,2025-06-30 14:58:00+00:00,62.885,62.89,62.86,62.86,1225.0,15.0,62.872083
WMB,2025-06-30 14:59:00+00:00,62.84,62.84,62.84,62.84,101.0,2.0,62.84
WMB,2025-06-30 15:00:00+00:00,62.88,62.895,62.86,62.895,642.0,7.0,62.88
WMB,2025-06-30 15:01:00+00:00,62.89,62.91,62.89,62.91,300.0,3.0,62.903333
WMB,2025-06-30 15:02:00+00:00,62.91,62.91,62.89,62.89,534.0,10.0,62.896098
WMB,2025-06-30 15:03:00+00:00,62.9,62.9,62.88,62.88,300.0,3.0,62.893333
WMB,2025-06-30 15:04:00+00:00,62.885,62.885,62.87,62.87,1284.0,13.0,62.880436
WMB,2025-06-30 15:05:00+00:00,62.865,62.865,62.86,62.865,302.0,5.0,62.863333
WMB,2025-06-30 15:06:00+00:00,62.845,62.845,62.845,62.845,135.0,2.0,62.845
WMB,2025-06-30 15:07:00+00:00,62.88,62.89,62.87,62.89,1075.0,9.0,62.8825
WMB,2025-06-30 15:08:00+00:00,62.915,62.915,62.89,62.89,626.0,9.0,62.903
WMB,2025-06-30 15:09:00+00:00,62.885,62.885,62.86,62.86,1756.0,22.0,62.866667
WMB,2025-06-30 15:10:00+00:00,62.855,62.855,62.855,62.855,176.0,2.0,62.855
WMB,2025-06-30 15:11:00+00:00,62.865,62.88,62.85,62.88,1332.0,15.0,62.8625
WMB,2025-06-30 15:12:00+00:00,62.86,62.86,62.86,62.86,631.0,9.0,62.86
WMB,2025-06-30 15:13:00+00:00,62.845,62.845,62.835,62.835,658.0,7.0,62.84
WMB,2025-06-30 15:14:00+00:00,62.84,62.88,62.84,62.88,1740.0,23.0,62.853255
WMB,2025-06-30 15:15:00+00:00,62.89,62.905,62.89,62.89,601.0,7.0,62.892727
WMB,2025-06-30 15:16:00+00:00,62.85,62.87,62.85,62.87,400.0,6.0,62.856667
WMB,2025-06-30 15:17:00+00:00,62.89,62.895,62.89,62.89,505.0,9.0,62.89125
WMB,2025-06-30 15:18:00+00:00,62.92,62.935,62.92,62.925,526.0,7.0,62.92602
WMB,2025-06-30 15:19:00+00:00,62.93,62.93,62.925,62.925,482.0,8.0,62.926667
WMB,2025-06-30 15:20:00+00:00,62.945,63.01,62.945,63.01,3140.0,11.0,62.97876
WMB,2025-06-30 15:21:00+00:00,63.025,63.08,63.025,63.08,2060.0,14.0,63.032632
WMB,2025-06-30 15:22:00+00:00,63.1,63.1,63.07,63.07,453.0,7.0,63.084962
WMB,2025-06-30 15:23:00+00:00,63.08,63.1,63.08,63.1,469.0,11.0,63.09
WMB,2025-06-30 15:24:00+00:00,63.11,63.11,63.1,63.1,497.0,8.0,63.105
WMB,2025-06-30 15:25:00+00:00,63.135,63.135,63.135,63.135,108.0,4.0,63.135
WMB,2025-06-30 15:26:00+00:00,63.17,63.17,63.13,63.13,1423.0,16.0,63.140769
WMB,2025-06-30 15:27:00+00:00,63.12,63.12,63.1,63.11,1101.0,11.0,63.109091
WMB,2025-06-30 15:28:00+00:00,63.12,63.14,63.12,63.14,267.0,3.0,63.13
WMB,2025-06-30 15:29:00+00:00,63.16,63.16,63.14,63.14,611.0,8.0,63.156
WMB,2025-06-30 15:30:00+00:00,63.2,63.22,63.2,63.22,829.0,15.0,63.21
WMB,2025-06-30 15:31:00+00:00,63.17,63.17,63.17,63.17,113.0,4.0,63.17
WMB,2025-06-30 15:32:00+00:00,63.17,63.17,63.15,63.16,538.0,10.0,63.16
WMB,2025-06-30 15:33:00+00:00,63.155,63.16,63.155,63.16,430.0,7.0,63.1575
WMB,2025-06-30 15:34:00+00:00,63.16,63.16,63.16,63.16,269.0,6.0,63.16
WMB,2025-06-30 15:35:00+00:00,63.17,63.17,63.17,63.17,100.0,1.0,63.17
WMB,2025-06-30 15:37:00+00:00,63.11,63.115,63.11,63.11,800.0,7.0,63.110625
WMB,2025-06-30 15:40:00+00:00,63.095,63.095,63.075,63.075,785.0,6.0,63.08
WMB,2025-06-30 15:41:00+00:00,63.04,63.04,63.04,63.04,503.0,7.0,63.04
WMB,2025-06-30 15:42:00+00:00,63.025,63.075,63.025,63.075,839.0,9.0,63.04764
WMB,2025-06-30 15:43:00+00:00,63.08,63.085,63.065,63.065,2040.0,25.0,63.079993
WMB,2025-06-30 15:44:00+00:00,63.105,63.105,63.06,63.06,1317.0,11.0,63.0725
WMB,2025-06-30 15:45:00+00:00,63.08,63.08,63.08,63.08,201.0,4.0,63.08
WMB,2025-06-30 15:46:00+00:00,63.075,63.075,63.075,63.075,159.0,4.0,63.075
WMB,2025-06-30 15:48:00+00:00,63.11,63.125,63.11,63.125,365.0,8.0,63.12
WMB,2025-06-30 15:49:00+00:00,63.105,63.155,63.105,63.155,1359.0,12.0,63.134106
WMB,2025-06-30 15:50:00+00:00,63.185,63.185,63.185,63.185,400.0,2.0,63.185
WMB,2025-06-30 15:51:00+00:00,63.185,63.185,63.165,63.165,1100.0,7.0,63.1795
WMB,2025-06-30 15:52:00+00:00,63.175,63.175,63.175,63.175,418.0,3.0,63.175
WMB,2025-06-30 15:53:00+00:00,63.17,63.17,63.16,63.16,402.0,6.0,63.1675
WMB,2025-06-30 15:55:00+00:00,63.13,63.13,63.12,63.12,202.0,3.0,63.125
WMB,2025-06-30 15:56:00+00:00,63.145,63.16,63.145,63.16,557.0,9.0,63.151667
WMB,2025-06-30 15:57:00+00:00,63.155,63.155,63.155,63.155,101.0,2.0,63.155
WMB,2025-06-30 15:58:00+00:00,63.17,63.17,63.17,63.17,246.0,7.0,63.17
WMB,2025-06-30 15:59:00+00:00,63.16,63.175,63.16,63.175,464.0,10.0,63.168333
WMB,2025-06-30 16:00:00+00:00,63.165,63.165,63.165,63.165,105.0,3.0,63.165
WMB,2025-06-30 16:01:00+00:00,63.17,63.17,63.165,63.165,303.0,4.0,63.168333
WMB,2025-06-30 16:02:00+00:00,63.19,63.19,63.19,63.19,243.0,7.0,63.19
WMB,2025-06-30 16:03:00+00:00,63.19,63.19,63.19,63.19,234.0,5.0,63.19
WMB,2025-06-30 16:04:00+00:00,63.19,63.195,63.19,63.195,236.0,4.0,63.1925
WMB,2025-06-30 16:05:00+00:00,63.2,63.2,63.2,63.2,325.0,5.0,63.2
WMB,2025-06-30 16:06:00+00:00,63.2,63.22,63.2,63.22,411.0,8.0,63.20875
WMB,2025-06-30 16:07:00+00:00,63.215,63.215,63.215,63.215,216.0,3.0,63.215
WMB,2025-06-30 16:08:00+00:00,63.2,63.2,63.2,63.2,101.0,2.0,63.2
WMB,2025-06-30 16:10:00+00:00,63.19,63.19,63.17,63.17,216.0,5.0,63.18
WMB,2025-06-30 16:11:00+00:00,63.16,63.16,63.155,63.155,356.0,7.0,63.1575
WMB,2025-06-30 16:12:00+00:00,63.16,63.18,63.16,63.18,412.0,8.0,63.17
WMB,2025-06-30 16:13:00+00:00,63.21,63.21,63.21,63.21,303.0,4.0,63.21
WMB,2025-06-30 16:14:00+00:00,63.205,63.205,63.2,63.2,300.0,3.0,63.201667
WMB,2025-06-30 16:16:00+00:00,63.22,63.22,63.22,63.22,172.0,4.0,63.22
WMB,2025-06-30 16:17:00+00:00,63.205,63.21,63.205,63.21,309.0,4.0,63.206667
WMB,2025-06-30 16:18:00+00:00,63.2,63.2,63.2,63.2,197.0,5.0,63.2
WMB,2025-06-30 16:19:00+00:00,63.19,63.19,63.19,63.19,110.0,2.0,63.19
WMB,2025-06-30 16:20:00+00:00,63.205,63.205,63.205,63.205,207.0,4.0,63.205
WMB,2025-06-30 16:23:00+00:00,63.18,63.19,63.18,63.19,405.0,8.0,63.185
WMB,2025-06-30 16:24:00+00:00,63.19,63.2,63.19,63.2,418.0,8.0,63.193333
WMB,2025-06-30 16:25:00+00:00,63.19,63.22,63.19,63.22,1515.0,13.0,63.208333
WMB,2025-06-30 16:26:00+00:00,63.23,63.24,63.23,63.235,686.0,8.0,63.237
WMB,2025-06-30 16:29:00+00:00,63.25,63.25,63.25,63.25,201.0,3.0,63.25
WMB,2025-06-30 16:31:00+00:00,63.26,63.26,63.26,63.26,113.0,3.0,63.26
WMB,2025-06-30 16:34:00+00:00,63.315,63.325,63.315,63.325,391.0,6.0,63.318421
WMB,2025-06-30 16:37:00+00:00,63.315,63.32,63.315,63.32,986.0,11.0,63.315833
WMB,2025-06-30 16:38:00+00:00,63.32,63.33,63.31,63.32,1920.0,22.0,63.32
WMB,2025-06-30 16:39:00+00:00,63.325,63.33,63.32,63.32,540.0,6.0,63.326
WMB,2025-06-30 16:40:00+00:00,63.355,63.375,63.355,63.375,200.0,2.0,63.365
WMB,2025-06-30 16:41:00+00:00,63.38,63.38,63.38,63.38,246.0,3.0,63.38
WMB,2025-06-30 16:43:00+00:00,63.4,63.4,63.39,63.4,706.0,10.0,63.398
WMB,2025-06-30 16:44:00+00:00,63.4,63.4,63.38,63.38,232.0,3.0,63.39
WMB,2025-06-30 16:45:00+00:00,63.39,63.4,63.39,63.4,433.0,9.0,63.3925
WMB,2025-06-30 16:46:00+00:00,63.415,63.415,63.415,63.415,305.0,4.0,63.415
WMB,2025-06-30 16:47:00+00:00,63.41,63.42,63.41,63.42,200.0,2.0,63.415
WMB,2025-06-30 16:48:00+00:00,63.4,63.4,63.395,63.395,310.0,5.0,63.3975
WMB,2025-06-30 16:49:00+00:00,63.4,63.4,63.39,63.39,200.0,2.0,63.395
WMB,2025-06-30 16:50:00+00:00,63.38,63.4,63.37,63.4,1014.0,12.0,63.38
WMB,2025-06-30 16:51:00+00:00,63.41,63.42,63.41,63.42,348.0,7.0,63.416667
WMB,2025-06-30 16:52:00+00:00,63.43,63.43,63.43,63.43,107.0,3.0,63.43
WMB,2025-06-30 16:53:00+00:00,63.44,63.44,63.44,63.44,306.0,5.0,63.44
WMB,2025-06-30 16:54:00+00:00,63.43,63.43,63.43,63.43,176.0,6.0,63.43
WMB,2025-06-30 16:55:00+00:00,63.43,63.45,63.43,63.45,557.0,10.0,63.44
WMB,2025-06-30 16:56:00+00:00,63.43,63.43,63.42,63.42,399.0,4.0,63.423333
WMB,2025-06-30 16:58:00+00:00,63.435,63.435,63.4,63.4,782.0,12.0,63.417143
WMB,2025-06-30 16:59:00+00:00,63.385,63.385,63.37,63.37,280.0,6.0,63.3775
WMB,2025-06-30 17:00:00+00:00,63.355,63.355,63.355,63.355,300.0,5.0,63.355
WMB,2025-06-30 17:01:00+00:00,63.33,63.33,63.33,63.33,479.0,7.0,63.33
WMB,2025-06-30 17:03:00+00:00,63.335,63.35,63.335,63.35,258.0,5.0,63.3425
WMB,2025-06-30 17:04:00+00:00,63.33,63.35,63.33,63.35,486.0,7.0,63.3425
WMB,2025-06-30 17:06:00+00:00,63.33,63.335,63.33,63.335,400.0,4.0,63.3325
WMB,2025-06-30 17:07:00+00:00,63.32,63.32,63.3,63.3,400.0,4.0,63.31
WMB,2025-06-30 17:08:00+00:00,63.27,63.27,63.255,63.255,828.0,15.0,63.26625
WMB,2025-06-30 17:09:00+00:00,63.26,63.26,63.245,63.25,856.0,11.0,63.250795
WMB,2025-06-30 17:10:00+00:00,63.22,63.23,63.22,63.225,724.0,11.0,63.225
WMB,2025-06-30 17:11:00+00:00,63.19,63.19,63.18,63.18,588.0,14.0,63.186667
WMB,2025-06-30 17:12:00+00:00,63.18,63.18,63.18,63.18,432.0,7.0,63.18
WMB,2025-06-30 17:13:00+00:00,63.16,63.16,63.135,63.135,1106.0,12.0,63.145909
WMB,2025-06-30 17:14:00+00:00,63.14,63.14,62.99,62.99,541.0,7.0,63.078
WMB,2025-06-30 17:15:00+00:00,62.8,62.83,62.8,62.83,402.0,7.0,62.812
