symbol,timestamp,open,high,low,close,volume,trade_count,vwap
XYZ,2025-06-30 13:30:00+00:00,67.27,67.28,67.27,67.27,499.0,5.0,67.275
XYZ,2025-06-30 13:31:00+00:00,67.27,67.27,67.11,67.195,2456.0,30.0,67.201202
XYZ,2025-06-30 13:32:00+00:00,67.215,67.215,67.215,67.215,414.0,6.0,67.215
XYZ,2025-06-30 13:33:00+00:00,67.185,67.62,67.185,67.62,646.0,20.0,67.434
XYZ,2025-06-30 13:34:00+00:00,67.5,67.5,67.5,67.5,200.0,2.0,67.5
XYZ,2025-06-30 13:35:00+00:00,67.485,67.485,67.29,67.29,352.0,4.0,67.347864
XYZ,2025-06-30 13:37:00+00:00,67.62,67.62,67.62,67.62,175.0,2.0,67.62
XYZ,2025-06-30 13:38:00+00:00,67.56,67.56,67.56,67.56,255.0,4.0,67.56
XYZ,2025-06-30 13:44:00+00:00,67.5,67.5,67.5,67.5,300.0,4.0,67.5
XYZ,2025-06-30 13:48:00+00:00,67.485,67.485,67.485,67.485,419.0,6.0,67.485
XYZ,2025-06-30 13:49:00+00:00,67.5,67.59,67.495,67.59,1834.0,14.0,67.526883
XYZ,2025-06-30 13:50:00+00:00,67.62,67.62,67.62,67.62,261.0,5.0,67.62
XYZ,2025-06-30 13:51:00+00:00,67.62,67.62,67.62,67.62,170.0,2.0,67.62
XYZ,2025-06-30 13:53:00+00:00,67.7,67.7,67.7,67.7,467.0,9.0,67.7
XYZ,2025-06-30 13:54:00+00:00,67.685,67.685,67.57,67.57,446.0,9.0,67.618333
XYZ,2025-06-30 13:55:00+00:00,67.61,67.755,67.61,67.755,385.0,5.0,67.698333
XYZ,2025-06-30 13:56:00+00:00,67.74,67.74,67.74,67.74,343.0,6.0,67.74
XYZ,2025-06-30 13:57:00+00:00,67.765,67.77,67.74,67.77,943.0,13.0,67.7575
XYZ,2025-06-30 13:58:00+00:00,67.9,67.95,67.9,67.93,1451.0,12.0,67.941
XYZ,2025-06-30 13:59:00+00:00,67.93,67.93,67.93,67.93,326.0,8.0,67.93
XYZ,2025-06-30 14:00:00+00:00,68.025,68.035,67.92,67.92,3071.0,20.0,68.009278
XYZ,2025-06-30 14:01:00+00:00,67.91,67.91,67.91,67.91,209.0,6.0,67.91
XYZ,2025-06-30 14:02:00+00:00,67.95,67.95,67.95,67.95,493.0,14.0,67.95
XYZ,2025-06-30 14:03:00+00:00,67.895,67.895,67.895,67.895,216.0,4.0,67.895
XYZ,2025-06-30 14:04:00+00:00,67.89,67.89,67.89,67.89,230.0,7.0,67.89
XYZ,2025-06-30 14:05:00+00:00,67.8,67.8,67.77,67.77,340.0,8.0,67.785
XYZ,2025-06-30 14:06:00+00:00,67.715,67.85,67.71,67.85,2591.0,20.0,67.743632
XYZ,2025-06-30 14:07:00+00:00,67.845,67.91,67.84,67.91,2171.0,24.0,67.889468
XYZ,2025-06-30 14:08:00+00:00,67.87,67.91,67.815,67.91,593.0,13.0,67.86375
XYZ,2025-06-30 14:09:00+00:00,67.795,67.795,67.795,67.795,301.0,6.0,67.795
XYZ,2025-06-30 14:10:00+00:00,67.795,67.81,67.795,67.81,471.0,11.0,67.802754
XYZ,2025-06-30 14:12:00+00:00,67.8,67.8,67.75,67.775,601.0,7.0,67.780801
XYZ,2025-06-30 14:13:00+00:00,67.77,67.89,67.77,67.885,2199.0,19.0,67.847186
XYZ,2025-06-30 14:14:00+00:00,67.91,67.91,67.8,67.8,3309.0,17.0,67.831825
XYZ,2025-06-30 14:15:00+00:00,67.83,67.83,67.83,67.83,453.0,7.0,67.83
XYZ,2025-06-30 14:16:00+00:00,67.855,67.855,67.83,67.83,547.0,11.0,67.846667
XYZ,2025-06-30 14:17:00+00:00,67.76,67.78,67.76,67.78,301.0,5.0,67.77
XYZ,2025-06-30 14:19:00+00:00,67.77,67.795,67.77,67.795,639.0,11.0,67.786786
XYZ,2025-06-30 14:20:00+00:00,67.72,67.74,67.72,67.74,627.0,9.0,67.731429
XYZ,2025-06-30 14:21:00+00:00,67.71,67.71,67.66,67.66,1233.0,16.0,67.688333
XYZ,2025-06-30 14:22:00+00:00,67.675,67.675,67.66,67.66,473.0,11.0,67.6675
XYZ,2025-06-30 14:23:00+00:00,67.59,67.66,67.59,67.66,597.0,11.0,67.636667
XYZ,2025-06-30 14:24:00+00:00,67.655,67.66,67.605,67.605,1872.0,28.0,67.643355
XYZ,2025-06-30 14:25:00+00:00,67.685,67.745,67.685,67.72,8241.0,21.0,67.715477
XYZ,2025-06-30 14:26:00+00:00,67.72,67.725,67.68,67.71,3859.0,18.0,67.711038
XYZ,2025-06-30 14:27:00+00:00,67.725,67.725,67.68,67.68,450.0,17.0,67.699824
XYZ,2025-06-30 14:28:00+00:00,67.64,67.68,67.64,67.68,920.0,17.0,67.654545
XYZ,2025-06-30 14:29:00+00:00,67.67,67.71,67.67,67.7,766.0,14.0,67.694
XYZ,2025-06-30 14:30:00+00:00,67.725,67.725,67.645,67.645,1178.0,16.0,67.697283
XYZ,2025-06-30 14:31:00+00:00,67.67,67.67,67.64,67.64,408.0,9.0,67.656234
XYZ,2025-06-30 14:32:00+00:00,67.66,67.66,67.66,67.66,473.0,10.0,67.66
XYZ,2025-06-30 14:33:00+00:00,67.67,67.72,67.67,67.675,786.0,15.0,67.69
