symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SMCI,2025-07-01 12:25:00+00:00,48.17,48.17,48.17,48.17,150.0,1.0,48.17
SMCI,2025-07-01 13:30:00+00:00,48.06,48.33,48.02,48.21,6585.0,84.0,48.166803
SMCI,2025-07-01 13:31:00+00:00,48.4,48.53,48.22,48.22,2323.0,35.0,48.34875
SMCI,2025-07-01 13:32:00+00:00,48.18,48.4,48.17,48.36,5253.0,49.0,48.246122
SMCI,2025-07-01 13:33:00+00:00,48.23,48.23,47.92,47.92,2147.0,29.0,48.081582
SMCI,2025-07-01 13:34:00+00:00,47.99,48.16,47.975,48.065,8010.0,91.0,48.07089
SMCI,2025-07-01 13:35:00+00:00,48.12,48.21,47.88,47.88,2615.0,43.0,48.042813
SMCI,2025-07-01 13:36:00+00:00,47.86,48.16,47.83,47.97,5157.0,62.0,47.967602
SMCI,2025-07-01 13:37:00+00:00,48.05,48.27,48.05,48.2,1886.0,34.0,48.194375
SMCI,2025-07-01 13:38:00+00:00,48.265,48.33,48.21,48.24,1425.0,23.0,48.2495
SMCI,2025-07-01 13:39:00+00:00,48.2,48.215,48.085,48.13,1134.0,15.0,48.1665
SMCI,2025-07-01 13:40:00+00:00,48.17,48.18,47.96,47.96,1199.0,15.0,48.127778
SMCI,2025-07-01 13:41:00+00:00,47.88,47.88,47.67,47.71,2669.0,39.0,47.778421
SMCI,2025-07-01 13:42:00+00:00,47.68,47.805,47.68,47.79,3196.0,35.0,47.763077
SMCI,2025-07-01 13:43:00+00:00,47.7,47.84,47.65,47.65,814.0,11.0,47.745
SMCI,2025-07-01 13:44:00+00:00,47.645,47.66,47.51,47.66,6899.0,75.0,47.550909
SMCI,2025-07-01 13:45:00+00:00,47.65,47.85,47.65,47.85,2517.0,30.0,47.762
SMCI,2025-07-01 13:46:00+00:00,47.85,47.9,47.845,47.89,1160.0,15.0,47.867778
SMCI,2025-07-01 13:47:00+00:00,47.82,47.87,47.81,47.81,4620.0,29.0,47.837315
SMCI,2025-07-01 13:48:00+00:00,47.96,47.96,47.765,47.77,1593.0,20.0,47.842308
SMCI,2025-07-01 13:49:00+00:00,47.82,47.84,47.74,47.74,895.0,14.0,47.797857
SMCI,2025-07-01 13:50:00+00:00,47.75,47.78,47.61,47.78,1402.0,22.0,47.6975
SMCI,2025-07-01 13:51:00+00:00,47.78,47.92,47.72,47.88,1040.0,15.0,47.796
SMCI,2025-07-01 13:52:00+00:00,47.86,47.86,47.8,47.84,948.0,14.0,47.8375
SMCI,2025-07-01 13:53:00+00:00,47.82,47.86,47.79,47.84,1301.0,14.0,47.810909
SMCI,2025-07-01 13:54:00+00:00,47.78,47.78,47.645,47.645,2056.0,23.0,47.706111
SMCI,2025-07-01 13:55:00+00:00,47.68,47.69,47.64,47.66,2009.0,21.0,47.661653
SMCI,2025-07-01 13:56:00+00:00,47.715,47.715,47.69,47.69,202.0,3.0,47.7025
SMCI,2025-07-01 13:57:00+00:00,47.7,47.72,47.67,47.67,811.0,10.0,47.69625
SMCI,2025-07-01 13:58:00+00:00,47.645,47.65,47.605,47.65,2457.0,30.0,47.611739
SMCI,2025-07-01 13:59:00+00:00,47.665,47.665,47.58,47.58,548.0,8.0,47.643
SMCI,2025-07-01 14:00:00+00:00,47.5,47.61,47.48,47.595,1308.0,13.0,47.551817
SMCI,2025-07-01 14:01:00+00:00,47.615,47.67,47.615,47.67,4983.0,54.0,47.625
SMCI,2025-07-01 14:02:00+00:00,47.66,47.74,47.615,47.74,883.0,15.0,47.698125
SMCI,2025-07-01 14:03:00+00:00,47.72,47.73,47.68,47.68,598.0,13.0,47.712
SMCI,2025-07-01 14:04:00+00:00,47.62,47.655,47.565,47.62,1552.0,19.0,47.628214
SMCI,2025-07-01 14:05:00+00:00,47.63,47.64,47.57,47.61,1566.0,16.0,47.616
SMCI,2025-07-01 14:06:00+00:00,47.725,47.83,47.725,47.81,1318.0,15.0,47.782917
SMCI,2025-07-01 14:07:00+00:00,47.79,47.815,47.78,47.815,1062.0,16.0,47.7967
SMCI,2025-07-01 14:08:00+00:00,47.8,47.85,47.75,47.75,1317.0,16.0,47.808333
SMCI,2025-07-01 14:09:00+00:00,47.76,47.76,47.73,47.73,427.0,9.0,47.74
SMCI,2025-07-01 14:10:00+00:00,47.85,47.995,47.84,47.98,1247.0,20.0,47.905
SMCI,2025-07-01 14:11:00+00:00,47.9,48.0,47.9,47.955,950.0,10.0,47.961667
SMCI,2025-07-01 14:12:00+00:00,48.06,48.06,48.04,48.05,1165.0,13.0,48.051818
SMCI,2025-07-01 14:14:00+00:00,48.06,48.07,48.03,48.07,1049.0,17.0,48.0475
SMCI,2025-07-01 14:15:00+00:00,48.095,48.23,48.09,48.23,715.0,19.0,48.155
SMCI,2025-07-01 14:16:00+00:00,48.2,48.23,48.2,48.23,640.0,10.0,48.222
SMCI,2025-07-01 14:17:00+00:00,48.24,48.24,48.2,48.2,590.0,5.0,48.216
SMCI,2025-07-01 14:18:00+00:00,48.18,48.18,48.18,48.18,287.0,7.0,48.18
SMCI,2025-07-01 14:19:00+00:00,48.165,48.23,48.16,48.23,443.0,6.0,48.185
SMCI,2025-07-01 14:20:00+00:00,48.25,48.25,48.21,48.225,1200.0,18.0,48.2295
SMCI,2025-07-01 14:21:00+00:00,48.11,48.11,48.0,48.04,1256.0,19.0,48.049375
SMCI,2025-07-01 14:22:00+00:00,47.98,47.98,47.835,47.94,1486.0,22.0,47.893987
SMCI,2025-07-01 14:23:00+00:00,47.89,47.89,47.72,47.75,1984.0,22.0,47.82509
SMCI,2025-07-01 14:24:00+00:00,47.77,47.85,47.77,47.85,501.0,9.0,47.823333
SMCI,2025-07-01 14:25:00+00:00,47.93,48.02,47.92,48.0,1551.0,19.0,47.984333
SMCI,2025-07-01 14:26:00+00:00,47.905,47.905,47.84,47.84,400.0,2.0,47.85625
SMCI,2025-07-01 14:27:00+00:00,47.805,47.82,47.745,47.82,1038.0,13.0,47.776667
SMCI,2025-07-01 14:28:00+00:00,47.8,47.8,47.76,47.76,619.0,9.0,47.785
SMCI,2025-07-01 14:29:00+00:00,47.74,47.74,47.645,47.67,2571.0,31.0,47.653913
SMCI,2025-07-01 14:30:00+00:00,47.71,47.71,47.705,47.71,1621.0,20.0,47.709286
SMCI,2025-07-01 14:31:00+00:00,47.655,47.67,47.63,47.65,1025.0,14.0,47.646111
SMCI,2025-07-01 14:32:00+00:00,47.71,47.71,47.71,47.71,211.0,4.0,47.71
SMCI,2025-07-01 14:33:00+00:00,47.74,47.74,47.57,47.62,1285.0,16.0,47.618148
SMCI,2025-07-01 14:34:00+00:00,47.61,47.69,47.59,47.635,1621.0,18.0,47.620357
SMCI,2025-07-01 14:35:00+00:00,47.68,47.74,47.63,47.63,2407.0,10.0,47.716957
SMCI,2025-07-01 14:36:00+00:00,47.63,47.65,47.41,47.42,9603.0,55.0,47.460557
SMCI,2025-07-01 14:37:00+00:00,47.4,47.415,47.25,47.27,14079.0,58.0,47.359088
SMCI,2025-07-01 14:38:00+00:00,47.24,47.28,47.165,47.28,3633.0,24.0,47.232384
SMCI,2025-07-01 14:39:00+00:00,47.305,47.31,47.2,47.2,887.0,10.0,47.265625
SMCI,2025-07-01 14:40:00+00:00,47.19,47.22,47.01,47.05,3573.0,44.0,47.103269
SMCI,2025-07-01 14:41:00+00:00,47.05,47.12,46.92,47.01,7499.0,46.0,47.015951
SMCI,2025-07-01 14:42:00+00:00,47.01,47.06,46.98,47.03,2858.0,36.0,47.0148
SMCI,2025-07-01 14:43:00+00:00,47.09,47.14,47.04,47.04,1481.0,22.0,47.094643
SMCI,2025-07-01 14:44:00+00:00,47.11,47.135,47.1,47.135,569.0,10.0,47.11875
SMCI,2025-07-01 14:45:00+00:00,47.085,47.15,47.085,47.12,532.0,11.0,47.11875
SMCI,2025-07-01 14:46:00+00:00,47.17,47.2,47.12,47.2,972.0,10.0,47.165
SMCI,2025-07-01 14:47:00+00:00,47.17,47.26,47.17,47.26,625.0,9.0,47.202
SMCI,2025-07-01 14:48:00+00:00,47.24,47.25,47.2,47.25,763.0,12.0,47.235
SMCI,2025-07-01 14:49:00+00:00,47.12,47.12,47.12,47.12,326.0,8.0,47.12
SMCI,2025-07-01 14:50:00+00:00,47.145,47.18,47.1,47.18,934.0,14.0,47.14
SMCI,2025-07-01 14:51:00+00:00,47.27,47.31,47.25,47.25,822.0,12.0,47.28125
