symbol,timestamp,open,high,low,close,volume,trade_count,vwap
UPS,2025-07-01 13:31:00+00:00,101.06,101.325,101.03,101.325,1517.0,19.0,101.180455
UPS,2025-07-01 13:32:00+00:00,101.425,101.54,101.425,101.515,400.0,4.0,101.49875
UPS,2025-07-01 13:33:00+00:00,101.44,101.44,101.305,101.305,980.0,16.0,101.351667
UPS,2025-07-01 13:34:00+00:00,101.425,101.425,101.425,101.425,184.0,3.0,101.425
UPS,2025-07-01 13:35:00+00:00,101.39,101.48,101.39,101.48,350.0,4.0,101.435
UPS,2025-07-01 13:36:00+00:00,101.415,101.415,101.345,101.345,1293.0,15.0,101.3795
UPS,2025-07-01 13:37:00+00:00,101.38,101.38,101.36,101.36,475.0,5.0,101.365
UPS,2025-07-01 13:38:00+00:00,101.51,101.515,101.51,101.515,529.0,8.0,101.511475
UPS,2025-07-01 13:40:00+00:00,101.64,101.64,101.64,101.64,200.0,3.0,101.64
UPS,2025-07-01 13:41:00+00:00,101.76,101.76,101.76,101.76,181.0,3.0,101.76
UPS,2025-07-01 13:43:00+00:00,101.835,101.835,101.795,101.795,379.0,7.0,101.815
UPS,2025-07-01 13:44:00+00:00,101.79,101.79,101.74,101.74,263.0,5.0,101.765
UPS,2025-07-01 13:45:00+00:00,101.77,101.77,101.72,101.735,510.0,10.0,101.741667
UPS,2025-07-01 13:46:00+00:00,101.735,101.76,101.735,101.76,366.0,9.0,101.7475
UPS,2025-07-01 13:47:00+00:00,101.71,101.71,101.68,101.68,239.0,4.0,101.695
UPS,2025-07-01 13:48:00+00:00,101.675,101.675,101.675,101.675,550.0,6.0,101.675
UPS,2025-07-01 13:51:00+00:00,101.69,101.69,101.69,101.69,329.0,7.0,101.69
UPS,2025-07-01 13:52:00+00:00,101.53,101.53,101.49,101.49,510.0,5.0,101.498
UPS,2025-07-01 13:53:00+00:00,101.475,101.495,101.475,101.495,1042.0,8.0,101.483
UPS,2025-07-01 13:54:00+00:00,101.515,101.515,101.515,101.515,339.0,5.0,101.515
UPS,2025-07-01 13:55:00+00:00,101.57,101.57,101.57,101.57,759.0,9.0,101.57
UPS,2025-07-01 13:56:00+00:00,101.495,101.52,101.495,101.52,501.0,3.0,101.5
UPS,2025-07-01 14:00:00+00:00,101.435,101.58,101.435,101.58,1299.0,16.0,101.493
UPS,2025-07-01 14:01:00+00:00,101.58,101.58,101.57,101.57,361.0,5.0,101.575
UPS,2025-07-01 14:03:00+00:00,101.62,101.62,101.62,101.62,275.0,4.0,101.62
UPS,2025-07-01 14:06:00+00:00,101.645,101.645,101.645,101.645,267.0,7.0,101.645
UPS,2025-07-01 14:07:00+00:00,101.84,101.84,101.84,101.84,217.0,4.0,101.84
UPS,2025-07-01 14:08:00+00:00,101.83,101.83,101.83,101.83,150.0,2.0,101.83
UPS,2025-07-01 14:09:00+00:00,101.91,101.91,101.9,101.9,325.0,5.0,101.906
UPS,2025-07-01 14:10:00+00:00,102.025,102.14,102.025,102.12,708.0,5.0,102.062857
UPS,2025-07-01 14:12:00+00:00,102.09,102.09,102.08,102.08,256.0,5.0,102.085
UPS,2025-07-01 14:13:00+00:00,102.05,102.12,102.05,102.12,443.0,2.0,102.065801
UPS,2025-07-01 14:14:00+00:00,102.08,102.08,102.08,102.08,133.0,5.0,102.08
UPS,2025-07-01 14:16:00+00:00,102.15,102.15,102.15,102.15,127.0,4.0,102.15
UPS,2025-07-01 14:19:00+00:00,102.38,102.41,102.38,102.4,575.0,8.0,102.398571
UPS,2025-07-01 14:21:00+00:00,102.47,102.525,102.47,102.5,878.0,13.0,102.4975
UPS,2025-07-01 14:22:00+00:00,102.67,102.68,102.67,102.68,631.0,15.0,102.676377
UPS,2025-07-01 14:23:00+00:00,102.78,102.78,102.74,102.74,927.0,11.0,102.766027
UPS,2025-07-01 14:24:00+00:00,102.77,102.77,102.69,102.69,2105.0,26.0,102.737778
UPS,2025-07-01 14:25:00+00:00,102.68,102.775,102.67,102.775,530.0,8.0,102.70125
UPS,2025-07-01 14:26:00+00:00,102.855,102.88,102.855,102.88,555.0,6.0,102.86317
UPS,2025-07-01 14:27:00+00:00,102.85,102.85,102.85,102.85,576.0,15.0,102.85
UPS,2025-07-01 14:28:00+00:00,102.84,102.87,102.83,102.87,983.0,23.0,102.844444
UPS,2025-07-01 14:29:00+00:00,102.96,102.96,102.96,102.96,261.0,7.0,102.96
UPS,2025-07-01 14:30:00+00:00,102.975,102.975,102.88,102.965,2849.0,28.0,102.945035
UPS,2025-07-01 14:31:00+00:00,102.95,102.95,102.9,102.93,930.0,16.0,102.932402
UPS,2025-07-01 14:32:00+00:00,102.94,102.94,102.9,102.9,1056.0,17.0,102.911447
UPS,2025-07-01 14:33:00+00:00,103.05,103.155,103.05,103.14,839.0,13.0,103.087364
UPS,2025-07-01 14:34:00+00:00,103.19,103.255,103.19,103.22,1767.0,23.0,103.225918
UPS,2025-07-01 14:35:00+00:00,103.22,103.3,103.22,103.25,2137.0,33.0,103.2704
UPS,2025-07-01 14:36:00+00:00,103.255,103.295,103.255,103.295,1024.0,14.0,103.271667
UPS,2025-07-01 14:37:00+00:00,103.29,103.4,103.29,103.4,2646.0,57.0,103.3645
UPS,2025-07-01 14:38:00+00:00,103.45,103.49,103.445,103.49,1019.0,15.0,103.475556
UPS,2025-07-01 14:39:00+00:00,103.53,103.54,103.44,103.5,1518.0,17.0,103.502218
UPS,2025-07-01 14:40:00+00:00,103.52,103.52,103.49,103.49,594.0,8.0,103.505
UPS,2025-07-01 14:41:00+00:00,103.7,103.705,103.7,103.7,310.0,4.0,103.701667
UPS,2025-07-01 14:42:00+00:00,103.8,103.8,103.76,103.78,1483.0,18.0,103.7784
UPS,2025-07-01 14:43:00+00:00,103.94,104.02,103.94,103.99,1423.0,17.0,103.981518
UPS,2025-07-01 14:44:00+00:00,103.98,103.98,103.93,103.93,1221.0,19.0,103.949375
UPS,2025-07-01 14:45:00+00:00,104.0,104.13,104.0,104.1,1080.0,21.0,104.06625
UPS,2025-07-01 14:46:00+00:00,104.15,104.2,104.115,104.2,701.0,8.0,104.149167
UPS,2025-07-01 14:47:00+00:00,104.15,104.155,104.14,104.14,748.0,10.0,104.147972
UPS,2025-07-01 14:48:00+00:00,104.15,104.15,104.08,104.12,1253.0,17.0,104.1015
UPS,2025-07-01 14:49:00+00:00,104.1,104.1,104.1,104.1,110.0,3.0,104.1
UPS,2025-07-01 14:50:00+00:00,104.08,104.08,103.98,103.98,491.0,9.0,104.046667
UPS,2025-07-01 14:51:00+00:00,103.95,103.96,103.95,103.96,630.0,10.0,103.958
UPS,2025-07-01 14:52:00+00:00,103.9,103.915,103.9,103.915,226.0,3.0,103.9075
UPS,2025-07-01 14:53:00+00:00,103.9,103.93,103.88,103.88,1681.0,25.0,103.910481
UPS,2025-07-01 14:54:00+00:00,103.98,103.99,103.98,103.99,475.0,4.0,103.985
UPS,2025-07-01 14:55:00+00:00,103.9,103.9,103.9,103.9,409.0,8.0,103.9
UPS,2025-07-01 14:56:00+00:00,103.95,103.98,103.95,103.98,562.0,8.0,103.97
UPS,2025-07-01 14:57:00+00:00,103.935,103.935,103.935,103.935,206.0,4.0,103.935
UPS,2025-07-01 14:58:00+00:00,104.14,104.17,104.14,104.16,450.0,10.0,104.156667
UPS,2025-07-01 14:59:00+00:00,104.17,104.17,104.17,104.17,293.0,7.0,104.17
UPS,2025-07-01 15:00:00+00:00,104.11,104.11,104.11,104.11,547.0,10.0,104.11
UPS,2025-07-01 15:01:00+00:00,104.12,104.12,104.03,104.05,1187.0,21.0,104.0725
UPS,2025-07-01 15:02:00+00:00,103.97,103.97,103.91,103.91,451.0,7.0,103.943333
UPS,2025-07-01 15:05:00+00:00,104.06,104.06,104.06,104.06,298.0,9.0,104.06
UPS,2025-07-01 15:06:00+00:00,104.245,104.27,104.17,104.17,1045.0,15.0,104.237083
UPS,2025-07-01 15:07:00+00:00,104.26,104.3,104.25,104.28,3903.0,33.0,104.275833
UPS,2025-07-01 15:08:00+00:00,104.35,104.35,104.27,104.27,3496.0,36.0,104.323387
UPS,2025-07-01 15:09:00+00:00,104.29,104.49,104.29,104.49,3557.0,31.0,104.390289
UPS,2025-07-01 15:10:00+00:00,104.475,104.475,104.4,104.4,2104.0,19.0,104.433907
UPS,2025-07-01 15:11:00+00:00,104.32,104.32,104.28,104.28,1074.0,21.0,104.3
UPS,2025-07-01 15:12:00+00:00,104.24,104.24,104.24,104.24,317.0,5.0,104.24
UPS,2025-07-01 15:13:00+00:00,104.3,104.385,104.3,104.35,1338.0,16.0,104.326837
UPS,2025-07-01 15:14:00+00:00,104.32,104.32,104.32,104.32,465.0,14.0,104.32
UPS,2025-07-01 15:15:00+00:00,104.5,104.565,104.45,104.52,1202.0,17.0,104.503125
UPS,2025-07-01 15:16:00+00:00,104.56,104.56,104.47,104.47,1000.0,11.0,104.519816
UPS,2025-07-01 15:17:00+00:00,104.5,104.64,104.49,104.64,476.0,6.0,104.543333
UPS,2025-07-01 15:18:00+00:00,104.64,104.64,104.57,104.59,512.0,5.0,104.6
UPS,2025-07-01 15:19:00+00:00,104.51,104.52,104.48,104.48,556.0,9.0,104.5025
UPS,2025-07-01 15:20:00+00:00,104.46,104.46,104.42,104.42,690.0,9.0,104.44
UPS,2025-07-01 15:21:00+00:00,104.4,104.53,104.4,104.53,334.0,6.0,104.465
UPS,2025-07-01 15:22:00+00:00,104.55,104.55,104.52,104.52,387.0,6.0,104.53
UPS,2025-07-01 15:23:00+00:00,104.59,104.59,104.59,104.59,236.0,5.0,104.59
UPS,2025-07-01 15:24:00+00:00,104.61,104.61,104.58,104.58,798.0,12.0,104.6
UPS,2025-07-01 15:25:00+00:00,104.52,104.52,104.465,104.465,1157.0,10.0,104.481584
UPS,2025-07-01 15:26:00+00:00,104.475,104.64,104.475,104.64,2619.0,23.0,104.612962
UPS,2025-07-01 15:27:00+00:00,104.64,104.68,104.63,104.68,2002.0,24.0,104.641314
UPS,2025-07-01 15:28:00+00:00,104.67,104.77,104.67,104.72,881.0,12.0,104.718562
UPS,2025-07-01 15:29:00+00:00,104.74,104.74,104.58,104.58,1769.0,24.0,104.688361
UPS,2025-07-01 15:30:00+00:00,104.57,104.57,104.51,104.56,1105.0,20.0,104.541429
UPS,2025-07-01 15:31:00+00:00,104.53,104.57,104.53,104.57,402.0,7.0,104.55
UPS,2025-07-01 15:32:00+00:00,104.53,104.53,104.53,104.53,290.0,6.0,104.53
UPS,2025-07-01 15:33:00+00:00,104.63,104.73,104.63,104.73,734.0,13.0,104.677778
UPS,2025-07-01 15:34:00+00:00,104.79,104.79,104.79,104.79,178.0,4.0,104.79
UPS,2025-07-01 15:35:00+00:00,104.75,104.75,104.7,104.71,864.0,16.0,104.718
UPS,2025-07-01 15:36:00+00:00,104.75,104.75,104.72,104.73,614.0,10.0,104.7375
UPS,2025-07-01 15:37:00+00:00,104.74,104.74,104.74,104.74,333.0,5.0,104.74
UPS,2025-07-01 15:38:00+00:00,104.81,104.85,104.74,104.85,1604.0,28.0,104.800088
UPS,2025-07-01 15:39:00+00:00,104.85,104.9,104.85,104.9,1016.0,20.0,104.87284
UPS,2025-07-01 15:40:00+00:00,104.91,104.91,104.88,104.89,505.0,6.0,104.892716
UPS,2025-07-01 15:41:00+00:00,104.91,104.91,104.91,104.91,190.0,5.0,104.91
UPS,2025-07-01 15:42:00+00:00,105.0,105.04,104.99,105.04,1591.0,15.0,105.025
UPS,2025-07-01 15:43:00+00:00,105.05,105.09,104.99,105.03,1885.0,22.0,105.052408
UPS,2025-07-01 15:44:00+00:00,105.08,105.09,105.07,105.07,782.0,13.0,105.08
UPS,2025-07-01 15:46:00+00:00,105.16,105.235,105.16,105.235,469.0,6.0,105.200517
UPS,2025-07-01 15:47:00+00:00,105.32,105.34,105.29,105.29,1200.0,14.0,105.318824
UPS,2025-07-01 15:48:00+00:00,105.29,105.29,105.27,105.27,785.0,10.0,105.278
UPS,2025-07-01 15:49:00+00:00,105.3,105.3,105.3,105.3,214.0,4.0,105.3
UPS,2025-07-01 15:50:00+00:00,105.33,105.38,105.33,105.36,1072.0,16.0,105.361222
UPS,2025-07-01 15:51:00+00:00,105.32,105.32,105.32,105.32,150.0,2.0,105.32
UPS,2025-07-01 15:52:00+00:00,105.24,105.265,105.18,105.265,1000.0,15.0,105.221
