symbol,timestamp,open,high,low,close,volume,trade_count,vwap
URI,2025-07-01 13:30:00+00:00,753.59,753.59,752.54,752.54,330.0,10.0,753.065
URI,2025-07-01 13:33:00+00:00,754.0,754.0,754.0,754.0,110.0,3.0,754.0
URI,2025-07-01 13:35:00+00:00,748.985,748.985,748.985,748.985,101.0,2.0,748.985
URI,2025-07-01 13:46:00+00:00,747.91,747.91,747.91,747.91,120.0,4.0,747.91
URI,2025-07-01 13:51:00+00:00,750.69,750.69,750.69,750.69,195.0,8.0,750.69
URI,2025-07-01 13:52:00+00:00,752.16,752.16,752.16,752.16,145.0,10.0,752.16
URI,2025-07-01 13:57:00+00:00,751.5,751.5,751.495,751.495,429.0,12.0,751.4975
URI,2025-07-01 14:16:00+00:00,758.565,758.565,758.565,758.565,110.0,2.0,758.565
URI,2025-07-01 14:19:00+00:00,759.8,759.8,759.8,759.8,100.0,1.0,759.8
URI,2025-07-01 14:57:00+00:00,761.325,761.325,761.325,761.325,114.0,4.0,761.325
URI,2025-07-01 15:05:00+00:00,763.825,763.825,763.825,763.825,334.0,16.0,763.825
URI,2025-07-01 15:07:00+00:00,764.09,764.09,764.09,764.09,290.0,6.0,764.09
URI,2025-07-01 15:16:00+00:00,765.43,765.43,765.43,765.43,106.0,2.0,765.43
URI,2025-07-01 15:17:00+00:00,765.94,765.94,765.94,765.94,231.0,15.0,765.94
URI,2025-07-01 15:29:00+00:00,770.405,770.58,770.405,770.58,1339.0,46.0,770.53625
URI,2025-07-01 15:32:00+00:00,770.84,770.84,770.84,770.84,165.0,8.0,770.84
URI,2025-07-01 15:54:00+00:00,775.295,775.295,775.295,775.295,352.0,10.0,775.295
URI,2025-07-01 16:28:00+00:00,781.28,781.28,781.28,781.28,334.0,16.0,781.28
URI,2025-07-01 16:35:00+00:00,780.15,780.15,780.15,780.15,120.0,3.0,780.15
URI,2025-07-01 16:36:00+00:00,779.565,779.565,779.565,779.565,287.0,12.0,779.565
URI,2025-07-01 16:47:00+00:00,775.06,775.06,775.06,775.06,116.0,4.0,775.06
URI,2025-07-01 16:51:00+00:00,776.595,776.595,776.595,776.595,169.0,5.0,776.595
URI,2025-07-01 16:54:00+00:00,776.595,776.595,776.595,776.595,110.0,2.0,776.595
URI,2025-07-01 16:55:00+00:00,776.595,776.595,776.595,776.595,255.0,4.0,776.595
URI,2025-07-01 16:59:00+00:00,774.915,774.915,774.915,774.915,103.0,4.0,774.915
URI,2025-07-01 17:02:00+00:00,774.48,774.48,773.975,773.975,243.0,7.0,774.2275
URI,2025-07-01 17:05:00+00:00,774.65,774.65,774.65,774.65,168.0,10.0,774.65
URI,2025-07-01 17:10:00+00:00,774.45,774.45,774.45,774.45,106.0,3.0,774.45
URI,2025-07-01 17:22:00+00:00,776.91,776.91,776.9,776.9,385.0,13.0,776.905
URI,2025-07-01 17:35:00+00:00,776.99,776.99,776.99,776.99,253.0,8.0,776.99
URI,2025-07-01 17:37:00+00:00,776.75,776.75,776.75,776.75,181.0,7.0,776.75
URI,2025-07-01 17:41:00+00:00,777.41,777.41,777.41,777.41,123.0,4.0,777.41
URI,2025-07-01 17:50:00+00:00,775.54,775.55,775.54,775.55,200.0,2.0,775.545
URI,2025-07-01 17:53:00+00:00,777.985,777.985,777.985,777.985,198.0,9.0,777.985
URI,2025-07-01 18:05:00+00:00,776.43,776.535,776.43,776.535,257.0,9.0,776.4825
URI,2025-07-01 18:06:00+00:00,776.56,776.57,776.56,776.57,425.0,16.0,776.565
URI,2025-07-01 18:17:00+00:00,776.135,776.135,776.135,776.135,108.0,3.0,776.135
URI,2025-07-01 18:19:00+00:00,776.21,776.21,776.21,776.21,100.0,1.0,776.21
URI,2025-07-01 18:23:00+00:00,776.44,776.44,776.44,776.44,260.0,6.0,776.44
URI,2025-07-01 18:24:00+00:00,776.51,776.51,776.51,776.51,691.0,26.0,776.51
URI,2025-07-01 18:26:00+00:00,776.625,776.625,776.625,776.625,165.0,6.0,776.625
URI,2025-07-01 18:33:00+00:00,778.175,778.175,778.175,778.175,106.0,2.0,778.175
URI,2025-07-01 18:39:00+00:00,777.205,777.205,777.205,777.205,149.0,8.0,777.205
URI,2025-07-01 18:40:00+00:00,777.295,777.295,777.295,777.295,100.0,1.0,777.295
URI,2025-07-01 18:43:00+00:00,777.29,777.29,777.29,777.29,120.0,2.0,777.29
URI,2025-07-01 18:46:00+00:00,777.88,777.88,777.88,777.88,100.0,1.0,777.88
URI,2025-07-01 18:51:00+00:00,777.585,777.585,777.54,777.54,547.0,23.0,777.57
URI,2025-07-01 18:53:00+00:00,777.18,777.18,777.145,777.145,201.0,3.0,777.1625
URI,2025-07-01 18:57:00+00:00,777.76,777.76,777.76,777.76,169.0,5.0,777.76
URI,2025-07-01 18:59:00+00:00,777.655,777.655,777.655,777.655,142.0,3.0,777.655
URI,2025-07-01 19:01:00+00:00,776.375,776.375,776.375,776.375,100.0,1.0,776.375
URI,2025-07-01 19:02:00+00:00,775.82,775.82,775.82,775.82,150.0,5.0,775.82
