symbol,timestamp,open,high,low,close,volume,trade_count,vwap
VRTX,2025-07-01 13:30:00+00:00,444.635,444.635,444.635,444.635,110.0,2.0,444.635
VRTX,2025-07-01 13:32:00+00:00,446.195,446.195,446.195,446.195,100.0,1.0,446.195
VRTX,2025-07-01 13:34:00+00:00,446.03,446.03,446.03,446.03,270.0,4.0,446.03
VRTX,2025-07-01 13:36:00+00:00,447.425,447.425,447.425,447.425,100.0,1.0,447.425
VRTX,2025-07-01 13:39:00+00:00,448.47,448.47,448.47,448.47,206.0,4.0,448.47
VRTX,2025-07-01 13:55:00+00:00,447.55,447.76,447.55,447.76,1075.0,20.0,447.584539
VRTX,2025-07-01 13:59:00+00:00,447.98,447.98,447.98,447.98,259.0,6.0,447.98
VRTX,2025-07-01 14:00:00+00:00,448.07,448.75,448.07,448.75,474.0,10.0,448.447778
VRTX,2025-07-01 14:03:00+00:00,447.23,447.23,446.8,446.8,247.0,4.0,447.015
VRTX,2025-07-01 14:07:00+00:00,446.235,446.235,446.235,446.235,100.0,1.0,446.235
VRTX,2025-07-01 14:14:00+00:00,446.32,446.59,446.32,446.59,273.0,8.0,446.455
VRTX,2025-07-01 14:15:00+00:00,446.575,446.575,446.575,446.575,222.0,4.0,446.575
VRTX,2025-07-01 14:21:00+00:00,446.6,446.6,446.6,446.6,151.0,7.0,446.6
VRTX,2025-07-01 14:23:00+00:00,447.09,447.09,446.945,446.945,357.0,6.0,447.0175
VRTX,2025-07-01 14:27:00+00:00,447.255,447.255,447.255,447.255,530.0,9.0,447.255
VRTX,2025-07-01 14:30:00+00:00,448.06,448.06,447.89,447.89,425.0,8.0,447.975
VRTX,2025-07-01 14:31:00+00:00,448.08,448.08,448.075,448.075,343.0,11.0,448.0775
VRTX,2025-07-01 14:33:00+00:00,448.36,448.36,448.36,448.36,107.0,3.0,448.36
VRTX,2025-07-01 14:34:00+00:00,448.28,448.32,448.28,448.28,505.0,11.0,448.293333
VRTX,2025-07-01 14:35:00+00:00,448.64,448.64,448.64,448.64,167.0,4.0,448.64
VRTX,2025-07-01 14:37:00+00:00,448.73,448.73,448.73,448.73,510.0,11.0,448.73
VRTX,2025-07-01 14:38:00+00:00,448.78,448.78,448.78,448.78,369.0,15.0,448.78
VRTX,2025-07-01 14:39:00+00:00,449.94,449.94,449.94,449.94,152.0,6.0,449.94
VRTX,2025-07-01 14:47:00+00:00,451.445,451.445,451.445,451.445,254.0,5.0,451.445
VRTX,2025-07-01 14:51:00+00:00,449.85,449.85,449.85,449.85,100.0,1.0,449.85
VRTX,2025-07-01 15:00:00+00:00,450.43,450.44,450.43,450.44,300.0,4.0,450.435
VRTX,2025-07-01 15:15:00+00:00,453.115,453.115,453.115,453.115,101.0,2.0,453.115
VRTX,2025-07-01 15:18:00+00:00,453.72,453.72,453.72,453.72,172.0,4.0,453.72
VRTX,2025-07-01 16:06:00+00:00,455.11,455.53,455.11,455.445,569.0,9.0,455.361667
VRTX,2025-07-01 16:07:00+00:00,455.445,455.445,455.445,455.445,110.0,2.0,455.445
VRTX,2025-07-01 16:11:00+00:00,456.0,456.0,456.0,456.0,246.0,7.0,456.0
VRTX,2025-07-01 16:12:00+00:00,456.31,456.31,456.31,456.31,126.0,5.0,456.31
VRTX,2025-07-01 16:30:00+00:00,454.35,454.35,454.35,454.35,133.0,5.0,454.35
VRTX,2025-07-01 16:37:00+00:00,453.605,453.66,453.605,453.66,204.0,5.0,453.6325
VRTX,2025-07-01 16:45:00+00:00,452.945,452.945,452.945,452.945,106.0,3.0,452.945
VRTX,2025-07-01 16:55:00+00:00,451.98,451.98,451.72,451.72,625.0,19.0,451.85
VRTX,2025-07-01 16:57:00+00:00,451.505,451.505,451.505,451.505,118.0,3.0,451.505
VRTX,2025-07-01 16:58:00+00:00,451.7,451.7,451.7,451.7,248.0,8.0,451.7
