symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WMT,2025-07-01 13:30:00+00:00,97.695,97.86,97.46,97.86,5172.0,47.0,97.632341
WMT,2025-07-01 13:31:00+00:00,97.855,98.14,97.855,98.14,2572.0,24.0,98.050414
WMT,2025-07-01 13:32:00+00:00,98.075,98.37,98.065,98.35,2596.0,30.0,98.23125
WMT,2025-07-01 13:33:00+00:00,98.28,98.34,98.245,98.27,2622.0,23.0,98.281201
WMT,2025-07-01 13:34:00+00:00,98.29,98.29,98.23,98.25,1983.0,26.0,98.261373
WMT,2025-07-01 13:35:00+00:00,98.25,98.565,98.24,98.53,2447.0,30.0,98.432601
WMT,2025-07-01 13:36:00+00:00,98.54,98.63,98.54,98.63,3101.0,33.0,98.562407
WMT,2025-07-01 13:37:00+00:00,98.61,98.705,98.57,98.58,6392.0,39.0,98.622185
WMT,2025-07-01 13:38:00+00:00,98.59,98.78,98.59,98.72,4537.0,50.0,98.670832
WMT,2025-07-01 13:39:00+00:00,98.735,98.94,98.7,98.86,4154.0,31.0,98.878691
WMT,2025-07-01 13:40:00+00:00,98.85,98.87,98.79,98.825,2409.0,32.0,98.841667
WMT,2025-07-01 13:41:00+00:00,98.83,99.14,98.83,99.14,6202.0,69.0,98.92586
WMT,2025-07-01 13:42:00+00:00,99.12,99.125,98.96,99.05,3477.0,41.0,99.038301
WMT,2025-07-01 13:43:00+00:00,99.05,99.06,98.91,98.91,2702.0,24.0,98.999387
WMT,2025-07-01 13:44:00+00:00,98.835,98.835,98.775,98.79,2231.0,27.0,98.821397
WMT,2025-07-01 13:45:00+00:00,98.79,98.79,98.68,98.68,1839.0,27.0,98.716442
WMT,2025-07-01 13:46:00+00:00,98.72,98.72,98.54,98.54,2180.0,23.0,98.616982
WMT,2025-07-01 13:47:00+00:00,98.54,98.57,98.53,98.56,2576.0,33.0,98.550465
WMT,2025-07-01 13:48:00+00:00,98.53,98.53,98.49,98.49,1075.0,16.0,98.519054
WMT,2025-07-01 13:49:00+00:00,98.5,98.63,98.5,98.565,1786.0,21.0,98.584063
WMT,2025-07-01 13:50:00+00:00,98.54,98.55,98.505,98.55,3879.0,33.0,98.518608
WMT,2025-07-01 13:51:00+00:00,98.62,98.705,98.62,98.68,987.0,12.0,98.651806
WMT,2025-07-01 13:52:00+00:00,98.63,98.64,98.61,98.61,1112.0,22.0,98.624444
WMT,2025-07-01 13:53:00+00:00,98.59,98.67,98.58,98.64,2584.0,25.0,98.620375
WMT,2025-07-01 13:54:00+00:00,98.63,98.66,98.62,98.62,926.0,11.0,98.644444
WMT,2025-07-01 13:55:00+00:00,98.56,98.56,98.475,98.475,650.0,10.0,98.518333
WMT,2025-07-01 13:56:00+00:00,98.47,98.5,98.47,98.48,3507.0,36.0,98.483665
WMT,2025-07-01 13:57:00+00:00,98.44,98.46,98.42,98.43,1765.0,28.0,98.434869
WMT,2025-07-01 13:58:00+00:00,98.43,98.45,98.415,98.43,1678.0,24.0,98.436093
WMT,2025-07-01 13:59:00+00:00,98.43,98.49,98.43,98.48,3153.0,57.0,98.451099
WMT,2025-07-01 14:00:00+00:00,98.43,98.62,98.43,98.52,2853.0,34.0,98.524894
WMT,2025-07-01 14:01:00+00:00,98.56,98.6,98.51,98.51,1650.0,17.0,98.555351
WMT,2025-07-01 14:02:00+00:00,98.505,98.505,98.46,98.47,821.0,7.0,98.489681
WMT,2025-07-01 14:03:00+00:00,98.51,98.51,98.47,98.47,1819.0,10.0,98.4868
WMT,2025-07-01 14:04:00+00:00,98.47,98.48,98.42,98.435,1830.0,22.0,98.442667
WMT,2025-07-01 14:05:00+00:00,98.47,98.475,98.46,98.46,3876.0,24.0,98.462527
WMT,2025-07-01 14:06:00+00:00,98.48,98.48,98.43,98.46,2153.0,24.0,98.456471
WMT,2025-07-01 14:07:00+00:00,98.47,98.5,98.44,98.5,1961.0,28.0,98.468713
WMT,2025-07-01 14:08:00+00:00,98.51,98.57,98.51,98.55,689.0,16.0,98.534
WMT,2025-07-01 14:09:00+00:00,98.49,98.5,98.44,98.46,2486.0,23.0,98.472512
WMT,2025-07-01 14:10:00+00:00,98.48,98.485,98.38,98.38,1538.0,23.0,98.453534
WMT,2025-07-01 14:11:00+00:00,98.385,98.495,98.385,98.495,2270.0,26.0,98.4515
WMT,2025-07-01 14:12:00+00:00,98.47,98.52,98.47,98.52,1052.0,15.0,98.492857
WMT,2025-07-01 14:13:00+00:00,98.52,98.52,98.495,98.5,986.0,16.0,98.5075
WMT,2025-07-01 14:14:00+00:00,98.5,98.5,98.475,98.48,1465.0,18.0,98.482883
WMT,2025-07-01 14:15:00+00:00,98.49,98.6,98.49,98.59,4323.0,39.0,98.549207
WMT,2025-07-01 14:16:00+00:00,98.585,98.62,98.575,98.58,1466.0,20.0,98.595113
WMT,2025-07-01 14:17:00+00:00,98.57,98.7,98.57,98.665,2022.0,25.0,98.663426
WMT,2025-07-01 14:18:00+00:00,98.67,98.67,98.64,98.64,562.0,11.0,98.655
WMT,2025-07-01 14:19:00+00:00,98.705,98.71,98.7,98.7,1300.0,16.0,98.705
WMT,2025-07-01 14:20:00+00:00,98.72,98.72,98.63,98.67,863.0,15.0,98.67
WMT,2025-07-01 14:21:00+00:00,98.72,98.72,98.72,98.72,466.0,6.0,98.72
WMT,2025-07-01 14:22:00+00:00,98.71,98.77,98.71,98.76,1451.0,17.0,98.737692
WMT,2025-07-01 14:23:00+00:00,98.78,98.8,98.76,98.79,2233.0,32.0,98.785882
WMT,2025-07-01 14:24:00+00:00,98.79,98.8,98.76,98.76,744.0,13.0,98.786
WMT,2025-07-01 14:25:00+00:00,98.74,98.84,98.74,98.84,1211.0,19.0,98.777273
