symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WYNN,2025-07-01 13:30:00+00:00,97.095,98.555,97.095,98.395,4147.0,49.0,98.063971
WYNN,2025-07-01 13:31:00+00:00,98.36,100.89,98.36,100.64,4586.0,54.0,100.087452
WYNN,2025-07-01 13:32:00+00:00,100.535,100.535,99.97,99.97,1599.0,33.0,100.305215
WYNN,2025-07-01 13:34:00+00:00,99.63,100.43,99.63,100.295,1672.0,41.0,100.071708
WYNN,2025-07-01 13:35:00+00:00,100.375,100.52,100.2,100.2,4589.0,75.0,100.377319
WYNN,2025-07-01 13:36:00+00:00,100.32,100.32,100.04,100.04,1489.0,19.0,100.251791
WYNN,2025-07-01 13:39:00+00:00,99.66,99.66,99.215,99.215,503.0,6.0,99.363333
WYNN,2025-07-01 13:40:00+00:00,99.21,99.88,99.21,99.88,926.0,13.0,99.433125
WYNN,2025-07-01 13:41:00+00:00,99.89,100.27,99.89,100.245,3353.0,54.0,100.14879
WYNN,2025-07-01 13:42:00+00:00,100.245,100.54,100.245,100.54,1738.0,37.0,100.436667
WYNN,2025-07-01 13:43:00+00:00,100.81,101.31,100.81,101.285,2109.0,41.0,101.089298
WYNN,2025-07-01 13:44:00+00:00,101.32,101.33,101.075,101.31,1533.0,45.0,101.221774
WYNN,2025-07-01 13:46:00+00:00,101.415,101.425,100.86,101.16,3119.0,60.0,101.181624
WYNN,2025-07-01 13:47:00+00:00,101.105,101.105,101.07,101.07,536.0,12.0,101.087587
WYNN,2025-07-01 13:48:00+00:00,100.93,101.125,100.93,101.01,1873.0,32.0,101.0075
WYNN,2025-07-01 13:49:00+00:00,101.06,101.1,101.025,101.025,1115.0,24.0,101.061661
WYNN,2025-07-01 13:50:00+00:00,100.74,100.74,100.47,100.485,1506.0,25.0,100.5575
WYNN,2025-07-01 13:51:00+00:00,100.785,100.785,100.75,100.75,374.0,7.0,100.7675
WYNN,2025-07-01 13:52:00+00:00,100.805,101.065,100.805,101.065,2118.0,47.0,100.930063
WYNN,2025-07-01 13:53:00+00:00,101.065,101.065,100.685,100.71,2626.0,57.0,100.881095
WYNN,2025-07-01 13:54:00+00:00,100.8,100.8,100.77,100.77,712.0,28.0,100.785
WYNN,2025-07-01 13:55:00+00:00,100.91,100.915,100.91,100.915,609.0,21.0,100.9125
WYNN,2025-07-01 13:56:00+00:00,100.82,100.885,100.77,100.77,1726.0,40.0,100.831791
WYNN,2025-07-01 13:57:00+00:00,100.755,100.8,100.745,100.745,419.0,8.0,100.766667
WYNN,2025-07-01 13:58:00+00:00,100.805,100.805,100.695,100.75,786.0,16.0,100.730106
