symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WY,2025-07-01 13:30:00+00:00,25.48,25.48,25.16,25.41,12547.0,102.0,25.299111
WY,2025-07-01 13:31:00+00:00,25.365,25.39,25.35,25.375,3401.0,21.0,25.373026
WY,2025-07-01 13:32:00+00:00,25.32,25.36,25.32,25.36,359.0,5.0,25.34
WY,2025-07-01 13:33:00+00:00,25.37,25.37,25.355,25.355,439.0,7.0,25.3625
WY,2025-07-01 13:34:00+00:00,25.44,25.44,25.44,25.44,373.0,9.0,25.44
WY,2025-07-01 13:35:00+00:00,25.45,25.51,25.45,25.51,783.0,10.0,25.48
WY,2025-07-01 13:36:00+00:00,25.595,25.595,25.595,25.595,100.0,1.0,25.595
WY,2025-07-01 13:37:00+00:00,25.58,25.58,25.54,25.54,1100.0,11.0,25.566364
WY,2025-07-01 13:38:00+00:00,25.53,25.54,25.52,25.52,1998.0,16.0,25.531116
WY,2025-07-01 13:39:00+00:00,25.51,25.52,25.51,25.52,295.0,3.0,25.515
WY,2025-07-01 13:40:00+00:00,25.53,25.54,25.52,25.54,404.0,6.0,25.53
WY,2025-07-01 13:41:00+00:00,25.52,25.54,25.52,25.54,303.0,5.0,25.533333
WY,2025-07-01 13:42:00+00:00,25.54,25.575,25.54,25.575,506.0,6.0,25.565
WY,2025-07-01 13:43:00+00:00,25.57,25.57,25.55,25.55,2504.0,13.0,25.5684
WY,2025-07-01 13:44:00+00:00,25.55,25.55,25.55,25.55,106.0,3.0,25.55
WY,2025-07-01 13:45:00+00:00,25.59,25.59,25.58,25.58,319.0,3.0,25.586795
WY,2025-07-01 13:47:00+00:00,25.585,25.585,25.57,25.57,293.0,4.0,25.5775
WY,2025-07-01 13:48:00+00:00,25.58,25.6,25.58,25.6,804.0,9.0,25.593125
WY,2025-07-01 13:50:00+00:00,25.6,25.6,25.59,25.59,204.0,3.0,25.595
WY,2025-07-01 13:51:00+00:00,25.63,25.64,25.63,25.64,378.0,3.0,25.634709
WY,2025-07-01 13:52:00+00:00,25.63,25.63,25.615,25.615,313.0,7.0,25.621667
WY,2025-07-01 13:53:00+00:00,25.61,25.61,25.61,25.61,277.0,4.0,25.61
WY,2025-07-01 13:54:00+00:00,25.6,25.61,25.6,25.6,1341.0,12.0,25.607581
WY,2025-07-01 13:55:00+00:00,25.6,25.6,25.58,25.59,1412.0,15.0,25.591543
WY,2025-07-01 13:56:00+00:00,25.59,25.61,25.59,25.61,1746.0,15.0,25.604924
