symbol,timestamp,open,high,low,close,volume,trade_count,vwap
XYL,2025-07-01 13:30:00+00:00,128.76,128.76,128.76,128.76,191.0,6.0,128.76
XYL,2025-07-01 13:32:00+00:00,129.145,129.145,129.145,129.145,163.0,2.0,129.145
XYL,2025-07-01 13:34:00+00:00,128.94,128.94,128.94,128.94,130.0,2.0,128.94
XYL,2025-07-01 13:36:00+00:00,129.215,129.215,129.06,129.06,400.0,4.0,129.1475
XYL,2025-07-01 13:37:00+00:00,129.28,129.28,129.28,129.28,100.0,1.0,129.28
XYL,2025-07-01 13:38:00+00:00,129.365,129.38,129.125,129.18,925.0,10.0,129.29375
XYL,2025-07-01 13:41:00+00:00,129.27,129.27,129.06,129.06,376.0,6.0,129.136667
XYL,2025-07-01 13:43:00+00:00,129.04,129.04,128.94,128.94,796.0,13.0,129.004444
XYL,2025-07-01 13:44:00+00:00,128.9,128.9,128.84,128.84,310.0,5.0,128.863333
XYL,2025-07-01 13:51:00+00:00,129.26,129.26,129.19,129.19,750.0,8.0,129.205
XYL,2025-07-01 13:57:00+00:00,129.02,129.02,129.0,129.02,613.0,10.0,129.016
XYL,2025-07-01 13:59:00+00:00,129.0,129.0,129.0,129.0,259.0,4.0,129.0
XYL,2025-07-01 14:01:00+00:00,129.09,129.09,129.09,129.09,200.0,3.0,129.09
XYL,2025-07-01 14:02:00+00:00,129.1,129.1,129.1,129.1,182.0,5.0,129.1
XYL,2025-07-01 14:05:00+00:00,129.14,129.14,129.14,129.14,277.0,11.0,129.14
XYL,2025-07-01 14:09:00+00:00,129.205,129.215,129.205,129.215,340.0,5.0,129.208333
XYL,2025-07-01 14:10:00+00:00,129.21,129.21,129.21,129.21,414.0,13.0,129.21
XYL,2025-07-01 14:13:00+00:00,129.545,129.545,129.545,129.545,101.0,2.0,129.545
XYL,2025-07-01 14:18:00+00:00,129.53,129.53,129.53,129.53,125.0,1.0,129.53
XYL,2025-07-01 14:19:00+00:00,129.51,129.515,129.51,129.515,1598.0,18.0,129.514218
XYL,2025-07-01 14:20:00+00:00,129.49,129.505,129.49,129.505,299.0,3.0,129.4975
XYL,2025-07-01 14:21:00+00:00,129.51,129.52,129.51,129.51,1840.0,18.0,129.516111
XYL,2025-07-01 14:22:00+00:00,129.505,129.52,129.505,129.52,1736.0,25.0,129.514646
XYL,2025-07-01 14:23:00+00:00,129.51,129.51,129.51,129.51,143.0,5.0,129.51
XYL,2025-07-01 14:24:00+00:00,129.5,129.5,129.5,129.5,168.0,6.0,129.5
XYL,2025-07-01 14:25:00+00:00,129.535,129.59,129.535,129.59,501.0,5.0,129.546
XYL,2025-07-01 14:26:00+00:00,129.61,129.61,129.61,129.61,114.0,3.0,129.61
XYL,2025-07-01 14:29:00+00:00,129.545,129.545,129.545,129.545,319.0,5.0,129.545
XYL,2025-07-01 14:30:00+00:00,129.52,129.57,129.52,129.57,3820.0,40.0,129.546761
XYL,2025-07-01 14:31:00+00:00,129.69,129.82,129.69,129.82,1954.0,18.0,129.758797
XYL,2025-07-01 14:32:00+00:00,129.835,129.835,129.835,129.835,124.0,1.0,129.835
XYL,2025-07-01 14:39:00+00:00,129.6,129.6,129.555,129.555,605.0,13.0,129.580723
XYL,2025-07-01 14:42:00+00:00,129.73,129.73,129.73,129.73,164.0,2.0,129.73
XYL,2025-07-01 14:44:00+00:00,129.73,129.79,129.73,129.79,300.0,3.0,129.77
XYL,2025-07-01 14:45:00+00:00,129.79,129.79,129.79,129.79,100.0,1.0,129.79
XYL,2025-07-01 14:46:00+00:00,129.79,129.82,129.79,129.82,396.0,4.0,129.80519
XYL,2025-07-01 14:47:00+00:00,129.845,129.845,129.845,129.845,241.0,3.0,129.845
XYL,2025-07-01 14:48:00+00:00,129.86,129.86,129.86,129.86,965.0,10.0,129.86
XYL,2025-07-01 14:49:00+00:00,129.88,129.91,129.88,129.91,300.0,3.0,129.896667
XYL,2025-07-01 14:50:00+00:00,129.87,129.87,129.87,129.87,110.0,2.0,129.87
XYL,2025-07-01 14:51:00+00:00,129.87,129.98,129.87,129.97,599.0,9.0,129.912
XYL,2025-07-01 14:53:00+00:00,130.035,130.035,130.035,130.035,100.0,1.0,130.035
XYL,2025-07-01 14:56:00+00:00,130.21,130.21,130.21,130.21,395.0,9.0,130.21
XYL,2025-07-01 15:03:00+00:00,130.225,130.27,130.225,130.27,209.0,6.0,130.2475
XYL,2025-07-01 15:05:00+00:00,130.395,130.395,130.395,130.395,100.0,1.0,130.395
XYL,2025-07-01 15:17:00+00:00,130.83,130.83,130.83,130.83,174.0,5.0,130.83
XYL,2025-07-01 15:21:00+00:00,130.775,130.775,130.775,130.775,152.0,3.0,130.775
XYL,2025-07-01 15:26:00+00:00,130.97,130.97,130.97,130.97,102.0,3.0,130.97
XYL,2025-07-01 15:28:00+00:00,130.99,130.99,130.99,130.99,204.0,4.0,130.99
XYL,2025-07-01 15:29:00+00:00,130.92,130.92,130.92,130.92,102.0,2.0,130.92
XYL,2025-07-01 15:31:00+00:00,130.93,130.93,130.93,130.93,100.0,1.0,130.93
XYL,2025-07-01 15:33:00+00:00,130.92,130.94,130.92,130.94,224.0,5.0,130.93
XYL,2025-07-01 15:34:00+00:00,130.98,130.98,130.98,130.98,224.0,3.0,130.98
XYL,2025-07-01 15:35:00+00:00,131.05,131.05,131.05,131.05,132.0,7.0,131.05
XYL,2025-07-01 15:37:00+00:00,131.01,131.01,131.01,131.01,280.0,3.0,131.01
XYL,2025-07-01 15:38:00+00:00,131.04,131.04,131.04,131.04,101.0,2.0,131.04
XYL,2025-07-01 15:49:00+00:00,131.01,131.01,131.01,131.01,100.0,1.0,131.01
XYL,2025-07-01 15:52:00+00:00,131.02,131.02,131.02,131.02,117.0,3.0,131.02
XYL,2025-07-01 15:57:00+00:00,131.24,131.24,131.24,131.24,108.0,2.0,131.24
XYL,2025-07-01 15:58:00+00:00,131.255,131.255,131.255,131.255,100.0,1.0,131.255
XYL,2025-07-01 16:03:00+00:00,131.26,131.26,131.26,131.26,180.0,3.0,131.26
XYL,2025-07-01 16:13:00+00:00,131.655,131.655,131.655,131.655,100.0,1.0,131.655
XYL,2025-07-01 16:18:00+00:00,131.785,131.785,131.785,131.785,700.0,2.0,131.785
XYL,2025-07-01 16:21:00+00:00,131.74,131.74,131.74,131.74,162.0,5.0,131.74
XYL,2025-07-01 16:26:00+00:00,131.81,131.81,131.81,131.81,116.0,3.0,131.81
XYL,2025-07-01 16:29:00+00:00,131.765,131.765,131.765,131.765,100.0,1.0,131.765
XYL,2025-07-01 16:39:00+00:00,131.55,131.55,131.55,131.55,323.0,9.0,131.55
XYL,2025-07-01 16:42:00+00:00,131.305,131.305,131.305,131.305,116.0,3.0,131.305
XYL,2025-07-01 16:48:00+00:00,130.95,130.95,130.945,130.945,400.0,5.0,130.948333
XYL,2025-07-01 16:49:00+00:00,130.94,130.94,130.94,130.94,145.0,6.0,130.94
XYL,2025-07-01 16:50:00+00:00,131.085,131.085,131.05,131.05,202.0,4.0,131.0675
XYL,2025-07-01 17:33:00+00:00,131.265,131.265,131.265,131.265,277.0,8.0,131.265
XYL,2025-07-01 17:34:00+00:00,131.22,131.22,131.22,131.22,212.0,4.0,131.22
XYL,2025-07-01 17:38:00+00:00,131.315,131.315,131.315,131.315,150.0,3.0,131.315
XYL,2025-07-01 17:40:00+00:00,131.295,131.295,131.295,131.295,108.0,2.0,131.295
XYL,2025-07-01 17:43:00+00:00,131.33,131.33,131.33,131.33,104.0,3.0,131.33
XYL,2025-07-01 17:44:00+00:00,131.33,131.37,131.33,131.37,350.0,6.0,131.346667
XYL,2025-07-01 17:45:00+00:00,131.315,131.315,131.315,131.315,100.0,1.0,131.315
XYL,2025-07-01 17:51:00+00:00,131.235,131.29,131.23,131.29,761.0,15.0,131.245548
XYL,2025-07-01 17:56:00+00:00,131.505,131.505,131.505,131.505,205.0,2.0,131.505
XYL,2025-07-01 17:57:00+00:00,131.505,131.505,131.505,131.505,150.0,2.0,131.505
XYL,2025-07-01 18:02:00+00:00,131.43,131.43,131.43,131.43,276.0,5.0,131.43
XYL,2025-07-01 18:06:00+00:00,131.375,131.4,131.375,131.4,358.0,7.0,131.383333
XYL,2025-07-01 18:08:00+00:00,131.4,131.43,131.4,131.43,284.0,5.0,131.415
XYL,2025-07-01 18:11:00+00:00,131.455,131.455,131.455,131.455,108.0,2.0,131.455
XYL,2025-07-01 18:18:00+00:00,131.325,131.34,131.325,131.34,374.0,5.0,131.335
XYL,2025-07-01 18:19:00+00:00,131.345,131.345,131.345,131.345,108.0,3.0,131.345
XYL,2025-07-01 18:25:00+00:00,131.35,131.35,131.35,131.35,212.0,11.0,131.35
XYL,2025-07-01 18:30:00+00:00,131.34,131.36,131.34,131.35,403.0,7.0,131.35
XYL,2025-07-01 18:31:00+00:00,131.35,131.35,131.35,131.35,252.0,11.0,131.35
XYL,2025-07-01 18:39:00+00:00,131.37,131.4,131.37,131.4,300.0,4.0,131.385
XYL,2025-07-01 18:40:00+00:00,131.41,131.41,131.41,131.41,166.0,6.0,131.41
XYL,2025-07-01 18:43:00+00:00,131.39,131.39,131.39,131.39,110.0,2.0,131.39
XYL,2025-07-01 18:45:00+00:00,131.43,131.43,131.43,131.43,280.0,5.0,131.43
XYL,2025-07-01 18:50:00+00:00,131.4,131.4,131.4,131.4,181.0,3.0,131.4
XYL,2025-07-01 18:51:00+00:00,131.41,131.41,131.41,131.41,170.0,6.0,131.41
XYL,2025-07-01 19:02:00+00:00,131.11,131.11,131.11,131.11,102.0,2.0,131.11
XYL,2025-07-01 19:03:00+00:00,131.18,131.22,131.18,131.22,953.0,12.0,131.196667
XYL,2025-07-01 19:06:00+00:00,131.42,131.42,131.42,131.42,241.0,5.0,131.42
XYL,2025-07-01 19:07:00+00:00,131.345,131.345,131.345,131.345,143.0,3.0,131.345
XYL,2025-07-01 19:09:00+00:00,131.22,131.22,131.155,131.155,303.0,6.0,131.1875
XYL,2025-07-01 19:10:00+00:00,131.19,131.19,131.19,131.19,101.0,2.0,131.19
XYL,2025-07-01 19:15:00+00:00,131.315,131.315,131.315,131.315,100.0,1.0,131.315
XYL,2025-07-01 19:16:00+00:00,131.37,131.37,131.37,131.37,150.0,2.0,131.37
XYL,2025-07-01 19:17:00+00:00,131.35,131.35,131.35,131.35,100.0,1.0,131.35
XYL,2025-07-01 19:19:00+00:00,131.375,131.4,131.375,131.4,525.0,7.0,131.386631
XYL,2025-07-01 19:21:00+00:00,131.33,131.33,131.33,131.33,296.0,9.0,131.33
XYL,2025-07-01 19:24:00+00:00,131.36,131.36,131.36,131.36,182.0,3.0,131.36
XYL,2025-07-01 19:25:00+00:00,131.35,131.4,131.35,131.4,612.0,8.0,131.371111
XYL,2025-07-01 19:27:00+00:00,131.395,131.395,131.395,131.395,103.0,1.0,131.395
XYL,2025-07-01 19:29:00+00:00,131.4,131.42,131.4,131.4,596.0,7.0,131.404484
XYL,2025-07-01 19:30:00+00:00,131.4,131.4,131.4,131.4,386.0,4.0,131.4
XYL,2025-07-01 19:31:00+00:00,131.39,131.39,131.39,131.39,160.0,4.0,131.39
XYL,2025-07-01 19:32:00+00:00,131.33,131.33,131.33,131.33,180.0,6.0,131.33
XYL,2025-07-01 19:36:00+00:00,131.28,131.28,131.28,131.28,151.0,3.0,131.28
XYL,2025-07-01 19:40:00+00:00,131.22,131.22,131.22,131.22,303.0,7.0,131.22
XYL,2025-07-01 19:41:00+00:00,131.19,131.19,131.17,131.17,398.0,6.0,131.183976
XYL,2025-07-01 19:44:00+00:00,131.15,131.17,131.15,131.16,527.0,14.0,131.16
XYL,2025-07-01 19:45:00+00:00,131.19,131.19,131.18,131.18,468.0,8.0,131.186667
XYL,2025-07-01 19:46:00+00:00,131.235,131.235,131.235,131.235,234.0,5.0,131.235
XYL,2025-07-01 19:47:00+00:00,131.305,131.305,131.305,131.305,207.0,4.0,131.305
XYL,2025-07-01 19:49:00+00:00,131.21,131.21,131.21,131.21,397.0,7.0,131.21
XYL,2025-07-01 19:50:00+00:00,131.155,131.155,131.06,131.06,456.0,11.0,131.1075
XYL,2025-07-01 19:51:00+00:00,131.065,131.065,131.0,131.03,398.0,10.0,131.031667
XYL,2025-07-01 19:54:00+00:00,130.88,130.9,130.88,130.9,548.0,11.0,130.893333
XYL,2025-07-01 19:55:00+00:00,130.89,131.05,130.89,131.035,909.0,10.0,130.952222
XYL,2025-07-01 19:56:00+00:00,131.08,131.13,131.08,131.125,1004.0,15.0,131.103243
XYL,2025-07-01 19:57:00+00:00,131.13,131.13,131.115,131.12,1182.0,26.0,131.123316
XYL,2025-07-01 19:58:00+00:00,131.13,131.13,131.11,131.11,1471.0,33.0,131.120547
XYL,2025-07-01 19:59:00+00:00,131.08,131.115,130.99,131.02,2911.0,72.0,131.045789
