symbol,timestamp,open,high,low,close,volume,trade_count,vwap
XYZ,2025-07-01 13:30:00+00:00,67.58,67.9,67.58,67.8,1565.0,15.0,67.743824
XYZ,2025-07-01 13:31:00+00:00,68.085,68.11,68.085,68.105,787.0,17.0,68.095
XYZ,2025-07-01 13:32:00+00:00,68.105,68.2,68.105,68.2,1070.0,24.0,68.165
XYZ,2025-07-01 13:33:00+00:00,68.21,68.38,68.21,68.37,802.0,22.0,68.314167
XYZ,2025-07-01 13:34:00+00:00,68.34,68.515,68.31,68.515,1140.0,27.0,68.430556
XYZ,2025-07-01 13:35:00+00:00,68.535,68.6,68.535,68.58,771.0,11.0,68.580833
XYZ,2025-07-01 13:36:00+00:00,68.575,68.705,68.575,68.705,1088.0,17.0,68.6725
XYZ,2025-07-01 13:37:00+00:00,68.74,68.89,68.715,68.87,2681.0,45.0,68.789333
XYZ,2025-07-01 13:38:00+00:00,68.83,68.85,68.795,68.82,812.0,11.0,68.82
XYZ,2025-07-01 13:39:00+00:00,68.78,68.79,68.735,68.775,1504.0,31.0,68.766758
XYZ,2025-07-01 13:40:00+00:00,68.75,68.75,68.53,68.53,1109.0,18.0,68.58052
XYZ,2025-07-01 13:41:00+00:00,68.49,68.6,68.49,68.6,726.0,20.0,68.526667
XYZ,2025-07-01 13:42:00+00:00,68.51,68.51,68.51,68.51,387.0,11.0,68.51
XYZ,2025-07-01 13:43:00+00:00,68.48,68.48,68.48,68.48,613.0,7.0,68.48
XYZ,2025-07-01 13:44:00+00:00,68.46,68.46,68.34,68.445,1960.0,23.0,68.412222
XYZ,2025-07-01 13:45:00+00:00,68.435,68.48,68.435,68.48,1048.0,16.0,68.457109
XYZ,2025-07-01 13:46:00+00:00,68.5,68.52,68.5,68.52,469.0,11.0,68.51
XYZ,2025-07-01 13:47:00+00:00,68.605,68.605,68.435,68.435,1850.0,18.0,68.503667
XYZ,2025-07-01 13:48:00+00:00,68.49,68.52,68.49,68.52,474.0,9.0,68.49875
XYZ,2025-07-01 13:50:00+00:00,68.365,68.5,68.365,68.5,1821.0,26.0,68.473
XYZ,2025-07-01 13:51:00+00:00,68.565,68.565,68.565,68.565,512.0,13.0,68.565
XYZ,2025-07-01 13:52:00+00:00,68.685,68.685,68.65,68.65,919.0,7.0,68.666111
XYZ,2025-07-01 13:53:00+00:00,68.675,68.7,68.675,68.7,727.0,7.0,68.682143
XYZ,2025-07-01 13:54:00+00:00,68.67,68.67,68.67,68.67,201.0,3.0,68.67
XYZ,2025-07-01 13:55:00+00:00,68.58,68.58,68.55,68.55,549.0,9.0,68.572
XYZ,2025-07-01 13:56:00+00:00,68.595,68.595,68.595,68.595,296.0,10.0,68.595
XYZ,2025-07-01 13:57:00+00:00,68.6,68.63,68.58,68.63,1965.0,19.0,68.600867
XYZ,2025-07-01 13:58:00+00:00,68.61,68.61,68.59,68.59,585.0,9.0,68.6
XYZ,2025-07-01 13:59:00+00:00,68.475,68.55,68.475,68.51,1854.0,21.0,68.505714
XYZ,2025-07-01 14:00:00+00:00,68.395,68.5,68.395,68.5,2119.0,20.0,68.463123
XYZ,2025-07-01 14:01:00+00:00,68.49,68.525,68.48,68.525,891.0,9.0,68.491875
XYZ,2025-07-01 14:03:00+00:00,68.46,68.47,68.4,68.4,1141.0,11.0,68.443419
XYZ,2025-07-01 14:04:00+00:00,68.435,68.435,68.435,68.435,146.0,3.0,68.435
XYZ,2025-07-01 14:05:00+00:00,68.43,68.58,68.43,68.58,790.0,14.0,68.473846
XYZ,2025-07-01 14:06:00+00:00,68.48,68.48,68.48,68.48,223.0,5.0,68.48
XYZ,2025-07-01 14:07:00+00:00,68.47,68.47,68.43,68.43,331.0,6.0,68.451667
XYZ,2025-07-01 14:08:00+00:00,68.46,68.5,68.46,68.5,886.0,19.0,68.483333
XYZ,2025-07-01 14:09:00+00:00,68.56,68.585,68.515,68.515,561.0,8.0,68.560822
