symbol,timestamp,open,high,low,close,volume,trade_count,vwap
A,2025-06-30 13:30:00+00:00,118.745,118.745,118.745,118.745,100.0,1.0,118.745
A,2025-06-30 13:31:00+00:00,118.35,118.35,118.35,118.35,219.0,6.0,118.35
A,2025-06-30 13:36:00+00:00,119.185,119.185,119.185,119.185,300.0,3.0,119.185
A,2025-06-30 13:38:00+00:00,118.94,118.98,118.94,118.98,525.0,4.0,118.956
A,2025-06-30 13:41:00+00:00,119.06,119.06,119.06,119.06,105.0,2.0,119.06
A,2025-06-30 13:43:00+00:00,119.39,119.39,119.39,119.39,200.0,1.0,119.39
A,2025-06-30 13:47:00+00:00,119.19,119.19,119.19,119.19,400.0,8.0,119.19
A,2025-06-30 13:49:00+00:00,119.2,119.2,119.2,119.2,500.0,1.0,119.2
A,2025-06-30 13:50:00+00:00,119.11,119.11,119.11,119.11,1001.0,3.0,119.11
A,2025-06-30 13:52:00+00:00,119.39,119.4,119.27,119.27,412.0,4.0,119.33068
A,2025-06-30 13:55:00+00:00,119.13,119.13,119.13,119.13,226.0,6.0,119.13
A,2025-06-30 13:56:00+00:00,119.26,119.27,119.26,119.27,231.0,4.0,119.265
A,2025-06-30 13:57:00+00:00,119.16,119.16,119.105,119.105,209.0,5.0,119.1325
A,2025-06-30 14:00:00+00:00,119.09,119.12,119.09,119.12,301.0,5.0,119.105
A,2025-06-30 14:01:00+00:00,118.97,118.97,118.97,118.97,115.0,3.0,118.97
A,2025-06-30 14:02:00+00:00,118.85,118.85,118.85,118.85,210.0,2.0,118.85
A,2025-06-30 14:04:00+00:00,118.96,118.96,118.96,118.96,194.0,3.0,118.96
A,2025-06-30 14:06:00+00:00,119.145,119.145,119.145,119.145,206.0,3.0,119.145
A,2025-06-30 14:17:00+00:00,119.605,119.605,119.605,119.605,158.0,4.0,119.605
A,2025-06-30 14:20:00+00:00,119.56,119.56,119.56,119.56,102.0,2.0,119.56
A,2025-06-30 14:21:00+00:00,119.54,119.54,119.54,119.54,292.0,10.0,119.54
A,2025-06-30 14:22:00+00:00,119.445,119.445,119.445,119.445,248.0,4.0,119.445
A,2025-06-30 14:23:00+00:00,119.51,119.53,119.51,119.53,250.0,4.0,119.52
A,2025-06-30 14:25:00+00:00,119.49,119.49,119.49,119.49,158.0,4.0,119.49
A,2025-06-30 14:26:00+00:00,119.515,119.515,119.515,119.515,291.0,8.0,119.515
A,2025-06-30 14:27:00+00:00,119.49,119.56,119.49,119.56,414.0,9.0,119.525
A,2025-06-30 14:30:00+00:00,119.51,119.51,119.51,119.51,190.0,3.0,119.51
A,2025-06-30 14:32:00+00:00,119.57,119.58,119.55,119.58,565.0,12.0,119.566667
A,2025-06-30 14:35:00+00:00,119.36,119.36,119.36,119.36,111.0,2.0,119.36
A,2025-06-30 14:39:00+00:00,119.22,119.22,119.22,119.22,203.0,4.0,119.22
A,2025-06-30 14:45:00+00:00,119.07,119.07,119.07,119.07,100.0,1.0,119.07
