symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ABT,2025-06-30 13:30:00+00:00,134.01,134.615,134.01,134.615,3429.0,23.0,134.456563
ABT,2025-06-30 13:31:00+00:00,134.12,134.12,134.12,134.12,154.0,3.0,134.12
ABT,2025-06-30 13:32:00+00:00,134.53,134.555,134.53,134.555,500.0,3.0,134.535
ABT,2025-06-30 13:35:00+00:00,135.24,135.24,135.24,135.24,370.0,7.0,135.24
ABT,2025-06-30 13:36:00+00:00,135.36,135.36,135.36,135.36,100.0,1.0,135.36
ABT,2025-06-30 13:37:00+00:00,135.36,135.36,135.185,135.185,500.0,8.0,135.25125
ABT,2025-06-30 13:38:00+00:00,135.14,135.14,134.885,134.885,206.0,4.0,135.0125
ABT,2025-06-30 13:39:00+00:00,134.88,134.88,134.875,134.875,210.0,3.0,134.8775
ABT,2025-06-30 13:40:00+00:00,134.875,134.875,134.875,134.875,134.0,2.0,134.875
ABT,2025-06-30 13:42:00+00:00,134.935,134.94,134.935,134.935,320.0,5.0,134.936667
ABT,2025-06-30 13:43:00+00:00,134.935,134.935,134.935,134.935,726.0,10.0,134.935
ABT,2025-06-30 13:44:00+00:00,135.065,135.065,135.045,135.045,516.0,5.0,135.050273
ABT,2025-06-30 13:45:00+00:00,135.09,135.09,134.945,134.945,569.0,12.0,135.0025
ABT,2025-06-30 13:46:00+00:00,134.99,135.06,134.99,135.06,320.0,4.0,135.025
ABT,2025-06-30 13:48:00+00:00,135.065,135.065,135.05,135.05,401.0,6.0,135.057537
ABT,2025-06-30 13:49:00+00:00,135.14,135.14,135.14,135.14,500.0,5.0,135.14
ABT,2025-06-30 13:50:00+00:00,135.195,135.3,135.195,135.27,1230.0,16.0,135.284526
ABT,2025-06-30 13:51:00+00:00,135.275,135.355,135.275,135.355,249.0,6.0,135.315
ABT,2025-06-30 13:52:00+00:00,135.42,135.5,135.42,135.5,545.0,6.0,135.44
ABT,2025-06-30 13:53:00+00:00,135.38,135.43,135.38,135.43,260.0,3.0,135.405
ABT,2025-06-30 13:55:00+00:00,135.43,135.44,135.43,135.44,502.0,10.0,135.433333
ABT,2025-06-30 13:56:00+00:00,135.47,135.47,135.47,135.47,809.0,14.0,135.47
ABT,2025-06-30 13:57:00+00:00,135.47,135.47,135.39,135.42,920.0,14.0,135.422857
ABT,2025-06-30 13:58:00+00:00,135.42,135.42,135.325,135.325,497.0,12.0,135.38125
ABT,2025-06-30 13:59:00+00:00,135.23,135.23,135.11,135.11,927.0,14.0,135.180833
ABT,2025-06-30 14:00:00+00:00,135.17,135.17,135.16,135.16,620.0,22.0,135.165
ABT,2025-06-30 14:01:00+00:00,135.145,135.155,135.125,135.155,455.0,8.0,135.142333
ABT,2025-06-30 14:02:00+00:00,135.16,135.16,135.06,135.06,422.0,6.0,135.112041
ABT,2025-06-30 14:03:00+00:00,135.135,135.135,135.135,135.135,172.0,6.0,135.135
ABT,2025-06-30 14:05:00+00:00,135.29,135.29,135.28,135.28,567.0,13.0,135.283333
ABT,2025-06-30 14:07:00+00:00,135.23,135.23,135.23,135.23,317.0,7.0,135.23
ABT,2025-06-30 14:10:00+00:00,135.285,135.285,135.285,135.285,201.0,3.0,135.285
ABT,2025-06-30 14:11:00+00:00,135.26,135.26,135.2,135.2,1253.0,12.0,135.239412
ABT,2025-06-30 14:12:00+00:00,135.195,135.195,135.14,135.14,688.0,8.0,135.173212
ABT,2025-06-30 14:13:00+00:00,135.2,135.2,135.2,135.2,273.0,3.0,135.2
ABT,2025-06-30 14:14:00+00:00,135.21,135.21,135.13,135.13,823.0,12.0,135.187143
ABT,2025-06-30 14:16:00+00:00,135.03,135.12,135.025,135.105,940.0,7.0,135.076605
ABT,2025-06-30 14:17:00+00:00,135.14,135.14,135.14,135.14,220.0,3.0,135.14
ABT,2025-06-30 14:18:00+00:00,135.175,135.21,135.175,135.2,424.0,7.0,135.19875
ABT,2025-06-30 14:19:00+00:00,135.2,135.2,135.18,135.2,587.0,9.0,135.193566
ABT,2025-06-30 14:20:00+00:00,135.205,135.22,135.145,135.145,716.0,15.0,135.194167
ABT,2025-06-30 14:21:00+00:00,135.09,135.09,135.06,135.06,644.0,10.0,135.080036
ABT,2025-06-30 14:22:00+00:00,135.105,135.105,135.105,135.105,201.0,3.0,135.105
