symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ADM,2025-06-30 13:30:00+00:00,51.94,51.94,51.94,51.94,173.0,4.0,51.94
ADM,2025-06-30 13:32:00+00:00,51.915,51.915,51.775,51.775,500.0,4.0,51.887
ADM,2025-06-30 13:33:00+00:00,51.795,51.795,51.795,51.795,634.0,17.0,51.795
ADM,2025-06-30 13:34:00+00:00,51.8,51.8,51.785,51.785,200.0,2.0,51.7925
ADM,2025-06-30 13:35:00+00:00,51.7,51.7,51.685,51.685,789.0,9.0,51.6875
ADM,2025-06-30 13:36:00+00:00,51.755,51.87,51.755,51.87,200.0,2.0,51.8125
ADM,2025-06-30 13:37:00+00:00,51.89,51.89,51.89,51.89,250.0,4.0,51.89
ADM,2025-06-30 13:38:00+00:00,51.93,52.025,51.93,52.025,542.0,5.0,51.947528
ADM,2025-06-30 13:39:00+00:00,52.035,52.035,52.035,52.035,132.0,3.0,52.035
ADM,2025-06-30 13:41:00+00:00,52.1,52.15,52.04,52.12,2073.0,16.0,52.120232
ADM,2025-06-30 13:42:00+00:00,52.15,52.15,52.13,52.13,500.0,3.0,52.146
ADM,2025-06-30 13:43:00+00:00,52.15,52.15,52.06,52.06,491.0,9.0,52.09
ADM,2025-06-30 13:44:00+00:00,52.14,52.14,52.09,52.09,202.0,3.0,52.115
ADM,2025-06-30 13:45:00+00:00,52.08,52.18,52.08,52.18,552.0,9.0,52.110211
ADM,2025-06-30 13:46:00+00:00,52.23,52.23,52.135,52.135,1354.0,17.0,52.176818
ADM,2025-06-30 13:47:00+00:00,52.12,52.185,52.12,52.185,409.0,6.0,52.14461
ADM,2025-06-30 13:49:00+00:00,52.19,52.19,52.19,52.19,278.0,6.0,52.19
ADM,2025-06-30 13:50:00+00:00,52.13,52.16,52.13,52.16,215.0,4.0,52.145
ADM,2025-06-30 13:52:00+00:00,52.16,52.16,52.16,52.16,149.0,1.0,52.16
ADM,2025-06-30 13:53:00+00:00,52.17,52.17,52.17,52.17,143.0,5.0,52.17
ADM,2025-06-30 13:54:00+00:00,52.155,52.155,52.13,52.13,341.0,5.0,52.138333
ADM,2025-06-30 13:56:00+00:00,52.04,52.06,52.04,52.06,604.0,9.0,52.054983
ADM,2025-06-30 13:57:00+00:00,52.04,52.07,52.04,52.07,293.0,9.0,52.055
ADM,2025-06-30 13:59:00+00:00,52.05,52.05,52.05,52.05,455.0,5.0,52.05
ADM,2025-06-30 14:00:00+00:00,52.06,52.06,52.06,52.06,282.0,10.0,52.06
ADM,2025-06-30 14:02:00+00:00,52.225,52.225,52.225,52.225,301.0,4.0,52.225
ADM,2025-06-30 14:03:00+00:00,52.235,52.235,52.235,52.235,215.0,5.0,52.235
ADM,2025-06-30 14:04:00+00:00,52.26,52.355,52.26,52.355,1078.0,10.0,52.312857
ADM,2025-06-30 14:05:00+00:00,52.345,52.345,52.32,52.325,1361.0,18.0,52.327114
ADM,2025-06-30 14:07:00+00:00,52.32,52.42,52.32,52.42,798.0,12.0,52.376
ADM,2025-06-30 14:08:00+00:00,52.44,52.45,52.44,52.45,227.0,6.0,52.445
ADM,2025-06-30 14:09:00+00:00,52.47,52.47,52.47,52.47,238.0,3.0,52.47
ADM,2025-06-30 14:10:00+00:00,52.475,52.475,52.475,52.475,340.0,3.0,52.475
ADM,2025-06-30 14:11:00+00:00,52.495,52.495,52.495,52.495,107.0,3.0,52.495
ADM,2025-06-30 14:12:00+00:00,52.495,52.495,52.475,52.475,865.0,7.0,52.485
ADM,2025-06-30 14:13:00+00:00,52.5,52.51,52.495,52.495,666.0,12.0,52.5
ADM,2025-06-30 14:17:00+00:00,52.57,52.57,52.57,52.57,203.0,5.0,52.57
ADM,2025-06-30 14:18:00+00:00,52.58,52.61,52.58,52.59,910.0,12.0,52.598828
ADM,2025-06-30 14:19:00+00:00,52.61,52.63,52.61,52.61,638.0,6.0,52.622
ADM,2025-06-30 14:20:00+00:00,52.645,52.645,52.645,52.645,395.0,4.0,52.645
ADM,2025-06-30 14:21:00+00:00,52.67,52.68,52.575,52.575,1906.0,20.0,52.627161
ADM,2025-06-30 14:22:00+00:00,52.78,52.78,52.78,52.78,202.0,3.0,52.78
ADM,2025-06-30 14:23:00+00:00,52.79,52.87,52.79,52.87,921.0,16.0,52.839167
ADM,2025-06-30 14:24:00+00:00,52.85,52.88,52.85,52.855,872.0,16.0,52.867037
ADM,2025-06-30 14:25:00+00:00,52.845,52.845,52.845,52.845,343.0,10.0,52.845
ADM,2025-06-30 14:28:00+00:00,52.81,52.81,52.81,52.81,334.0,10.0,52.81
ADM,2025-06-30 14:29:00+00:00,52.86,52.86,52.86,52.86,314.0,4.0,52.86
ADM,2025-06-30 14:30:00+00:00,52.875,52.875,52.86,52.86,606.0,8.0,52.8675
ADM,2025-06-30 14:31:00+00:00,52.88,52.88,52.88,52.88,100.0,1.0,52.88
ADM,2025-06-30 14:33:00+00:00,52.855,52.87,52.855,52.87,446.0,9.0,52.863399
ADM,2025-06-30 14:34:00+00:00,52.915,52.915,52.915,52.915,338.0,5.0,52.915
ADM,2025-06-30 14:35:00+00:00,52.885,52.885,52.885,52.885,290.0,7.0,52.885
ADM,2025-06-30 14:37:00+00:00,52.865,52.9,52.865,52.9,322.0,4.0,52.877324
ADM,2025-06-30 14:38:00+00:00,52.905,52.905,52.905,52.905,100.0,1.0,52.905
ADM,2025-06-30 14:39:00+00:00,52.92,52.92,52.92,52.92,770.0,8.0,52.92
ADM,2025-06-30 14:40:00+00:00,52.89,52.89,52.89,52.89,386.0,8.0,52.89
ADM,2025-06-30 14:41:00+00:00,52.905,52.905,52.905,52.905,411.0,5.0,52.905
ADM,2025-06-30 14:42:00+00:00,52.895,52.91,52.895,52.91,1547.0,17.0,52.9
ADM,2025-06-30 14:44:00+00:00,52.89,52.89,52.87,52.87,1505.0,11.0,52.882143
ADM,2025-06-30 14:45:00+00:00,52.915,52.915,52.915,52.915,139.0,3.0,52.915
ADM,2025-06-30 14:46:00+00:00,52.91,52.91,52.905,52.905,1097.0,8.0,52.905556
ADM,2025-06-30 14:47:00+00:00,52.92,52.94,52.92,52.94,342.0,5.0,52.93
ADM,2025-06-30 14:48:00+00:00,52.935,52.935,52.905,52.905,1309.0,8.0,52.923333
ADM,2025-06-30 14:49:00+00:00,52.95,52.95,52.95,52.95,201.0,3.0,52.95
ADM,2025-06-30 14:50:00+00:00,52.955,52.955,52.955,52.955,331.0,6.0,52.955
ADM,2025-06-30 14:53:00+00:00,53.07,53.07,53.04,53.04,508.0,10.0,53.052967
ADM,2025-06-30 14:56:00+00:00,53.035,53.035,53.02,53.02,758.0,9.0,53.032
ADM,2025-06-30 14:57:00+00:00,53.07,53.07,53.07,53.07,179.0,4.0,53.07
ADM,2025-06-30 14:58:00+00:00,53.065,53.065,53.05,53.05,1343.0,12.0,53.062
ADM,2025-06-30 14:59:00+00:00,53.065,53.065,53.04,53.04,1477.0,6.0,53.053541
ADM,2025-06-30 15:00:00+00:00,53.06,53.06,53.02,53.02,434.0,11.0,53.043333
ADM,2025-06-30 15:01:00+00:00,53.06,53.13,53.06,53.12,1144.0,14.0,53.08375
ADM,2025-06-30 15:02:00+00:00,53.1,53.1,53.1,53.1,400.0,4.0,53.1
ADM,2025-06-30 15:03:00+00:00,53.06,53.06,53.06,53.06,158.0,3.0,53.06
ADM,2025-06-30 15:06:00+00:00,53.085,53.085,53.085,53.085,360.0,6.0,53.085
ADM,2025-06-30 15:08:00+00:00,52.95,52.95,52.95,52.95,200.0,1.0,52.95
ADM,2025-06-30 15:10:00+00:00,52.925,52.925,52.925,52.925,174.0,3.0,52.925
ADM,2025-06-30 15:12:00+00:00,52.87,52.87,52.87,52.87,106.0,2.0,52.87
ADM,2025-06-30 15:13:00+00:00,52.885,52.885,52.885,52.885,600.0,3.0,52.885
ADM,2025-06-30 15:15:00+00:00,52.89,52.93,52.86,52.86,884.0,7.0,52.900738
ADM,2025-06-30 15:18:00+00:00,52.85,52.85,52.85,52.85,239.0,3.0,52.85
ADM,2025-06-30 15:21:00+00:00,52.88,52.88,52.88,52.88,180.0,3.0,52.88
ADM,2025-06-30 15:22:00+00:00,52.87,52.87,52.87,52.87,100.0,1.0,52.87
ADM,2025-06-30 15:23:00+00:00,52.89,52.89,52.89,52.89,100.0,1.0,52.89
ADM,2025-06-30 15:24:00+00:00,52.89,52.89,52.89,52.89,294.0,7.0,52.89
ADM,2025-06-30 15:25:00+00:00,52.92,52.92,52.92,52.92,100.0,1.0,52.92
ADM,2025-06-30 15:27:00+00:00,52.92,52.92,52.92,52.92,101.0,2.0,52.92
ADM,2025-06-30 15:33:00+00:00,52.8,52.8,52.8,52.8,200.0,4.0,52.8
ADM,2025-06-30 15:34:00+00:00,52.77,52.77,52.77,52.77,106.0,2.0,52.77
ADM,2025-06-30 15:37:00+00:00,52.765,52.765,52.75,52.75,1018.0,6.0,52.756
ADM,2025-06-30 15:38:00+00:00,52.76,52.76,52.76,52.76,129.0,4.0,52.76
ADM,2025-06-30 15:39:00+00:00,52.775,52.775,52.76,52.76,1000.0,8.0,52.773333
ADM,2025-06-30 15:41:00+00:00,52.68,52.68,52.68,52.68,216.0,3.0,52.68
ADM,2025-06-30 15:43:00+00:00,52.69,52.69,52.69,52.69,142.0,3.0,52.69
ADM,2025-06-30 15:44:00+00:00,52.72,52.72,52.72,52.72,111.0,3.0,52.72
ADM,2025-06-30 15:46:00+00:00,52.73,52.73,52.69,52.69,246.0,6.0,52.71
ADM,2025-06-30 15:47:00+00:00,52.69,52.69,52.69,52.69,600.0,1.0,52.69
ADM,2025-06-30 15:48:00+00:00,52.69,52.69,52.69,52.69,326.0,6.0,52.69
ADM,2025-06-30 15:51:00+00:00,52.69,52.7,52.69,52.7,200.0,2.0,52.695
ADM,2025-06-30 15:54:00+00:00,52.75,52.75,52.735,52.735,937.0,7.0,52.736875
ADM,2025-06-30 15:55:00+00:00,52.715,52.715,52.715,52.715,1440.0,8.0,52.715
ADM,2025-06-30 15:56:00+00:00,52.705,52.705,52.705,52.705,245.0,2.0,52.705
ADM,2025-06-30 15:57:00+00:00,52.69,52.69,52.67,52.67,360.0,6.0,52.68
ADM,2025-06-30 15:58:00+00:00,52.635,52.635,52.635,52.635,100.0,1.0,52.635
ADM,2025-06-30 15:59:00+00:00,52.65,52.65,52.635,52.635,2005.0,11.0,52.6455
ADM,2025-06-30 16:01:00+00:00,52.645,52.645,52.64,52.64,1605.0,9.0,52.644688
ADM,2025-06-30 16:02:00+00:00,52.6,52.6,52.6,52.6,100.0,1.0,52.6
ADM,2025-06-30 16:05:00+00:00,52.58,52.58,52.58,52.58,116.0,2.0,52.58
ADM,2025-06-30 16:08:00+00:00,52.57,52.57,52.57,52.57,193.0,6.0,52.57
ADM,2025-06-30 16:12:00+00:00,52.615,52.615,52.615,52.615,100.0,1.0,52.615
