symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ADP,2025-06-30 13:30:00+00:00,303.305,303.47,303.305,303.47,338.0,4.0,303.36
ADP,2025-06-30 13:31:00+00:00,302.74,302.74,302.74,302.74,139.0,2.0,302.74
ADP,2025-06-30 13:35:00+00:00,304.31,304.31,304.31,304.31,164.0,3.0,304.31
ADP,2025-06-30 13:44:00+00:00,304.51,304.51,304.51,304.51,461.0,9.0,304.51
ADP,2025-06-30 13:45:00+00:00,304.465,304.465,304.465,304.465,119.0,4.0,304.465
ADP,2025-06-30 13:49:00+00:00,304.895,304.895,304.895,304.895,101.0,2.0,304.895
ADP,2025-06-30 13:56:00+00:00,305.685,305.685,305.685,305.685,236.0,4.0,305.685
ADP,2025-06-30 14:08:00+00:00,305.175,305.175,305.175,305.175,100.0,1.0,305.175
ADP,2025-06-30 14:11:00+00:00,305.29,305.29,305.29,305.29,328.0,14.0,305.29
ADP,2025-06-30 14:12:00+00:00,305.465,305.465,305.465,305.465,101.0,2.0,305.465
ADP,2025-06-30 14:15:00+00:00,305.72,305.72,305.72,305.72,102.0,3.0,305.72
ADP,2025-06-30 14:19:00+00:00,305.43,305.43,305.43,305.43,239.0,3.0,305.43
ADP,2025-06-30 14:28:00+00:00,305.2,305.2,305.2,305.2,101.0,2.0,305.2
ADP,2025-06-30 14:45:00+00:00,304.64,304.64,304.64,304.64,101.0,2.0,304.64
ADP,2025-06-30 14:49:00+00:00,304.45,304.45,304.45,304.45,116.0,3.0,304.45
ADP,2025-06-30 14:50:00+00:00,304.585,304.585,304.585,304.585,100.0,1.0,304.585
ADP,2025-06-30 14:51:00+00:00,304.6,304.6,304.6,304.6,100.0,1.0,304.6
ADP,2025-06-30 14:54:00+00:00,304.415,304.415,304.415,304.415,100.0,1.0,304.415
ADP,2025-06-30 14:56:00+00:00,304.375,304.375,304.375,304.375,201.0,2.0,304.375
ADP,2025-06-30 15:02:00+00:00,304.475,304.475,304.475,304.475,186.0,5.0,304.475
ADP,2025-06-30 15:03:00+00:00,304.6,304.6,304.6,304.6,477.0,11.0,304.6
ADP,2025-06-30 15:06:00+00:00,304.735,304.735,304.735,304.735,400.0,2.0,304.735
ADP,2025-06-30 15:07:00+00:00,304.735,304.735,304.735,304.735,398.0,6.0,304.735
ADP,2025-06-30 15:08:00+00:00,304.83,304.83,304.83,304.83,168.0,8.0,304.83
ADP,2025-06-30 15:20:00+00:00,304.735,304.735,304.735,304.735,237.0,7.0,304.735
ADP,2025-06-30 15:21:00+00:00,304.85,304.86,304.85,304.86,260.0,6.0,304.855
ADP,2025-06-30 15:29:00+00:00,305.29,305.3,305.29,305.3,763.0,14.0,305.295
ADP,2025-06-30 15:30:00+00:00,305.295,305.48,305.295,305.455,600.0,5.0,305.379167
ADP,2025-06-30 15:31:00+00:00,305.425,305.425,305.425,305.425,100.0,1.0,305.425
ADP,2025-06-30 15:33:00+00:00,305.42,305.42,305.42,305.42,150.0,2.0,305.42
ADP,2025-06-30 15:34:00+00:00,305.43,305.43,305.405,305.425,1160.0,13.0,305.419
ADP,2025-06-30 15:35:00+00:00,305.425,305.51,305.425,305.51,2474.0,25.0,305.448201
ADP,2025-06-30 15:38:00+00:00,305.305,305.305,305.305,305.305,125.0,2.0,305.305
ADP,2025-06-30 15:58:00+00:00,304.455,304.455,304.455,304.455,110.0,5.0,304.455
ADP,2025-06-30 16:04:00+00:00,304.57,304.57,304.57,304.57,276.0,19.0,304.57
ADP,2025-06-30 16:25:00+00:00,304.915,304.915,304.915,304.915,330.0,8.0,304.915
ADP,2025-06-30 16:26:00+00:00,304.92,304.92,304.92,304.92,117.0,3.0,304.92
ADP,2025-06-30 16:35:00+00:00,304.92,304.92,304.92,304.92,124.0,7.0,304.92
ADP,2025-06-30 16:36:00+00:00,304.96,304.96,304.96,304.96,199.0,10.0,304.96
ADP,2025-06-30 16:47:00+00:00,305.575,305.575,305.575,305.575,100.0,1.0,305.575
ADP,2025-06-30 16:48:00+00:00,305.615,305.615,305.615,305.615,100.0,1.0,305.615
ADP,2025-06-30 16:56:00+00:00,305.835,305.835,305.82,305.82,253.0,6.0,305.826757
ADP,2025-06-30 16:57:00+00:00,305.57,305.57,305.57,305.57,100.0,1.0,305.57
ADP,2025-06-30 17:09:00+00:00,305.355,305.355,305.355,305.355,130.0,10.0,305.355
ADP,2025-06-30 17:17:00+00:00,305.385,305.385,305.385,305.385,284.0,4.0,305.385
ADP,2025-06-30 17:20:00+00:00,305.46,305.46,305.46,305.46,407.0,4.0,305.46
ADP,2025-06-30 17:21:00+00:00,305.53,305.53,305.53,305.53,270.0,8.0,305.53
ADP,2025-06-30 17:23:00+00:00,305.68,305.68,305.68,305.68,214.0,5.0,305.68
ADP,2025-06-30 17:25:00+00:00,305.845,305.845,305.845,305.845,201.0,2.0,305.845
ADP,2025-06-30 17:26:00+00:00,305.855,305.855,305.855,305.855,143.0,7.0,305.855
ADP,2025-06-30 17:28:00+00:00,306.01,306.01,306.01,306.01,106.0,3.0,306.01
ADP,2025-06-30 17:32:00+00:00,305.89,305.89,305.89,305.89,220.0,3.0,305.89
ADP,2025-06-30 17:33:00+00:00,305.885,305.885,305.885,305.885,200.0,1.0,305.885
ADP,2025-06-30 17:35:00+00:00,305.765,305.765,305.765,305.765,208.0,4.0,305.765
ADP,2025-06-30 17:38:00+00:00,305.65,305.65,305.65,305.65,107.0,2.0,305.65
ADP,2025-06-30 17:40:00+00:00,305.615,305.64,305.615,305.64,606.0,5.0,305.631667
ADP,2025-06-30 17:43:00+00:00,305.72,305.72,305.72,305.72,101.0,2.0,305.72
ADP,2025-06-30 17:53:00+00:00,305.31,305.37,305.31,305.37,577.0,11.0,305.33
ADP,2025-06-30 17:57:00+00:00,305.225,305.225,305.225,305.225,307.0,13.0,305.225
ADP,2025-06-30 18:03:00+00:00,305.8,305.8,305.8,305.8,102.0,2.0,305.8
ADP,2025-06-30 18:05:00+00:00,305.85,305.85,305.85,305.85,102.0,2.0,305.85
ADP,2025-06-30 18:15:00+00:00,305.825,305.825,305.825,305.825,219.0,3.0,305.825
ADP,2025-06-30 18:20:00+00:00,305.8,305.8,305.8,305.8,116.0,3.0,305.8
ADP,2025-06-30 18:23:00+00:00,305.875,305.875,305.875,305.875,105.0,4.0,305.875
ADP,2025-06-30 18:25:00+00:00,305.83,305.83,305.77,305.77,403.0,10.0,305.81
ADP,2025-06-30 18:35:00+00:00,305.78,305.78,305.78,305.78,221.0,4.0,305.78
ADP,2025-06-30 18:37:00+00:00,305.595,305.595,305.595,305.595,207.0,4.0,305.595
ADP,2025-06-30 18:38:00+00:00,305.68,305.68,305.68,305.68,210.0,5.0,305.68
ADP,2025-06-30 18:42:00+00:00,305.8,305.8,305.8,305.8,104.0,3.0,305.8
ADP,2025-06-30 18:43:00+00:00,305.98,305.98,305.98,305.98,126.0,5.0,305.98
ADP,2025-06-30 18:45:00+00:00,305.965,305.965,305.965,305.965,251.0,6.0,305.965
ADP,2025-06-30 18:51:00+00:00,306.34,306.34,306.33,306.33,285.0,9.0,306.335
ADP,2025-06-30 18:57:00+00:00,306.45,306.45,306.45,306.45,217.0,8.0,306.45
ADP,2025-06-30 18:59:00+00:00,306.325,306.325,306.325,306.325,456.0,5.0,306.325
ADP,2025-06-30 19:00:00+00:00,306.43,306.43,306.43,306.43,183.0,8.0,306.43
ADP,2025-06-30 19:03:00+00:00,306.255,306.255,306.255,306.255,419.0,5.0,306.255
ADP,2025-06-30 19:12:00+00:00,306.57,306.57,306.57,306.57,210.0,6.0,306.57
ADP,2025-06-30 19:15:00+00:00,306.455,306.455,306.455,306.455,715.0,8.0,306.455
ADP,2025-06-30 19:17:00+00:00,306.465,306.465,306.465,306.465,123.0,4.0,306.465
ADP,2025-06-30 19:19:00+00:00,306.24,306.335,306.24,306.335,1014.0,7.0,306.286798
ADP,2025-06-30 19:21:00+00:00,306.755,306.755,306.755,306.755,104.0,2.0,306.755
ADP,2025-06-30 19:23:00+00:00,306.745,306.745,306.745,306.745,200.0,1.0,306.745
ADP,2025-06-30 19:24:00+00:00,306.74,306.74,306.74,306.74,200.0,1.0,306.74
ADP,2025-06-30 19:25:00+00:00,306.74,306.74,306.74,306.74,240.0,6.0,306.74
ADP,2025-06-30 19:26:00+00:00,306.745,306.745,306.745,306.745,210.0,5.0,306.745
ADP,2025-06-30 19:27:00+00:00,306.94,306.94,306.94,306.94,116.0,3.0,306.94
ADP,2025-06-30 19:29:00+00:00,307.0,307.0,307.0,307.0,112.0,7.0,307.0
