symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMGN,2025-06-30 13:30:00+00:00,277.565,277.57,277.565,277.57,658.0,11.0,277.569
AMGN,2025-06-30 13:31:00+00:00,278.195,278.395,278.195,278.395,228.0,7.0,278.295
AMGN,2025-06-30 13:32:00+00:00,278.445,278.445,277.835,278.055,519.0,9.0,278.0425
AMGN,2025-06-30 13:35:00+00:00,277.87,277.875,277.87,277.875,204.0,4.0,277.8725
AMGN,2025-06-30 13:39:00+00:00,278.465,278.465,278.465,278.465,321.0,9.0,278.465
AMGN,2025-06-30 13:44:00+00:00,278.77,278.77,278.77,278.77,155.0,5.0,278.77
AMGN,2025-06-30 13:51:00+00:00,278.665,278.665,278.34,278.34,255.0,9.0,278.497005
AMGN,2025-06-30 13:54:00+00:00,278.3,278.3,278.3,278.3,202.0,7.0,278.3
AMGN,2025-06-30 13:55:00+00:00,278.47,278.7,278.47,278.545,306.0,6.0,278.571667
AMGN,2025-06-30 13:56:00+00:00,278.54,278.54,278.52,278.52,205.0,4.0,278.53
AMGN,2025-06-30 13:57:00+00:00,278.38,278.38,278.38,278.38,556.0,17.0,278.38
AMGN,2025-06-30 14:00:00+00:00,278.34,278.34,278.34,278.34,111.0,3.0,278.34
AMGN,2025-06-30 14:04:00+00:00,278.35,278.35,278.35,278.35,158.0,7.0,278.35
AMGN,2025-06-30 14:05:00+00:00,278.63,278.63,278.63,278.63,105.0,3.0,278.63
AMGN,2025-06-30 14:06:00+00:00,278.54,278.54,278.54,278.54,105.0,3.0,278.54
AMGN,2025-06-30 14:08:00+00:00,278.815,278.815,278.815,278.815,303.0,6.0,278.815
AMGN,2025-06-30 14:09:00+00:00,278.985,278.985,278.985,278.985,198.0,8.0,278.985
AMGN,2025-06-30 14:10:00+00:00,278.98,279.02,278.94,279.02,695.0,10.0,278.958868
AMGN,2025-06-30 14:12:00+00:00,279.11,279.11,278.89,278.985,759.0,9.0,278.969012
AMGN,2025-06-30 14:13:00+00:00,278.92,278.98,278.92,278.95,300.0,3.0,278.95
AMGN,2025-06-30 14:14:00+00:00,279.085,279.085,279.085,279.085,256.0,6.0,279.085
AMGN,2025-06-30 14:18:00+00:00,279.02,279.02,279.02,279.02,177.0,2.0,279.02
AMGN,2025-06-30 14:19:00+00:00,278.97,278.97,278.96,278.96,575.0,14.0,278.965
AMGN,2025-06-30 14:22:00+00:00,279.08,279.08,279.08,279.08,454.0,7.0,279.08
AMGN,2025-06-30 14:27:00+00:00,278.92,278.955,278.92,278.95,646.0,16.0,278.942457
AMGN,2025-06-30 14:28:00+00:00,279.14,279.14,279.14,279.14,232.0,10.0,279.14
AMGN,2025-06-30 14:30:00+00:00,279.35,279.35,279.35,279.35,204.0,4.0,279.35
AMGN,2025-06-30 14:35:00+00:00,279.33,279.33,279.33,279.33,226.0,5.0,279.33
AMGN,2025-06-30 14:36:00+00:00,279.335,279.34,279.33,279.34,372.0,4.0,279.335614
AMGN,2025-06-30 14:37:00+00:00,279.38,279.38,279.38,279.38,215.0,4.0,279.38
AMGN,2025-06-30 14:39:00+00:00,279.54,279.54,279.54,279.54,291.0,12.0,279.54
AMGN,2025-06-30 14:40:00+00:00,279.705,279.705,279.6,279.65,501.0,6.0,279.654
AMGN,2025-06-30 14:43:00+00:00,279.77,279.77,279.64,279.77,1433.0,19.0,279.709669
AMGN,2025-06-30 14:45:00+00:00,279.64,279.64,279.64,279.64,325.0,8.0,279.64
AMGN,2025-06-30 14:52:00+00:00,279.7,279.7,279.7,279.7,200.0,2.0,279.7
AMGN,2025-06-30 15:01:00+00:00,278.915,278.915,278.915,278.915,302.0,9.0,278.915
AMGN,2025-06-30 15:03:00+00:00,278.895,278.895,278.895,278.895,354.0,13.0,278.895
AMGN,2025-06-30 15:06:00+00:00,279.23,279.28,279.23,279.245,766.0,10.0,279.2475
AMGN,2025-06-30 15:07:00+00:00,279.245,279.465,279.245,279.465,1101.0,8.0,279.419
AMGN,2025-06-30 15:08:00+00:00,279.435,279.435,279.435,279.435,249.0,3.0,279.435
AMGN,2025-06-30 15:15:00+00:00,279.17,279.17,279.17,279.17,212.0,3.0,279.17
AMGN,2025-06-30 15:17:00+00:00,279.15,279.15,279.15,279.15,283.0,3.0,279.15
AMGN,2025-06-30 15:21:00+00:00,278.98,278.98,278.98,278.98,297.0,8.0,278.98
AMGN,2025-06-30 15:22:00+00:00,279.195,279.195,279.185,279.185,402.0,7.0,279.19
AMGN,2025-06-30 15:47:00+00:00,279.25,279.28,279.23,279.23,779.0,11.0,279.241429
AMGN,2025-06-30 15:49:00+00:00,278.975,278.98,278.975,278.98,201.0,3.0,278.9775
AMGN,2025-06-30 16:02:00+00:00,278.09,278.09,278.09,278.09,101.0,2.0,278.09
AMGN,2025-06-30 16:11:00+00:00,278.075,278.075,278.075,278.075,179.0,5.0,278.075
AMGN,2025-06-30 16:23:00+00:00,278.39,278.39,278.39,278.39,175.0,3.0,278.39
AMGN,2025-06-30 16:25:00+00:00,278.315,278.315,278.315,278.315,100.0,1.0,278.315
AMGN,2025-06-30 16:26:00+00:00,278.41,278.41,278.41,278.41,100.0,1.0,278.41
AMGN,2025-06-30 16:29:00+00:00,278.44,278.44,278.44,278.44,100.0,1.0,278.44
AMGN,2025-06-30 16:30:00+00:00,278.34,278.34,278.34,278.34,167.0,4.0,278.34
AMGN,2025-06-30 16:33:00+00:00,278.3,278.3,278.3,278.3,205.0,5.0,278.3
AMGN,2025-06-30 16:41:00+00:00,278.85,278.85,278.77,278.77,658.0,9.0,278.787621
AMGN,2025-06-30 16:56:00+00:00,278.24,278.24,278.24,278.24,225.0,6.0,278.24
AMGN,2025-06-30 16:59:00+00:00,277.98,277.98,277.98,277.98,103.0,4.0,277.98
AMGN,2025-06-30 17:00:00+00:00,277.98,278.14,277.98,278.14,527.0,12.0,278.06
AMGN,2025-06-30 17:05:00+00:00,278.29,278.29,278.29,278.29,220.0,7.0,278.29
AMGN,2025-06-30 17:09:00+00:00,278.0,278.0,278.0,278.0,235.0,3.0,278.0
AMGN,2025-06-30 17:11:00+00:00,278.12,278.12,278.12,278.12,316.0,7.0,278.12
AMGN,2025-06-30 17:35:00+00:00,278.36,278.36,278.36,278.36,216.0,6.0,278.36
AMGN,2025-06-30 17:37:00+00:00,278.335,278.335,278.335,278.335,134.0,3.0,278.335
AMGN,2025-06-30 17:40:00+00:00,278.34,278.34,278.34,278.34,146.0,9.0,278.34
AMGN,2025-06-30 17:46:00+00:00,277.68,277.68,277.68,277.68,106.0,2.0,277.68
AMGN,2025-06-30 17:54:00+00:00,277.4,277.4,277.4,277.4,168.0,2.0,277.4
AMGN,2025-06-30 18:00:00+00:00,276.82,276.82,276.75,276.75,862.0,16.0,276.786
AMGN,2025-06-30 18:02:00+00:00,276.83,276.83,276.805,276.805,236.0,5.0,276.8175
AMGN,2025-06-30 18:03:00+00:00,276.84,276.84,276.84,276.84,210.0,5.0,276.84
AMGN,2025-06-30 18:04:00+00:00,276.7,276.79,276.66,276.79,730.0,13.0,276.704
AMGN,2025-06-30 18:14:00+00:00,277.35,277.35,277.35,277.35,101.0,2.0,277.35
AMGN,2025-06-30 18:17:00+00:00,277.19,277.19,277.19,277.19,100.0,1.0,277.19
AMGN,2025-06-30 18:19:00+00:00,277.115,277.115,277.115,277.115,136.0,4.0,277.115
AMGN,2025-06-30 18:20:00+00:00,277.07,277.07,277.07,277.07,100.0,1.0,277.07
AMGN,2025-06-30 18:21:00+00:00,277.13,277.13,277.085,277.1,710.0,8.0,277.107857
AMGN,2025-06-30 18:23:00+00:00,277.11,277.11,277.11,277.11,101.0,2.0,277.11
AMGN,2025-06-30 18:24:00+00:00,277.23,277.23,277.23,277.23,200.0,3.0,277.23
AMGN,2025-06-30 18:32:00+00:00,277.145,277.145,277.145,277.145,331.0,6.0,277.145
AMGN,2025-06-30 18:37:00+00:00,276.835,276.92,276.835,276.92,201.0,3.0,276.8775
AMGN,2025-06-30 18:48:00+00:00,277.16,277.16,277.16,277.16,175.0,6.0,277.16
AMGN,2025-06-30 18:56:00+00:00,277.16,277.16,277.16,277.16,293.0,7.0,277.16
