symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BAX,2025-06-30 13:32:00+00:00,30.225,30.225,30.225,30.225,299.0,3.0,30.225
BAX,2025-06-30 13:33:00+00:00,30.205,30.205,30.205,30.205,181.0,3.0,30.205
BAX,2025-06-30 13:34:00+00:00,30.255,30.255,30.2,30.2,211.0,3.0,30.2275
BAX,2025-06-30 13:35:00+00:00,30.255,30.255,30.185,30.19,1336.0,12.0,30.2092
BAX,2025-06-30 13:36:00+00:00,30.21,30.265,30.21,30.26,1650.0,14.0,30.242661
BAX,2025-06-30 13:37:00+00:00,30.28,30.28,30.28,30.28,100.0,1.0,30.28
BAX,2025-06-30 13:38:00+00:00,30.33,30.33,30.33,30.33,100.0,1.0,30.33
BAX,2025-06-30 13:40:00+00:00,30.375,30.375,30.375,30.375,710.0,10.0,30.375
BAX,2025-06-30 13:41:00+00:00,30.375,30.385,30.35,30.37,1401.0,12.0,30.371154
BAX,2025-06-30 13:42:00+00:00,30.36,30.37,30.36,30.37,203.0,3.0,30.365
BAX,2025-06-30 13:43:00+00:00,30.36,30.39,30.36,30.39,300.0,4.0,30.375
BAX,2025-06-30 13:44:00+00:00,30.38,30.38,30.38,30.38,200.0,2.0,30.38
BAX,2025-06-30 13:45:00+00:00,30.42,30.42,30.36,30.36,420.0,7.0,30.39
BAX,2025-06-30 13:46:00+00:00,30.36,30.4,30.36,30.4,400.0,3.0,30.38
BAX,2025-06-30 13:48:00+00:00,30.35,30.35,30.35,30.35,100.0,1.0,30.35
BAX,2025-06-30 13:49:00+00:00,30.35,30.36,30.35,30.35,470.0,5.0,30.353077
BAX,2025-06-30 13:50:00+00:00,30.35,30.385,30.35,30.385,500.0,5.0,30.372342
BAX,2025-06-30 13:52:00+00:00,30.42,30.42,30.41,30.41,275.0,3.0,30.415
BAX,2025-06-30 13:56:00+00:00,30.32,30.32,30.3,30.315,569.0,9.0,30.31375
BAX,2025-06-30 13:57:00+00:00,30.29,30.305,30.28,30.305,1013.0,6.0,30.29545
BAX,2025-06-30 13:58:00+00:00,30.31,30.31,30.31,30.31,242.0,6.0,30.31
BAX,2025-06-30 13:59:00+00:00,30.27,30.3,30.27,30.295,1060.0,11.0,30.292045
BAX,2025-06-30 14:00:00+00:00,30.295,30.295,30.24,30.24,3113.0,24.0,30.286468
BAX,2025-06-30 14:01:00+00:00,30.24,30.24,30.225,30.24,1526.0,20.0,30.234043
BAX,2025-06-30 14:02:00+00:00,30.24,30.24,30.22,30.22,447.0,7.0,30.23
BAX,2025-06-30 14:04:00+00:00,30.25,30.25,30.25,30.25,307.0,6.0,30.25
BAX,2025-06-30 14:05:00+00:00,30.26,30.265,30.26,30.265,1337.0,11.0,30.262882
BAX,2025-06-30 14:06:00+00:00,30.265,30.265,30.265,30.265,1074.0,10.0,30.265
BAX,2025-06-30 14:07:00+00:00,30.235,30.24,30.235,30.24,4865.0,33.0,30.238914
BAX,2025-06-30 14:08:00+00:00,30.25,30.26,30.24,30.24,954.0,14.0,30.2475
BAX,2025-06-30 14:09:00+00:00,30.26,30.26,30.255,30.255,353.0,5.0,30.2575
BAX,2025-06-30 14:10:00+00:00,30.265,30.275,30.215,30.22,1315.0,20.0,30.238805
BAX,2025-06-30 14:11:00+00:00,30.235,30.26,30.235,30.24,1569.0,19.0,30.25151
BAX,2025-06-30 14:12:00+00:00,30.23,30.255,30.23,30.255,736.0,10.0,30.248095
BAX,2025-06-30 14:13:00+00:00,30.255,30.26,30.255,30.26,1773.0,8.0,30.258431
BAX,2025-06-30 14:15:00+00:00,30.26,30.26,30.26,30.26,307.0,4.0,30.26
BAX,2025-06-30 14:17:00+00:00,30.26,30.275,30.26,30.275,1119.0,8.0,30.265
BAX,2025-06-30 14:18:00+00:00,30.29,30.29,30.29,30.29,114.0,2.0,30.29
BAX,2025-06-30 14:19:00+00:00,30.285,30.285,30.28,30.28,1360.0,8.0,30.280377
BAX,2025-06-30 14:20:00+00:00,30.27,30.27,30.27,30.27,280.0,2.0,30.27
BAX,2025-06-30 14:21:00+00:00,30.26,30.26,30.23,30.235,3549.0,19.0,30.239447
BAX,2025-06-30 14:23:00+00:00,30.255,30.26,30.255,30.26,574.0,7.0,30.259
BAX,2025-06-30 14:24:00+00:00,30.245,30.245,30.245,30.245,200.0,2.0,30.245
BAX,2025-06-30 14:26:00+00:00,30.245,30.245,30.245,30.245,682.0,5.0,30.245
BAX,2025-06-30 14:27:00+00:00,30.245,30.29,30.245,30.29,1810.0,11.0,30.274584
BAX,2025-06-30 14:28:00+00:00,30.29,30.29,30.29,30.29,546.0,4.0,30.29
BAX,2025-06-30 14:29:00+00:00,30.29,30.29,30.285,30.285,414.0,7.0,30.288215
