symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BIIB,2025-06-30 13:35:00+00:00,125.77,125.77,125.77,125.77,100.0,1.0,125.77
BIIB,2025-06-30 13:36:00+00:00,125.77,125.77,125.77,125.77,300.0,3.0,125.77
BIIB,2025-06-30 13:42:00+00:00,125.63,125.63,125.63,125.63,200.0,2.0,125.63
BIIB,2025-06-30 13:45:00+00:00,126.405,126.405,126.405,126.405,200.0,1.0,126.405
BIIB,2025-06-30 14:08:00+00:00,126.18,126.18,126.18,126.18,130.0,3.0,126.18
BIIB,2025-06-30 14:21:00+00:00,126.105,126.105,126.105,126.105,100.0,1.0,126.105
BIIB,2025-06-30 14:27:00+00:00,126.375,126.375,126.375,126.375,100.0,1.0,126.375
BIIB,2025-06-30 14:48:00+00:00,125.98,125.98,125.98,125.98,118.0,3.0,125.98
BIIB,2025-06-30 15:00:00+00:00,125.55,125.55,125.55,125.55,101.0,2.0,125.55
BIIB,2025-06-30 15:01:00+00:00,125.555,125.59,125.555,125.57,338.0,4.0,125.571667
BIIB,2025-06-30 15:02:00+00:00,125.54,125.54,125.54,125.54,146.0,2.0,125.54
BIIB,2025-06-30 15:03:00+00:00,125.69,125.69,125.69,125.69,223.0,5.0,125.69
BIIB,2025-06-30 15:18:00+00:00,125.62,125.62,125.62,125.62,101.0,2.0,125.62
BIIB,2025-06-30 15:31:00+00:00,125.73,125.73,125.73,125.73,153.0,3.0,125.73
BIIB,2025-06-30 15:33:00+00:00,125.825,125.825,125.825,125.825,100.0,1.0,125.825
BIIB,2025-06-30 15:34:00+00:00,125.83,125.83,125.83,125.83,206.0,8.0,125.83
BIIB,2025-06-30 15:35:00+00:00,125.81,125.81,125.81,125.81,110.0,6.0,125.81
BIIB,2025-06-30 15:54:00+00:00,125.59,125.59,125.59,125.59,122.0,5.0,125.59
BIIB,2025-06-30 16:01:00+00:00,125.49,125.49,125.49,125.49,105.0,2.0,125.49
BIIB,2025-06-30 16:02:00+00:00,125.49,125.49,125.49,125.49,105.0,3.0,125.49
BIIB,2025-06-30 16:06:00+00:00,125.48,125.48,125.48,125.48,104.0,4.0,125.48
