symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CAG,2025-06-30 13:30:00+00:00,20.39,20.39,20.39,20.39,200.0,1.0,20.39
CAG,2025-06-30 13:31:00+00:00,20.4,20.43,20.4,20.41,780.0,8.0,20.418056
CAG,2025-06-30 13:32:00+00:00,20.38,20.39,20.34,20.38,2592.0,23.0,20.376704
CAG,2025-06-30 13:33:00+00:00,20.35,20.41,20.34,20.41,845.0,9.0,20.360187
CAG,2025-06-30 13:34:00+00:00,20.41,20.41,20.41,20.41,100.0,1.0,20.41
CAG,2025-06-30 13:35:00+00:00,20.355,20.38,20.355,20.38,1300.0,7.0,20.363462
CAG,2025-06-30 13:36:00+00:00,20.42,20.45,20.42,20.43,1258.0,10.0,20.434545
CAG,2025-06-30 13:38:00+00:00,20.43,20.44,20.43,20.44,300.0,3.0,20.433333
CAG,2025-06-30 13:40:00+00:00,20.51,20.51,20.5,20.5,400.0,3.0,20.50375
CAG,2025-06-30 13:41:00+00:00,20.485,20.485,20.485,20.485,266.0,3.0,20.485
CAG,2025-06-30 13:42:00+00:00,20.49,20.49,20.47,20.47,721.0,7.0,20.475714
CAG,2025-06-30 13:43:00+00:00,20.47,20.48,20.46,20.47,1100.0,8.0,20.467727
CAG,2025-06-30 13:44:00+00:00,20.48,20.48,20.48,20.48,380.0,3.0,20.48
CAG,2025-06-30 13:45:00+00:00,20.47,20.47,20.47,20.47,272.0,3.0,20.47
CAG,2025-06-30 13:46:00+00:00,20.465,20.465,20.46,20.46,400.0,3.0,20.4625
CAG,2025-06-30 13:47:00+00:00,20.46,20.46,20.46,20.46,102.0,2.0,20.46
CAG,2025-06-30 13:48:00+00:00,20.47,20.47,20.43,20.435,983.0,8.0,20.439639
CAG,2025-06-30 13:49:00+00:00,20.43,20.43,20.39,20.39,409.0,5.0,20.41
CAG,2025-06-30 13:50:00+00:00,20.395,20.395,20.36,20.36,1258.0,10.0,20.372917
CAG,2025-06-30 13:51:00+00:00,20.375,20.38,20.36,20.38,1207.0,9.0,20.373333
CAG,2025-06-30 13:52:00+00:00,20.39,20.39,20.39,20.39,733.0,8.0,20.39
CAG,2025-06-30 13:53:00+00:00,20.4,20.4,20.39,20.39,700.0,6.0,20.395714
CAG,2025-06-30 13:54:00+00:00,20.39,20.39,20.38,20.39,1066.0,13.0,20.385
CAG,2025-06-30 13:55:00+00:00,20.39,20.39,20.38,20.39,633.0,10.0,20.388333
CAG,2025-06-30 13:56:00+00:00,20.39,20.4,20.39,20.39,687.0,8.0,20.396
CAG,2025-06-30 13:57:00+00:00,20.4,20.4,20.39,20.39,873.0,6.0,20.391206
CAG,2025-06-30 13:58:00+00:00,20.39,20.39,20.37,20.38,1101.0,12.0,20.377273
CAG,2025-06-30 13:59:00+00:00,20.38,20.38,20.36,20.37,1256.0,13.0,20.362917
CAG,2025-06-30 14:00:00+00:00,20.36,20.36,20.35,20.35,300.0,2.0,20.353333
CAG,2025-06-30 14:01:00+00:00,20.335,20.35,20.335,20.35,300.0,3.0,20.345
CAG,2025-06-30 14:02:00+00:00,20.34,20.34,20.34,20.34,126.0,2.0,20.34
CAG,2025-06-30 14:03:00+00:00,20.35,20.35,20.34,20.34,709.0,6.0,20.345
CAG,2025-06-30 14:04:00+00:00,20.335,20.34,20.33,20.335,1754.0,14.0,20.333487
CAG,2025-06-30 14:05:00+00:00,20.34,20.34,20.335,20.335,751.0,6.0,20.336337
CAG,2025-06-30 14:06:00+00:00,20.34,20.34,20.33,20.335,2042.0,11.0,20.333183
CAG,2025-06-30 14:07:00+00:00,20.36,20.365,20.36,20.365,500.0,5.0,20.361
CAG,2025-06-30 14:08:00+00:00,20.37,20.38,20.36,20.38,1549.0,16.0,20.364643
CAG,2025-06-30 14:09:00+00:00,20.385,20.4,20.385,20.39,2117.0,20.0,20.393684
CAG,2025-06-30 14:10:00+00:00,20.39,20.4,20.39,20.4,810.0,8.0,20.39375
CAG,2025-06-30 14:11:00+00:00,20.395,20.405,20.395,20.405,339.0,6.0,20.401667
CAG,2025-06-30 14:12:00+00:00,20.4,20.4,20.4,20.4,613.0,7.0,20.4
CAG,2025-06-30 14:13:00+00:00,20.41,20.42,20.41,20.41,1207.0,18.0,20.414
CAG,2025-06-30 14:14:00+00:00,20.41,20.41,20.41,20.41,592.0,7.0,20.41
CAG,2025-06-30 14:16:00+00:00,20.42,20.42,20.42,20.42,500.0,4.0,20.42
CAG,2025-06-30 14:17:00+00:00,20.43,20.44,20.43,20.435,506.0,8.0,20.43625
CAG,2025-06-30 14:18:00+00:00,20.41,20.41,20.41,20.41,638.0,5.0,20.41
CAG,2025-06-30 14:19:00+00:00,20.425,20.44,20.425,20.44,2603.0,17.0,20.432308
CAG,2025-06-30 14:20:00+00:00,20.45,20.46,20.45,20.455,1400.0,11.0,20.453077
CAG,2025-06-30 14:21:00+00:00,20.45,20.455,20.435,20.45,2297.0,15.0,20.450038
CAG,2025-06-30 14:22:00+00:00,20.46,20.46,20.46,20.46,906.0,5.0,20.46
CAG,2025-06-30 14:23:00+00:00,20.47,20.47,20.455,20.455,944.0,9.0,20.46216
CAG,2025-06-30 14:24:00+00:00,20.445,20.47,20.44,20.47,1809.0,16.0,20.452601
CAG,2025-06-30 14:25:00+00:00,20.455,20.455,20.44,20.44,803.0,8.0,20.444375
CAG,2025-06-30 14:26:00+00:00,20.445,20.45,20.445,20.45,306.0,4.0,20.447427
CAG,2025-06-30 14:27:00+00:00,20.45,20.45,20.445,20.445,359.0,5.0,20.446667
CAG,2025-06-30 14:29:00+00:00,20.44,20.46,20.44,20.46,1944.0,23.0,20.451111
CAG,2025-06-30 14:30:00+00:00,20.445,20.455,20.445,20.45,487.0,4.0,20.449107
CAG,2025-06-30 14:31:00+00:00,20.435,20.445,20.435,20.445,1008.0,10.0,20.4425
CAG,2025-06-30 14:32:00+00:00,20.45,20.45,20.45,20.45,795.0,7.0,20.45
CAG,2025-06-30 14:33:00+00:00,20.44,20.455,20.44,20.44,2978.0,26.0,20.44319
CAG,2025-06-30 14:34:00+00:00,20.44,20.44,20.43,20.43,702.0,11.0,20.438
CAG,2025-06-30 14:35:00+00:00,20.42,20.425,20.41,20.41,1382.0,17.0,20.416818
CAG,2025-06-30 14:36:00+00:00,20.42,20.42,20.41,20.41,1435.0,16.0,20.413333
CAG,2025-06-30 14:37:00+00:00,20.42,20.42,20.42,20.42,734.0,12.0,20.42
CAG,2025-06-30 14:38:00+00:00,20.41,20.41,20.41,20.41,602.0,7.0,20.41
CAG,2025-06-30 14:40:00+00:00,20.395,20.415,20.39,20.415,1633.0,12.0,20.40125
CAG,2025-06-30 14:41:00+00:00,20.4,20.4,20.4,20.4,520.0,9.0,20.4
CAG,2025-06-30 14:42:00+00:00,20.39,20.39,20.39,20.39,700.0,7.0,20.39
CAG,2025-06-30 14:43:00+00:00,20.38,20.385,20.38,20.385,1000.0,9.0,20.3805
CAG,2025-06-30 14:44:00+00:00,20.38,20.39,20.38,20.39,920.0,9.0,20.38875
CAG,2025-06-30 14:45:00+00:00,20.395,20.395,20.38,20.385,700.0,7.0,20.385833
CAG,2025-06-30 14:46:00+00:00,20.39,20.39,20.39,20.39,2203.0,17.0,20.39
CAG,2025-06-30 14:47:00+00:00,20.405,20.415,20.405,20.41,1302.0,10.0,20.408846
CAG,2025-06-30 14:48:00+00:00,20.415,20.415,20.405,20.405,803.0,9.0,20.411875
CAG,2025-06-30 14:49:00+00:00,20.4,20.425,20.4,20.425,2300.0,20.0,20.410909
CAG,2025-06-30 14:50:00+00:00,20.41,20.41,20.4,20.405,1118.0,9.0,20.403636
CAG,2025-06-30 14:51:00+00:00,20.395,20.395,20.385,20.39,2481.0,21.0,20.390451
CAG,2025-06-30 14:52:00+00:00,20.4,20.4,20.4,20.4,601.0,9.0,20.4
CAG,2025-06-30 14:53:00+00:00,20.415,20.415,20.395,20.395,2819.0,21.0,20.414
CAG,2025-06-30 14:54:00+00:00,20.39,20.4,20.385,20.4,2021.0,16.0,20.389167
CAG,2025-06-30 14:55:00+00:00,20.4,20.4,20.4,20.4,606.0,8.0,20.4
CAG,2025-06-30 14:56:00+00:00,20.4,20.4,20.395,20.395,1609.0,9.0,20.397
CAG,2025-06-30 14:57:00+00:00,20.41,20.42,20.41,20.42,513.0,9.0,20.413333
CAG,2025-06-30 14:58:00+00:00,20.425,20.425,20.42,20.42,1454.0,14.0,20.422204
CAG,2025-06-30 14:59:00+00:00,20.425,20.435,20.425,20.43,2107.0,27.0,20.430214
CAG,2025-06-30 15:00:00+00:00,20.44,20.44,20.44,20.44,747.0,10.0,20.44
CAG,2025-06-30 15:01:00+00:00,20.44,20.46,20.44,20.46,772.0,9.0,20.442857
CAG,2025-06-30 15:02:00+00:00,20.47,20.475,20.47,20.47,697.0,12.0,20.47125
CAG,2025-06-30 15:03:00+00:00,20.47,20.47,20.46,20.47,1349.0,14.0,20.465888
CAG,2025-06-30 15:04:00+00:00,20.465,20.495,20.465,20.495,3826.0,32.0,20.474563
CAG,2025-06-30 15:05:00+00:00,20.505,20.505,20.49,20.49,3777.0,18.0,20.50257
CAG,2025-06-30 15:06:00+00:00,20.49,20.49,20.49,20.49,660.0,8.0,20.49
CAG,2025-06-30 15:07:00+00:00,20.475,20.485,20.475,20.485,1726.0,8.0,20.48398
CAG,2025-06-30 15:08:00+00:00,20.475,20.475,20.475,20.475,134.0,2.0,20.475
CAG,2025-06-30 15:09:00+00:00,20.455,20.46,20.45,20.455,1700.0,15.0,20.454671
CAG,2025-06-30 15:10:00+00:00,20.455,20.465,20.45,20.45,2036.0,19.0,20.455833
CAG,2025-06-30 15:11:00+00:00,20.445,20.445,20.435,20.445,4549.0,25.0,20.443615
CAG,2025-06-30 15:12:00+00:00,20.445,20.455,20.445,20.455,420.0,7.0,20.45
CAG,2025-06-30 15:13:00+00:00,20.45,20.45,20.45,20.45,200.0,2.0,20.45
CAG,2025-06-30 15:14:00+00:00,20.43,20.43,20.43,20.43,680.0,8.0,20.43
CAG,2025-06-30 15:15:00+00:00,20.44,20.44,20.44,20.44,290.0,3.0,20.44
CAG,2025-06-30 15:16:00+00:00,20.45,20.46,20.44,20.46,9110.0,70.0,20.448865
CAG,2025-06-30 15:17:00+00:00,20.4,20.43,20.4,20.43,2171.0,26.0,20.406884
CAG,2025-06-30 15:18:00+00:00,20.4,20.41,20.4,20.41,700.0,9.0,20.408333
CAG,2025-06-30 15:19:00+00:00,20.41,20.43,20.405,20.43,14324.0,105.0,20.41904
CAG,2025-06-30 15:20:00+00:00,20.425,20.44,20.42,20.44,1686.0,16.0,20.429198
