symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CDNS,2025-06-30 13:30:00+00:00,306.46,306.46,306.46,306.46,310.0,5.0,306.46
CDNS,2025-06-30 13:31:00+00:00,305.99,306.45,305.99,306.45,401.0,4.0,306.105
CDNS,2025-06-30 13:32:00+00:00,306.45,307.07,306.45,307.07,780.0,13.0,306.900792
CDNS,2025-06-30 13:35:00+00:00,307.28,307.28,307.28,307.28,100.0,1.0,307.28
CDNS,2025-06-30 13:37:00+00:00,308.31,308.375,308.31,308.375,294.0,9.0,308.34298
CDNS,2025-06-30 13:38:00+00:00,307.655,307.865,307.655,307.865,536.0,8.0,307.795
CDNS,2025-06-30 13:41:00+00:00,308.68,308.68,308.68,308.68,382.0,6.0,308.68
CDNS,2025-06-30 13:47:00+00:00,308.18,308.18,308.18,308.18,101.0,2.0,308.18
CDNS,2025-06-30 13:48:00+00:00,308.235,308.235,308.235,308.235,210.0,3.0,308.235
CDNS,2025-06-30 13:52:00+00:00,308.45,308.45,308.45,308.45,136.0,4.0,308.45
CDNS,2025-06-30 13:53:00+00:00,308.4,308.4,308.4,308.4,206.0,7.0,308.4
CDNS,2025-06-30 13:54:00+00:00,308.4,308.4,308.39,308.39,389.0,7.0,308.396667
CDNS,2025-06-30 13:55:00+00:00,308.34,308.85,308.34,308.85,511.0,8.0,308.5575
CDNS,2025-06-30 13:56:00+00:00,309.025,309.025,309.025,309.025,224.0,9.0,309.025
CDNS,2025-06-30 13:58:00+00:00,308.47,308.47,308.43,308.43,320.0,5.0,308.443333
CDNS,2025-06-30 13:59:00+00:00,308.48,308.565,308.48,308.565,1216.0,27.0,308.508523
CDNS,2025-06-30 14:01:00+00:00,308.23,308.23,308.23,308.23,248.0,7.0,308.23
CDNS,2025-06-30 14:02:00+00:00,308.455,308.455,308.455,308.455,285.0,11.0,308.455
CDNS,2025-06-30 14:06:00+00:00,308.64,308.94,308.64,308.94,396.0,14.0,308.756667
CDNS,2025-06-30 14:24:00+00:00,309.59,309.59,309.59,309.59,228.0,12.0,309.59
CDNS,2025-06-30 14:27:00+00:00,309.605,309.605,309.605,309.605,120.0,3.0,309.605
CDNS,2025-06-30 14:28:00+00:00,309.57,309.57,309.57,309.57,699.0,17.0,309.57
CDNS,2025-06-30 14:29:00+00:00,310.06,310.11,310.06,310.11,782.0,18.0,310.085
CDNS,2025-06-30 14:30:00+00:00,309.73,309.73,309.73,309.73,667.0,26.0,309.73
CDNS,2025-06-30 14:31:00+00:00,309.17,309.17,309.17,309.17,365.0,10.0,309.17
CDNS,2025-06-30 14:37:00+00:00,308.49,308.49,308.49,308.49,156.0,5.0,308.49
CDNS,2025-06-30 14:38:00+00:00,308.76,308.95,308.76,308.95,601.0,12.0,308.907871
CDNS,2025-06-30 14:41:00+00:00,308.87,308.87,308.87,308.87,301.0,6.0,308.87
CDNS,2025-06-30 14:45:00+00:00,309.24,309.24,309.24,309.24,101.0,2.0,309.24
CDNS,2025-06-30 14:58:00+00:00,309.595,309.725,309.595,309.725,380.0,10.0,309.640455
CDNS,2025-06-30 14:59:00+00:00,309.42,309.42,309.42,309.42,270.0,9.0,309.42
