symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CF,2025-06-30 13:32:00+00:00,90.44,90.44,90.44,90.44,447.0,4.0,90.44
CF,2025-06-30 13:34:00+00:00,90.47,90.47,90.47,90.47,354.0,5.0,90.47
CF,2025-06-30 13:35:00+00:00,90.505,90.505,90.465,90.505,4081.0,22.0,90.502
CF,2025-06-30 13:36:00+00:00,90.505,90.805,90.505,90.73,1427.0,11.0,90.665829
CF,2025-06-30 13:37:00+00:00,90.73,90.73,90.73,90.73,163.0,4.0,90.73
CF,2025-06-30 13:38:00+00:00,90.79,90.79,90.79,90.79,163.0,2.0,90.79
CF,2025-06-30 13:39:00+00:00,90.71,90.71,90.71,90.71,234.0,4.0,90.71
CF,2025-06-30 13:43:00+00:00,90.55,90.55,90.55,90.55,263.0,7.0,90.55
CF,2025-06-30 13:46:00+00:00,90.985,90.985,90.985,90.985,102.0,3.0,90.985
CF,2025-06-30 13:48:00+00:00,90.89,90.89,90.89,90.89,300.0,3.0,90.89
CF,2025-06-30 13:49:00+00:00,90.935,90.935,90.935,90.935,384.0,7.0,90.935
CF,2025-06-30 13:51:00+00:00,90.89,90.89,90.89,90.89,111.0,1.0,90.89
CF,2025-06-30 13:52:00+00:00,90.915,90.915,90.915,90.915,356.0,7.0,90.915
CF,2025-06-30 13:54:00+00:00,90.97,90.97,90.97,90.97,148.0,4.0,90.97
CF,2025-06-30 13:56:00+00:00,90.775,90.815,90.775,90.78,718.0,9.0,90.792969
CF,2025-06-30 13:57:00+00:00,90.85,90.85,90.85,90.85,408.0,8.0,90.85
CF,2025-06-30 13:58:00+00:00,90.83,90.83,90.83,90.83,205.0,2.0,90.83
CF,2025-06-30 14:02:00+00:00,90.825,90.825,90.825,90.825,175.0,3.0,90.825
CF,2025-06-30 14:04:00+00:00,90.775,90.85,90.775,90.84,663.0,13.0,90.802862
CF,2025-06-30 14:05:00+00:00,90.77,90.77,90.77,90.77,383.0,12.0,90.77
CF,2025-06-30 14:07:00+00:00,90.76,90.76,90.76,90.76,605.0,8.0,90.76
CF,2025-06-30 14:08:00+00:00,90.75,90.75,90.75,90.75,336.0,7.0,90.75
CF,2025-06-30 14:09:00+00:00,90.765,90.765,90.74,90.75,799.0,12.0,90.754167
CF,2025-06-30 14:10:00+00:00,90.765,90.765,90.765,90.765,302.0,3.0,90.765
CF,2025-06-30 14:11:00+00:00,90.74,90.74,90.7,90.71,626.0,9.0,90.714
CF,2025-06-30 14:12:00+00:00,90.75,90.76,90.75,90.76,536.0,12.0,90.753333
CF,2025-06-30 14:13:00+00:00,90.78,90.795,90.78,90.795,352.0,5.0,90.79
CF,2025-06-30 14:16:00+00:00,90.78,90.78,90.765,90.765,332.0,5.0,90.77
CF,2025-06-30 14:17:00+00:00,90.78,90.78,90.78,90.78,212.0,6.0,90.78
