symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CHD,2025-06-30 13:30:00+00:00,94.64,94.64,94.64,94.64,117.0,2.0,94.64
CHD,2025-06-30 13:31:00+00:00,94.83,94.83,94.83,94.83,101.0,2.0,94.83
CHD,2025-06-30 13:32:00+00:00,94.995,94.995,94.825,94.94,453.0,6.0,94.91
CHD,2025-06-30 13:34:00+00:00,95.67,95.67,95.45,95.45,410.0,7.0,95.55
CHD,2025-06-30 13:35:00+00:00,95.43,95.43,95.34,95.34,512.0,6.0,95.395
CHD,2025-06-30 13:36:00+00:00,95.43,95.43,95.43,95.43,150.0,2.0,95.43
CHD,2025-06-30 13:37:00+00:00,95.45,95.45,95.435,95.435,390.0,9.0,95.4425
CHD,2025-06-30 13:39:00+00:00,95.315,95.315,95.315,95.315,138.0,2.0,95.315
CHD,2025-06-30 13:42:00+00:00,95.425,95.425,95.425,95.425,238.0,3.0,95.425
CHD,2025-06-30 13:43:00+00:00,95.43,95.43,95.43,95.43,300.0,3.0,95.43
CHD,2025-06-30 13:44:00+00:00,95.43,95.43,95.43,95.43,300.0,3.0,95.43
CHD,2025-06-30 13:45:00+00:00,95.5,95.5,95.26,95.26,1006.0,9.0,95.404242
CHD,2025-06-30 13:46:00+00:00,95.375,95.375,95.375,95.375,250.0,3.0,95.375
CHD,2025-06-30 13:47:00+00:00,95.425,95.425,95.425,95.425,1216.0,15.0,95.425
CHD,2025-06-30 13:49:00+00:00,95.475,95.475,95.475,95.475,100.0,1.0,95.475
CHD,2025-06-30 13:52:00+00:00,95.38,95.49,95.38,95.49,1368.0,15.0,95.447727
CHD,2025-06-30 13:53:00+00:00,95.51,95.58,95.51,95.565,300.0,3.0,95.551667
CHD,2025-06-30 13:54:00+00:00,95.58,95.58,95.58,95.58,345.0,3.0,95.58
CHD,2025-06-30 13:55:00+00:00,95.55,95.55,95.55,95.55,104.0,3.0,95.55
CHD,2025-06-30 13:56:00+00:00,95.49,95.49,95.49,95.49,405.0,7.0,95.49
CHD,2025-06-30 13:57:00+00:00,95.575,95.575,95.575,95.575,100.0,1.0,95.575
CHD,2025-06-30 13:59:00+00:00,95.41,95.41,95.38,95.38,408.0,5.0,95.38875
CHD,2025-06-30 14:00:00+00:00,95.38,95.38,95.32,95.32,384.0,9.0,95.35
CHD,2025-06-30 14:01:00+00:00,95.31,95.34,95.31,95.325,402.0,5.0,95.325
CHD,2025-06-30 14:02:00+00:00,95.37,95.43,95.37,95.43,650.0,7.0,95.393333
CHD,2025-06-30 14:03:00+00:00,95.445,95.45,95.445,95.45,300.0,5.0,95.4475
CHD,2025-06-30 14:04:00+00:00,95.46,95.46,95.46,95.46,203.0,3.0,95.46
CHD,2025-06-30 14:05:00+00:00,95.47,95.485,95.47,95.485,313.0,5.0,95.48
CHD,2025-06-30 14:06:00+00:00,95.505,95.505,95.505,95.505,100.0,1.0,95.505
CHD,2025-06-30 14:07:00+00:00,95.49,95.49,95.49,95.49,108.0,4.0,95.49
CHD,2025-06-30 14:08:00+00:00,95.45,95.475,95.45,95.475,423.0,4.0,95.461998
CHD,2025-06-30 14:10:00+00:00,95.58,95.62,95.58,95.605,482.0,8.0,95.604286
CHD,2025-06-30 14:11:00+00:00,95.57,95.585,95.57,95.585,475.0,3.0,95.581842
CHD,2025-06-30 14:12:00+00:00,95.515,95.52,95.51,95.52,582.0,8.0,95.515882
CHD,2025-06-30 14:13:00+00:00,95.49,95.515,95.49,95.515,1130.0,18.0,95.505
CHD,2025-06-30 14:15:00+00:00,95.47,95.49,95.47,95.49,275.0,7.0,95.48
CHD,2025-06-30 14:16:00+00:00,95.62,95.625,95.62,95.625,201.0,3.0,95.6225
CHD,2025-06-30 14:17:00+00:00,95.635,95.66,95.6,95.6,641.0,10.0,95.628431
CHD,2025-06-30 14:19:00+00:00,95.59,95.59,95.59,95.59,337.0,5.0,95.59
CHD,2025-06-30 14:20:00+00:00,95.61,95.61,95.61,95.61,115.0,2.0,95.61
CHD,2025-06-30 14:21:00+00:00,95.55,95.55,95.55,95.55,468.0,4.0,95.55
CHD,2025-06-30 14:23:00+00:00,95.585,95.62,95.585,95.61,1116.0,17.0,95.600833
CHD,2025-06-30 14:24:00+00:00,95.57,95.57,95.57,95.57,752.0,7.0,95.57
CHD,2025-06-30 14:25:00+00:00,95.59,95.59,95.59,95.59,140.0,3.0,95.59
CHD,2025-06-30 14:27:00+00:00,95.545,95.545,95.545,95.545,685.0,8.0,95.545
CHD,2025-06-30 14:28:00+00:00,95.5,95.5,95.48,95.49,1439.0,10.0,95.486429
CHD,2025-06-30 14:29:00+00:00,95.49,95.55,95.49,95.52,3030.0,18.0,95.524333
CHD,2025-06-30 14:30:00+00:00,95.555,95.555,95.525,95.525,1066.0,8.0,95.539444
CHD,2025-06-30 14:31:00+00:00,95.485,95.5,95.485,95.5,908.0,6.0,95.495
CHD,2025-06-30 14:32:00+00:00,95.56,95.56,95.56,95.56,100.0,1.0,95.56
CHD,2025-06-30 14:33:00+00:00,95.53,95.53,95.53,95.53,120.0,2.0,95.53
CHD,2025-06-30 14:34:00+00:00,95.49,95.49,95.49,95.49,126.0,5.0,95.49
CHD,2025-06-30 14:35:00+00:00,95.495,95.53,95.495,95.52,2744.0,20.0,95.515714
CHD,2025-06-30 14:36:00+00:00,95.51,95.51,95.51,95.51,520.0,5.0,95.51
CHD,2025-06-30 14:38:00+00:00,95.56,95.61,95.56,95.61,749.0,14.0,95.573
CHD,2025-06-30 14:39:00+00:00,95.43,95.43,95.43,95.43,1616.0,11.0,95.43
CHD,2025-06-30 14:40:00+00:00,95.39,95.39,95.39,95.39,1043.0,8.0,95.39
CHD,2025-06-30 14:42:00+00:00,95.365,95.395,95.365,95.37,3378.0,27.0,95.367987
CHD,2025-06-30 14:48:00+00:00,95.195,95.25,95.195,95.25,1715.0,15.0,95.216
CHD,2025-06-30 14:49:00+00:00,95.29,95.395,95.29,95.395,487.0,7.0,95.3625
CHD,2025-06-30 14:50:00+00:00,95.43,95.465,95.43,95.465,323.0,7.0,95.4475
CHD,2025-06-30 14:51:00+00:00,95.49,95.525,95.49,95.525,812.0,12.0,95.513
CHD,2025-06-30 14:53:00+00:00,95.56,95.67,95.56,95.655,974.0,14.0,95.6475
CHD,2025-06-30 14:56:00+00:00,95.46,95.46,95.46,95.46,248.0,3.0,95.46
CHD,2025-06-30 14:57:00+00:00,95.45,95.45,95.45,95.45,151.0,3.0,95.45
CHD,2025-06-30 14:59:00+00:00,95.49,95.49,95.49,95.49,252.0,6.0,95.49
CHD,2025-06-30 15:01:00+00:00,95.56,95.56,95.55,95.55,797.0,17.0,95.556667
CHD,2025-06-30 15:04:00+00:00,95.43,95.43,95.43,95.43,221.0,4.0,95.43
CHD,2025-06-30 15:07:00+00:00,95.485,95.485,95.485,95.485,274.0,6.0,95.485
CHD,2025-06-30 15:08:00+00:00,95.43,95.515,95.43,95.515,300.0,3.0,95.475829
CHD,2025-06-30 15:09:00+00:00,95.64,95.69,95.62,95.69,410.0,6.0,95.655
CHD,2025-06-30 15:11:00+00:00,95.75,95.75,95.75,95.75,134.0,5.0,95.75
CHD,2025-06-30 15:12:00+00:00,95.78,95.78,95.78,95.78,203.0,4.0,95.78
CHD,2025-06-30 15:14:00+00:00,95.81,95.81,95.81,95.81,211.0,4.0,95.81
CHD,2025-06-30 15:16:00+00:00,95.78,95.78,95.72,95.72,422.0,14.0,95.758333
CHD,2025-06-30 15:19:00+00:00,95.74,95.74,95.74,95.74,131.0,4.0,95.74
