symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CLX,2025-06-30 13:30:00+00:00,118.985,118.985,118.985,118.985,208.0,2.0,118.985
CLX,2025-06-30 13:32:00+00:00,118.87,118.87,118.795,118.87,4030.0,26.0,118.827
CLX,2025-06-30 13:33:00+00:00,118.845,119.095,118.845,119.075,1153.0,14.0,119.043
CLX,2025-06-30 13:36:00+00:00,118.865,118.98,118.865,118.98,701.0,7.0,118.902857
CLX,2025-06-30 13:37:00+00:00,119.19,119.28,119.19,119.28,505.0,6.0,119.238
CLX,2025-06-30 13:39:00+00:00,119.265,119.37,119.265,119.37,545.0,7.0,119.329
CLX,2025-06-30 13:40:00+00:00,119.36,119.39,119.36,119.39,300.0,3.0,119.38
CLX,2025-06-30 13:41:00+00:00,119.45,119.45,119.45,119.45,300.0,4.0,119.45
CLX,2025-06-30 13:42:00+00:00,119.485,119.485,119.485,119.485,268.0,3.0,119.485
CLX,2025-06-30 13:43:00+00:00,119.485,119.5,119.455,119.5,400.0,4.0,119.47375
CLX,2025-06-30 13:44:00+00:00,119.425,119.45,119.425,119.45,306.0,4.0,119.433333
CLX,2025-06-30 13:45:00+00:00,119.49,119.49,119.455,119.455,280.0,4.0,119.4725
CLX,2025-06-30 13:47:00+00:00,119.49,119.49,119.48,119.48,455.0,9.0,119.485
CLX,2025-06-30 13:48:00+00:00,119.37,119.37,119.285,119.285,301.0,4.0,119.313333
CLX,2025-06-30 13:49:00+00:00,119.41,119.41,119.375,119.375,240.0,5.0,119.3925
CLX,2025-06-30 13:51:00+00:00,119.17,119.19,119.17,119.19,341.0,7.0,119.176667
CLX,2025-06-30 13:53:00+00:00,119.345,119.345,119.345,119.345,130.0,4.0,119.345
CLX,2025-06-30 13:54:00+00:00,119.365,119.365,119.365,119.365,204.0,3.0,119.365
CLX,2025-06-30 13:55:00+00:00,119.365,119.365,119.365,119.365,183.0,3.0,119.365
CLX,2025-06-30 13:56:00+00:00,119.36,119.41,119.36,119.41,205.0,3.0,119.385
CLX,2025-06-30 13:57:00+00:00,119.445,119.445,119.445,119.445,170.0,2.0,119.445
CLX,2025-06-30 14:01:00+00:00,119.18,119.19,119.18,119.19,303.0,5.0,119.183333
CLX,2025-06-30 14:02:00+00:00,119.18,119.23,119.18,119.23,200.0,2.0,119.205
CLX,2025-06-30 14:04:00+00:00,119.27,119.29,119.27,119.29,202.0,4.0,119.28
CLX,2025-06-30 14:06:00+00:00,119.41,119.415,119.41,119.415,200.0,2.0,119.4125
CLX,2025-06-30 14:08:00+00:00,119.395,119.395,119.315,119.355,754.0,9.0,119.352143
CLX,2025-06-30 14:09:00+00:00,119.355,119.43,119.355,119.43,200.0,2.0,119.3925
CLX,2025-06-30 14:10:00+00:00,119.48,119.48,119.48,119.48,161.0,4.0,119.48
CLX,2025-06-30 14:12:00+00:00,119.41,119.425,119.41,119.425,455.0,6.0,119.42125
CLX,2025-06-30 14:13:00+00:00,119.445,119.445,119.445,119.445,100.0,1.0,119.445
CLX,2025-06-30 14:14:00+00:00,119.48,119.48,119.48,119.48,159.0,6.0,119.48
CLX,2025-06-30 14:21:00+00:00,119.42,119.42,119.42,119.42,161.0,5.0,119.42
CLX,2025-06-30 14:23:00+00:00,119.51,119.51,119.51,119.51,270.0,8.0,119.51
CLX,2025-06-30 14:24:00+00:00,119.505,119.505,119.505,119.505,100.0,1.0,119.505
CLX,2025-06-30 14:30:00+00:00,119.385,119.385,119.385,119.385,107.0,2.0,119.385
CLX,2025-06-30 14:36:00+00:00,119.215,119.215,119.215,119.215,479.0,9.0,119.215
CLX,2025-06-30 14:39:00+00:00,119.1,119.1,119.1,119.1,110.0,2.0,119.1
CLX,2025-06-30 14:40:00+00:00,119.05,119.05,119.05,119.05,339.0,8.0,119.05
CLX,2025-06-30 14:43:00+00:00,119.025,119.025,119.025,119.025,126.0,3.0,119.025
CLX,2025-06-30 14:44:00+00:00,119.025,119.025,119.025,119.025,150.0,2.0,119.025
CLX,2025-06-30 15:03:00+00:00,119.545,119.545,119.545,119.545,137.0,6.0,119.545
CLX,2025-06-30 15:07:00+00:00,119.56,119.56,119.56,119.56,202.0,4.0,119.56
CLX,2025-06-30 15:11:00+00:00,119.51,119.51,119.51,119.51,108.0,4.0,119.51
CLX,2025-06-30 15:17:00+00:00,119.515,119.515,119.515,119.515,206.0,4.0,119.515
CLX,2025-06-30 15:25:00+00:00,119.39,119.39,119.39,119.39,193.0,5.0,119.39
CLX,2025-06-30 15:27:00+00:00,119.365,119.365,119.365,119.365,134.0,2.0,119.365
CLX,2025-06-30 15:33:00+00:00,119.57,119.57,119.57,119.57,106.0,2.0,119.57
CLX,2025-06-30 15:38:00+00:00,119.625,119.625,119.625,119.625,384.0,4.0,119.625
CLX,2025-06-30 15:40:00+00:00,119.64,119.64,119.64,119.64,105.0,2.0,119.64
CLX,2025-06-30 15:41:00+00:00,119.58,119.58,119.58,119.58,154.0,4.0,119.58
CLX,2025-06-30 15:43:00+00:00,119.54,119.54,119.54,119.54,128.0,4.0,119.54
CLX,2025-06-30 15:44:00+00:00,119.49,119.53,119.49,119.53,343.0,8.0,119.51
CLX,2025-06-30 15:45:00+00:00,119.53,119.53,119.53,119.53,185.0,2.0,119.53
CLX,2025-06-30 15:53:00+00:00,119.44,119.44,119.44,119.44,176.0,5.0,119.44
CLX,2025-06-30 15:56:00+00:00,119.29,119.29,119.29,119.29,113.0,2.0,119.29
CLX,2025-06-30 16:01:00+00:00,119.24,119.24,119.17,119.17,200.0,2.0,119.205
CLX,2025-06-30 16:02:00+00:00,119.18,119.18,119.18,119.18,234.0,5.0,119.18
CLX,2025-06-30 16:04:00+00:00,119.22,119.22,119.22,119.22,259.0,7.0,119.22
CLX,2025-06-30 16:08:00+00:00,119.255,119.255,119.255,119.255,118.0,2.0,119.255
CLX,2025-06-30 16:16:00+00:00,119.29,119.29,119.29,119.29,110.0,3.0,119.29
CLX,2025-06-30 16:19:00+00:00,119.24,119.26,119.24,119.26,205.0,3.0,119.25
CLX,2025-06-30 16:26:00+00:00,119.28,119.28,119.28,119.28,205.0,3.0,119.28
CLX,2025-06-30 16:27:00+00:00,119.25,119.25,119.25,119.25,327.0,8.0,119.25
CLX,2025-06-30 16:32:00+00:00,119.245,119.245,119.245,119.245,105.0,2.0,119.245
CLX,2025-06-30 16:33:00+00:00,119.28,119.28,119.28,119.28,100.0,1.0,119.28
CLX,2025-06-30 16:36:00+00:00,119.22,119.22,119.22,119.22,297.0,11.0,119.22
CLX,2025-06-30 16:44:00+00:00,119.5,119.5,119.5,119.5,140.0,5.0,119.5
