symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CPRT,2025-06-30 13:30:00+00:00,48.29,48.34,48.29,48.34,936.0,14.0,48.299375
CPRT,2025-06-30 13:33:00+00:00,48.32,48.32,48.32,48.32,124.0,3.0,48.32
CPRT,2025-06-30 13:34:00+00:00,48.315,48.315,48.26,48.26,765.0,13.0,48.296667
CPRT,2025-06-30 13:35:00+00:00,48.27,48.29,48.27,48.29,302.0,4.0,48.283333
CPRT,2025-06-30 13:36:00+00:00,48.33,48.34,48.33,48.33,1067.0,13.0,48.331111
CPRT,2025-06-30 13:37:00+00:00,48.33,48.38,48.33,48.38,622.0,7.0,48.358
CPRT,2025-06-30 13:38:00+00:00,48.285,48.33,48.285,48.325,800.0,8.0,48.316875
CPRT,2025-06-30 13:39:00+00:00,48.315,48.315,48.315,48.315,200.0,3.0,48.315
CPRT,2025-06-30 13:40:00+00:00,48.345,48.37,48.28,48.31,1158.0,18.0,48.3155
CPRT,2025-06-30 13:41:00+00:00,48.29,48.29,48.275,48.275,610.0,4.0,48.2775
CPRT,2025-06-30 13:42:00+00:00,48.24,48.24,48.24,48.24,175.0,2.0,48.24
CPRT,2025-06-30 13:43:00+00:00,48.23,48.24,48.23,48.24,423.0,7.0,48.235
CPRT,2025-06-30 13:44:00+00:00,48.25,48.25,48.225,48.225,515.0,12.0,48.235
CPRT,2025-06-30 13:45:00+00:00,48.235,48.235,48.21,48.21,425.0,7.0,48.225
CPRT,2025-06-30 13:46:00+00:00,48.19,48.23,48.19,48.23,664.0,8.0,48.220833
CPRT,2025-06-30 13:47:00+00:00,48.21,48.21,48.205,48.205,363.0,4.0,48.206667
CPRT,2025-06-30 13:48:00+00:00,48.195,48.195,48.195,48.195,196.0,5.0,48.195
CPRT,2025-06-30 13:49:00+00:00,48.22,48.22,48.2,48.2,1949.0,22.0,48.209515
CPRT,2025-06-30 13:50:00+00:00,48.21,48.25,48.21,48.25,645.0,8.0,48.227945
CPRT,2025-06-30 13:51:00+00:00,48.25,48.25,48.25,48.25,200.0,3.0,48.25
CPRT,2025-06-30 13:52:00+00:00,48.27,48.305,48.27,48.305,694.0,12.0,48.281
CPRT,2025-06-30 13:56:00+00:00,48.245,48.27,48.245,48.27,673.0,14.0,48.2575
CPRT,2025-06-30 13:57:00+00:00,48.265,48.265,48.265,48.265,138.0,3.0,48.265
CPRT,2025-06-30 13:58:00+00:00,48.24,48.24,48.19,48.19,1091.0,15.0,48.217866
CPRT,2025-06-30 13:59:00+00:00,48.19,48.19,48.17,48.17,405.0,7.0,48.183333
CPRT,2025-06-30 14:00:00+00:00,48.17,48.17,48.1,48.1,1515.0,21.0,48.120926
CPRT,2025-06-30 14:01:00+00:00,48.11,48.12,48.1,48.12,2026.0,17.0,48.105833
CPRT,2025-06-30 14:02:00+00:00,48.13,48.175,48.12,48.175,1126.0,17.0,48.145833
CPRT,2025-06-30 14:03:00+00:00,48.2,48.2,48.2,48.2,151.0,4.0,48.2
CPRT,2025-06-30 14:04:00+00:00,48.245,48.245,48.24,48.24,344.0,10.0,48.2425
CPRT,2025-06-30 14:05:00+00:00,48.195,48.195,48.175,48.175,446.0,6.0,48.18125
CPRT,2025-06-30 14:06:00+00:00,48.175,48.21,48.175,48.21,444.0,5.0,48.198333
CPRT,2025-06-30 14:07:00+00:00,48.225,48.225,48.21,48.215,529.0,7.0,48.215894
CPRT,2025-06-30 14:08:00+00:00,48.22,48.22,48.215,48.22,2191.0,21.0,48.215717
CPRT,2025-06-30 14:09:00+00:00,48.23,48.255,48.23,48.255,1628.0,22.0,48.239046
CPRT,2025-06-30 14:10:00+00:00,48.22,48.22,48.215,48.215,562.0,8.0,48.2175
CPRT,2025-06-30 14:11:00+00:00,48.22,48.22,48.22,48.22,185.0,4.0,48.22
CPRT,2025-06-30 14:12:00+00:00,48.21,48.235,48.205,48.235,1075.0,11.0,48.219955
CPRT,2025-06-30 14:13:00+00:00,48.22,48.28,48.22,48.28,751.0,10.0,48.237143
CPRT,2025-06-30 14:14:00+00:00,48.28,48.28,48.27,48.27,341.0,6.0,48.275
CPRT,2025-06-30 14:15:00+00:00,48.27,48.285,48.27,48.285,693.0,8.0,48.2775
CPRT,2025-06-30 14:16:00+00:00,48.295,48.31,48.26,48.26,788.0,12.0,48.284286
CPRT,2025-06-30 14:17:00+00:00,48.27,48.28,48.27,48.28,208.0,3.0,48.275
CPRT,2025-06-30 14:18:00+00:00,48.29,48.29,48.29,48.29,125.0,5.0,48.29
CPRT,2025-06-30 14:19:00+00:00,48.28,48.28,48.245,48.25,768.0,11.0,48.2625
CPRT,2025-06-30 14:20:00+00:00,48.26,48.26,48.23,48.23,1002.0,15.0,48.243333
CPRT,2025-06-30 14:21:00+00:00,48.21,48.21,48.19,48.2,607.0,9.0,48.2
CPRT,2025-06-30 14:22:00+00:00,48.2,48.21,48.2,48.21,301.0,5.0,48.205
CPRT,2025-06-30 14:23:00+00:00,48.21,48.24,48.21,48.225,1702.0,16.0,48.224375
CPRT,2025-06-30 14:24:00+00:00,48.23,48.23,48.23,48.23,123.0,3.0,48.23
CPRT,2025-06-30 14:25:00+00:00,48.22,48.22,48.17,48.18,914.0,20.0,48.205935
CPRT,2025-06-30 14:26:00+00:00,48.16,48.17,48.16,48.17,439.0,7.0,48.163333
CPRT,2025-06-30 14:27:00+00:00,48.17,48.17,48.17,48.17,234.0,7.0,48.17
CPRT,2025-06-30 14:28:00+00:00,48.15,48.17,48.15,48.17,439.0,11.0,48.16
CPRT,2025-06-30 14:29:00+00:00,48.18,48.19,48.16,48.16,572.0,13.0,48.178
CPRT,2025-06-30 14:30:00+00:00,48.16,48.16,48.045,48.05,2326.0,35.0,48.095581
CPRT,2025-06-30 14:31:00+00:00,48.05,48.06,48.04,48.05,924.0,12.0,48.053333
CPRT,2025-06-30 14:32:00+00:00,48.005,48.005,48.0,48.0,757.0,5.0,48.001189
CPRT,2025-06-30 14:33:00+00:00,47.98,47.98,47.96,47.96,363.0,8.0,47.97
CPRT,2025-06-30 14:34:00+00:00,47.945,48.0,47.945,47.995,2424.0,32.0,47.991842
CPRT,2025-06-30 14:35:00+00:00,47.95,47.955,47.93,47.93,817.0,10.0,47.946429
CPRT,2025-06-30 14:36:00+00:00,47.925,47.94,47.925,47.94,760.0,9.0,47.928571
CPRT,2025-06-30 14:37:00+00:00,47.925,47.925,47.885,47.885,711.0,11.0,47.916
CPRT,2025-06-30 14:38:00+00:00,47.9,47.9,47.9,47.9,370.0,6.0,47.9
CPRT,2025-06-30 14:39:00+00:00,47.91,47.91,47.91,47.91,274.0,7.0,47.91
CPRT,2025-06-30 14:40:00+00:00,47.92,47.92,47.91,47.91,361.0,7.0,47.916667
CPRT,2025-06-30 14:41:00+00:00,47.89,47.9,47.88,47.9,743.0,17.0,47.894
CPRT,2025-06-30 14:42:00+00:00,47.9,47.91,47.9,47.9,831.0,16.0,47.904
CPRT,2025-06-30 14:43:00+00:00,47.89,47.89,47.89,47.89,113.0,5.0,47.89
CPRT,2025-06-30 14:45:00+00:00,47.87,47.88,47.87,47.88,222.0,4.0,47.875
CPRT,2025-06-30 14:47:00+00:00,47.875,47.885,47.87,47.87,902.0,10.0,47.87516
CPRT,2025-06-30 14:48:00+00:00,47.86,47.9,47.86,47.9,1313.0,22.0,47.885455
CPRT,2025-06-30 14:49:00+00:00,47.895,47.96,47.885,47.96,1107.0,17.0,47.9075
CPRT,2025-06-30 14:50:00+00:00,47.96,47.96,47.955,47.96,364.0,6.0,47.958333
CPRT,2025-06-30 14:51:00+00:00,47.95,47.95,47.94,47.94,335.0,6.0,47.946667
CPRT,2025-06-30 14:52:00+00:00,47.94,47.945,47.93,47.93,417.0,8.0,47.93875
CPRT,2025-06-30 14:53:00+00:00,47.91,47.915,47.91,47.91,472.0,9.0,47.91125
CPRT,2025-06-30 14:54:00+00:00,47.925,47.93,47.925,47.93,270.0,5.0,47.9275
CPRT,2025-06-30 14:55:00+00:00,47.915,47.945,47.91,47.945,695.0,6.0,47.917764
CPRT,2025-06-30 14:56:00+00:00,47.94,47.94,47.92,47.92,474.0,8.0,47.93125
CPRT,2025-06-30 14:57:00+00:00,47.93,47.93,47.93,47.93,485.0,6.0,47.93
CPRT,2025-06-30 14:58:00+00:00,47.93,47.93,47.93,47.93,279.0,5.0,47.93
CPRT,2025-06-30 14:59:00+00:00,47.925,47.94,47.925,47.94,457.0,6.0,47.9325
CPRT,2025-06-30 15:00:00+00:00,47.96,47.965,47.94,47.95,950.0,10.0,47.953889
CPRT,2025-06-30 15:01:00+00:00,47.925,47.925,47.92,47.92,493.0,11.0,47.9225
CPRT,2025-06-30 15:02:00+00:00,47.91,47.91,47.91,47.91,252.0,7.0,47.91
CPRT,2025-06-30 15:03:00+00:00,47.93,47.94,47.93,47.94,557.0,12.0,47.9375
CPRT,2025-06-30 15:04:00+00:00,47.95,47.975,47.95,47.965,1571.0,25.0,47.965455
CPRT,2025-06-30 15:05:00+00:00,47.985,48.01,47.98,48.01,792.0,11.0,47.995714
