symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CTAS,2025-06-30 13:30:00+00:00,221.21,221.21,221.21,221.21,200.0,1.0,221.21
CTAS,2025-06-30 13:31:00+00:00,221.19,221.19,221.19,221.19,161.0,3.0,221.19
CTAS,2025-06-30 13:35:00+00:00,221.66,221.66,221.51,221.51,780.0,8.0,221.618904
CTAS,2025-06-30 13:37:00+00:00,221.84,221.84,221.84,221.84,154.0,3.0,221.84
CTAS,2025-06-30 13:44:00+00:00,221.445,221.445,221.445,221.445,102.0,2.0,221.445
CTAS,2025-06-30 13:49:00+00:00,221.695,221.81,221.695,221.81,489.0,10.0,221.7525
CTAS,2025-06-30 13:51:00+00:00,221.455,221.455,221.455,221.455,179.0,4.0,221.455
CTAS,2025-06-30 13:52:00+00:00,221.66,221.66,221.66,221.66,213.0,9.0,221.66
CTAS,2025-06-30 14:00:00+00:00,221.395,221.395,221.395,221.395,229.0,7.0,221.395
CTAS,2025-06-30 14:01:00+00:00,221.215,221.215,221.215,221.215,135.0,6.0,221.215
CTAS,2025-06-30 14:15:00+00:00,220.81,220.81,220.81,220.81,102.0,3.0,220.81
CTAS,2025-06-30 14:27:00+00:00,220.78,220.8,220.745,220.8,594.0,12.0,220.775
CTAS,2025-06-30 14:38:00+00:00,220.67,220.67,220.67,220.67,111.0,3.0,220.67
CTAS,2025-06-30 14:49:00+00:00,220.7,220.72,220.7,220.72,238.0,5.0,220.71
CTAS,2025-06-30 15:30:00+00:00,221.215,221.215,221.215,221.215,297.0,8.0,221.215
CTAS,2025-06-30 16:04:00+00:00,221.27,221.35,221.27,221.35,527.0,14.0,221.323333
CTAS,2025-06-30 16:25:00+00:00,221.405,221.405,221.405,221.405,155.0,8.0,221.405
CTAS,2025-06-30 16:56:00+00:00,221.98,221.98,221.98,221.98,111.0,3.0,221.98
CTAS,2025-06-30 17:58:00+00:00,221.645,221.645,221.61,221.61,208.0,4.0,221.6275
CTAS,2025-06-30 18:06:00+00:00,222.16,222.16,222.16,222.16,243.0,8.0,222.16
CTAS,2025-06-30 18:09:00+00:00,222.18,222.18,222.18,222.18,102.0,2.0,222.18
CTAS,2025-06-30 18:33:00+00:00,222.13,222.13,222.13,222.13,516.0,11.0,222.13
CTAS,2025-06-30 18:56:00+00:00,222.55,222.55,222.55,222.55,200.0,2.0,222.55
CTAS,2025-06-30 19:04:00+00:00,222.55,222.55,222.55,222.55,100.0,1.0,222.55
CTAS,2025-06-30 19:31:00+00:00,222.645,222.645,222.645,222.645,240.0,8.0,222.645
CTAS,2025-06-30 19:37:00+00:00,222.65,222.65,222.65,222.65,160.0,4.0,222.65
CTAS,2025-06-30 19:46:00+00:00,222.64,222.64,222.64,222.64,263.0,9.0,222.64
CTAS,2025-06-30 19:50:00+00:00,222.59,222.6,222.59,222.6,276.0,6.0,222.595
CTAS,2025-06-30 19:51:00+00:00,223.03,223.03,223.03,223.03,100.0,1.0,223.03
CTAS,2025-06-30 19:52:00+00:00,223.1,223.1,223.1,223.1,136.0,4.0,223.1
CTAS,2025-06-30 19:53:00+00:00,223.23,223.3,223.23,223.3,429.0,10.0,223.265
CTAS,2025-06-30 19:54:00+00:00,223.21,223.5,223.21,223.28,836.0,16.0,223.356
CTAS,2025-06-30 19:55:00+00:00,222.99,222.99,222.99,222.99,444.0,15.0,222.99
CTAS,2025-06-30 19:57:00+00:00,222.88,222.88,222.88,222.88,573.0,17.0,222.88
CTAS,2025-06-30 19:58:00+00:00,222.97,222.97,222.97,222.97,612.0,28.0,222.97
CTAS,2025-06-30 19:59:00+00:00,222.82,222.82,222.82,222.82,521.0,20.0,222.82
CTAS,2025-07-01 13:30:00+00:00,224.3,224.3,223.29,223.29,223.0,7.0,223.795
CTAS,2025-07-01 13:33:00+00:00,224.6,224.6,224.6,224.6,103.0,2.0,224.6
CTAS,2025-07-01 13:35:00+00:00,224.34,224.34,224.34,224.34,110.0,2.0,224.34
CTAS,2025-07-01 13:46:00+00:00,224.635,224.635,224.605,224.605,336.0,7.0,224.625
CTAS,2025-07-01 13:49:00+00:00,224.5,224.5,224.5,224.5,381.0,10.0,224.5
CTAS,2025-07-01 14:05:00+00:00,223.82,223.82,223.82,223.82,245.0,9.0,223.82
CTAS,2025-07-01 14:06:00+00:00,223.835,223.835,223.835,223.835,301.0,12.0,223.835
CTAS,2025-07-01 14:10:00+00:00,223.195,223.195,223.195,223.195,230.0,7.0,223.195
CTAS,2025-07-01 14:15:00+00:00,223.745,223.745,223.745,223.745,101.0,2.0,223.745
CTAS,2025-07-01 14:24:00+00:00,223.32,223.32,223.32,223.32,131.0,4.0,223.32
CTAS,2025-07-01 14:36:00+00:00,224.24,224.24,224.24,224.24,310.0,12.0,224.24
CTAS,2025-07-01 14:40:00+00:00,224.42,224.51,224.42,224.51,300.0,4.0,224.465
CTAS,2025-07-01 14:46:00+00:00,224.69,224.69,224.69,224.69,379.0,11.0,224.69
CTAS,2025-07-01 14:47:00+00:00,224.65,224.65,224.65,224.65,323.0,10.0,224.65
CTAS,2025-07-01 14:49:00+00:00,224.615,224.62,224.615,224.62,977.0,14.0,224.615761
CTAS,2025-07-01 14:52:00+00:00,224.455,224.455,224.455,224.455,262.0,9.0,224.455
CTAS,2025-07-01 14:53:00+00:00,224.32,224.39,224.32,224.39,368.0,8.0,224.355
CTAS,2025-07-01 15:00:00+00:00,224.245,224.245,224.245,224.245,100.0,1.0,224.245
CTAS,2025-07-01 15:18:00+00:00,224.76,224.76,224.76,224.76,100.0,1.0,224.76
CTAS,2025-07-01 15:26:00+00:00,224.61,224.61,224.59,224.59,238.0,8.0,224.6
CTAS,2025-07-01 15:31:00+00:00,224.33,224.33,224.33,224.33,325.0,13.0,224.33
CTAS,2025-07-01 15:32:00+00:00,224.21,224.21,224.21,224.21,111.0,4.0,224.21
CTAS,2025-07-01 15:35:00+00:00,223.79,223.79,223.79,223.79,309.0,10.0,223.79
CTAS,2025-07-01 15:36:00+00:00,223.8,223.8,223.8,223.8,187.0,3.0,223.8
CTAS,2025-07-01 15:40:00+00:00,223.66,223.66,223.54,223.54,349.0,7.0,223.6
CTAS,2025-07-01 15:42:00+00:00,223.86,223.86,223.86,223.86,267.0,10.0,223.86
CTAS,2025-07-01 15:51:00+00:00,223.75,223.75,223.75,223.75,100.0,1.0,223.75
CTAS,2025-07-01 15:52:00+00:00,223.9,223.92,223.9,223.92,382.0,12.0,223.91
CTAS,2025-07-01 16:02:00+00:00,223.96,223.96,223.96,223.96,387.0,15.0,223.96
CTAS,2025-07-01 16:06:00+00:00,224.1,224.1,224.1,224.1,234.0,10.0,224.1
CTAS,2025-07-01 16:21:00+00:00,223.43,223.43,223.43,223.43,212.0,7.0,223.43
CTAS,2025-07-01 16:24:00+00:00,223.445,223.445,223.445,223.445,177.0,3.0,223.445
CTAS,2025-07-01 16:33:00+00:00,223.215,223.215,223.215,223.215,141.0,5.0,223.215
CTAS,2025-07-01 16:50:00+00:00,224.0,224.0,224.0,224.0,216.0,10.0,224.0
CTAS,2025-07-01 16:51:00+00:00,224.11,224.11,224.11,224.11,186.0,4.0,224.11
CTAS,2025-07-01 16:52:00+00:00,224.09,224.09,224.09,224.09,124.0,4.0,224.09
CTAS,2025-07-01 16:53:00+00:00,224.1,224.1,224.1,224.1,100.0,1.0,224.1
CTAS,2025-07-01 16:58:00+00:00,223.825,223.825,223.825,223.825,100.0,1.0,223.825
CTAS,2025-07-01 17:12:00+00:00,223.685,223.685,223.685,223.685,104.0,2.0,223.685
CTAS,2025-07-01 17:17:00+00:00,223.77,223.77,223.77,223.77,109.0,2.0,223.77
CTAS,2025-07-01 17:26:00+00:00,224.13,224.13,224.095,224.095,337.0,5.0,224.118333
CTAS,2025-07-01 17:30:00+00:00,223.98,223.98,223.98,223.98,319.0,5.0,223.98
CTAS,2025-07-01 17:31:00+00:00,223.85,223.85,223.85,223.85,122.0,4.0,223.85
CTAS,2025-07-01 17:42:00+00:00,223.915,223.96,223.915,223.96,1830.0,11.0,223.917813
CTAS,2025-07-01 17:53:00+00:00,224.17,224.17,224.17,224.17,527.0,17.0,224.17
CTAS,2025-07-01 18:22:00+00:00,224.34,224.34,224.34,224.34,288.0,8.0,224.34
CTAS,2025-07-01 18:23:00+00:00,224.395,224.395,224.33,224.33,219.0,3.0,224.3625
CTAS,2025-07-01 18:32:00+00:00,224.47,224.47,224.47,224.47,257.0,8.0,224.47
CTAS,2025-07-01 18:41:00+00:00,224.56,224.56,224.56,224.56,121.0,4.0,224.56
CTAS,2025-07-01 18:51:00+00:00,224.59,224.59,224.54,224.54,1468.0,12.0,224.5825
CTAS,2025-07-01 18:59:00+00:00,224.36,224.36,224.36,224.36,518.0,12.0,224.36
CTAS,2025-07-01 19:00:00+00:00,224.44,224.44,224.44,224.44,123.0,2.0,224.44
CTAS,2025-07-01 19:29:00+00:00,224.48,224.48,224.48,224.48,151.0,3.0,224.48
CTAS,2025-07-01 19:31:00+00:00,224.43,224.43,224.43,224.43,289.0,10.0,224.43
CTAS,2025-07-01 19:37:00+00:00,224.305,224.305,224.29,224.3,334.0,5.0,224.298333
CTAS,2025-07-01 19:41:00+00:00,224.22,224.22,224.22,224.22,105.0,5.0,224.22
CTAS,2025-07-01 19:43:00+00:00,224.21,224.21,224.21,224.21,160.0,8.0,224.21
CTAS,2025-07-01 19:50:00+00:00,224.52,224.65,224.52,224.635,756.0,17.0,224.59375
CTAS,2025-07-01 19:51:00+00:00,224.495,224.495,224.495,224.495,268.0,12.0,224.495
CTAS,2025-07-01 19:52:00+00:00,224.47,224.47,224.47,224.47,165.0,5.0,224.47
CTAS,2025-07-01 19:53:00+00:00,224.33,224.33,224.33,224.33,349.0,7.0,224.33
CTAS,2025-07-01 19:56:00+00:00,224.41,224.41,224.41,224.41,655.0,18.0,224.41
CTAS,2025-07-01 19:57:00+00:00,224.33,224.33,224.3,224.3,601.0,22.0,224.32
CTAS,2025-07-01 19:58:00+00:00,224.29,224.31,224.28,224.31,581.0,19.0,224.293333
CTAS,2025-07-01 19:59:00+00:00,224.285,224.3,224.285,224.285,600.0,16.0,224.29
CTAS,2025-07-02 13:30:00+00:00,223.11,223.11,223.11,223.11,467.0,6.0,223.11
CTAS,2025-07-02 13:37:00+00:00,221.01,221.01,220.96,220.96,200.0,2.0,220.985
CTAS,2025-07-02 13:38:00+00:00,220.93,220.93,220.93,220.93,102.0,2.0,220.93
CTAS,2025-07-02 13:46:00+00:00,221.295,221.295,221.295,221.295,207.0,4.0,221.295
CTAS,2025-07-02 13:47:00+00:00,221.555,221.555,221.555,221.555,160.0,7.0,221.555
CTAS,2025-07-02 13:49:00+00:00,221.525,221.525,221.525,221.525,100.0,1.0,221.525
CTAS,2025-07-02 13:51:00+00:00,221.645,221.645,221.645,221.645,328.0,4.0,221.645
CTAS,2025-07-02 13:53:00+00:00,221.67,221.67,221.67,221.67,177.0,4.0,221.67
CTAS,2025-07-02 13:57:00+00:00,222.31,222.31,222.09,222.09,376.0,8.0,222.225
CTAS,2025-07-02 13:58:00+00:00,222.05,222.05,222.05,222.05,200.0,2.0,222.05
CTAS,2025-07-02 13:59:00+00:00,222.06,222.06,222.06,222.06,207.0,3.0,222.06
CTAS,2025-07-02 14:00:00+00:00,222.0,222.0,222.0,222.0,101.0,2.0,222.0
CTAS,2025-07-02 14:01:00+00:00,221.825,221.825,221.825,221.825,212.0,4.0,221.825
CTAS,2025-07-02 14:09:00+00:00,220.715,220.715,220.715,220.715,165.0,3.0,220.715
CTAS,2025-07-02 14:10:00+00:00,220.535,220.535,220.535,220.535,130.0,3.0,220.535
CTAS,2025-07-02 14:17:00+00:00,220.695,220.695,220.695,220.695,111.0,3.0,220.695
CTAS,2025-07-02 14:18:00+00:00,220.63,220.63,220.56,220.56,754.0,21.0,220.595
CTAS,2025-07-02 14:21:00+00:00,220.62,220.62,220.62,220.62,200.0,1.0,220.62
CTAS,2025-07-02 14:27:00+00:00,220.1,220.1,220.1,220.1,201.0,5.0,220.1
CTAS,2025-07-02 14:28:00+00:00,220.06,220.06,220.06,220.06,100.0,1.0,220.06
CTAS,2025-07-02 14:38:00+00:00,219.4,219.4,219.4,219.4,200.0,2.0,219.4
CTAS,2025-07-02 14:42:00+00:00,219.665,219.695,219.665,219.695,313.0,6.0,219.675
CTAS,2025-07-02 14:44:00+00:00,219.42,219.42,219.42,219.42,186.0,5.0,219.42
CTAS,2025-07-02 14:45:00+00:00,219.62,219.62,219.62,219.62,134.0,4.0,219.62
CTAS,2025-07-02 14:46:00+00:00,219.875,219.875,219.875,219.875,160.0,5.0,219.875
CTAS,2025-07-02 14:49:00+00:00,219.84,219.84,219.84,219.84,418.0,5.0,219.84
CTAS,2025-07-02 14:51:00+00:00,219.405,219.405,219.405,219.405,194.0,5.0,219.405
CTAS,2025-07-02 14:52:00+00:00,219.29,219.29,219.29,219.29,185.0,3.0,219.29
CTAS,2025-07-02 14:53:00+00:00,219.125,219.125,219.125,219.125,252.0,9.0,219.125
CTAS,2025-07-02 14:54:00+00:00,219.225,219.225,219.225,219.225,192.0,3.0,219.225
CTAS,2025-07-02 14:57:00+00:00,219.18,219.18,219.035,219.055,1173.0,24.0,219.095
CTAS,2025-07-02 14:58:00+00:00,219.2,219.2,219.025,219.025,226.0,4.0,219.1125
CTAS,2025-07-02 14:59:00+00:00,218.94,218.94,218.94,218.94,359.0,9.0,218.94
CTAS,2025-07-02 15:02:00+00:00,217.39,217.45,216.6,217.45,1346.0,40.0,217.004938
CTAS,2025-07-02 15:07:00+00:00,215.845,215.845,215.825,215.825,593.0,9.0,215.835
CTAS,2025-07-02 15:11:00+00:00,216.2,216.28,216.2,216.28,314.0,7.0,216.253333
CTAS,2025-07-02 15:13:00+00:00,216.045,216.045,216.045,216.045,521.0,14.0,216.045
CTAS,2025-07-02 15:14:00+00:00,216.08,216.08,215.87,215.905,806.0,18.0,215.984
CTAS,2025-07-02 15:15:00+00:00,215.885,215.885,215.61,215.61,384.0,10.0,215.793333
CTAS,2025-07-02 15:17:00+00:00,215.945,215.945,215.945,215.945,201.0,4.0,215.945
CTAS,2025-07-02 15:18:00+00:00,215.915,215.915,215.915,215.915,282.0,6.0,215.915
CTAS,2025-07-02 15:20:00+00:00,216.4,216.4,216.4,216.4,133.0,3.0,216.4
CTAS,2025-07-02 15:21:00+00:00,216.355,216.38,216.355,216.38,800.0,4.0,216.36125
CTAS,2025-07-02 15:22:00+00:00,216.51,216.53,216.51,216.53,1792.0,17.0,216.5275
CTAS,2025-07-02 15:23:00+00:00,216.495,216.615,216.495,216.575,1187.0,16.0,216.545
CTAS,2025-07-02 15:24:00+00:00,216.54,216.54,216.54,216.54,255.0,7.0,216.54
CTAS,2025-07-02 15:25:00+00:00,216.46,216.46,216.33,216.36,1435.0,14.0,216.4175
CTAS,2025-07-02 15:26:00+00:00,216.58,216.715,216.58,216.695,1354.0,27.0,216.68125
CTAS,2025-07-02 15:28:00+00:00,216.775,216.775,216.575,216.575,262.0,6.0,216.675
CTAS,2025-07-02 15:29:00+00:00,216.415,216.415,216.255,216.255,200.0,2.0,216.335
CTAS,2025-07-02 15:31:00+00:00,216.225,216.225,216.225,216.225,210.0,13.0,216.225
CTAS,2025-07-02 15:33:00+00:00,216.095,216.095,216.095,216.095,403.0,11.0,216.095
CTAS,2025-07-02 15:35:00+00:00,216.005,216.025,215.9,215.985,1298.0,16.0,215.957807
CTAS,2025-07-02 15:36:00+00:00,216.025,216.025,216.005,216.02,408.0,6.0,216.015
CTAS,2025-07-02 15:37:00+00:00,215.945,215.945,215.945,215.945,100.0,1.0,215.945
CTAS,2025-07-02 15:38:00+00:00,215.945,215.945,215.945,215.945,216.0,7.0,215.945
CTAS,2025-07-02 15:39:00+00:00,215.905,215.905,215.905,215.905,260.0,7.0,215.905
CTAS,2025-07-02 15:40:00+00:00,215.82,215.89,215.82,215.82,794.0,10.0,215.855
CTAS,2025-07-02 15:41:00+00:00,215.86,215.86,215.69,215.69,959.0,14.0,215.711924
CTAS,2025-07-02 15:42:00+00:00,215.705,215.705,215.705,215.705,101.0,2.0,215.705
CTAS,2025-07-02 15:43:00+00:00,215.4,215.555,215.4,215.555,730.0,13.0,215.493
CTAS,2025-07-02 15:44:00+00:00,215.575,215.66,215.575,215.59,510.0,6.0,215.612
CTAS,2025-07-02 15:45:00+00:00,215.595,215.68,215.595,215.68,405.0,4.0,215.61625
CTAS,2025-07-02 15:46:00+00:00,215.855,215.855,215.855,215.855,263.0,3.0,215.855
CTAS,2025-07-02 15:58:00+00:00,216.005,216.04,216.005,216.03,744.0,18.0,216.024108
CTAS,2025-07-02 15:59:00+00:00,215.93,215.93,215.86,215.86,499.0,9.0,215.880253
CTAS,2025-07-02 16:00:00+00:00,215.94,215.94,215.94,215.94,303.0,9.0,215.94
CTAS,2025-07-02 16:04:00+00:00,215.33,215.33,215.33,215.33,130.0,3.0,215.33
CTAS,2025-07-02 16:05:00+00:00,215.79,215.79,215.79,215.79,206.0,5.0,215.79
CTAS,2025-07-02 16:07:00+00:00,215.84,215.84,215.84,215.84,341.0,10.0,215.84
CTAS,2025-07-02 16:08:00+00:00,215.7,215.7,215.7,215.7,269.0,4.0,215.7
CTAS,2025-07-02 16:10:00+00:00,215.72,215.72,215.72,215.72,116.0,2.0,215.72
CTAS,2025-07-02 16:14:00+00:00,215.355,215.355,215.355,215.355,137.0,5.0,215.355
CTAS,2025-07-02 16:19:00+00:00,215.405,215.405,215.405,215.405,350.0,7.0,215.405
CTAS,2025-07-02 16:22:00+00:00,215.79,215.79,215.79,215.79,115.0,2.0,215.79
CTAS,2025-07-02 16:25:00+00:00,215.75,215.755,215.75,215.755,282.0,9.0,215.7525
CTAS,2025-07-02 16:28:00+00:00,216.0,216.0,216.0,216.0,418.0,18.0,216.0
CTAS,2025-07-02 16:29:00+00:00,215.95,215.995,215.95,215.995,358.0,7.0,215.973333
CTAS,2025-07-02 16:30:00+00:00,215.985,215.985,215.85,215.85,529.0,15.0,215.9175
CTAS,2025-07-02 16:33:00+00:00,215.91,215.91,215.8,215.88,1037.0,12.0,215.854118
CTAS,2025-07-02 16:36:00+00:00,216.14,216.385,216.14,216.235,1573.0,28.0,216.231538
CTAS,2025-07-02 16:37:00+00:00,216.41,216.41,216.41,216.41,100.0,1.0,216.41
CTAS,2025-07-02 16:40:00+00:00,216.395,216.395,216.395,216.395,336.0,7.0,216.395
CTAS,2025-07-02 16:42:00+00:00,216.495,216.495,216.495,216.495,200.0,4.0,216.495
CTAS,2025-07-02 16:44:00+00:00,216.655,216.655,216.655,216.655,464.0,6.0,216.655
CTAS,2025-07-02 16:56:00+00:00,216.715,216.715,216.715,216.715,100.0,1.0,216.715
CTAS,2025-07-02 16:59:00+00:00,216.64,216.64,216.63,216.63,242.0,5.0,216.635
CTAS,2025-07-02 17:00:00+00:00,216.63,216.63,216.63,216.63,433.0,6.0,216.63
CTAS,2025-07-02 17:01:00+00:00,216.77,216.77,216.74,216.74,643.0,11.0,216.762
CTAS,2025-07-02 17:04:00+00:00,216.62,216.62,216.62,216.62,158.0,3.0,216.62
CTAS,2025-07-02 17:05:00+00:00,216.87,216.87,216.87,216.87,279.0,6.0,216.87
CTAS,2025-07-02 17:06:00+00:00,216.73,216.73,216.73,216.73,114.0,4.0,216.73
CTAS,2025-07-02 17:11:00+00:00,217.07,217.07,217.07,217.07,188.0,7.0,217.07
CTAS,2025-07-02 17:17:00+00:00,217.1,217.1,217.1,217.1,135.0,3.0,217.1
CTAS,2025-07-02 17:18:00+00:00,216.96,216.96,216.96,216.96,208.0,5.0,216.96
CTAS,2025-07-02 17:20:00+00:00,216.88,216.88,216.68,216.69,715.0,9.0,216.753785
CTAS,2025-07-02 17:24:00+00:00,217.115,217.115,217.115,217.115,226.0,5.0,217.115
CTAS,2025-07-02 17:28:00+00:00,217.125,217.125,217.125,217.125,200.0,1.0,217.125
CTAS,2025-07-02 17:29:00+00:00,217.02,217.02,217.02,217.02,103.0,2.0,217.02
CTAS,2025-07-02 17:31:00+00:00,217.025,217.135,217.025,217.135,376.0,6.0,217.061667
CTAS,2025-07-02 17:33:00+00:00,217.39,217.39,217.355,217.355,631.0,4.0,217.378333
CTAS,2025-07-02 17:34:00+00:00,217.375,217.375,217.375,217.375,380.0,6.0,217.375
CTAS,2025-07-02 17:35:00+00:00,217.46,217.46,217.38,217.38,440.0,6.0,217.4175
CTAS,2025-07-02 17:39:00+00:00,217.32,217.32,217.265,217.265,510.0,8.0,217.286277
CTAS,2025-07-02 17:40:00+00:00,217.21,217.25,217.16,217.16,1005.0,29.0,217.195
CTAS,2025-07-02 17:41:00+00:00,217.2,217.24,217.2,217.24,602.0,10.0,217.213333
CTAS,2025-07-02 17:43:00+00:00,217.035,217.035,217.035,217.035,407.0,8.0,217.035
CTAS,2025-07-02 17:44:00+00:00,216.99,216.99,216.99,216.99,193.0,9.0,216.99
CTAS,2025-07-02 17:45:00+00:00,217.04,217.045,217.04,217.045,605.0,8.0,217.04125
CTAS,2025-07-02 17:46:00+00:00,217.045,217.045,216.94,216.94,336.0,5.0,217.006111
CTAS,2025-07-02 17:48:00+00:00,216.74,216.795,216.74,216.795,261.0,5.0,216.7675
CTAS,2025-07-02 17:49:00+00:00,216.715,216.715,216.715,216.715,356.0,5.0,216.715
CTAS,2025-07-02 17:50:00+00:00,216.875,216.875,216.875,216.875,273.0,10.0,216.875
CTAS,2025-07-02 17:54:00+00:00,216.97,216.97,216.97,216.97,239.0,11.0,216.97
CTAS,2025-07-02 17:55:00+00:00,216.965,216.965,216.965,216.965,377.0,12.0,216.965
CTAS,2025-07-02 17:57:00+00:00,216.97,216.97,216.97,216.97,324.0,10.0,216.97
CTAS,2025-07-02 17:59:00+00:00,216.88,216.88,216.88,216.88,192.0,9.0,216.88
CTAS,2025-07-02 18:00:00+00:00,216.37,216.375,216.245,216.375,1814.0,19.0,216.357
CTAS,2025-07-02 18:01:00+00:00,216.34,216.34,216.34,216.34,138.0,2.0,216.34
