symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CTRA,2025-06-30 13:33:00+00:00,25.395,25.395,25.395,25.395,109.0,3.0,25.395
CTRA,2025-06-30 13:34:00+00:00,25.395,25.43,25.395,25.43,384.0,6.0,25.418333
CTRA,2025-06-30 13:35:00+00:00,25.34,25.34,25.34,25.34,181.0,6.0,25.34
CTRA,2025-06-30 13:36:00+00:00,25.34,25.34,25.335,25.335,566.0,8.0,25.338
CTRA,2025-06-30 13:37:00+00:00,25.36,25.36,25.36,25.36,100.0,1.0,25.36
CTRA,2025-06-30 13:38:00+00:00,25.325,25.36,25.325,25.36,313.0,6.0,25.3425
CTRA,2025-06-30 13:39:00+00:00,25.35,25.35,25.35,25.35,103.0,2.0,25.35
CTRA,2025-06-30 13:40:00+00:00,25.35,25.36,25.35,25.36,437.0,12.0,25.356667
CTRA,2025-06-30 13:43:00+00:00,25.335,25.335,25.335,25.335,108.0,2.0,25.335
CTRA,2025-06-30 13:45:00+00:00,25.315,25.33,25.315,25.33,317.0,4.0,25.325253
CTRA,2025-06-30 13:46:00+00:00,25.32,25.32,25.32,25.32,316.0,7.0,25.32
CTRA,2025-06-30 13:47:00+00:00,25.3,25.31,25.3,25.31,229.0,4.0,25.305
CTRA,2025-06-30 13:48:00+00:00,25.31,25.325,25.31,25.325,320.0,4.0,25.315
CTRA,2025-06-30 13:50:00+00:00,25.36,25.36,25.33,25.33,204.0,3.0,25.345
CTRA,2025-06-30 13:51:00+00:00,25.36,25.36,25.35,25.36,520.0,7.0,25.356667
CTRA,2025-06-30 13:52:00+00:00,25.365,25.365,25.365,25.365,100.0,1.0,25.365
CTRA,2025-06-30 13:53:00+00:00,25.39,25.39,25.38,25.39,740.0,16.0,25.385682
CTRA,2025-06-30 13:55:00+00:00,25.39,25.39,25.39,25.39,806.0,9.0,25.39
CTRA,2025-06-30 13:56:00+00:00,25.36,25.36,25.36,25.36,372.0,8.0,25.36
CTRA,2025-06-30 13:59:00+00:00,25.375,25.38,25.37,25.37,821.0,12.0,25.375833
CTRA,2025-06-30 14:00:00+00:00,25.385,25.39,25.37,25.39,778.0,10.0,25.376429
CTRA,2025-06-30 14:01:00+00:00,25.39,25.39,25.39,25.39,478.0,14.0,25.39
CTRA,2025-06-30 14:02:00+00:00,25.39,25.39,25.39,25.39,596.0,10.0,25.39
CTRA,2025-06-30 14:03:00+00:00,25.39,25.39,25.39,25.39,167.0,6.0,25.39
CTRA,2025-06-30 14:04:00+00:00,25.39,25.39,25.39,25.39,459.0,9.0,25.39
CTRA,2025-06-30 14:05:00+00:00,25.38,25.39,25.38,25.38,611.0,8.0,25.381667
CTRA,2025-06-30 14:06:00+00:00,25.38,25.38,25.38,25.38,195.0,8.0,25.38
CTRA,2025-06-30 14:07:00+00:00,25.41,25.42,25.41,25.42,949.0,24.0,25.413279
CTRA,2025-06-30 14:08:00+00:00,25.43,25.43,25.415,25.42,795.0,21.0,25.42
CTRA,2025-06-30 14:09:00+00:00,25.425,25.46,25.425,25.45,769.0,12.0,25.440833
CTRA,2025-06-30 14:10:00+00:00,25.45,25.46,25.45,25.46,474.0,12.0,25.453333
CTRA,2025-06-30 14:11:00+00:00,25.46,25.46,25.46,25.46,938.0,16.0,25.46
CTRA,2025-06-30 14:12:00+00:00,25.45,25.45,25.435,25.435,577.0,10.0,25.441
CTRA,2025-06-30 14:13:00+00:00,25.42,25.435,25.42,25.435,221.0,5.0,25.4275
CTRA,2025-06-30 14:14:00+00:00,25.43,25.43,25.42,25.42,559.0,11.0,25.422
CTRA,2025-06-30 14:15:00+00:00,25.435,25.435,25.435,25.435,228.0,5.0,25.435
CTRA,2025-06-30 14:16:00+00:00,25.415,25.42,25.415,25.415,868.0,18.0,25.418333
CTRA,2025-06-30 14:17:00+00:00,25.42,25.42,25.395,25.41,989.0,21.0,25.412143
CTRA,2025-06-30 14:18:00+00:00,25.4,25.4,25.395,25.395,422.0,8.0,25.39875
CTRA,2025-06-30 14:19:00+00:00,25.39,25.39,25.38,25.38,513.0,8.0,25.388
CTRA,2025-06-30 14:20:00+00:00,25.39,25.39,25.38,25.385,320.0,4.0,25.385
CTRA,2025-06-30 14:21:00+00:00,25.37,25.37,25.345,25.35,1273.0,21.0,25.365117
CTRA,2025-06-30 14:22:00+00:00,25.39,25.39,25.39,25.39,317.0,11.0,25.39
CTRA,2025-06-30 14:23:00+00:00,25.365,25.38,25.365,25.38,340.0,7.0,25.371667
CTRA,2025-06-30 14:24:00+00:00,25.39,25.39,25.39,25.39,524.0,12.0,25.39
CTRA,2025-06-30 14:25:00+00:00,25.37,25.37,25.355,25.365,1123.0,13.0,25.364545
CTRA,2025-06-30 14:26:00+00:00,25.36,25.36,25.36,25.36,883.0,28.0,25.36
CTRA,2025-06-30 14:27:00+00:00,25.38,25.38,25.38,25.38,280.0,11.0,25.38
CTRA,2025-06-30 14:28:00+00:00,25.33,25.34,25.33,25.34,878.0,12.0,25.335316
CTRA,2025-06-30 14:29:00+00:00,25.345,25.345,25.345,25.345,100.0,1.0,25.345
CTRA,2025-06-30 14:30:00+00:00,25.325,25.325,25.325,25.325,344.0,3.0,25.325
CTRA,2025-06-30 14:31:00+00:00,25.315,25.325,25.315,25.325,493.0,17.0,25.318333
CTRA,2025-06-30 14:32:00+00:00,25.36,25.375,25.36,25.37,2194.0,29.0,25.368106
CTRA,2025-06-30 14:33:00+00:00,25.38,25.38,25.35,25.35,1380.0,10.0,25.362029
CTRA,2025-06-30 14:34:00+00:00,25.35,25.355,25.35,25.355,1190.0,15.0,25.350909
CTRA,2025-06-30 14:35:00+00:00,25.35,25.35,25.35,25.35,612.0,18.0,25.35
CTRA,2025-06-30 14:36:00+00:00,25.375,25.375,25.375,25.375,377.0,9.0,25.375
CTRA,2025-06-30 14:37:00+00:00,25.37,25.38,25.37,25.37,1114.0,14.0,25.3735
CTRA,2025-06-30 14:38:00+00:00,25.385,25.385,25.38,25.38,245.0,5.0,25.3825
CTRA,2025-06-30 14:41:00+00:00,25.37,25.37,25.37,25.37,309.0,5.0,25.37
CTRA,2025-06-30 14:43:00+00:00,25.365,25.38,25.365,25.38,400.0,5.0,25.37
CTRA,2025-06-30 14:45:00+00:00,25.4,25.4,25.4,25.4,449.0,5.0,25.4
CTRA,2025-06-30 14:46:00+00:00,25.405,25.42,25.405,25.42,308.0,5.0,25.415
CTRA,2025-06-30 14:47:00+00:00,25.415,25.415,25.405,25.405,941.0,13.0,25.41
CTRA,2025-06-30 14:48:00+00:00,25.4,25.4,25.4,25.4,397.0,9.0,25.4
CTRA,2025-06-30 14:49:00+00:00,25.4,25.42,25.4,25.42,713.0,9.0,25.407761
CTRA,2025-06-30 14:50:00+00:00,25.425,25.425,25.425,25.425,700.0,2.0,25.425
CTRA,2025-06-30 14:53:00+00:00,25.46,25.46,25.46,25.46,254.0,4.0,25.46
CTRA,2025-06-30 14:54:00+00:00,25.47,25.52,25.47,25.5,1798.0,26.0,25.503452
CTRA,2025-06-30 14:55:00+00:00,25.5,25.5,25.485,25.485,1460.0,16.0,25.495
CTRA,2025-06-30 14:56:00+00:00,25.505,25.505,25.49,25.49,424.0,8.0,25.495
CTRA,2025-06-30 14:57:00+00:00,25.48,25.48,25.48,25.48,116.0,3.0,25.48
CTRA,2025-06-30 14:58:00+00:00,25.46,25.48,25.46,25.48,1055.0,14.0,25.465
CTRA,2025-06-30 14:59:00+00:00,25.49,25.5,25.49,25.5,687.0,10.0,25.497917
CTRA,2025-06-30 15:00:00+00:00,25.5,25.5,25.5,25.5,317.0,5.0,25.5
CTRA,2025-06-30 15:03:00+00:00,25.52,25.52,25.52,25.52,322.0,5.0,25.52
CTRA,2025-06-30 15:04:00+00:00,25.51,25.525,25.51,25.525,391.0,10.0,25.52
CTRA,2025-06-30 15:06:00+00:00,25.54,25.54,25.54,25.54,210.0,3.0,25.54
CTRA,2025-06-30 15:07:00+00:00,25.52,25.53,25.52,25.53,300.0,6.0,25.525
CTRA,2025-06-30 15:09:00+00:00,25.505,25.515,25.505,25.515,495.0,9.0,25.51
CTRA,2025-06-30 15:11:00+00:00,25.51,25.51,25.51,25.51,110.0,2.0,25.51
CTRA,2025-06-30 15:12:00+00:00,25.51,25.51,25.51,25.51,160.0,3.0,25.51
CTRA,2025-06-30 15:14:00+00:00,25.505,25.505,25.505,25.505,111.0,2.0,25.505
CTRA,2025-06-30 15:16:00+00:00,25.51,25.51,25.51,25.51,603.0,6.0,25.51
CTRA,2025-06-30 15:18:00+00:00,25.49,25.49,25.485,25.485,310.0,4.0,25.488333
CTRA,2025-06-30 15:20:00+00:00,25.49,25.49,25.48,25.48,1309.0,15.0,25.480835
CTRA,2025-06-30 15:21:00+00:00,25.49,25.51,25.49,25.51,1116.0,15.0,25.497292
CTRA,2025-06-30 15:23:00+00:00,25.52,25.52,25.52,25.52,100.0,1.0,25.52
CTRA,2025-06-30 15:24:00+00:00,25.49,25.495,25.49,25.495,301.0,4.0,25.493333
CTRA,2025-06-30 15:25:00+00:00,25.5,25.5,25.5,25.5,310.0,4.0,25.5
CTRA,2025-06-30 15:27:00+00:00,25.545,25.545,25.545,25.545,206.0,4.0,25.545
CTRA,2025-06-30 15:28:00+00:00,25.55,25.56,25.55,25.555,2031.0,20.0,25.558438
CTRA,2025-06-30 15:29:00+00:00,25.56,25.56,25.555,25.555,292.0,5.0,25.5575
CTRA,2025-06-30 15:30:00+00:00,25.55,25.55,25.55,25.55,708.0,12.0,25.55
CTRA,2025-06-30 15:31:00+00:00,25.55,25.55,25.55,25.55,434.0,9.0,25.55
CTRA,2025-06-30 15:32:00+00:00,25.525,25.525,25.525,25.525,723.0,12.0,25.525
CTRA,2025-06-30 15:34:00+00:00,25.52,25.52,25.52,25.52,106.0,3.0,25.52
CTRA,2025-06-30 15:36:00+00:00,25.505,25.505,25.505,25.505,114.0,3.0,25.505
CTRA,2025-06-30 15:37:00+00:00,25.495,25.495,25.495,25.495,100.0,1.0,25.495
CTRA,2025-06-30 15:38:00+00:00,25.5,25.5,25.5,25.5,300.0,2.0,25.5
CTRA,2025-06-30 15:40:00+00:00,25.495,25.495,25.49,25.49,607.0,8.0,25.4925
CTRA,2025-06-30 15:43:00+00:00,25.485,25.49,25.485,25.49,300.0,3.0,25.488333
CTRA,2025-06-30 15:44:00+00:00,25.5,25.5,25.485,25.49,413.0,6.0,25.49
CTRA,2025-06-30 15:45:00+00:00,25.505,25.505,25.505,25.505,104.0,2.0,25.505
CTRA,2025-06-30 15:46:00+00:00,25.505,25.52,25.505,25.52,361.0,5.0,25.515
CTRA,2025-06-30 15:47:00+00:00,25.515,25.52,25.515,25.52,426.0,4.0,25.518521
CTRA,2025-06-30 15:48:00+00:00,25.525,25.525,25.52,25.52,200.0,2.0,25.5225
CTRA,2025-06-30 15:50:00+00:00,25.525,25.53,25.525,25.53,535.0,6.0,25.52901
CTRA,2025-06-30 15:51:00+00:00,25.56,25.56,25.56,25.56,204.0,3.0,25.56
CTRA,2025-06-30 15:52:00+00:00,25.57,25.57,25.57,25.57,100.0,1.0,25.57
CTRA,2025-06-30 15:53:00+00:00,25.57,25.58,25.57,25.58,678.0,11.0,25.5775
CTRA,2025-06-30 15:56:00+00:00,25.56,25.56,25.555,25.555,300.0,4.0,25.5575
CTRA,2025-06-30 15:57:00+00:00,25.56,25.56,25.56,25.56,475.0,8.0,25.56
CTRA,2025-06-30 15:58:00+00:00,25.57,25.57,25.57,25.57,102.0,2.0,25.57
CTRA,2025-06-30 16:02:00+00:00,25.56,25.56,25.56,25.56,435.0,2.0,25.56
CTRA,2025-06-30 16:03:00+00:00,25.585,25.585,25.585,25.585,207.0,5.0,25.585
CTRA,2025-06-30 16:04:00+00:00,25.585,25.585,25.575,25.575,201.0,3.0,25.58
CTRA,2025-06-30 16:05:00+00:00,25.57,25.57,25.57,25.57,347.0,5.0,25.57
CTRA,2025-06-30 16:08:00+00:00,25.56,25.56,25.555,25.555,264.0,4.0,25.5575
CTRA,2025-06-30 16:09:00+00:00,25.555,25.555,25.555,25.555,301.0,3.0,25.555
CTRA,2025-06-30 16:10:00+00:00,25.54,25.54,25.54,25.54,301.0,5.0,25.54
