symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CTVA,2025-06-30 13:34:00+00:00,74.06,74.125,74.06,74.125,950.0,16.0,74.087857
CTVA,2025-06-30 13:35:00+00:00,74.02,74.02,73.94,73.94,353.0,7.0,73.98
CTVA,2025-06-30 13:37:00+00:00,74.07,74.07,74.07,74.07,510.0,6.0,74.07
CTVA,2025-06-30 13:38:00+00:00,74.13,74.13,74.12,74.12,222.0,3.0,74.125
CTVA,2025-06-30 13:40:00+00:00,74.15,74.15,74.15,74.15,125.0,2.0,74.15
CTVA,2025-06-30 13:42:00+00:00,74.18,74.18,74.18,74.18,100.0,1.0,74.18
CTVA,2025-06-30 13:43:00+00:00,74.12,74.15,74.11,74.15,432.0,11.0,74.126667
CTVA,2025-06-30 13:46:00+00:00,74.215,74.24,74.215,74.24,375.0,5.0,74.226667
CTVA,2025-06-30 13:49:00+00:00,74.28,74.28,74.28,74.28,300.0,9.0,74.28
CTVA,2025-06-30 13:50:00+00:00,74.22,74.27,74.22,74.27,541.0,9.0,74.2325
CTVA,2025-06-30 13:51:00+00:00,74.32,74.32,74.32,74.32,220.0,4.0,74.32
CTVA,2025-06-30 13:52:00+00:00,74.35,74.35,74.35,74.35,115.0,3.0,74.35
CTVA,2025-06-30 13:57:00+00:00,74.32,74.32,74.32,74.32,200.0,5.0,74.32
CTVA,2025-06-30 13:58:00+00:00,74.34,74.34,74.31,74.31,890.0,16.0,74.320185
CTVA,2025-06-30 14:01:00+00:00,74.32,74.32,74.26,74.26,1765.0,24.0,74.305111
CTVA,2025-06-30 14:03:00+00:00,74.28,74.28,74.28,74.28,535.0,8.0,74.28
CTVA,2025-06-30 14:04:00+00:00,74.36,74.36,74.36,74.36,272.0,5.0,74.36
CTVA,2025-06-30 14:05:00+00:00,74.36,74.36,74.23,74.23,858.0,14.0,74.333404
CTVA,2025-06-30 14:06:00+00:00,74.21,74.26,74.21,74.24,305.0,5.0,74.236667
CTVA,2025-06-30 14:07:00+00:00,74.3,74.3,74.3,74.3,100.0,1.0,74.3
CTVA,2025-06-30 14:09:00+00:00,74.28,74.28,74.28,74.28,331.0,9.0,74.28
CTVA,2025-06-30 14:11:00+00:00,74.27,74.27,74.27,74.27,393.0,14.0,74.27
CTVA,2025-06-30 14:13:00+00:00,74.235,74.235,74.235,74.235,405.0,10.0,74.235
CTVA,2025-06-30 14:14:00+00:00,74.27,74.27,74.27,74.27,138.0,9.0,74.27
CTVA,2025-06-30 14:15:00+00:00,74.28,74.31,74.28,74.31,305.0,5.0,74.295
CTVA,2025-06-30 14:19:00+00:00,74.38,74.38,74.37,74.37,780.0,11.0,74.378413
CTVA,2025-06-30 14:22:00+00:00,74.455,74.455,74.455,74.455,349.0,4.0,74.455
CTVA,2025-06-30 14:24:00+00:00,74.38,74.38,74.38,74.38,156.0,2.0,74.38
CTVA,2025-06-30 14:26:00+00:00,74.355,74.355,74.35,74.35,251.0,4.0,74.3525
CTVA,2025-06-30 14:27:00+00:00,74.32,74.32,74.32,74.32,131.0,3.0,74.32
CTVA,2025-06-30 14:34:00+00:00,74.33,74.33,74.33,74.33,289.0,6.0,74.33
CTVA,2025-06-30 14:37:00+00:00,74.37,74.37,74.37,74.37,109.0,2.0,74.37
CTVA,2025-06-30 14:40:00+00:00,74.34,74.34,74.34,74.34,101.0,2.0,74.34
CTVA,2025-06-30 14:44:00+00:00,74.305,74.35,74.305,74.35,320.0,8.0,74.3275
CTVA,2025-06-30 14:45:00+00:00,74.345,74.345,74.345,74.345,120.0,4.0,74.345
CTVA,2025-06-30 14:46:00+00:00,74.335,74.335,74.335,74.335,100.0,1.0,74.335
CTVA,2025-06-30 14:49:00+00:00,74.34,74.34,74.34,74.34,101.0,2.0,74.34
CTVA,2025-06-30 14:51:00+00:00,74.33,74.35,74.33,74.35,208.0,4.0,74.34
CTVA,2025-06-30 14:53:00+00:00,74.39,74.39,74.39,74.39,245.0,5.0,74.39
CTVA,2025-06-30 14:54:00+00:00,74.36,74.36,74.36,74.36,573.0,12.0,74.36
CTVA,2025-06-30 15:02:00+00:00,74.365,74.365,74.34,74.34,204.0,3.0,74.3525
CTVA,2025-06-30 15:04:00+00:00,74.365,74.39,74.365,74.385,573.0,7.0,74.376
CTVA,2025-06-30 15:06:00+00:00,74.46,74.46,74.46,74.46,365.0,7.0,74.46
CTVA,2025-06-30 15:10:00+00:00,74.395,74.395,74.395,74.395,161.0,8.0,74.395
CTVA,2025-06-30 15:12:00+00:00,74.375,74.375,74.375,74.375,210.0,3.0,74.375
CTVA,2025-06-30 15:14:00+00:00,74.375,74.375,74.375,74.375,392.0,8.0,74.375
CTVA,2025-06-30 15:20:00+00:00,74.39,74.39,74.39,74.39,352.0,5.0,74.39
CTVA,2025-06-30 15:21:00+00:00,74.43,74.46,74.43,74.46,473.0,5.0,74.4475
CTVA,2025-06-30 15:22:00+00:00,74.47,74.58,74.47,74.58,1825.0,19.0,74.527482
CTVA,2025-06-30 15:24:00+00:00,74.49,74.49,74.49,74.49,407.0,9.0,74.49
CTVA,2025-06-30 15:29:00+00:00,74.46,74.46,74.46,74.46,224.0,4.0,74.46
CTVA,2025-06-30 15:30:00+00:00,74.48,74.48,74.48,74.48,320.0,6.0,74.48
CTVA,2025-06-30 15:33:00+00:00,74.44,74.44,74.44,74.44,455.0,14.0,74.44
CTVA,2025-06-30 15:34:00+00:00,74.44,74.44,74.44,74.44,984.0,9.0,74.44
CTVA,2025-06-30 15:35:00+00:00,74.44,74.45,74.44,74.45,609.0,4.0,74.446694
CTVA,2025-06-30 15:41:00+00:00,74.405,74.405,74.405,74.405,180.0,3.0,74.405
CTVA,2025-06-30 15:44:00+00:00,74.41,74.41,74.41,74.41,181.0,5.0,74.41
CTVA,2025-06-30 15:45:00+00:00,74.44,74.44,74.43,74.43,214.0,5.0,74.435
CTVA,2025-06-30 15:48:00+00:00,74.48,74.48,74.48,74.48,543.0,5.0,74.48
CTVA,2025-06-30 15:55:00+00:00,74.49,74.49,74.49,74.49,416.0,5.0,74.49
CTVA,2025-06-30 15:59:00+00:00,74.44,74.44,74.44,74.44,252.0,15.0,74.44
CTVA,2025-06-30 16:00:00+00:00,74.45,74.45,74.43,74.43,597.0,9.0,74.445324
CTVA,2025-06-30 16:01:00+00:00,74.43,74.43,74.43,74.43,100.0,1.0,74.43
CTVA,2025-06-30 16:02:00+00:00,74.4,74.4,74.4,74.4,127.0,7.0,74.4
CTVA,2025-06-30 16:03:00+00:00,74.39,74.39,74.39,74.39,134.0,2.0,74.39
CTVA,2025-06-30 16:04:00+00:00,74.4,74.4,74.4,74.4,1753.0,23.0,74.4
CTVA,2025-06-30 16:09:00+00:00,74.41,74.41,74.41,74.41,251.0,5.0,74.41
CTVA,2025-06-30 16:11:00+00:00,74.39,74.39,74.39,74.39,602.0,4.0,74.39
CTVA,2025-06-30 16:13:00+00:00,74.4,74.4,74.39,74.4,1510.0,10.0,74.394167
CTVA,2025-06-30 16:15:00+00:00,74.37,74.37,74.37,74.37,171.0,9.0,74.37
CTVA,2025-06-30 16:16:00+00:00,74.4,74.41,74.4,74.41,917.0,9.0,74.404638
CTVA,2025-06-30 16:18:00+00:00,74.42,74.42,74.42,74.42,425.0,8.0,74.42
CTVA,2025-06-30 16:19:00+00:00,74.39,74.39,74.39,74.39,310.0,5.0,74.39
CTVA,2025-06-30 16:20:00+00:00,74.37,74.37,74.36,74.36,206.0,6.0,74.365
CTVA,2025-06-30 16:22:00+00:00,74.33,74.33,74.33,74.33,100.0,1.0,74.33
CTVA,2025-06-30 16:23:00+00:00,74.33,74.33,74.33,74.33,124.0,2.0,74.33
CTVA,2025-06-30 16:24:00+00:00,74.31,74.31,74.31,74.31,252.0,10.0,74.31
CTVA,2025-06-30 16:25:00+00:00,74.31,74.31,74.31,74.31,100.0,1.0,74.31
CTVA,2025-06-30 16:29:00+00:00,74.32,74.32,74.32,74.32,200.0,3.0,74.32
CTVA,2025-06-30 16:31:00+00:00,74.35,74.35,74.35,74.35,200.0,1.0,74.35
