symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CZR,2025-06-30 13:30:00+00:00,28.79,28.8,28.79,28.8,601.0,3.0,28.795
CZR,2025-06-30 13:31:00+00:00,28.72,28.72,28.495,28.495,200.0,2.0,28.6075
CZR,2025-06-30 13:32:00+00:00,28.435,28.465,28.435,28.465,200.0,2.0,28.45
CZR,2025-06-30 13:33:00+00:00,28.41,28.41,28.365,28.37,2050.0,30.0,28.369667
CZR,2025-06-30 13:35:00+00:00,28.44,28.47,28.44,28.47,683.0,10.0,28.4525
CZR,2025-06-30 13:36:00+00:00,28.52,28.52,28.515,28.515,300.0,3.0,28.518333
CZR,2025-06-30 13:37:00+00:00,28.525,28.525,28.525,28.525,100.0,1.0,28.525
CZR,2025-06-30 13:39:00+00:00,28.54,28.56,28.49,28.49,697.0,8.0,28.538
CZR,2025-06-30 13:40:00+00:00,28.52,28.52,28.52,28.52,188.0,3.0,28.52
CZR,2025-06-30 13:41:00+00:00,28.455,28.46,28.455,28.46,275.0,3.0,28.4575
CZR,2025-06-30 13:42:00+00:00,28.46,28.46,28.46,28.46,100.0,1.0,28.46
CZR,2025-06-30 13:43:00+00:00,28.465,28.48,28.44,28.44,1015.0,12.0,28.4675
CZR,2025-06-30 13:44:00+00:00,28.46,28.47,28.46,28.47,200.0,2.0,28.465
CZR,2025-06-30 13:45:00+00:00,28.45,28.45,28.41,28.41,650.0,8.0,28.44
CZR,2025-06-30 13:46:00+00:00,28.365,28.37,28.34,28.37,900.0,9.0,28.355
CZR,2025-06-30 13:47:00+00:00,28.33,28.33,28.31,28.31,575.0,6.0,28.314
CZR,2025-06-30 13:48:00+00:00,28.36,28.36,28.36,28.36,355.0,6.0,28.36
CZR,2025-06-30 13:49:00+00:00,28.395,28.395,28.395,28.395,131.0,3.0,28.395
CZR,2025-06-30 13:50:00+00:00,28.355,28.36,28.35,28.35,724.0,9.0,28.352143
CZR,2025-06-30 13:51:00+00:00,28.36,28.36,28.29,28.29,1092.0,10.0,28.317778
CZR,2025-06-30 13:52:00+00:00,28.265,28.265,28.265,28.265,204.0,4.0,28.265
CZR,2025-06-30 13:53:00+00:00,28.27,28.27,28.24,28.24,375.0,4.0,28.25
CZR,2025-06-30 13:54:00+00:00,28.265,28.265,28.23,28.23,774.0,12.0,28.245
CZR,2025-06-30 13:55:00+00:00,28.25,28.25,28.25,28.25,551.0,14.0,28.25
CZR,2025-06-30 13:56:00+00:00,28.25,28.26,28.24,28.24,627.0,6.0,28.250909
CZR,2025-06-30 13:57:00+00:00,28.24,28.25,28.24,28.25,405.0,7.0,28.246667
CZR,2025-06-30 13:58:00+00:00,28.22,28.25,28.21,28.25,800.0,12.0,28.219231
CZR,2025-06-30 13:59:00+00:00,28.26,28.26,28.26,28.26,300.0,4.0,28.26
CZR,2025-06-30 14:00:00+00:00,28.29,28.29,28.27,28.27,846.0,14.0,28.285
CZR,2025-06-30 14:01:00+00:00,28.215,28.215,28.16,28.16,579.0,16.0,28.181667
CZR,2025-06-30 14:02:00+00:00,28.16,28.3,28.16,28.3,1679.0,25.0,28.243673
CZR,2025-06-30 14:04:00+00:00,28.295,28.295,28.29,28.29,798.0,13.0,28.290833
CZR,2025-06-30 14:05:00+00:00,28.41,28.41,28.38,28.38,1397.0,14.0,28.39619
CZR,2025-06-30 14:06:00+00:00,28.38,28.42,28.375,28.42,1147.0,13.0,28.392299
CZR,2025-06-30 14:08:00+00:00,28.49,28.53,28.48,28.49,1900.0,15.0,28.51
CZR,2025-06-30 14:09:00+00:00,28.52,28.52,28.52,28.52,289.0,5.0,28.52
CZR,2025-06-30 14:10:00+00:00,28.5,28.505,28.5,28.5,442.0,8.0,28.5025
CZR,2025-06-30 14:11:00+00:00,28.53,28.53,28.465,28.465,225.0,4.0,28.4975
CZR,2025-06-30 14:12:00+00:00,28.475,28.48,28.475,28.48,660.0,9.0,28.478333
