symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DOC,2025-06-30 13:30:00+00:00,17.37,17.39,17.285,17.285,4024.0,18.0,17.310625
DOC,2025-06-30 13:31:00+00:00,17.28,17.28,17.145,17.145,1577.0,10.0,17.221531
DOC,2025-06-30 13:32:00+00:00,17.145,17.2,17.095,17.2,3140.0,17.0,17.146911
DOC,2025-06-30 13:34:00+00:00,17.19,17.19,17.175,17.175,1600.0,7.0,17.182188
DOC,2025-06-30 13:35:00+00:00,17.19,17.2,17.18,17.2,2312.0,14.0,17.191087
DOC,2025-06-30 13:36:00+00:00,17.23,17.26,17.23,17.24,3068.0,23.0,17.242167
DOC,2025-06-30 13:37:00+00:00,17.25,17.25,17.25,17.25,246.0,3.0,17.25
DOC,2025-06-30 13:38:00+00:00,17.255,17.265,17.255,17.265,900.0,8.0,17.260556
DOC,2025-06-30 13:39:00+00:00,17.27,17.27,17.26,17.26,900.0,5.0,17.264444
DOC,2025-06-30 13:40:00+00:00,17.28,17.28,17.28,17.28,600.0,6.0,17.28
DOC,2025-06-30 13:41:00+00:00,17.25,17.25,17.245,17.245,560.0,5.0,17.24875
DOC,2025-06-30 13:43:00+00:00,17.225,17.225,17.215,17.215,465.0,5.0,17.22
DOC,2025-06-30 13:45:00+00:00,17.27,17.27,17.27,17.27,1200.0,7.0,17.27
DOC,2025-06-30 13:47:00+00:00,17.27,17.275,17.27,17.275,465.0,5.0,17.273333
DOC,2025-06-30 13:49:00+00:00,17.26,17.265,17.25,17.25,1905.0,16.0,17.261389
DOC,2025-06-30 13:50:00+00:00,17.26,17.265,17.26,17.265,300.0,3.0,17.263333
DOC,2025-06-30 13:51:00+00:00,17.275,17.275,17.275,17.275,100.0,1.0,17.275
DOC,2025-06-30 13:52:00+00:00,17.275,17.275,17.27,17.27,2547.0,11.0,17.2738
DOC,2025-06-30 13:53:00+00:00,17.285,17.285,17.285,17.285,600.0,3.0,17.285
DOC,2025-06-30 13:54:00+00:00,17.28,17.28,17.28,17.28,404.0,5.0,17.28
DOC,2025-06-30 13:56:00+00:00,17.27,17.27,17.26,17.26,2003.0,17.0,17.262105
DOC,2025-06-30 13:57:00+00:00,17.26,17.26,17.255,17.255,2000.0,6.0,17.2565
DOC,2025-06-30 13:58:00+00:00,17.265,17.265,17.265,17.265,183.0,4.0,17.265
DOC,2025-06-30 13:59:00+00:00,17.255,17.255,17.255,17.255,200.0,1.0,17.255
DOC,2025-06-30 14:00:00+00:00,17.26,17.265,17.26,17.265,402.0,5.0,17.2625
DOC,2025-06-30 14:01:00+00:00,17.26,17.27,17.26,17.265,1228.0,13.0,17.266
DOC,2025-06-30 14:02:00+00:00,17.27,17.285,17.27,17.285,410.0,6.0,17.28125
DOC,2025-06-30 14:04:00+00:00,17.275,17.275,17.275,17.275,1516.0,10.0,17.275
DOC,2025-06-30 14:05:00+00:00,17.27,17.3,17.27,17.29,1709.0,17.0,17.289223
DOC,2025-06-30 14:08:00+00:00,17.3,17.31,17.3,17.31,950.0,5.0,17.303521
DOC,2025-06-30 14:09:00+00:00,17.315,17.315,17.315,17.315,1009.0,6.0,17.315
DOC,2025-06-30 14:10:00+00:00,17.315,17.315,17.315,17.315,600.0,4.0,17.315
DOC,2025-06-30 14:11:00+00:00,17.305,17.315,17.305,17.315,362.0,5.0,17.311667
DOC,2025-06-30 14:13:00+00:00,17.315,17.315,17.315,17.315,1560.0,9.0,17.315
DOC,2025-06-30 14:14:00+00:00,17.31,17.325,17.31,17.32,1000.0,6.0,17.317
DOC,2025-06-30 14:16:00+00:00,17.345,17.345,17.33,17.33,1881.0,9.0,17.340833
DOC,2025-06-30 14:17:00+00:00,17.335,17.335,17.33,17.33,400.0,2.0,17.33125
DOC,2025-06-30 14:19:00+00:00,17.32,17.32,17.305,17.31,1797.0,16.0,17.312059
DOC,2025-06-30 14:20:00+00:00,17.315,17.315,17.315,17.315,401.0,3.0,17.315
DOC,2025-06-30 14:21:00+00:00,17.325,17.325,17.325,17.325,300.0,1.0,17.325
DOC,2025-06-30 14:22:00+00:00,17.335,17.335,17.325,17.325,1272.0,6.0,17.327727
DOC,2025-06-30 14:23:00+00:00,17.335,17.335,17.335,17.335,500.0,3.0,17.335
DOC,2025-06-30 14:24:00+00:00,17.325,17.345,17.325,17.345,1008.0,7.0,17.333
DOC,2025-06-30 14:25:00+00:00,17.335,17.335,17.335,17.335,240.0,3.0,17.335
DOC,2025-06-30 14:26:00+00:00,17.34,17.345,17.335,17.345,1819.0,8.0,17.339666
DOC,2025-06-30 14:27:00+00:00,17.345,17.345,17.345,17.345,100.0,1.0,17.345
DOC,2025-06-30 14:29:00+00:00,17.365,17.365,17.35,17.35,1701.0,9.0,17.364118
DOC,2025-06-30 14:30:00+00:00,17.35,17.35,17.345,17.345,600.0,4.0,17.348333
DOC,2025-06-30 14:31:00+00:00,17.345,17.345,17.33,17.33,901.0,6.0,17.336111
DOC,2025-06-30 14:33:00+00:00,17.325,17.335,17.325,17.33,4103.0,14.0,17.329004
DOC,2025-06-30 14:34:00+00:00,17.345,17.35,17.345,17.35,1295.0,9.0,17.345455
DOC,2025-06-30 14:35:00+00:00,17.36,17.37,17.36,17.36,1117.0,12.0,17.362
