symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FIS,2025-06-30 13:30:00+00:00,80.91,80.91,80.905,80.905,810.0,9.0,80.906474
FIS,2025-06-30 13:31:00+00:00,80.9,80.9,80.88,80.88,300.0,3.0,80.886667
FIS,2025-06-30 13:32:00+00:00,80.895,80.895,80.89,80.895,400.0,4.0,80.89375
FIS,2025-06-30 13:33:00+00:00,80.94,81.065,80.94,81.065,600.0,9.0,81.016
FIS,2025-06-30 13:34:00+00:00,81.065,81.1,81.065,81.1,400.0,4.0,81.09125
FIS,2025-06-30 13:35:00+00:00,81.1,81.1,81.08,81.08,300.0,3.0,81.093333
FIS,2025-06-30 13:36:00+00:00,81.05,81.05,80.905,80.905,800.0,8.0,80.92625
FIS,2025-06-30 13:38:00+00:00,80.885,80.885,80.885,80.885,102.0,2.0,80.885
FIS,2025-06-30 13:41:00+00:00,80.85,80.85,80.85,80.85,100.0,1.0,80.85
FIS,2025-06-30 13:43:00+00:00,80.89,80.895,80.86,80.86,516.0,8.0,80.88
FIS,2025-06-30 13:44:00+00:00,80.865,80.865,80.865,80.865,106.0,4.0,80.865
FIS,2025-06-30 13:45:00+00:00,80.88,80.94,80.88,80.94,800.0,8.0,80.888571
FIS,2025-06-30 13:46:00+00:00,81.0,81.0,81.0,81.0,338.0,5.0,81.0
FIS,2025-06-30 13:47:00+00:00,81.01,81.01,81.01,81.01,205.0,3.0,81.01
FIS,2025-06-30 13:49:00+00:00,81.04,81.04,81.035,81.035,600.0,4.0,81.035877
FIS,2025-06-30 13:50:00+00:00,81.035,81.035,81.03,81.03,200.0,2.0,81.0325
FIS,2025-06-30 13:51:00+00:00,80.96,81.03,80.96,81.03,972.0,12.0,80.976704
FIS,2025-06-30 13:52:00+00:00,81.15,81.15,81.15,81.15,200.0,3.0,81.15
FIS,2025-06-30 13:53:00+00:00,81.15,81.15,81.085,81.085,600.0,6.0,81.134167
FIS,2025-06-30 13:54:00+00:00,81.015,81.015,81.0,81.0,250.0,3.0,81.0075
FIS,2025-06-30 13:55:00+00:00,81.08,81.08,81.08,81.08,400.0,5.0,81.08
FIS,2025-06-30 13:57:00+00:00,81.045,81.045,81.045,81.045,110.0,3.0,81.045
FIS,2025-06-30 13:58:00+00:00,81.06,81.07,81.06,81.07,225.0,4.0,81.065
FIS,2025-06-30 13:59:00+00:00,81.05,81.05,81.05,81.05,101.0,2.0,81.05
FIS,2025-06-30 14:00:00+00:00,81.09,81.09,81.06,81.06,212.0,5.0,81.075
FIS,2025-06-30 14:01:00+00:00,81.02,81.15,81.02,81.15,306.0,8.0,81.105
FIS,2025-06-30 14:02:00+00:00,81.12,81.12,81.12,81.12,111.0,4.0,81.12
FIS,2025-06-30 14:03:00+00:00,81.145,81.145,81.09,81.09,486.0,7.0,81.11375
FIS,2025-06-30 14:04:00+00:00,81.07,81.07,81.06,81.06,209.0,3.0,81.064902
FIS,2025-06-30 14:05:00+00:00,81.07,81.07,81.05,81.05,724.0,9.0,81.055258
FIS,2025-06-30 14:06:00+00:00,81.01,81.01,81.01,81.01,278.0,6.0,81.01
FIS,2025-06-30 14:07:00+00:00,81.04,81.09,81.04,81.065,441.0,6.0,81.065
FIS,2025-06-30 14:08:00+00:00,81.05,81.05,81.02,81.02,265.0,7.0,81.035
FIS,2025-06-30 14:09:00+00:00,81.025,81.04,81.025,81.04,411.0,5.0,81.03
FIS,2025-06-30 14:11:00+00:00,81.01,81.04,80.975,81.04,955.0,13.0,80.998
FIS,2025-06-30 14:12:00+00:00,81.05,81.05,81.03,81.03,225.0,5.0,81.04
FIS,2025-06-30 14:13:00+00:00,81.015,81.03,81.015,81.03,524.0,5.0,81.021
FIS,2025-06-30 14:14:00+00:00,81.02,81.035,81.02,81.035,302.0,3.0,81.03
FIS,2025-06-30 14:15:00+00:00,81.05,81.05,81.05,81.05,370.0,7.0,81.05
FIS,2025-06-30 14:16:00+00:00,81.055,81.055,81.05,81.05,551.0,10.0,81.0525
FIS,2025-06-30 14:17:00+00:00,81.02,81.025,81.02,81.02,374.0,5.0,81.021667
FIS,2025-06-30 14:18:00+00:00,80.99,80.99,80.99,80.99,400.0,4.0,80.99
FIS,2025-06-30 14:19:00+00:00,80.985,80.985,80.97,80.97,500.0,4.0,80.979
FIS,2025-06-30 14:20:00+00:00,80.95,80.95,80.92,80.935,514.0,8.0,80.933
FIS,2025-06-30 14:21:00+00:00,80.96,80.96,80.94,80.94,549.0,9.0,80.953333
FIS,2025-06-30 14:23:00+00:00,80.98,80.99,80.98,80.98,582.0,9.0,80.985
FIS,2025-06-30 14:24:00+00:00,80.96,80.96,80.95,80.95,526.0,7.0,80.9525
FIS,2025-06-30 14:25:00+00:00,80.945,80.945,80.94,80.94,600.0,4.0,80.941667
FIS,2025-06-30 14:27:00+00:00,80.93,80.93,80.915,80.915,1107.0,17.0,80.923125
FIS,2025-06-30 14:28:00+00:00,80.895,80.92,80.895,80.92,812.0,7.0,80.915
FIS,2025-06-30 14:29:00+00:00,80.935,80.935,80.935,80.935,249.0,7.0,80.935
FIS,2025-06-30 14:30:00+00:00,80.93,80.95,80.91,80.91,614.0,8.0,80.930833
FIS,2025-06-30 14:31:00+00:00,80.945,80.945,80.94,80.94,201.0,3.0,80.9425
FIS,2025-06-30 14:32:00+00:00,80.925,80.925,80.905,80.915,802.0,8.0,80.912857
FIS,2025-06-30 14:33:00+00:00,80.915,80.915,80.885,80.885,782.0,8.0,80.895714
FIS,2025-06-30 14:34:00+00:00,80.87,80.87,80.855,80.855,502.0,9.0,80.86375
FIS,2025-06-30 14:35:00+00:00,80.85,80.85,80.84,80.84,370.0,5.0,80.845
