symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GIS,2025-06-30 13:30:00+00:00,50.69,50.905,50.655,50.86,1396.0,14.0,50.768351
GIS,2025-06-30 13:31:00+00:00,50.915,51.125,50.88,51.09,3424.0,32.0,50.995411
GIS,2025-06-30 13:32:00+00:00,50.97,50.97,50.825,50.87,3462.0,33.0,50.902734
GIS,2025-06-30 13:33:00+00:00,50.865,51.08,50.85,51.08,3145.0,18.0,50.890738
GIS,2025-06-30 13:34:00+00:00,51.18,51.19,51.08,51.08,836.0,12.0,51.149286
GIS,2025-06-30 13:35:00+00:00,51.04,51.04,50.9,51.04,848.0,8.0,50.997333
GIS,2025-06-30 13:36:00+00:00,51.07,51.15,51.065,51.13,1992.0,16.0,51.100405
GIS,2025-06-30 13:37:00+00:00,51.14,51.145,51.1,51.1,784.0,11.0,51.13
GIS,2025-06-30 13:38:00+00:00,51.02,51.12,51.02,51.12,1853.0,20.0,51.07349
GIS,2025-06-30 13:39:00+00:00,51.115,51.12,51.11,51.115,1700.0,22.0,51.113667
GIS,2025-06-30 13:40:00+00:00,51.24,51.28,51.21,51.28,1478.0,12.0,51.237688
GIS,2025-06-30 13:41:00+00:00,51.255,51.255,51.25,51.25,600.0,7.0,51.251
GIS,2025-06-30 13:42:00+00:00,51.26,51.29,51.26,51.28,750.0,7.0,51.275
GIS,2025-06-30 13:43:00+00:00,51.265,51.32,51.25,51.32,981.0,11.0,51.284667
GIS,2025-06-30 13:44:00+00:00,51.29,51.34,51.285,51.285,857.0,12.0,51.309167
GIS,2025-06-30 13:45:00+00:00,51.3,51.32,51.28,51.28,488.0,7.0,51.3
GIS,2025-06-30 13:46:00+00:00,51.34,51.34,51.325,51.34,502.0,6.0,51.335
GIS,2025-06-30 13:47:00+00:00,51.34,51.34,51.34,51.34,451.0,6.0,51.34
GIS,2025-06-30 13:48:00+00:00,51.3,51.31,51.29,51.29,403.0,8.0,51.3
GIS,2025-06-30 13:49:00+00:00,51.23,51.25,51.18,51.205,1151.0,14.0,51.2205
GIS,2025-06-30 13:50:00+00:00,51.22,51.22,51.17,51.17,1205.0,14.0,51.199293
GIS,2025-06-30 13:52:00+00:00,51.175,51.2,51.175,51.18,1331.0,20.0,51.188261
GIS,2025-06-30 13:53:00+00:00,51.19,51.21,51.19,51.2,400.0,4.0,51.2
GIS,2025-06-30 13:54:00+00:00,51.175,51.215,51.175,51.215,615.0,8.0,51.19
GIS,2025-06-30 13:55:00+00:00,51.18,51.19,51.18,51.18,1362.0,11.0,51.1808
GIS,2025-06-30 13:56:00+00:00,51.18,51.205,51.15,51.185,3166.0,27.0,51.183004
GIS,2025-06-30 13:57:00+00:00,51.17,51.17,51.13,51.135,1255.0,17.0,51.138913
GIS,2025-06-30 13:58:00+00:00,51.11,51.11,51.03,51.03,589.0,9.0,51.0875
GIS,2025-06-30 13:59:00+00:00,51.02,51.07,51.02,51.03,606.0,9.0,51.05
GIS,2025-06-30 14:00:00+00:00,51.02,51.05,50.995,51.05,1025.0,9.0,51.016316
GIS,2025-06-30 14:01:00+00:00,51.07,51.08,51.035,51.06,2573.0,21.0,51.064203
GIS,2025-06-30 14:02:00+00:00,51.075,51.075,51.07,51.07,435.0,8.0,51.071667
GIS,2025-06-30 14:03:00+00:00,51.07,51.145,51.07,51.125,771.0,13.0,51.128571
GIS,2025-06-30 14:04:00+00:00,51.12,51.12,51.12,51.12,144.0,3.0,51.12
GIS,2025-06-30 14:05:00+00:00,51.135,51.19,51.135,51.19,432.0,9.0,51.165
GIS,2025-06-30 14:06:00+00:00,51.2,51.2,51.17,51.19,872.0,8.0,51.19344
GIS,2025-06-30 14:07:00+00:00,51.21,51.22,51.21,51.215,1106.0,14.0,51.215556
GIS,2025-06-30 14:08:00+00:00,51.21,51.255,51.21,51.255,2371.0,21.0,51.223647
GIS,2025-06-30 14:09:00+00:00,51.32,51.32,51.3,51.3,600.0,6.0,51.312
GIS,2025-06-30 14:10:00+00:00,51.39,51.39,51.37,51.37,567.0,9.0,51.375
GIS,2025-06-30 14:11:00+00:00,51.375,51.38,51.37,51.37,488.0,8.0,51.37375
GIS,2025-06-30 14:12:00+00:00,51.33,51.33,51.29,51.29,1161.0,21.0,51.312647
GIS,2025-06-30 14:13:00+00:00,51.31,51.41,51.31,51.41,893.0,15.0,51.362
GIS,2025-06-30 14:14:00+00:00,51.385,51.4,51.385,51.4,324.0,4.0,51.391
GIS,2025-06-30 14:15:00+00:00,51.44,51.44,51.43,51.43,603.0,7.0,51.436
GIS,2025-06-30 14:16:00+00:00,51.46,51.535,51.46,51.53,1586.0,20.0,51.498077
GIS,2025-06-30 14:17:00+00:00,51.6,51.61,51.55,51.55,970.0,20.0,51.584375
GIS,2025-06-30 14:18:00+00:00,51.545,51.56,51.54,51.54,485.0,8.0,51.548333
GIS,2025-06-30 14:19:00+00:00,51.54,51.54,51.53,51.54,1326.0,17.0,51.537255
GIS,2025-06-30 14:20:00+00:00,51.56,51.58,51.55,51.56,928.0,12.0,51.56157
GIS,2025-06-30 14:21:00+00:00,51.56,51.58,51.55,51.58,800.0,8.0,51.56
GIS,2025-06-30 14:22:00+00:00,51.54,51.57,51.54,51.57,586.0,12.0,51.550909
GIS,2025-06-30 14:23:00+00:00,51.61,51.61,51.61,51.61,1153.0,18.0,51.61
GIS,2025-06-30 14:25:00+00:00,51.645,51.645,51.64,51.64,422.0,7.0,51.642262
GIS,2025-06-30 14:26:00+00:00,51.64,51.715,51.64,51.71,592.0,8.0,51.697
GIS,2025-06-30 14:27:00+00:00,51.69,51.69,51.67,51.67,339.0,6.0,51.683333
GIS,2025-06-30 14:28:00+00:00,51.67,51.68,51.66,51.67,701.0,8.0,51.668571
GIS,2025-06-30 14:29:00+00:00,51.67,51.7,51.67,51.675,1717.0,21.0,51.685714
GIS,2025-06-30 14:30:00+00:00,51.67,51.7,51.67,51.7,805.0,10.0,51.691425
GIS,2025-06-30 14:31:00+00:00,51.71,51.73,51.69,51.715,1907.0,16.0,51.715725
GIS,2025-06-30 14:32:00+00:00,51.75,51.76,51.7,51.7,1422.0,23.0,51.732727
GIS,2025-06-30 14:33:00+00:00,51.7,51.725,51.7,51.71,712.0,8.0,51.7175
GIS,2025-06-30 14:34:00+00:00,51.69,51.69,51.68,51.68,490.0,6.0,51.683333
GIS,2025-06-30 14:35:00+00:00,51.65,51.65,51.63,51.64,2379.0,34.0,51.644502
GIS,2025-06-30 14:36:00+00:00,51.65,51.65,51.65,51.65,390.0,4.0,51.65
GIS,2025-06-30 14:37:00+00:00,51.64,51.66,51.64,51.65,807.0,10.0,51.649286
GIS,2025-06-30 14:38:00+00:00,51.65,51.65,51.635,51.635,712.0,11.0,51.643
GIS,2025-06-30 14:39:00+00:00,51.66,51.66,51.62,51.62,1355.0,21.0,51.630909
GIS,2025-06-30 14:40:00+00:00,51.62,51.63,51.62,51.63,505.0,6.0,51.626
GIS,2025-06-30 14:41:00+00:00,51.63,51.64,51.595,51.595,697.0,9.0,51.625833
GIS,2025-06-30 14:42:00+00:00,51.59,51.62,51.575,51.59,1763.0,25.0,51.598705
GIS,2025-06-30 14:43:00+00:00,51.575,51.575,51.535,51.535,961.0,15.0,51.553076
GIS,2025-06-30 14:44:00+00:00,51.53,51.55,51.53,51.55,1362.0,15.0,51.534634
GIS,2025-06-30 14:45:00+00:00,51.55,51.56,51.5,51.52,706.0,9.0,51.536154
GIS,2025-06-30 14:46:00+00:00,51.515,51.515,51.51,51.51,500.0,10.0,51.51125
GIS,2025-06-30 14:47:00+00:00,51.54,51.54,51.53,51.53,764.0,12.0,51.536
GIS,2025-06-30 14:48:00+00:00,51.57,51.57,51.555,51.565,581.0,13.0,51.566
GIS,2025-06-30 14:49:00+00:00,51.555,51.555,51.555,51.555,115.0,3.0,51.555
GIS,2025-06-30 14:50:00+00:00,51.6,51.6,51.56,51.56,702.0,12.0,51.5775
GIS,2025-06-30 14:51:00+00:00,51.55,51.55,51.54,51.54,535.0,12.0,51.548
GIS,2025-06-30 14:52:00+00:00,51.57,51.58,51.565,51.58,423.0,14.0,51.571667
GIS,2025-06-30 14:53:00+00:00,51.58,51.59,51.54,51.54,841.0,18.0,51.565
GIS,2025-06-30 14:54:00+00:00,51.53,51.535,51.505,51.53,732.0,10.0,51.523571
GIS,2025-06-30 14:55:00+00:00,51.53,51.575,51.53,51.57,761.0,19.0,51.563333
GIS,2025-06-30 14:56:00+00:00,51.55,51.55,51.53,51.53,611.0,9.0,51.54
GIS,2025-06-30 14:57:00+00:00,51.55,51.57,51.55,51.57,984.0,12.0,51.561667
GIS,2025-06-30 14:58:00+00:00,51.56,51.56,51.56,51.56,468.0,9.0,51.56
GIS,2025-06-30 14:59:00+00:00,51.58,51.58,51.58,51.58,538.0,16.0,51.58
GIS,2025-06-30 15:00:00+00:00,51.615,51.615,51.61,51.61,506.0,9.0,51.6125
GIS,2025-06-30 15:01:00+00:00,51.625,51.72,51.62,51.71,665.0,10.0,51.652692
GIS,2025-06-30 15:02:00+00:00,51.72,51.73,51.72,51.73,446.0,6.0,51.723333
GIS,2025-06-30 15:03:00+00:00,51.74,51.75,51.74,51.75,300.0,4.0,51.745
GIS,2025-06-30 15:04:00+00:00,51.77,51.83,51.77,51.83,602.0,10.0,51.813506
GIS,2025-06-30 15:05:00+00:00,51.83,51.835,51.82,51.835,921.0,10.0,51.829167
GIS,2025-06-30 15:06:00+00:00,51.835,51.86,51.8,51.8,955.0,11.0,51.823947
GIS,2025-06-30 15:07:00+00:00,51.82,51.82,51.82,51.82,274.0,3.0,51.82
GIS,2025-06-30 15:08:00+00:00,51.81,51.83,51.805,51.805,1196.0,12.0,51.815909
GIS,2025-06-30 15:09:00+00:00,51.81,51.81,51.81,51.81,203.0,4.0,51.81
GIS,2025-06-30 15:10:00+00:00,51.82,51.82,51.8,51.8,440.0,7.0,51.81
GIS,2025-06-30 15:11:00+00:00,51.77,51.8,51.77,51.79,1295.0,14.0,51.784091
GIS,2025-06-30 15:12:00+00:00,51.79,51.83,51.79,51.83,895.0,13.0,51.807143
GIS,2025-06-30 15:13:00+00:00,51.83,51.84,51.82,51.83,750.0,7.0,51.827333
GIS,2025-06-30 15:15:00+00:00,51.8,51.8,51.8,51.8,504.0,7.0,51.8
GIS,2025-06-30 15:16:00+00:00,51.77,51.77,51.74,51.74,707.0,9.0,51.755
GIS,2025-06-30 15:17:00+00:00,51.75,51.75,51.72,51.72,913.0,11.0,51.72875
GIS,2025-06-30 15:18:00+00:00,51.71,51.72,51.71,51.72,682.0,9.0,51.713333
GIS,2025-06-30 15:19:00+00:00,51.71,51.73,51.71,51.73,820.0,16.0,51.723333
GIS,2025-06-30 15:20:00+00:00,51.75,51.75,51.75,51.75,521.0,12.0,51.75
GIS,2025-06-30 15:21:00+00:00,51.745,51.79,51.74,51.79,1064.0,18.0,51.759444
GIS,2025-06-30 15:22:00+00:00,51.8,51.835,51.8,51.81,500.0,4.0,51.816
GIS,2025-06-30 15:23:00+00:00,51.8,51.8,51.8,51.8,501.0,6.0,51.8
GIS,2025-06-30 15:24:00+00:00,51.85,51.85,51.84,51.84,738.0,12.0,51.846667
GIS,2025-06-30 15:25:00+00:00,51.83,51.83,51.79,51.79,510.0,7.0,51.812
GIS,2025-06-30 15:26:00+00:00,51.76,51.77,51.76,51.77,1091.0,11.0,51.768
GIS,2025-06-30 15:27:00+00:00,51.76,51.76,51.735,51.735,1100.0,14.0,51.7525
GIS,2025-06-30 15:28:00+00:00,51.74,51.75,51.74,51.75,730.0,8.0,51.741538
GIS,2025-06-30 15:29:00+00:00,51.74,51.75,51.74,51.75,513.0,8.0,51.745
GIS,2025-06-30 15:30:00+00:00,51.76,51.77,51.75,51.75,1164.0,13.0,51.75616
