symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GRMN,2025-06-30 13:30:00+00:00,207.15,207.15,207.15,207.15,204.0,4.0,207.15
GRMN,2025-06-30 13:40:00+00:00,207.95,207.95,207.95,207.95,176.0,3.0,207.95
GRMN,2025-06-30 13:49:00+00:00,208.37,208.37,208.37,208.37,100.0,1.0,208.37
GRMN,2025-06-30 14:07:00+00:00,208.47,208.47,208.35,208.35,257.0,5.0,208.41
GRMN,2025-06-30 14:16:00+00:00,208.28,208.28,208.28,208.28,174.0,8.0,208.28
GRMN,2025-06-30 14:22:00+00:00,207.965,207.965,207.965,207.965,109.0,3.0,207.965
GRMN,2025-06-30 14:24:00+00:00,208.0,208.0,207.93,207.93,238.0,8.0,207.965
GRMN,2025-06-30 14:28:00+00:00,208.44,208.44,208.44,208.44,135.0,5.0,208.44
GRMN,2025-06-30 14:44:00+00:00,207.28,207.28,207.28,207.28,110.0,2.0,207.28
GRMN,2025-06-30 14:46:00+00:00,206.91,206.91,206.91,206.91,145.0,6.0,206.91
GRMN,2025-06-30 14:48:00+00:00,207.0,207.0,207.0,207.0,253.0,2.0,207.0
GRMN,2025-06-30 14:51:00+00:00,206.9,207.095,206.9,207.095,491.0,10.0,207.038627
GRMN,2025-06-30 14:52:00+00:00,207.045,207.045,207.045,207.045,200.0,1.0,207.045
GRMN,2025-06-30 14:56:00+00:00,207.17,207.17,207.17,207.17,100.0,1.0,207.17
GRMN,2025-06-30 14:59:00+00:00,207.14,207.14,207.14,207.14,195.0,4.0,207.14
GRMN,2025-06-30 15:05:00+00:00,207.11,207.11,207.11,207.11,105.0,2.0,207.11
GRMN,2025-06-30 15:09:00+00:00,207.12,207.12,207.12,207.12,100.0,1.0,207.12
GRMN,2025-06-30 15:10:00+00:00,207.14,207.24,207.13,207.24,683.0,12.0,207.176
GRMN,2025-06-30 15:12:00+00:00,207.135,207.135,207.135,207.135,100.0,1.0,207.135
GRMN,2025-06-30 15:14:00+00:00,207.13,207.13,207.13,207.13,251.0,8.0,207.13
GRMN,2025-06-30 15:21:00+00:00,207.22,207.22,207.22,207.22,140.0,2.0,207.22
GRMN,2025-06-30 15:30:00+00:00,207.22,207.27,207.22,207.27,312.0,5.0,207.236667
GRMN,2025-06-30 15:47:00+00:00,207.535,207.535,207.535,207.535,102.0,2.0,207.535
GRMN,2025-06-30 15:50:00+00:00,207.65,207.65,207.65,207.65,181.0,7.0,207.65
GRMN,2025-06-30 16:01:00+00:00,207.37,207.37,207.37,207.37,212.0,4.0,207.37
GRMN,2025-06-30 16:13:00+00:00,207.45,207.45,207.45,207.45,202.0,7.0,207.45
GRMN,2025-06-30 16:19:00+00:00,207.52,207.52,207.485,207.485,204.0,4.0,207.5025
GRMN,2025-06-30 16:38:00+00:00,207.34,207.34,207.34,207.34,272.0,12.0,207.34
GRMN,2025-06-30 16:46:00+00:00,208.01,208.01,208.01,208.01,109.0,3.0,208.01
GRMN,2025-06-30 16:58:00+00:00,208.08,208.08,208.08,208.08,101.0,2.0,208.08
GRMN,2025-06-30 17:05:00+00:00,207.94,207.94,207.81,207.81,210.0,5.0,207.875
GRMN,2025-06-30 17:27:00+00:00,207.7,207.7,207.7,207.7,161.0,10.0,207.7
GRMN,2025-06-30 17:30:00+00:00,207.9,207.9,207.87,207.87,240.0,4.0,207.885
GRMN,2025-06-30 17:55:00+00:00,207.5,207.5,207.48,207.48,523.0,18.0,207.49
GRMN,2025-06-30 17:57:00+00:00,207.095,207.095,207.095,207.095,174.0,5.0,207.095
GRMN,2025-06-30 18:06:00+00:00,207.015,207.015,207.015,207.015,100.0,1.0,207.015
GRMN,2025-06-30 18:09:00+00:00,206.91,206.91,206.91,206.91,100.0,1.0,206.91
GRMN,2025-06-30 18:10:00+00:00,206.85,206.85,206.85,206.85,100.0,1.0,206.85
GRMN,2025-06-30 18:14:00+00:00,206.905,206.905,206.905,206.905,131.0,4.0,206.905
GRMN,2025-06-30 18:18:00+00:00,206.93,206.94,206.93,206.94,251.0,5.0,206.935
GRMN,2025-06-30 18:19:00+00:00,206.99,206.99,206.99,206.99,112.0,5.0,206.99
GRMN,2025-06-30 18:28:00+00:00,207.235,207.235,207.235,207.235,106.0,2.0,207.235
GRMN,2025-06-30 18:53:00+00:00,206.65,206.65,206.65,206.65,112.0,4.0,206.65
GRMN,2025-06-30 18:58:00+00:00,206.95,206.95,206.95,206.95,173.0,3.0,206.95
GRMN,2025-06-30 19:10:00+00:00,207.07,207.07,207.07,207.07,125.0,3.0,207.07
GRMN,2025-06-30 19:15:00+00:00,207.22,207.22,207.22,207.22,200.0,2.0,207.22
GRMN,2025-06-30 19:21:00+00:00,207.57,207.57,207.57,207.57,100.0,1.0,207.57
GRMN,2025-06-30 19:25:00+00:00,207.65,207.69,207.65,207.69,570.0,12.0,207.676667
GRMN,2025-06-30 19:26:00+00:00,207.7,207.78,207.7,207.78,530.0,11.0,207.724
GRMN,2025-06-30 19:27:00+00:00,208.07,208.07,208.07,208.07,101.0,2.0,208.07
GRMN,2025-06-30 19:28:00+00:00,208.11,208.11,208.11,208.11,106.0,5.0,208.11
GRMN,2025-06-30 19:30:00+00:00,208.02,208.02,208.02,208.02,181.0,9.0,208.02
GRMN,2025-06-30 19:32:00+00:00,208.03,208.03,208.03,208.03,104.0,3.0,208.03
GRMN,2025-06-30 19:33:00+00:00,208.13,208.13,208.13,208.13,106.0,3.0,208.13
GRMN,2025-06-30 19:35:00+00:00,208.135,208.135,208.135,208.135,101.0,2.0,208.135
GRMN,2025-06-30 19:40:00+00:00,208.28,208.28,208.28,208.28,256.0,8.0,208.28
GRMN,2025-06-30 19:43:00+00:00,208.46,208.46,208.46,208.46,139.0,6.0,208.46
GRMN,2025-06-30 19:47:00+00:00,208.38,208.385,208.38,208.385,374.0,8.0,208.383333
GRMN,2025-06-30 19:50:00+00:00,208.38,208.53,208.38,208.53,324.0,9.0,208.455
GRMN,2025-06-30 19:54:00+00:00,208.87,208.87,208.87,208.87,204.0,8.0,208.87
GRMN,2025-06-30 19:55:00+00:00,208.73,208.73,208.545,208.545,407.0,15.0,208.6375
GRMN,2025-06-30 19:56:00+00:00,208.45,208.45,208.45,208.45,155.0,8.0,208.45
GRMN,2025-06-30 19:57:00+00:00,208.63,208.63,208.5,208.63,539.0,12.0,208.565
GRMN,2025-06-30 19:58:00+00:00,208.67,208.695,208.67,208.68,689.0,12.0,208.685
GRMN,2025-06-30 19:59:00+00:00,208.51,208.64,208.44,208.64,1595.0,47.0,208.521678
GRMN,2025-07-01 13:30:00+00:00,206.09,207.03,206.09,206.56,947.0,17.0,206.479692
GRMN,2025-07-01 13:31:00+00:00,206.69,206.69,206.69,206.69,174.0,4.0,206.69
GRMN,2025-07-01 13:32:00+00:00,207.085,207.085,207.085,207.085,129.0,4.0,207.085
GRMN,2025-07-01 13:38:00+00:00,207.035,207.035,207.035,207.035,100.0,1.0,207.035
GRMN,2025-07-01 13:39:00+00:00,206.745,207.065,206.745,207.065,537.0,15.0,206.906845
GRMN,2025-07-01 13:42:00+00:00,207.175,207.56,207.175,207.54,961.0,12.0,207.343563
GRMN,2025-07-01 13:45:00+00:00,207.89,207.89,207.89,207.89,201.0,5.0,207.89
GRMN,2025-07-01 13:57:00+00:00,208.19,208.19,208.19,208.19,140.0,3.0,208.19
GRMN,2025-07-01 13:58:00+00:00,208.13,208.23,208.13,208.23,254.0,6.0,208.172735
GRMN,2025-07-01 13:59:00+00:00,208.4,208.4,208.4,208.4,729.0,14.0,208.4
GRMN,2025-07-01 14:01:00+00:00,208.65,208.65,208.65,208.65,400.0,7.0,208.65
GRMN,2025-07-01 14:04:00+00:00,208.79,208.79,208.79,208.79,138.0,3.0,208.79
GRMN,2025-07-01 14:05:00+00:00,208.89,208.89,208.89,208.89,216.0,5.0,208.89
GRMN,2025-07-01 14:06:00+00:00,209.06,209.06,209.06,209.06,210.0,3.0,209.06
GRMN,2025-07-01 14:09:00+00:00,209.06,209.06,209.06,209.06,105.0,2.0,209.06
GRMN,2025-07-01 14:11:00+00:00,209.17,209.17,209.17,209.17,262.0,4.0,209.17
GRMN,2025-07-01 14:22:00+00:00,209.24,209.35,209.24,209.35,424.0,6.0,209.306667
GRMN,2025-07-01 14:24:00+00:00,209.47,209.47,209.47,209.47,109.0,2.0,209.47
GRMN,2025-07-01 14:34:00+00:00,209.72,209.72,209.72,209.72,302.0,8.0,209.72
GRMN,2025-07-01 14:39:00+00:00,209.99,209.99,209.67,209.69,1652.0,34.0,209.866667
GRMN,2025-07-01 14:42:00+00:00,210.575,210.575,210.575,210.575,110.0,3.0,210.575
GRMN,2025-07-01 14:46:00+00:00,210.32,210.32,210.32,210.32,100.0,1.0,210.32
GRMN,2025-07-01 14:48:00+00:00,210.39,210.39,210.39,210.39,100.0,1.0,210.39
GRMN,2025-07-01 14:55:00+00:00,210.215,210.35,210.215,210.35,212.0,5.0,210.2825
GRMN,2025-07-01 14:56:00+00:00,210.385,210.385,210.385,210.385,100.0,1.0,210.385
GRMN,2025-07-01 15:03:00+00:00,210.64,210.64,210.64,210.64,112.0,3.0,210.64
GRMN,2025-07-01 15:04:00+00:00,210.65,210.65,210.65,210.65,110.0,2.0,210.65
GRMN,2025-07-01 15:07:00+00:00,210.6,210.6,210.6,210.6,288.0,9.0,210.6
GRMN,2025-07-01 15:09:00+00:00,210.75,210.75,210.75,210.75,100.0,1.0,210.75
GRMN,2025-07-01 15:18:00+00:00,210.59,210.66,210.59,210.66,446.0,10.0,210.613333
GRMN,2025-07-01 15:20:00+00:00,210.88,210.91,210.88,210.91,302.0,5.0,210.89
GRMN,2025-07-01 15:26:00+00:00,211.75,211.75,211.75,211.75,100.0,1.0,211.75
GRMN,2025-07-01 15:33:00+00:00,211.89,212.04,211.89,212.04,882.0,16.0,211.9875
GRMN,2025-07-01 15:35:00+00:00,212.25,212.25,212.25,212.25,100.0,1.0,212.25
GRMN,2025-07-01 15:48:00+00:00,211.655,211.79,211.655,211.79,668.0,21.0,211.745
