symbol,timestamp,open,high,low,close,volume,trade_count,vwap
IBM,2025-06-30 13:30:00+00:00,290.66,290.66,290.66,290.66,261.0,8.0,290.66
IBM,2025-06-30 13:31:00+00:00,290.215,290.265,290.215,290.265,398.0,8.0,290.24
IBM,2025-06-30 13:32:00+00:00,290.26,290.71,290.26,290.71,267.0,4.0,290.485
IBM,2025-06-30 13:34:00+00:00,291.1,291.1,291.1,291.1,213.0,4.0,291.1
IBM,2025-06-30 13:35:00+00:00,291.17,291.17,291.17,291.17,240.0,9.0,291.17
IBM,2025-06-30 13:37:00+00:00,291.68,291.68,291.68,291.68,105.0,4.0,291.68
IBM,2025-06-30 13:39:00+00:00,291.44,291.44,291.44,291.44,158.0,2.0,291.44
IBM,2025-06-30 13:42:00+00:00,291.83,291.83,291.83,291.83,125.0,5.0,291.83
IBM,2025-06-30 13:45:00+00:00,291.94,292.29,291.94,292.29,232.0,5.0,292.115
IBM,2025-06-30 13:49:00+00:00,292.44,292.44,292.3,292.3,492.0,8.0,292.381667
IBM,2025-06-30 13:51:00+00:00,292.655,292.67,292.62,292.67,564.0,10.0,292.652895
IBM,2025-06-30 13:52:00+00:00,292.875,292.875,292.75,292.75,911.0,15.0,292.806
IBM,2025-06-30 13:53:00+00:00,292.67,292.745,292.66,292.66,497.0,3.0,292.681952
IBM,2025-06-30 13:54:00+00:00,292.63,292.63,292.615,292.615,358.0,7.0,292.6225
IBM,2025-06-30 13:55:00+00:00,292.7,292.85,292.7,292.85,918.0,15.0,292.785
IBM,2025-06-30 13:56:00+00:00,292.825,292.825,292.825,292.825,221.0,4.0,292.825
IBM,2025-06-30 13:57:00+00:00,292.84,292.93,292.68,292.69,970.0,17.0,292.77483
IBM,2025-06-30 13:58:00+00:00,292.695,292.7,292.695,292.7,446.0,11.0,292.6975
IBM,2025-06-30 13:59:00+00:00,292.7,292.7,292.7,292.7,484.0,12.0,292.7
IBM,2025-06-30 14:00:00+00:00,292.47,292.47,292.43,292.43,300.0,4.0,292.45
IBM,2025-06-30 14:02:00+00:00,292.01,292.01,292.01,292.01,304.0,10.0,292.01
