symbol,timestamp,open,high,low,close,volume,trade_count,vwap
IR,2025-06-30 13:30:00+00:00,83.935,83.935,83.64,83.64,484.0,7.0,83.86125
IR,2025-06-30 13:32:00+00:00,83.35,83.35,83.35,83.35,268.0,6.0,83.35
IR,2025-06-30 13:33:00+00:00,83.39,83.405,83.39,83.405,273.0,6.0,83.3975
IR,2025-06-30 13:35:00+00:00,83.405,83.405,83.405,83.405,454.0,15.0,83.405
IR,2025-06-30 13:36:00+00:00,83.125,83.165,83.125,83.165,606.0,12.0,83.151667
IR,2025-06-30 13:37:00+00:00,83.195,83.195,83.195,83.195,260.0,15.0,83.195
IR,2025-06-30 13:38:00+00:00,83.19,83.31,83.19,83.275,1603.0,28.0,83.268182
IR,2025-06-30 13:39:00+00:00,83.285,83.285,83.285,83.285,270.0,6.0,83.285
IR,2025-06-30 13:41:00+00:00,83.385,83.42,83.385,83.42,280.0,3.0,83.4025
IR,2025-06-30 13:44:00+00:00,83.385,83.385,83.385,83.385,591.0,6.0,83.385
IR,2025-06-30 13:45:00+00:00,83.48,83.48,83.48,83.48,175.0,4.0,83.48
IR,2025-06-30 13:46:00+00:00,83.53,83.53,83.53,83.53,440.0,5.0,83.53
IR,2025-06-30 13:47:00+00:00,83.62,83.62,83.62,83.62,486.0,10.0,83.62
IR,2025-06-30 13:48:00+00:00,83.67,83.67,83.67,83.67,300.0,6.0,83.67
IR,2025-06-30 13:51:00+00:00,83.67,83.67,83.67,83.67,100.0,1.0,83.67
IR,2025-06-30 13:57:00+00:00,83.66,83.66,83.66,83.66,310.0,8.0,83.66
IR,2025-06-30 13:58:00+00:00,83.71,83.72,83.71,83.72,543.0,14.0,83.713333
IR,2025-06-30 13:59:00+00:00,83.65,83.65,83.65,83.65,179.0,11.0,83.65
IR,2025-06-30 14:01:00+00:00,83.585,83.585,83.585,83.585,152.0,3.0,83.585
IR,2025-06-30 14:02:00+00:00,83.585,83.605,83.585,83.605,1009.0,25.0,83.597922
IR,2025-06-30 14:04:00+00:00,83.71,83.71,83.71,83.71,484.0,15.0,83.71
IR,2025-06-30 14:05:00+00:00,83.69,83.69,83.645,83.645,282.0,7.0,83.6675
IR,2025-06-30 14:07:00+00:00,83.645,83.645,83.645,83.645,184.0,11.0,83.645
IR,2025-06-30 14:08:00+00:00,83.605,83.65,83.605,83.65,705.0,23.0,83.631667
IR,2025-06-30 14:09:00+00:00,83.63,83.63,83.63,83.63,152.0,5.0,83.63
IR,2025-06-30 14:10:00+00:00,83.62,83.62,83.62,83.62,256.0,8.0,83.62
IR,2025-06-30 14:12:00+00:00,83.51,83.51,83.49,83.49,211.0,4.0,83.5
IR,2025-06-30 14:18:00+00:00,83.65,83.65,83.65,83.65,110.0,2.0,83.65
IR,2025-06-30 14:19:00+00:00,83.64,83.64,83.64,83.64,100.0,1.0,83.64
IR,2025-06-30 14:20:00+00:00,83.575,83.575,83.575,83.575,102.0,3.0,83.575
IR,2025-06-30 14:26:00+00:00,83.555,83.555,83.555,83.555,111.0,4.0,83.555
IR,2025-06-30 14:34:00+00:00,83.465,83.465,83.465,83.465,100.0,1.0,83.465
IR,2025-06-30 14:36:00+00:00,83.47,83.47,83.445,83.445,325.0,4.0,83.461667
IR,2025-06-30 14:40:00+00:00,83.22,83.22,83.22,83.22,410.0,7.0,83.22
IR,2025-06-30 14:42:00+00:00,83.27,83.27,83.27,83.27,100.0,1.0,83.27
IR,2025-06-30 14:47:00+00:00,83.26,83.295,83.26,83.295,368.0,7.0,83.281667
IR,2025-06-30 14:48:00+00:00,83.26,83.26,83.26,83.26,209.0,5.0,83.26
IR,2025-06-30 14:51:00+00:00,83.3,83.35,83.3,83.35,248.0,6.0,83.325
IR,2025-06-30 14:54:00+00:00,83.345,83.345,83.325,83.325,514.0,10.0,83.335
IR,2025-06-30 14:56:00+00:00,83.365,83.365,83.365,83.365,246.0,4.0,83.365
IR,2025-06-30 14:57:00+00:00,83.37,83.37,83.37,83.37,103.0,4.0,83.37
IR,2025-06-30 14:58:00+00:00,83.39,83.39,83.39,83.39,107.0,2.0,83.39
IR,2025-06-30 15:01:00+00:00,83.3,83.32,83.3,83.315,1583.0,35.0,83.310787
IR,2025-06-30 15:03:00+00:00,83.32,83.32,83.32,83.32,356.0,11.0,83.32
IR,2025-06-30 15:04:00+00:00,83.36,83.36,83.36,83.36,375.0,10.0,83.36
IR,2025-06-30 15:05:00+00:00,83.39,83.39,83.39,83.39,412.0,6.0,83.39
IR,2025-06-30 15:12:00+00:00,83.36,83.36,83.36,83.36,240.0,6.0,83.36
IR,2025-06-30 15:13:00+00:00,83.34,83.34,83.34,83.34,154.0,6.0,83.34
IR,2025-06-30 15:16:00+00:00,83.4,83.4,83.4,83.4,226.0,7.0,83.4
IR,2025-06-30 15:17:00+00:00,83.42,83.43,83.42,83.43,456.0,10.0,83.425
IR,2025-06-30 15:21:00+00:00,83.38,83.38,83.38,83.38,184.0,5.0,83.38
IR,2025-06-30 15:23:00+00:00,83.375,83.375,83.375,83.375,252.0,9.0,83.375
IR,2025-06-30 15:24:00+00:00,83.39,83.39,83.39,83.39,145.0,4.0,83.39
IR,2025-06-30 15:25:00+00:00,83.395,83.395,83.395,83.395,215.0,7.0,83.395
IR,2025-06-30 15:26:00+00:00,83.4,83.4,83.4,83.4,416.0,16.0,83.4
IR,2025-06-30 15:27:00+00:00,83.4,83.4,83.4,83.4,107.0,3.0,83.4
IR,2025-06-30 15:28:00+00:00,83.42,83.42,83.42,83.42,214.0,9.0,83.42
IR,2025-06-30 15:30:00+00:00,83.445,83.48,83.445,83.48,326.0,10.0,83.4625
IR,2025-06-30 15:31:00+00:00,83.465,83.48,83.465,83.48,322.0,5.0,83.471667
IR,2025-06-30 15:32:00+00:00,83.435,83.435,83.425,83.425,474.0,9.0,83.4275
IR,2025-06-30 15:37:00+00:00,83.5,83.5,83.5,83.5,308.0,6.0,83.5
IR,2025-06-30 15:40:00+00:00,83.485,83.485,83.47,83.47,600.0,6.0,83.476667
IR,2025-06-30 15:41:00+00:00,83.5,83.5,83.5,83.5,100.0,1.0,83.5
IR,2025-06-30 15:44:00+00:00,83.535,83.54,83.53,83.54,388.0,9.0,83.535
IR,2025-06-30 15:46:00+00:00,83.55,83.55,83.55,83.55,256.0,5.0,83.55
