symbol,timestamp,open,high,low,close,volume,trade_count,vwap
JNJ,2025-06-30 13:30:00+00:00,152.25,152.25,152.21,152.23,657.0,6.0,152.22
JNJ,2025-06-30 13:31:00+00:00,152.45,152.48,152.34,152.48,1400.0,15.0,152.370769
JNJ,2025-06-30 13:32:00+00:00,152.42,152.465,152.335,152.395,1937.0,20.0,152.404211
JNJ,2025-06-30 13:33:00+00:00,152.4,152.52,152.365,152.52,707.0,6.0,152.414286
JNJ,2025-06-30 13:34:00+00:00,152.63,152.63,152.6,152.61,400.0,4.0,152.6125
JNJ,2025-06-30 13:35:00+00:00,152.6,152.63,152.6,152.63,313.0,10.0,152.615
JNJ,2025-06-30 13:36:00+00:00,152.745,152.745,152.69,152.735,460.0,7.0,152.715
JNJ,2025-06-30 13:37:00+00:00,152.695,152.695,152.515,152.545,600.0,6.0,152.603333
JNJ,2025-06-30 13:38:00+00:00,152.54,152.54,152.54,152.54,150.0,2.0,152.54
JNJ,2025-06-30 13:40:00+00:00,152.59,152.59,152.59,152.59,100.0,1.0,152.59
JNJ,2025-06-30 13:42:00+00:00,152.32,152.32,152.32,152.32,410.0,6.0,152.32
JNJ,2025-06-30 13:43:00+00:00,152.47,152.47,152.45,152.45,208.0,3.0,152.46
JNJ,2025-06-30 13:44:00+00:00,152.39,152.39,152.39,152.39,100.0,1.0,152.39
JNJ,2025-06-30 13:45:00+00:00,152.295,152.295,152.295,152.295,376.0,6.0,152.295
JNJ,2025-06-30 13:46:00+00:00,152.34,152.34,152.34,152.34,117.0,2.0,152.34
JNJ,2025-06-30 13:47:00+00:00,152.21,152.21,152.21,152.21,105.0,2.0,152.21
JNJ,2025-06-30 13:48:00+00:00,152.2,152.2,152.2,152.2,105.0,2.0,152.2
JNJ,2025-06-30 13:49:00+00:00,152.12,152.12,152.12,152.12,200.0,3.0,152.12
JNJ,2025-06-30 13:51:00+00:00,152.215,152.215,152.215,152.215,100.0,1.0,152.215
JNJ,2025-06-30 13:52:00+00:00,152.22,152.23,152.195,152.195,450.0,6.0,152.215
JNJ,2025-06-30 13:53:00+00:00,152.165,152.185,152.165,152.185,409.0,6.0,152.176667
JNJ,2025-06-30 13:57:00+00:00,152.045,152.045,152.045,152.045,243.0,11.0,152.045
JNJ,2025-06-30 13:58:00+00:00,152.03,152.03,152.01,152.01,436.0,8.0,152.02
JNJ,2025-06-30 13:59:00+00:00,151.98,151.98,151.92,151.94,471.0,8.0,151.9475
JNJ,2025-06-30 14:00:00+00:00,151.96,151.96,151.885,151.885,410.0,7.0,151.918333
JNJ,2025-06-30 14:02:00+00:00,151.96,151.96,151.96,151.96,136.0,3.0,151.96
JNJ,2025-06-30 14:03:00+00:00,151.985,151.985,151.985,151.985,118.0,4.0,151.985
JNJ,2025-06-30 14:04:00+00:00,151.97,151.97,151.97,151.97,358.0,15.0,151.97
JNJ,2025-06-30 14:05:00+00:00,152.075,152.085,152.075,152.085,205.0,3.0,152.08
JNJ,2025-06-30 14:06:00+00:00,152.07,152.07,152.07,152.07,292.0,6.0,152.07
JNJ,2025-06-30 14:07:00+00:00,152.07,152.07,152.07,152.07,165.0,3.0,152.07
JNJ,2025-06-30 14:08:00+00:00,152.1,152.1,152.1,152.1,102.0,3.0,152.1
JNJ,2025-06-30 14:10:00+00:00,152.16,152.16,152.16,152.16,335.0,7.0,152.16
JNJ,2025-06-30 14:12:00+00:00,152.19,152.19,152.17,152.17,316.0,4.0,152.179677
JNJ,2025-06-30 14:13:00+00:00,152.09,152.09,152.09,152.09,200.0,5.0,152.09
JNJ,2025-06-30 14:14:00+00:00,152.12,152.12,152.12,152.12,247.0,9.0,152.12
JNJ,2025-06-30 14:15:00+00:00,152.14,152.14,152.135,152.135,331.0,3.0,152.137933
JNJ,2025-06-30 14:16:00+00:00,152.15,152.185,152.15,152.185,512.0,11.0,152.161667
JNJ,2025-06-30 14:17:00+00:00,152.23,152.23,152.14,152.185,1243.0,17.0,152.185765
JNJ,2025-06-30 14:18:00+00:00,152.19,152.245,152.19,152.245,562.0,14.0,152.218333
JNJ,2025-06-30 14:19:00+00:00,152.27,152.29,152.26,152.26,573.0,12.0,152.273333
JNJ,2025-06-30 14:20:00+00:00,152.275,152.375,152.275,152.305,895.0,12.0,152.30952
JNJ,2025-06-30 14:21:00+00:00,152.3,152.3,152.27,152.275,453.0,8.0,152.281667
JNJ,2025-06-30 14:23:00+00:00,152.23,152.23,152.23,152.23,100.0,1.0,152.23
JNJ,2025-06-30 14:24:00+00:00,152.22,152.24,152.22,152.24,222.0,3.0,152.23
JNJ,2025-06-30 14:26:00+00:00,152.26,152.26,152.24,152.24,202.0,3.0,152.25
JNJ,2025-06-30 14:29:00+00:00,152.25,152.25,152.25,152.25,100.0,1.0,152.25
JNJ,2025-06-30 14:32:00+00:00,152.27,152.27,152.27,152.27,326.0,7.0,152.27
JNJ,2025-06-30 14:33:00+00:00,152.205,152.245,152.205,152.245,792.0,14.0,152.226553
JNJ,2025-06-30 14:34:00+00:00,152.23,152.235,152.21,152.235,410.0,6.0,152.225
JNJ,2025-06-30 14:35:00+00:00,152.22,152.22,152.22,152.22,100.0,1.0,152.22
JNJ,2025-06-30 14:36:00+00:00,152.25,152.25,152.25,152.25,235.0,3.0,152.25
JNJ,2025-06-30 14:37:00+00:00,152.265,152.265,152.265,152.265,287.0,7.0,152.265
JNJ,2025-06-30 14:38:00+00:00,152.215,152.215,152.215,152.215,190.0,3.0,152.215
JNJ,2025-06-30 14:39:00+00:00,152.2,152.2,152.2,152.2,173.0,2.0,152.2
JNJ,2025-06-30 14:40:00+00:00,152.14,152.14,152.14,152.14,226.0,5.0,152.14
JNJ,2025-06-30 14:43:00+00:00,152.01,152.01,151.925,151.925,310.0,10.0,151.966884
JNJ,2025-06-30 14:45:00+00:00,151.96,151.97,151.96,151.97,420.0,6.0,151.9675
JNJ,2025-06-30 14:46:00+00:00,151.99,151.99,151.985,151.985,352.0,8.0,151.986613
JNJ,2025-06-30 14:47:00+00:00,152.045,152.045,152.045,152.045,186.0,3.0,152.045
JNJ,2025-06-30 14:48:00+00:00,152.07,152.07,152.06,152.06,203.0,4.0,152.065
JNJ,2025-06-30 14:49:00+00:00,152.04,152.07,152.04,152.07,518.0,7.0,152.045859
JNJ,2025-06-30 14:50:00+00:00,152.09,152.09,152.09,152.09,222.0,3.0,152.09
JNJ,2025-06-30 14:52:00+00:00,152.09,152.09,152.09,152.09,115.0,3.0,152.09
JNJ,2025-06-30 14:53:00+00:00,152.085,152.105,152.085,152.1,302.0,5.0,152.096667
JNJ,2025-06-30 14:54:00+00:00,152.065,152.065,152.04,152.04,215.0,3.0,152.0525
JNJ,2025-06-30 14:57:00+00:00,152.025,152.025,151.97,151.97,349.0,6.0,152.005634
JNJ,2025-06-30 15:01:00+00:00,151.98,151.98,151.955,151.955,423.0,6.0,151.971667
JNJ,2025-06-30 15:02:00+00:00,151.92,151.92,151.92,151.92,100.0,1.0,151.92
JNJ,2025-06-30 15:03:00+00:00,152.0,152.0,152.0,152.0,236.0,6.0,152.0
JNJ,2025-06-30 15:05:00+00:00,152.0,152.0,152.0,152.0,346.0,7.0,152.0
JNJ,2025-06-30 15:06:00+00:00,152.05,152.115,152.05,152.11,1259.0,13.0,152.079545
JNJ,2025-06-30 15:07:00+00:00,152.175,152.175,152.175,152.175,1546.0,11.0,152.175
JNJ,2025-06-30 15:09:00+00:00,152.14,152.14,152.08,152.08,418.0,6.0,152.12375
JNJ,2025-06-30 15:10:00+00:00,152.075,152.075,152.075,152.075,113.0,3.0,152.075
