symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KHC,2025-06-30 13:30:00+00:00,25.58,25.59,25.555,25.585,3253.0,21.0,25.579194
KHC,2025-06-30 13:31:00+00:00,25.59,25.66,25.57,25.66,5253.0,41.0,25.629082
KHC,2025-06-30 13:32:00+00:00,25.655,25.675,25.59,25.6,4684.0,27.0,25.618401
KHC,2025-06-30 13:33:00+00:00,25.59,25.63,25.575,25.63,751.0,6.0,25.594286
KHC,2025-06-30 13:34:00+00:00,25.63,25.63,25.575,25.575,1875.0,7.0,25.578056
KHC,2025-06-30 13:35:00+00:00,25.57,25.59,25.565,25.565,1136.0,9.0,25.583636
KHC,2025-06-30 13:36:00+00:00,25.59,25.65,25.59,25.63,3431.0,26.0,25.630588
KHC,2025-06-30 13:37:00+00:00,25.625,25.625,25.62,25.62,206.0,4.0,25.6225
KHC,2025-06-30 13:38:00+00:00,25.61,25.62,25.61,25.62,600.0,5.0,25.611667
KHC,2025-06-30 13:39:00+00:00,25.645,25.655,25.645,25.65,700.0,7.0,25.647143
KHC,2025-06-30 13:40:00+00:00,25.655,25.68,25.65,25.68,2088.0,18.0,25.66
KHC,2025-06-30 13:41:00+00:00,25.67,25.67,25.67,25.67,1005.0,9.0,25.67
KHC,2025-06-30 13:42:00+00:00,25.67,25.685,25.67,25.685,1864.0,19.0,25.679063
KHC,2025-06-30 13:43:00+00:00,25.665,25.675,25.65,25.675,1622.0,12.0,25.66
KHC,2025-06-30 13:45:00+00:00,25.645,25.66,25.635,25.645,1965.0,17.0,25.645
KHC,2025-06-30 13:46:00+00:00,25.65,25.655,25.625,25.625,570.0,9.0,25.64375
KHC,2025-06-30 13:47:00+00:00,25.625,25.645,25.625,25.63,1986.0,14.0,25.638947
KHC,2025-06-30 13:48:00+00:00,25.63,25.64,25.605,25.61,1067.0,11.0,25.62258
KHC,2025-06-30 13:49:00+00:00,25.61,25.61,25.605,25.605,1724.0,12.0,25.605625
KHC,2025-06-30 13:50:00+00:00,25.555,25.565,25.555,25.565,1605.0,8.0,25.564333
KHC,2025-06-30 13:51:00+00:00,25.57,25.58,25.565,25.58,1258.0,14.0,25.572727
KHC,2025-06-30 13:52:00+00:00,25.59,25.6,25.585,25.595,1123.0,13.0,25.593333
KHC,2025-06-30 13:53:00+00:00,25.6,25.6,25.6,25.6,108.0,4.0,25.6
KHC,2025-06-30 13:54:00+00:00,25.585,25.585,25.58,25.58,1015.0,11.0,25.5805
KHC,2025-06-30 13:55:00+00:00,25.58,25.59,25.58,25.59,1195.0,9.0,25.582
KHC,2025-06-30 13:56:00+00:00,25.58,25.59,25.57,25.59,1465.0,12.0,25.581071
KHC,2025-06-30 13:57:00+00:00,25.58,25.58,25.565,25.58,615.0,7.0,25.5775
KHC,2025-06-30 13:58:00+00:00,25.56,25.56,25.555,25.555,1113.0,12.0,25.559545
KHC,2025-06-30 13:59:00+00:00,25.52,25.54,25.52,25.54,1843.0,15.0,25.530278
KHC,2025-06-30 14:00:00+00:00,25.53,25.53,25.53,25.53,784.0,9.0,25.53
KHC,2025-06-30 14:01:00+00:00,25.52,25.52,25.505,25.51,2946.0,30.0,25.5125
KHC,2025-06-30 14:02:00+00:00,25.52,25.52,25.52,25.52,310.0,3.0,25.52
KHC,2025-06-30 14:03:00+00:00,25.52,25.525,25.52,25.525,600.0,6.0,25.520833
KHC,2025-06-30 14:04:00+00:00,25.52,25.525,25.515,25.525,644.0,7.0,25.519275
