symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MET,2025-06-30 13:31:00+00:00,80.035,80.035,80.035,80.035,100.0,1.0,80.035
MET,2025-06-30 13:32:00+00:00,80.23,80.29,80.215,80.215,950.0,10.0,80.229444
MET,2025-06-30 13:36:00+00:00,80.235,80.235,80.235,80.235,300.0,5.0,80.235
MET,2025-06-30 13:39:00+00:00,80.25,80.33,80.25,80.33,400.0,6.0,80.278333
MET,2025-06-30 13:40:00+00:00,80.335,80.335,80.335,80.335,115.0,3.0,80.335
MET,2025-06-30 13:41:00+00:00,80.31,80.31,80.31,80.31,113.0,6.0,80.31
MET,2025-06-30 13:45:00+00:00,80.335,80.335,80.335,80.335,169.0,6.0,80.335
MET,2025-06-30 13:48:00+00:00,80.47,80.47,80.47,80.47,238.0,8.0,80.47
MET,2025-06-30 13:49:00+00:00,80.44,80.44,80.42,80.42,614.0,7.0,80.433311
MET,2025-06-30 13:50:00+00:00,80.425,80.425,80.38,80.38,817.0,11.0,80.38792
MET,2025-06-30 13:51:00+00:00,80.45,80.45,80.45,80.45,318.0,8.0,80.45
MET,2025-06-30 13:52:00+00:00,80.41,80.41,80.41,80.41,101.0,2.0,80.41
MET,2025-06-30 13:53:00+00:00,80.43,80.44,80.43,80.44,412.0,7.0,80.4325
MET,2025-06-30 13:54:00+00:00,80.41,80.43,80.41,80.43,209.0,6.0,80.42
MET,2025-06-30 13:55:00+00:00,80.43,80.43,80.43,80.43,106.0,3.0,80.43
MET,2025-06-30 13:56:00+00:00,80.36,80.36,80.36,80.36,115.0,7.0,80.36
MET,2025-06-30 13:58:00+00:00,80.345,80.345,80.345,80.345,108.0,6.0,80.345
MET,2025-06-30 13:59:00+00:00,80.325,80.325,80.325,80.325,110.0,4.0,80.325
MET,2025-06-30 14:00:00+00:00,80.36,80.36,80.315,80.315,970.0,14.0,80.330048
MET,2025-06-30 14:01:00+00:00,80.335,80.335,80.335,80.335,209.0,3.0,80.335
MET,2025-06-30 14:02:00+00:00,80.385,80.385,80.385,80.385,1027.0,15.0,80.385
MET,2025-06-30 14:03:00+00:00,80.38,80.415,80.38,80.415,459.0,9.0,80.391667
MET,2025-06-30 14:04:00+00:00,80.42,80.42,80.42,80.42,330.0,10.0,80.42
MET,2025-06-30 14:05:00+00:00,80.4,80.405,80.34,80.34,1271.0,20.0,80.380567
MET,2025-06-30 14:06:00+00:00,80.34,80.36,80.34,80.36,630.0,9.0,80.346608
MET,2025-06-30 14:07:00+00:00,80.41,80.42,80.4,80.4,1078.0,16.0,80.41
MET,2025-06-30 14:08:00+00:00,80.39,80.395,80.3,80.3,1517.0,28.0,80.346908
MET,2025-06-30 14:10:00+00:00,80.3,80.3,80.3,80.3,207.0,5.0,80.3
MET,2025-06-30 14:11:00+00:00,80.32,80.32,80.3,80.3,487.0,10.0,80.31
MET,2025-06-30 14:12:00+00:00,80.3,80.3,80.28,80.28,329.0,8.0,80.29
MET,2025-06-30 14:13:00+00:00,80.31,80.32,80.3,80.32,546.0,11.0,80.306897
MET,2025-06-30 14:15:00+00:00,80.34,80.34,80.34,80.34,111.0,4.0,80.34
MET,2025-06-30 14:16:00+00:00,80.38,80.38,80.38,80.38,138.0,7.0,80.38
MET,2025-06-30 14:17:00+00:00,80.39,80.39,80.39,80.39,184.0,11.0,80.39
MET,2025-06-30 14:18:00+00:00,80.41,80.41,80.41,80.41,192.0,7.0,80.41
MET,2025-06-30 14:19:00+00:00,80.36,80.37,80.36,80.37,248.0,8.0,80.365
MET,2025-06-30 14:20:00+00:00,80.36,80.36,80.355,80.355,301.0,4.0,80.358333
MET,2025-06-30 14:21:00+00:00,80.38,80.38,80.33,80.35,401.0,5.0,80.3525
MET,2025-06-30 14:22:00+00:00,80.36,80.36,80.36,80.36,102.0,3.0,80.36
MET,2025-06-30 14:23:00+00:00,80.39,80.42,80.39,80.4,1104.0,10.0,80.394
MET,2025-06-30 14:25:00+00:00,80.385,80.385,80.385,80.385,100.0,1.0,80.385
MET,2025-06-30 14:26:00+00:00,80.375,80.38,80.365,80.365,879.0,18.0,80.373571
MET,2025-06-30 14:27:00+00:00,80.34,80.34,80.34,80.34,191.0,3.0,80.34
MET,2025-06-30 14:28:00+00:00,80.35,80.35,80.35,80.35,148.0,3.0,80.35
MET,2025-06-30 14:29:00+00:00,80.35,80.35,80.35,80.35,230.0,12.0,80.35
MET,2025-06-30 14:30:00+00:00,80.37,80.37,80.37,80.37,297.0,5.0,80.37
MET,2025-06-30 14:32:00+00:00,80.405,80.405,80.405,80.405,176.0,2.0,80.405
MET,2025-06-30 14:33:00+00:00,80.355,80.355,80.345,80.345,502.0,4.0,80.347
