symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NCLH,2025-06-30 13:30:00+00:00,20.14,20.2,20.14,20.15,2581.0,22.0,20.168125
NCLH,2025-06-30 13:31:00+00:00,20.23,20.285,20.165,20.21,1842.0,15.0,20.212286
NCLH,2025-06-30 13:32:00+00:00,20.22,20.22,20.135,20.155,400.0,4.0,20.175
NCLH,2025-06-30 13:33:00+00:00,20.04,20.12,20.04,20.12,1628.0,7.0,20.088125
NCLH,2025-06-30 13:34:00+00:00,20.15,20.16,20.15,20.15,1400.0,8.0,20.152143
NCLH,2025-06-30 13:35:00+00:00,20.14,20.15,20.11,20.11,12590.0,22.0,20.117931
NCLH,2025-06-30 13:36:00+00:00,20.125,20.14,20.125,20.14,500.0,4.0,20.131
NCLH,2025-06-30 13:37:00+00:00,20.13,20.13,20.1,20.1,1400.0,12.0,20.1175
NCLH,2025-06-30 13:38:00+00:00,20.095,20.105,20.095,20.105,1072.0,10.0,20.0965
NCLH,2025-06-30 13:39:00+00:00,20.115,20.2,20.115,20.2,652.0,7.0,20.1475
NCLH,2025-06-30 13:40:00+00:00,20.205,20.215,20.19,20.19,2090.0,22.0,20.20325
NCLH,2025-06-30 13:41:00+00:00,20.2,20.2,20.14,20.14,500.0,5.0,20.174
NCLH,2025-06-30 13:42:00+00:00,20.14,20.19,20.14,20.19,391.0,6.0,20.166667
NCLH,2025-06-30 13:43:00+00:00,20.21,20.21,20.195,20.195,301.0,4.0,20.2025
NCLH,2025-06-30 13:44:00+00:00,20.185,20.21,20.185,20.21,11877.0,4.0,20.185325
NCLH,2025-06-30 13:45:00+00:00,20.2,20.2,20.17,20.17,500.0,3.0,20.176
NCLH,2025-06-30 13:46:00+00:00,20.17,20.23,20.17,20.23,2734.0,17.0,20.217179
NCLH,2025-06-30 13:47:00+00:00,20.24,20.265,20.24,20.265,1427.0,4.0,20.261429
NCLH,2025-06-30 13:48:00+00:00,20.26,20.295,20.26,20.295,1520.0,10.0,20.2625
NCLH,2025-06-30 13:49:00+00:00,20.26,20.26,20.26,20.26,559.0,8.0,20.26
NCLH,2025-06-30 13:50:00+00:00,20.26,20.285,20.26,20.28,4335.0,18.0,20.264226
NCLH,2025-06-30 13:51:00+00:00,20.295,20.3,20.295,20.295,3265.0,12.0,20.295615
NCLH,2025-06-30 13:52:00+00:00,20.3,20.32,20.3,20.32,1972.0,18.0,20.314375
NCLH,2025-06-30 13:53:00+00:00,20.325,20.325,20.305,20.305,1484.0,15.0,20.319475
NCLH,2025-06-30 13:54:00+00:00,20.305,20.305,20.28,20.28,693.0,7.0,20.29
NCLH,2025-06-30 13:55:00+00:00,20.275,20.3,20.275,20.3,2033.0,10.0,20.27775
NCLH,2025-06-30 13:56:00+00:00,20.325,20.335,20.3,20.31,8113.0,39.0,20.321572
NCLH,2025-06-30 13:57:00+00:00,20.31,20.36,20.31,20.355,3234.0,43.0,20.344453
NCLH,2025-06-30 13:58:00+00:00,20.355,20.355,20.32,20.33,2807.0,23.0,20.336765
NCLH,2025-06-30 13:59:00+00:00,20.36,20.375,20.36,20.375,3174.0,21.0,20.368929
NCLH,2025-06-30 14:00:00+00:00,20.375,20.38,20.33,20.335,5873.0,50.0,20.346996
NCLH,2025-06-30 14:01:00+00:00,20.345,20.35,20.33,20.345,1853.0,20.0,20.338436
NCLH,2025-06-30 14:03:00+00:00,20.365,20.365,20.35,20.35,651.0,10.0,20.3575
