symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NEE,2025-06-30 13:30:00+00:00,67.75,68.34,67.75,68.17,16792.0,155.0,68.074819
NEE,2025-06-30 13:31:00+00:00,68.095,68.095,67.83,67.84,6512.0,62.0,67.931272
NEE,2025-06-30 13:32:00+00:00,67.87,68.115,67.87,67.925,6107.0,78.0,68.030013
NEE,2025-06-30 13:33:00+00:00,67.92,68.11,67.92,67.93,3988.0,54.0,68.008326
NEE,2025-06-30 13:34:00+00:00,67.93,68.18,67.93,68.12,8716.0,86.0,68.082857
NEE,2025-06-30 13:35:00+00:00,68.055,68.33,67.99,68.06,46387.0,177.0,68.063485
NEE,2025-06-30 13:36:00+00:00,68.135,68.43,68.135,68.43,4252.0,46.0,68.316423
NEE,2025-06-30 13:37:00+00:00,68.465,68.66,68.45,68.45,7632.0,75.0,68.558638
NEE,2025-06-30 13:38:00+00:00,68.47,68.49,68.34,68.35,3775.0,20.0,68.460441
NEE,2025-06-30 13:39:00+00:00,68.33,68.35,68.02,68.04,4181.0,51.0,68.180238
NEE,2025-06-30 13:40:00+00:00,68.085,68.095,68.03,68.04,2233.0,24.0,68.078659
NEE,2025-06-30 13:41:00+00:00,68.02,68.02,67.8,67.87,3068.0,43.0,67.929592
NEE,2025-06-30 13:42:00+00:00,67.87,67.9,67.605,67.71,2800.0,35.0,67.741697
NEE,2025-06-30 13:43:00+00:00,67.74,67.74,67.61,67.625,918.0,15.0,67.664167
NEE,2025-06-30 13:44:00+00:00,67.575,67.63,67.48,67.49,1131.0,16.0,67.544444
NEE,2025-06-30 13:45:00+00:00,67.47,67.71,67.47,67.58,1936.0,23.0,67.61
NEE,2025-06-30 13:46:00+00:00,67.58,67.58,67.505,67.515,1491.0,24.0,67.538085
NEE,2025-06-30 13:47:00+00:00,67.53,67.57,67.48,67.57,2240.0,28.0,67.505652
NEE,2025-06-30 13:48:00+00:00,67.57,67.59,67.51,67.59,5107.0,67.0,67.550101
NEE,2025-06-30 13:49:00+00:00,67.495,67.54,67.495,67.53,3502.0,67.0,67.515974
NEE,2025-06-30 13:50:00+00:00,67.55,67.77,67.54,67.75,2910.0,26.0,67.641791
NEE,2025-06-30 13:51:00+00:00,67.77,67.79,67.765,67.77,1828.0,32.0,67.779217
NEE,2025-06-30 13:52:00+00:00,67.7,67.71,67.63,67.71,2872.0,34.0,67.691061
NEE,2025-06-30 13:53:00+00:00,67.72,67.745,67.69,67.74,3178.0,31.0,67.712799
NEE,2025-06-30 13:54:00+00:00,67.76,67.935,67.76,67.9,3330.0,34.0,67.902418
