symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NSC,2025-06-30 13:30:00+00:00,255.43,255.43,255.43,255.43,146.0,2.0,255.43
NSC,2025-06-30 13:32:00+00:00,255.49,255.49,255.36,255.36,400.0,4.0,255.403333
NSC,2025-06-30 13:36:00+00:00,255.65,255.65,255.65,255.65,100.0,1.0,255.65
NSC,2025-06-30 13:50:00+00:00,256.16,256.16,256.16,256.16,230.0,4.0,256.16
NSC,2025-06-30 13:52:00+00:00,256.14,256.185,256.14,256.185,552.0,6.0,256.17375
NSC,2025-06-30 13:55:00+00:00,256.12,256.12,256.12,256.12,249.0,4.0,256.12
NSC,2025-06-30 13:56:00+00:00,256.115,256.115,256.115,256.115,100.0,1.0,256.115
NSC,2025-06-30 13:59:00+00:00,256.09,256.09,256.09,256.09,335.0,4.0,256.09
NSC,2025-06-30 14:01:00+00:00,256.09,256.09,256.08,256.08,481.0,5.0,256.085945
NSC,2025-06-30 14:03:00+00:00,256.13,256.13,256.13,256.13,101.0,2.0,256.13
NSC,2025-06-30 14:04:00+00:00,256.19,256.19,256.19,256.19,114.0,2.0,256.19
NSC,2025-06-30 14:15:00+00:00,256.0,256.0,256.0,256.0,158.0,2.0,256.0
NSC,2025-06-30 14:17:00+00:00,255.92,255.92,255.92,255.92,100.0,1.0,255.92
NSC,2025-06-30 14:18:00+00:00,255.99,256.055,255.99,256.055,337.0,9.0,256.0225
NSC,2025-06-30 14:19:00+00:00,256.02,256.02,256.02,256.02,237.0,5.0,256.02
NSC,2025-06-30 14:20:00+00:00,256.22,256.22,256.22,256.22,326.0,9.0,256.22
NSC,2025-06-30 14:23:00+00:00,256.275,256.275,256.275,256.275,406.0,3.0,256.275
NSC,2025-06-30 14:24:00+00:00,256.275,256.275,256.27,256.27,518.0,16.0,256.2725
NSC,2025-06-30 14:27:00+00:00,256.115,256.115,256.115,256.115,202.0,5.0,256.115
NSC,2025-06-30 14:28:00+00:00,256.175,256.175,256.175,256.175,102.0,3.0,256.175
NSC,2025-06-30 14:32:00+00:00,256.13,256.13,255.995,255.995,220.0,7.0,256.0625
NSC,2025-06-30 14:35:00+00:00,255.9,255.9,255.735,255.735,246.0,4.0,255.8175
NSC,2025-06-30 14:37:00+00:00,255.645,255.645,255.645,255.645,361.0,7.0,255.645
NSC,2025-06-30 14:38:00+00:00,255.5,255.5,255.5,255.5,105.0,2.0,255.5
NSC,2025-06-30 14:39:00+00:00,255.355,255.355,255.355,255.355,100.0,1.0,255.355
NSC,2025-06-30 14:42:00+00:00,255.49,255.49,255.49,255.49,187.0,8.0,255.49
NSC,2025-06-30 14:47:00+00:00,255.475,255.475,255.475,255.475,110.0,2.0,255.475
NSC,2025-06-30 14:48:00+00:00,255.52,255.585,255.52,255.585,379.0,9.0,255.563333
NSC,2025-06-30 14:49:00+00:00,255.585,255.585,255.585,255.585,438.0,7.0,255.585
NSC,2025-06-30 14:50:00+00:00,255.4,255.4,255.4,255.4,203.0,7.0,255.4
