symbol,timestamp,open,high,low,close,volume,trade_count,vwap
OTIS,2025-06-30 13:30:00+00:00,97.225,97.225,97.225,97.225,1070.0,9.0,97.225
OTIS,2025-06-30 13:32:00+00:00,97.01,97.245,97.01,97.225,1183.0,11.0,97.137523
OTIS,2025-06-30 13:33:00+00:00,97.32,97.34,97.32,97.34,664.0,11.0,97.325
OTIS,2025-06-30 13:35:00+00:00,97.53,97.53,97.395,97.395,300.0,3.0,97.451667
OTIS,2025-06-30 13:36:00+00:00,97.425,97.435,97.425,97.435,259.0,4.0,97.43
OTIS,2025-06-30 13:38:00+00:00,97.485,97.485,97.485,97.485,200.0,1.0,97.485
OTIS,2025-06-30 13:39:00+00:00,97.55,97.55,97.55,97.55,500.0,5.0,97.55
OTIS,2025-06-30 13:41:00+00:00,97.65,97.675,97.65,97.675,587.0,3.0,97.661034
OTIS,2025-06-30 13:42:00+00:00,97.795,97.795,97.795,97.795,450.0,4.0,97.795
OTIS,2025-06-30 13:43:00+00:00,97.695,97.755,97.555,97.555,733.0,7.0,97.62982
OTIS,2025-06-30 13:46:00+00:00,97.69,97.76,97.69,97.76,939.0,9.0,97.727143
OTIS,2025-06-30 13:49:00+00:00,97.9,97.9,97.9,97.9,208.0,3.0,97.9
OTIS,2025-06-30 13:51:00+00:00,97.79,97.93,97.79,97.93,1194.0,11.0,97.860435
OTIS,2025-06-30 13:52:00+00:00,97.895,97.91,97.895,97.91,380.0,7.0,97.905
OTIS,2025-06-30 13:54:00+00:00,97.79,97.79,97.79,97.79,200.0,3.0,97.79
OTIS,2025-06-30 13:56:00+00:00,97.835,97.89,97.835,97.89,758.0,18.0,97.865283
OTIS,2025-06-30 13:57:00+00:00,97.92,97.92,97.89,97.89,300.0,4.0,97.902
OTIS,2025-06-30 13:58:00+00:00,97.97,97.98,97.81,97.82,1716.0,28.0,97.9072
OTIS,2025-06-30 14:00:00+00:00,97.79,97.85,97.79,97.85,257.0,9.0,97.82
OTIS,2025-06-30 14:01:00+00:00,97.85,97.86,97.85,97.86,375.0,12.0,97.853058
OTIS,2025-06-30 14:02:00+00:00,97.86,97.87,97.86,97.87,328.0,6.0,97.866667
OTIS,2025-06-30 14:03:00+00:00,97.94,97.94,97.92,97.92,272.0,8.0,97.93
OTIS,2025-06-30 14:04:00+00:00,97.98,97.98,97.96,97.96,483.0,8.0,97.970099
OTIS,2025-06-30 14:05:00+00:00,97.96,97.96,97.93,97.935,301.0,4.0,97.941667
OTIS,2025-06-30 14:06:00+00:00,97.91,97.965,97.91,97.96,526.0,10.0,97.940612
OTIS,2025-06-30 14:07:00+00:00,98.01,98.01,97.98,98.0,703.0,11.0,97.9975
OTIS,2025-06-30 14:08:00+00:00,98.0,98.0,98.0,98.0,252.0,5.0,98.0
OTIS,2025-06-30 14:09:00+00:00,97.995,97.995,97.975,97.98,408.0,4.0,97.982473
OTIS,2025-06-30 14:10:00+00:00,98.01,98.01,97.96,97.96,5448.0,45.0,97.991726
OTIS,2025-06-30 14:11:00+00:00,97.96,97.96,97.96,97.96,538.0,9.0,97.96
OTIS,2025-06-30 14:12:00+00:00,97.935,97.935,97.92,97.92,504.0,4.0,97.932
OTIS,2025-06-30 14:13:00+00:00,97.81,97.81,97.81,97.81,485.0,7.0,97.81
OTIS,2025-06-30 14:14:00+00:00,97.815,97.815,97.815,97.815,383.0,5.0,97.815
OTIS,2025-06-30 14:15:00+00:00,97.815,97.85,97.815,97.85,360.0,6.0,97.830625
OTIS,2025-06-30 14:17:00+00:00,97.815,97.86,97.815,97.86,239.0,5.0,97.8375
OTIS,2025-06-30 14:18:00+00:00,97.87,97.87,97.84,97.84,459.0,7.0,97.8575
OTIS,2025-06-30 14:19:00+00:00,97.83,97.84,97.83,97.84,666.0,9.0,97.835714
OTIS,2025-06-30 14:20:00+00:00,97.78,97.78,97.775,97.775,238.0,5.0,97.777549
OTIS,2025-06-30 14:21:00+00:00,97.785,97.785,97.775,97.775,362.0,4.0,97.781222
OTIS,2025-06-30 14:22:00+00:00,97.83,97.84,97.83,97.84,204.0,4.0,97.835
OTIS,2025-06-30 14:24:00+00:00,97.83,97.83,97.83,97.83,130.0,3.0,97.83
OTIS,2025-06-30 14:25:00+00:00,97.78,97.785,97.78,97.785,210.0,3.0,97.7825
OTIS,2025-06-30 14:26:00+00:00,97.8,97.8,97.76,97.76,318.0,6.0,97.773333
OTIS,2025-06-30 14:27:00+00:00,97.715,97.79,97.715,97.79,889.0,14.0,97.756861
OTIS,2025-06-30 14:28:00+00:00,97.8,97.81,97.8,97.81,443.0,7.0,97.803333
OTIS,2025-06-30 14:30:00+00:00,97.88,97.88,97.86,97.86,319.0,11.0,97.87
OTIS,2025-06-30 14:31:00+00:00,97.81,97.85,97.81,97.85,1125.0,15.0,97.835178
OTIS,2025-06-30 14:32:00+00:00,97.85,97.875,97.85,97.875,657.0,11.0,97.859
OTIS,2025-06-30 14:33:00+00:00,97.83,97.84,97.8,97.81,642.0,9.0,97.823333
OTIS,2025-06-30 14:34:00+00:00,97.79,97.79,97.79,97.79,116.0,2.0,97.79
OTIS,2025-06-30 14:35:00+00:00,97.84,97.84,97.715,97.725,942.0,16.0,97.746429
OTIS,2025-06-30 14:36:00+00:00,97.715,97.715,97.705,97.705,403.0,5.0,97.70875
OTIS,2025-06-30 14:37:00+00:00,97.655,97.655,97.655,97.655,107.0,3.0,97.655
OTIS,2025-06-30 14:38:00+00:00,97.595,97.595,97.59,97.59,601.0,7.0,97.5925
OTIS,2025-06-30 14:39:00+00:00,97.59,97.59,97.59,97.59,120.0,1.0,97.59
OTIS,2025-06-30 14:40:00+00:00,97.58,97.58,97.575,97.58,551.0,7.0,97.578333
OTIS,2025-06-30 14:41:00+00:00,97.605,97.64,97.605,97.62,818.0,10.0,97.624355
OTIS,2025-06-30 14:43:00+00:00,97.65,97.65,97.635,97.65,685.0,10.0,97.645
OTIS,2025-06-30 14:45:00+00:00,97.71,97.765,97.71,97.765,611.0,6.0,97.744167
OTIS,2025-06-30 14:46:00+00:00,97.73,97.75,97.73,97.75,352.0,6.0,97.736667
OTIS,2025-06-30 14:47:00+00:00,97.75,97.79,97.745,97.79,629.0,7.0,97.764626
OTIS,2025-06-30 14:51:00+00:00,97.82,97.82,97.82,97.82,149.0,7.0,97.82
OTIS,2025-06-30 14:54:00+00:00,97.83,97.86,97.83,97.835,659.0,13.0,97.844023
OTIS,2025-06-30 14:55:00+00:00,97.85,97.85,97.85,97.85,217.0,4.0,97.85
OTIS,2025-06-30 14:57:00+00:00,97.845,97.86,97.845,97.86,252.0,5.0,97.8525
OTIS,2025-06-30 14:58:00+00:00,97.9,97.91,97.9,97.91,464.0,5.0,97.906508
OTIS,2025-06-30 14:59:00+00:00,97.95,97.95,97.95,97.95,372.0,10.0,97.95
OTIS,2025-06-30 15:00:00+00:00,97.945,97.945,97.94,97.94,413.0,7.0,97.943656
OTIS,2025-06-30 15:01:00+00:00,97.95,97.96,97.95,97.955,1002.0,12.0,97.953451
