symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PFG,2025-06-30 13:30:00+00:00,79.285,79.285,79.285,79.285,100.0,1.0,79.285
PFG,2025-06-30 13:32:00+00:00,79.235,79.235,79.235,79.235,143.0,4.0,79.235
PFG,2025-06-30 13:35:00+00:00,79.235,79.235,79.235,79.235,235.0,2.0,79.235
PFG,2025-06-30 13:47:00+00:00,79.475,79.475,79.475,79.475,173.0,4.0,79.475
PFG,2025-06-30 13:56:00+00:00,79.365,79.365,79.365,79.365,233.0,5.0,79.365
PFG,2025-06-30 14:23:00+00:00,79.29,79.29,79.29,79.29,123.0,6.0,79.29
PFG,2025-06-30 14:28:00+00:00,79.28,79.28,79.28,79.28,150.0,2.0,79.28
PFG,2025-06-30 14:30:00+00:00,79.31,79.31,79.31,79.31,211.0,7.0,79.31
PFG,2025-06-30 14:31:00+00:00,79.38,79.38,79.38,79.38,200.0,1.0,79.38
PFG,2025-06-30 14:33:00+00:00,79.355,79.355,79.355,79.355,199.0,2.0,79.355
PFG,2025-06-30 14:40:00+00:00,79.175,79.175,79.175,79.175,100.0,1.0,79.175
PFG,2025-06-30 14:43:00+00:00,79.28,79.28,79.28,79.28,116.0,2.0,79.28
PFG,2025-06-30 14:50:00+00:00,79.24,79.24,79.24,79.24,119.0,3.0,79.24
PFG,2025-06-30 14:55:00+00:00,79.19,79.19,79.19,79.19,146.0,3.0,79.19
PFG,2025-06-30 15:03:00+00:00,79.195,79.2,79.195,79.2,200.0,2.0,79.1975
PFG,2025-06-30 15:04:00+00:00,79.2,79.2,79.2,79.2,173.0,4.0,79.2
PFG,2025-06-30 15:06:00+00:00,79.21,79.21,79.21,79.21,115.0,3.0,79.21
PFG,2025-06-30 15:13:00+00:00,79.17,79.17,79.17,79.17,110.0,2.0,79.17
PFG,2025-06-30 15:23:00+00:00,79.15,79.15,79.15,79.15,100.0,1.0,79.15
PFG,2025-06-30 15:25:00+00:00,79.13,79.13,79.13,79.13,197.0,2.0,79.13
PFG,2025-06-30 15:26:00+00:00,79.15,79.15,79.15,79.15,215.0,7.0,79.15
PFG,2025-06-30 15:27:00+00:00,79.165,79.165,79.165,79.165,119.0,3.0,79.165
PFG,2025-06-30 15:28:00+00:00,79.19,79.19,79.19,79.19,140.0,2.0,79.19
PFG,2025-06-30 15:29:00+00:00,79.24,79.24,79.24,79.24,148.0,5.0,79.24
PFG,2025-06-30 15:37:00+00:00,79.39,79.39,79.39,79.39,100.0,1.0,79.39
PFG,2025-06-30 15:43:00+00:00,79.39,79.39,79.39,79.39,199.0,2.0,79.39
PFG,2025-06-30 15:44:00+00:00,79.39,79.39,79.39,79.39,100.0,1.0,79.39
