symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PM,2025-06-30 13:30:00+00:00,180.72,180.72,180.03,180.03,1005.0,36.0,180.175185
PM,2025-06-30 13:31:00+00:00,180.295,180.785,180.29,180.785,1415.0,18.0,180.398171
PM,2025-06-30 13:32:00+00:00,181.3,182.0,181.3,181.96,926.0,27.0,181.659703
PM,2025-06-30 13:34:00+00:00,182.0,182.095,181.95,181.95,880.0,20.0,182.010714
PM,2025-06-30 13:35:00+00:00,181.98,181.98,181.98,181.98,679.0,13.0,181.98
PM,2025-06-30 13:36:00+00:00,181.84,181.85,181.84,181.85,441.0,8.0,181.845
PM,2025-06-30 13:37:00+00:00,181.69,181.69,181.52,181.52,358.0,10.0,181.605
PM,2025-06-30 13:38:00+00:00,181.42,181.42,181.42,181.42,131.0,6.0,181.42
PM,2025-06-30 13:39:00+00:00,181.22,181.3,181.22,181.3,647.0,13.0,181.260976
PM,2025-06-30 13:40:00+00:00,181.435,181.525,181.435,181.525,1080.0,18.0,181.455253
PM,2025-06-30 13:42:00+00:00,181.56,181.8,181.56,181.8,820.0,13.0,181.665
PM,2025-06-30 13:43:00+00:00,181.895,181.895,181.845,181.845,3321.0,35.0,181.888929
PM,2025-06-30 13:47:00+00:00,181.395,181.395,181.395,181.395,502.0,6.0,181.395
PM,2025-06-30 13:48:00+00:00,181.415,181.65,181.415,181.59,1100.0,31.0,181.56125
PM,2025-06-30 13:49:00+00:00,181.6,181.69,181.6,181.69,480.0,12.0,181.645
PM,2025-06-30 13:50:00+00:00,181.63,181.63,181.59,181.59,724.0,7.0,181.600684
PM,2025-06-30 13:51:00+00:00,181.75,181.75,181.75,181.75,477.0,18.0,181.75
PM,2025-06-30 13:52:00+00:00,181.75,181.84,181.75,181.84,261.0,4.0,181.78913
PM,2025-06-30 13:53:00+00:00,181.73,181.73,181.73,181.73,440.0,13.0,181.73
PM,2025-06-30 13:56:00+00:00,181.665,181.665,181.66,181.66,525.0,18.0,181.6625
PM,2025-06-30 13:58:00+00:00,181.34,181.35,181.34,181.35,750.0,24.0,181.343333
PM,2025-06-30 14:00:00+00:00,181.31,181.34,181.31,181.32,422.0,7.0,181.322857
