symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PNR,2025-06-30 13:33:00+00:00,102.4,102.4,102.4,102.4,185.0,3.0,102.4
PNR,2025-06-30 13:36:00+00:00,102.01,102.01,102.01,102.01,138.0,3.0,102.01
PNR,2025-06-30 13:37:00+00:00,102.125,102.125,102.125,102.125,143.0,2.0,102.125
PNR,2025-06-30 13:48:00+00:00,102.56,102.56,102.56,102.56,100.0,1.0,102.56
PNR,2025-06-30 13:49:00+00:00,102.6,102.6,102.6,102.6,111.0,2.0,102.6
PNR,2025-06-30 13:51:00+00:00,102.78,102.83,102.78,102.83,415.0,5.0,102.796667
PNR,2025-06-30 13:52:00+00:00,102.76,102.76,102.76,102.76,235.0,3.0,102.76
PNR,2025-06-30 13:56:00+00:00,102.765,102.765,102.765,102.765,187.0,4.0,102.765
PNR,2025-06-30 13:57:00+00:00,102.81,102.81,102.81,102.81,162.0,5.0,102.81
PNR,2025-06-30 13:58:00+00:00,102.82,102.82,102.82,102.82,305.0,11.0,102.82
PNR,2025-06-30 14:00:00+00:00,102.73,102.73,102.73,102.73,143.0,3.0,102.73
PNR,2025-06-30 14:07:00+00:00,102.515,102.515,102.515,102.515,123.0,2.0,102.515
PNR,2025-06-30 14:11:00+00:00,102.41,102.41,102.41,102.41,112.0,3.0,102.41
PNR,2025-06-30 14:20:00+00:00,102.44,102.44,102.44,102.44,246.0,7.0,102.44
PNR,2025-06-30 14:21:00+00:00,102.42,102.42,102.37,102.37,400.0,4.0,102.39875
PNR,2025-06-30 14:22:00+00:00,102.43,102.44,102.43,102.44,278.0,6.0,102.434739
PNR,2025-06-30 14:26:00+00:00,102.495,102.495,102.495,102.495,125.0,3.0,102.495
PNR,2025-06-30 14:29:00+00:00,102.595,102.64,102.595,102.64,437.0,12.0,102.6175
PNR,2025-06-30 14:33:00+00:00,102.515,102.515,102.515,102.515,420.0,3.0,102.515
PNR,2025-06-30 14:34:00+00:00,102.51,102.53,102.51,102.52,700.0,7.0,102.516429
PNR,2025-06-30 14:35:00+00:00,102.51,102.52,102.51,102.52,296.0,7.0,102.515
PNR,2025-06-30 14:36:00+00:00,102.52,102.52,102.52,102.52,239.0,6.0,102.52
PNR,2025-06-30 14:37:00+00:00,102.41,102.41,102.34,102.34,593.0,13.0,102.367132
PNR,2025-06-30 14:38:00+00:00,102.26,102.26,102.26,102.26,600.0,6.0,102.26
PNR,2025-06-30 14:39:00+00:00,102.26,102.26,102.26,102.26,319.0,4.0,102.26
PNR,2025-06-30 14:40:00+00:00,102.19,102.19,102.19,102.19,312.0,9.0,102.19
PNR,2025-06-30 14:41:00+00:00,102.22,102.23,102.22,102.23,550.0,10.0,102.226667
PNR,2025-06-30 14:43:00+00:00,102.18,102.18,102.18,102.18,161.0,2.0,102.18
PNR,2025-06-30 14:44:00+00:00,102.185,102.185,102.185,102.185,221.0,4.0,102.185
PNR,2025-06-30 14:45:00+00:00,102.215,102.27,102.215,102.27,306.0,5.0,102.236154
PNR,2025-06-30 14:47:00+00:00,102.265,102.265,102.265,102.265,321.0,8.0,102.265
PNR,2025-06-30 14:53:00+00:00,102.3,102.3,102.3,102.3,158.0,3.0,102.3
PNR,2025-06-30 14:55:00+00:00,102.3,102.3,102.3,102.3,212.0,4.0,102.3
PNR,2025-06-30 14:58:00+00:00,102.335,102.335,102.335,102.335,450.0,5.0,102.335
PNR,2025-06-30 14:59:00+00:00,102.335,102.335,102.335,102.335,200.0,2.0,102.335
PNR,2025-06-30 15:00:00+00:00,102.45,102.45,102.45,102.45,250.0,6.0,102.45
PNR,2025-06-30 15:01:00+00:00,102.45,102.45,102.42,102.45,1220.0,12.0,102.439583
PNR,2025-06-30 15:02:00+00:00,102.45,102.45,102.39,102.39,345.0,4.0,102.43
PNR,2025-06-30 15:10:00+00:00,102.475,102.475,102.475,102.475,315.0,7.0,102.475
PNR,2025-06-30 15:11:00+00:00,102.405,102.405,102.405,102.405,205.0,4.0,102.405
