symbol,timestamp,open,high,low,close,volume,trade_count,vwap
POOL,2025-06-30 13:40:00+00:00,291.69,291.69,291.69,291.69,105.0,2.0,291.69
POOL,2025-06-30 13:41:00+00:00,290.87,290.87,290.87,290.87,100.0,1.0,290.87
POOL,2025-06-30 13:42:00+00:00,289.565,289.565,289.465,289.465,300.0,6.0,289.515
POOL,2025-06-30 13:43:00+00:00,289.93,289.93,289.87,289.87,524.0,12.0,289.885
POOL,2025-06-30 13:44:00+00:00,290.13,290.13,290.13,290.13,755.0,11.0,290.13
POOL,2025-06-30 13:45:00+00:00,290.0,290.0,290.0,290.0,3986.0,46.0,290.0
POOL,2025-06-30 13:46:00+00:00,290.23,290.23,290.23,290.23,100.0,1.0,290.23
POOL,2025-06-30 13:48:00+00:00,289.77,289.77,289.77,289.77,164.0,2.0,289.77
POOL,2025-06-30 13:50:00+00:00,289.46,289.46,289.46,289.46,275.0,11.0,289.46
POOL,2025-06-30 13:52:00+00:00,289.89,289.89,289.89,289.89,276.0,7.0,289.89
POOL,2025-06-30 13:53:00+00:00,289.34,289.34,289.34,289.34,212.0,5.0,289.34
POOL,2025-06-30 13:56:00+00:00,289.27,289.27,289.27,289.27,101.0,2.0,289.27
POOL,2025-06-30 14:06:00+00:00,289.085,289.085,289.085,289.085,331.0,16.0,289.085
POOL,2025-06-30 14:08:00+00:00,289.03,289.385,289.03,289.385,527.0,12.0,289.2075
POOL,2025-06-30 14:10:00+00:00,289.81,289.81,289.81,289.81,361.0,5.0,289.81
POOL,2025-06-30 14:12:00+00:00,289.04,289.04,289.04,289.04,174.0,6.0,289.04
POOL,2025-06-30 14:28:00+00:00,288.95,288.95,288.95,288.95,100.0,1.0,288.95
POOL,2025-06-30 14:29:00+00:00,289.12,289.12,289.12,289.12,133.0,7.0,289.12
POOL,2025-06-30 14:33:00+00:00,288.745,288.745,288.745,288.745,246.0,7.0,288.745
POOL,2025-06-30 14:35:00+00:00,288.74,288.74,288.74,288.74,224.0,6.0,288.74
POOL,2025-06-30 14:38:00+00:00,286.8,286.8,286.8,286.8,100.0,1.0,286.8
POOL,2025-06-30 14:45:00+00:00,287.39,287.39,287.39,287.39,132.0,8.0,287.39
POOL,2025-06-30 14:46:00+00:00,287.63,287.63,287.63,287.63,553.0,19.0,287.63
POOL,2025-06-30 14:50:00+00:00,287.51,287.51,287.51,287.51,102.0,3.0,287.51
POOL,2025-06-30 14:56:00+00:00,287.865,287.865,287.865,287.865,127.0,8.0,287.865
POOL,2025-06-30 15:01:00+00:00,287.3,287.3,287.3,287.3,105.0,5.0,287.3
POOL,2025-06-30 15:02:00+00:00,287.15,287.15,286.875,286.875,674.0,22.0,286.998333
POOL,2025-06-30 15:04:00+00:00,286.83,286.83,286.83,286.83,286.0,6.0,286.83
POOL,2025-06-30 15:05:00+00:00,286.9,287.17,286.875,287.17,1855.0,33.0,286.998944
POOL,2025-06-30 15:07:00+00:00,287.46,287.48,287.46,287.48,363.0,7.0,287.47
POOL,2025-06-30 15:18:00+00:00,287.02,287.02,287.02,287.02,150.0,2.0,287.02
POOL,2025-06-30 15:22:00+00:00,286.705,286.72,286.69,286.72,696.0,13.0,286.70625
POOL,2025-06-30 15:24:00+00:00,286.77,286.875,286.75,286.875,838.0,18.0,286.813
POOL,2025-06-30 15:26:00+00:00,286.76,286.76,286.76,286.76,136.0,3.0,286.76
POOL,2025-06-30 15:28:00+00:00,286.86,286.86,286.86,286.86,101.0,2.0,286.86
POOL,2025-06-30 15:30:00+00:00,287.12,287.12,287.04,287.04,511.0,17.0,287.08
POOL,2025-06-30 15:31:00+00:00,287.35,287.35,287.35,287.35,173.0,4.0,287.35
POOL,2025-06-30 15:32:00+00:00,287.35,287.35,287.35,287.35,247.0,10.0,287.35
POOL,2025-06-30 15:35:00+00:00,287.52,287.81,287.52,287.81,434.0,6.0,287.61
POOL,2025-06-30 15:37:00+00:00,288.12,288.12,288.12,288.12,100.0,1.0,288.12
POOL,2025-06-30 15:38:00+00:00,288.46,288.46,288.46,288.46,316.0,15.0,288.46
POOL,2025-06-30 15:43:00+00:00,287.75,287.75,287.75,287.75,102.0,2.0,287.75
POOL,2025-06-30 15:44:00+00:00,288.2,288.2,287.85,287.85,1172.0,23.0,288.01227
POOL,2025-06-30 15:49:00+00:00,287.48,287.48,287.48,287.48,100.0,1.0,287.48
POOL,2025-06-30 15:50:00+00:00,287.29,287.29,287.29,287.29,118.0,5.0,287.29
POOL,2025-06-30 16:01:00+00:00,286.435,286.435,286.435,286.435,106.0,3.0,286.435
POOL,2025-06-30 16:03:00+00:00,286.29,286.29,286.29,286.29,101.0,2.0,286.29
POOL,2025-06-30 16:05:00+00:00,286.375,286.375,286.375,286.375,105.0,2.0,286.375
POOL,2025-06-30 16:06:00+00:00,286.41,286.41,286.41,286.41,101.0,2.0,286.41
POOL,2025-06-30 16:09:00+00:00,286.135,286.135,286.135,286.135,100.0,1.0,286.135
POOL,2025-06-30 16:10:00+00:00,286.12,286.12,286.12,286.12,325.0,4.0,286.12
POOL,2025-06-30 16:13:00+00:00,286.42,286.43,286.305,286.305,990.0,14.0,286.340556
POOL,2025-06-30 16:14:00+00:00,286.74,287.045,286.74,287.045,600.0,20.0,286.8925
POOL,2025-06-30 16:23:00+00:00,287.15,287.15,287.15,287.15,102.0,3.0,287.15
POOL,2025-06-30 16:28:00+00:00,287.21,287.21,287.21,287.21,139.0,2.0,287.21
POOL,2025-06-30 16:32:00+00:00,286.33,286.33,286.33,286.33,138.0,3.0,286.33
POOL,2025-06-30 16:33:00+00:00,286.15,286.25,286.0,286.25,911.0,14.0,286.117754
POOL,2025-06-30 16:37:00+00:00,286.545,286.545,286.545,286.545,102.0,3.0,286.545
POOL,2025-06-30 16:51:00+00:00,286.94,286.94,286.94,286.94,101.0,2.0,286.94
POOL,2025-06-30 16:52:00+00:00,287.035,287.09,287.035,287.09,399.0,17.0,287.0625
POOL,2025-06-30 16:54:00+00:00,287.0,287.08,287.0,287.08,4121.0,44.0,287.009081
POOL,2025-06-30 16:55:00+00:00,287.1,287.1,287.1,287.1,127.0,4.0,287.1
POOL,2025-06-30 17:01:00+00:00,287.11,287.3,287.11,287.3,644.0,19.0,287.1575
POOL,2025-06-30 17:02:00+00:00,287.36,287.4,287.36,287.4,202.0,4.0,287.38
POOL,2025-06-30 17:07:00+00:00,287.085,287.085,287.085,287.085,100.0,1.0,287.085
POOL,2025-06-30 17:08:00+00:00,287.18,287.18,287.18,287.18,136.0,4.0,287.18
POOL,2025-06-30 17:09:00+00:00,287.29,287.29,287.29,287.29,402.0,9.0,287.29
POOL,2025-06-30 17:10:00+00:00,287.495,287.495,287.495,287.495,593.0,13.0,287.495
POOL,2025-06-30 17:12:00+00:00,287.52,287.52,287.52,287.52,143.0,3.0,287.52
POOL,2025-06-30 17:13:00+00:00,287.62,287.62,287.62,287.62,185.0,5.0,287.62
POOL,2025-06-30 17:14:00+00:00,287.555,287.57,287.555,287.57,221.0,5.0,287.5625
POOL,2025-06-30 17:15:00+00:00,287.65,287.76,287.65,287.76,201.0,3.0,287.705
POOL,2025-06-30 17:17:00+00:00,287.795,287.795,287.795,287.795,102.0,3.0,287.795
POOL,2025-06-30 17:19:00+00:00,287.91,287.91,287.91,287.91,208.0,12.0,287.91
POOL,2025-06-30 17:26:00+00:00,287.86,287.89,287.86,287.89,210.0,4.0,287.875
