symbol,timestamp,open,high,low,close,volume,trade_count,vwap
RL,2025-06-30 13:37:00+00:00,275.865,275.865,275.865,275.865,125.0,2.0,275.865
RL,2025-06-30 13:44:00+00:00,275.46,275.46,275.46,275.46,225.0,5.0,275.46
RL,2025-06-30 13:55:00+00:00,275.19,275.19,275.19,275.19,227.0,5.0,275.19
RL,2025-06-30 14:16:00+00:00,275.79,275.79,275.79,275.79,110.0,3.0,275.79
RL,2025-06-30 14:19:00+00:00,275.4,275.4,275.4,275.4,100.0,1.0,275.4
RL,2025-06-30 14:21:00+00:00,275.39,275.39,275.39,275.39,124.0,4.0,275.39
RL,2025-06-30 14:23:00+00:00,275.19,275.19,275.19,275.19,100.0,1.0,275.19
RL,2025-06-30 14:26:00+00:00,274.06,274.06,274.06,274.06,100.0,1.0,274.06
RL,2025-06-30 14:28:00+00:00,273.09,273.09,273.09,273.09,507.0,29.0,273.09
RL,2025-06-30 14:42:00+00:00,273.02,273.02,273.02,273.02,100.0,1.0,273.02
RL,2025-06-30 14:48:00+00:00,273.335,273.335,273.335,273.335,186.0,1.0,273.335
RL,2025-06-30 15:05:00+00:00,272.585,272.585,272.585,272.585,100.0,1.0,272.585
RL,2025-06-30 15:16:00+00:00,272.465,272.465,272.295,272.295,200.0,2.0,272.38
RL,2025-06-30 15:23:00+00:00,272.59,272.59,272.59,272.59,232.0,6.0,272.59
RL,2025-06-30 15:29:00+00:00,272.6,272.6,272.31,272.31,449.0,9.0,272.503333
RL,2025-06-30 15:35:00+00:00,272.74,272.74,272.74,272.74,138.0,6.0,272.74
RL,2025-06-30 15:36:00+00:00,272.735,272.735,272.735,272.735,244.0,4.0,272.735
RL,2025-06-30 15:53:00+00:00,272.13,272.13,272.13,272.13,119.0,3.0,272.13
RL,2025-06-30 15:58:00+00:00,271.915,271.915,271.915,271.915,115.0,2.0,271.915
RL,2025-06-30 16:03:00+00:00,271.69,271.69,271.69,271.69,100.0,1.0,271.69
RL,2025-06-30 16:04:00+00:00,272.05,272.05,272.05,272.05,526.0,24.0,272.05
RL,2025-06-30 16:05:00+00:00,272.06,272.06,272.06,272.06,144.0,5.0,272.06
RL,2025-06-30 16:16:00+00:00,272.31,272.31,272.31,272.31,124.0,2.0,272.31
RL,2025-06-30 16:17:00+00:00,272.18,272.18,272.18,272.18,100.0,1.0,272.18
RL,2025-06-30 16:18:00+00:00,272.17,272.17,272.17,272.17,145.0,4.0,272.17
RL,2025-06-30 16:29:00+00:00,272.265,272.265,272.265,272.265,132.0,2.0,272.265
RL,2025-06-30 16:35:00+00:00,272.235,272.235,272.235,272.235,100.0,1.0,272.235
RL,2025-06-30 16:46:00+00:00,272.47,272.47,272.385,272.385,281.0,7.0,272.4275
RL,2025-06-30 16:48:00+00:00,272.385,272.385,272.385,272.385,132.0,2.0,272.385
RL,2025-06-30 16:51:00+00:00,272.67,272.78,272.67,272.78,206.0,5.0,272.725
RL,2025-06-30 16:52:00+00:00,272.865,272.865,272.865,272.865,101.0,2.0,272.865
RL,2025-06-30 16:53:00+00:00,272.9,272.9,272.9,272.9,219.0,4.0,272.9
RL,2025-06-30 16:55:00+00:00,272.91,272.91,272.91,272.91,101.0,2.0,272.91
RL,2025-06-30 17:09:00+00:00,272.41,272.41,272.41,272.41,236.0,9.0,272.41
RL,2025-06-30 17:13:00+00:00,272.53,272.61,272.53,272.61,398.0,5.0,272.556667
RL,2025-06-30 17:14:00+00:00,272.89,272.89,272.89,272.89,130.0,6.0,272.89
RL,2025-06-30 17:16:00+00:00,272.88,272.88,272.88,272.88,125.0,2.0,272.88
RL,2025-06-30 17:17:00+00:00,272.88,272.88,272.88,272.88,204.0,3.0,272.88
RL,2025-06-30 17:21:00+00:00,272.815,272.815,272.815,272.815,100.0,1.0,272.815
RL,2025-06-30 17:25:00+00:00,272.79,272.79,272.79,272.79,100.0,1.0,272.79
RL,2025-06-30 17:28:00+00:00,272.93,272.93,272.93,272.93,110.0,3.0,272.93
RL,2025-06-30 17:29:00+00:00,272.995,272.995,272.995,272.995,204.0,7.0,272.995
RL,2025-06-30 17:32:00+00:00,272.995,272.995,272.995,272.995,101.0,2.0,272.995
RL,2025-06-30 17:37:00+00:00,273.85,273.85,273.85,273.85,215.0,6.0,273.85
RL,2025-06-30 17:55:00+00:00,273.28,273.28,273.28,273.28,100.0,1.0,273.28
RL,2025-06-30 17:56:00+00:00,273.275,273.275,273.275,273.275,177.0,8.0,273.275
RL,2025-06-30 18:00:00+00:00,273.02,273.02,273.02,273.02,102.0,3.0,273.02
RL,2025-06-30 18:05:00+00:00,272.6,272.6,272.6,272.6,203.0,6.0,272.6
RL,2025-06-30 18:10:00+00:00,272.64,272.64,272.64,272.64,100.0,1.0,272.64
RL,2025-06-30 18:18:00+00:00,272.58,272.58,272.58,272.58,100.0,1.0,272.58
RL,2025-06-30 18:22:00+00:00,272.61,272.615,272.61,272.615,200.0,2.0,272.6125
RL,2025-06-30 18:28:00+00:00,272.54,272.54,272.54,272.54,198.0,7.0,272.54
RL,2025-06-30 18:30:00+00:00,272.57,272.57,272.57,272.57,102.0,3.0,272.57
RL,2025-06-30 18:34:00+00:00,272.61,272.61,272.61,272.61,214.0,7.0,272.61
RL,2025-06-30 18:36:00+00:00,272.695,272.695,272.695,272.695,246.0,15.0,272.695
RL,2025-06-30 18:38:00+00:00,272.515,272.515,272.515,272.515,200.0,2.0,272.515
RL,2025-06-30 18:41:00+00:00,272.36,272.36,272.36,272.36,134.0,3.0,272.36
RL,2025-06-30 18:42:00+00:00,272.28,272.28,272.28,272.28,102.0,2.0,272.28
RL,2025-06-30 18:46:00+00:00,272.395,272.395,272.395,272.395,110.0,3.0,272.395
RL,2025-06-30 18:49:00+00:00,272.295,272.295,272.295,272.295,107.0,5.0,272.295
RL,2025-06-30 18:50:00+00:00,272.46,272.46,272.46,272.46,162.0,6.0,272.46
RL,2025-06-30 18:53:00+00:00,272.67,272.67,272.67,272.67,214.0,6.0,272.67
RL,2025-06-30 18:55:00+00:00,272.745,272.745,272.73,272.73,239.0,4.0,272.7375
RL,2025-06-30 18:57:00+00:00,272.83,272.83,272.83,272.83,134.0,3.0,272.83
RL,2025-06-30 19:01:00+00:00,273.1,273.1,273.0,273.0,300.0,4.0,273.05
RL,2025-06-30 19:03:00+00:00,273.005,273.005,273.005,273.005,200.0,3.0,273.005
RL,2025-06-30 19:08:00+00:00,273.31,273.41,273.31,273.36,419.0,8.0,273.36
RL,2025-06-30 19:09:00+00:00,273.255,273.255,273.255,273.255,100.0,1.0,273.255
RL,2025-06-30 19:10:00+00:00,273.2,273.2,273.2,273.2,200.0,3.0,273.2
RL,2025-06-30 19:15:00+00:00,273.055,273.055,273.055,273.055,114.0,3.0,273.055
RL,2025-06-30 19:18:00+00:00,273.045,273.045,273.045,273.045,134.0,3.0,273.045
RL,2025-06-30 19:22:00+00:00,273.16,273.16,273.16,273.16,200.0,2.0,273.16
RL,2025-06-30 19:30:00+00:00,272.985,272.985,272.985,272.985,361.0,13.0,272.985
RL,2025-06-30 19:33:00+00:00,272.945,272.945,272.945,272.945,193.0,5.0,272.945
RL,2025-06-30 19:34:00+00:00,273.045,273.045,273.045,273.045,181.0,9.0,273.045
RL,2025-06-30 19:37:00+00:00,272.81,272.81,272.81,272.81,200.0,6.0,272.81
RL,2025-06-30 19:40:00+00:00,272.82,272.82,272.82,272.82,176.0,10.0,272.82
RL,2025-06-30 19:49:00+00:00,273.75,273.75,273.75,273.75,327.0,9.0,273.75
RL,2025-06-30 19:50:00+00:00,273.7,273.7,273.7,273.7,277.0,16.0,273.7
RL,2025-06-30 19:53:00+00:00,273.945,273.945,273.945,273.945,272.0,8.0,273.945
RL,2025-06-30 19:54:00+00:00,273.88,273.88,273.825,273.825,396.0,16.0,273.8525
RL,2025-06-30 19:55:00+00:00,273.995,273.995,273.995,273.995,398.0,12.0,273.995
RL,2025-06-30 19:56:00+00:00,274.06,274.06,273.995,273.995,498.0,15.0,274.0275
RL,2025-06-30 19:57:00+00:00,273.99,274.26,273.99,274.26,1597.0,42.0,274.152751
